right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0003,33.9487,space,18.9253,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,33.9495,65.4297,space,1.4659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,65.4301,78.7263,space,10.2923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,78.763,79.2434,79.2441,79.4772,79.4774,80.7504,left,1.2241,,80.7507,81.8455,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,81.8466,82.3456,82.3457,82.6019,82.602,84.0145,right,1.3862,,84.0147,85.1153,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.1163,88.3856,space,0.2561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,88.4079,88.9021,,,89.1536,90.0536,right,0.8774,,,,,,,,,0.6,,,,,,88.903,89.1534,90.0545,"[0.02934106090406014,-0.11883550648663417]","[1,1,1]","[-0.04091413297466165,0.0641494729046191]","[1,1,1]","[-0.06959497158637724,0.12888099718340026]","[1,1,1]","[-0.07957087691742681,-0.009137264260117305]","[1,1,1]","[-0.14017410126365695,0.1127340391158481]","[-1,-1,-1]","[0.013954635043573685,0.1787737504334124]","[1,1,1]","[0.07721409884652719,0.01450512471529591]","[1,1,1]","[0.0803372632637944,-0.07744148704764779]","[1,1,1]","[-0.16991343066372733,-0.06046855415502663]","[-1,-1,-1]","[-0.025869114959393362,0.1966363011084202]","[1,1,1]","[0.024632493471124887,0.024881174398434822]","[-1,-1,-1]","[-0.13104380742219573,-0.03378379531298862]","[-1,-1,-1]","[0.1661505152205749,0.027445899319603805]","[1,1,1]","[-0.11264648458209853,-0.15134776215976525]","[1,1,1]","[-0.021235863427103062,-0.029856233049056154]","[1,1,1]","[0.12241805209042819,0.025990560812655095]","[-1,-1,-1]","[-0.16846281466908125,0.06713338056248568]","[-1,-1,-1]","[0.04951626361784256,0.10138091251657379]","[-1,-1,-1]","[0.051718118704089426,-0.1801140141527106]","[1,1,1]","[-0.060110875411223466,-0.09329363353719487]","[-1,-1,-1]","[-0.09382735348674415,0.09242814675813661]","[-1,-1,-1]","[0.07075986743491462,-0.1246931157105047]","[1,1,1]","[0.12374651583853913,-0.03024184020129471]","[1,1,1]","[0.10693343099165907,0.14781051408544157]","[-1,-1,-1]","[-0.1790530632193782,-0.02047503184096312]","[1,1,1]","[-0.1207322212157676,0.1534127266545825]","[-1,-1,-1]","[0.13213995466388623,0.06823970515109472]","[1,1,1]","[-0.021050468684253584,-0.1043157440148306]","[1,1,1]","[0.010642741716119541,-0.06500716957185858]","[-1,-1,-1]","[0.140009961429853,-0.09147520181823542]","[1,1,1]","[0.12573142273157287,-0.14720727611855564]","[1,1,1]","[-0.06976691274199932,0.18134451519823463]","[-1,-1,-1]","[0.02,0.02]",91.155,0,0,0,152,1,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,91.156,91.655,,,91.906,92.6564,left,0.7186,,,,,,,,,0.5,,,,,,91.6552,91.9059,92.6567,"[-0.04308986790803103,-0.14356751617232505]","[1,1,1]","[0.02695233044585536,-0.09165940371865132]","[-1,-1,-1]","[-0.12143018027874351,0.058463003463386516]","[1,1,1]","[-0.1070885430642137,-0.06812437972797596]","[-1,-1,-1]","[0.09286223084080598,-0.12873948911095803]","[-1,-1,-1]","[0.038546133188304736,-0.004248261490989082]","[1,1,1]","[0.012127133355535384,0.04071795544666418]","[-1,-1,-1]","[0.14465816950372595,-0.09333723546276786]","[1,1,1]","[0.06731299047373089,0.15388175957869843]","[1,1,1]","[0.15214071180222277,0.06406258256438349]","[1,1,1]","[-0.05826173781694539,0.1608539317481486]","[-1,-1,-1]","[0.12936688883991057,0.14437843825951416]","[-1,-1,-1]","[-0.16195976037470114,0.10862936135460359]","[1,1,1]","[0.018513247138901925,0.13562913692509582]","[1,1,1]","[0.10757100100464798,-0.038539370151382826]","[1,1,1]","[-0.017785940615339633,-0.1964395110262969]","[1,1,1]","[-0.022770652869554847,-0.08980562574157225]","[-1,-1,-1]","[0.02892581385493156,-0.15559417208160747]","[-1,-1,-1]","[-0.02119912796177963,0.19870466918696233]","[-1,-1,-1]","[-0.03512718753112656,0.051009774866962974]","[1,1,1]","[-0.17856928256953825,-0.008941500932394453]","[1,1,1]","[-0.13777482076215744,-0.0025217361600343648]","[1,1,1]","[-0.02725067900926392,0.10823600206564364]","[-1,-1,-1]","[-0.18754513659746466,-0.05836661256191114]","[-1,-1,-1]","[0.12127905233660077,0.013062115038414158]","[-1,-1,-1]","[-0.1158244320873894,0.12908127394096908]","[1,1,1]","[0.1653229670314018,-0.050266209452491994]","[1,1,1]","[0.06248536490796031,-0.1879712789538661]","[-1,-1,-1]","[-0.09622174204099053,-0.002785354601026539]","[1,1,1]","[-0.07731297666510703,0.039895300132311795]","[-1,-1,-1]","[0.05767316492594024,-0.04850245973994056]","[-1,-1,-1]","[0.16159522181140545,-0.005426786166428288]","[-1,-1,-1]","[0.02,0.02]",93.7574,0,1,1,100,1,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,93.7583,94.2578,,,94.5131,95.3427,left,0.8024,,,,,,,,,0.1,,,,,,94.2579,94.5131,95.3428,"[0.04849662813245888,0.09694759567930747]","[1,1,1]","[-0.08063321988747017,0.09834479684150878]","[-1,-1,-1]","[-0.005330549534309281,-0.039713640700668476]","[1,1,1]","[0.16755243164450415,-0.10561226753269125]","[-1,-1,-1]","[-0.07368177736192184,-0.1525185064246597]","[-1,-1,-1]","[0.12201048954448372,0.1526329092354059]","[-1,-1,-1]","[0.0568204844126909,-0.04801661007759762]","[-1,-1,-1]","[-0.03564477418640787,-0.06977859407670937]","[-1,-1,-1]","[-0.05975674924981591,0.0021239857254717947]","[-1,-1,-1]","[0.04273280066348155,-0.09597235008469956]","[-1,-1,-1]","[0.13395547176291356,-0.044459987048819836]","[-1,-1,-1]","[0.06646141557007872,-0.00442718778364075]","[-1,-1,-1]","[-0.031075838257054646,-0.1475423902780101]","[-1,-1,-1]","[-0.10432782844446074,0.16715018454425637]","[-1,-1,-1]","[0.17548394588516245,-0.026055108980519385]","[-1,-1,-1]","[-0.17683365235093793,-0.07622572576467007]","[-1,-1,-1]","[-0.10976234573721977,-0.11467875004452982]","[-1,-1,-1]","[0.0023467301802198915,0.020833768303164194]","[-1,-1,-1]","[0.09387129249304094,-0.0968034985906161]","[-1,-1,-1]","[0.07676495410724646,0.06075857865073386]","[-1,-1,-1]","[-0.028767972729103815,0.08783921178722659]","[-1,-1,-1]","[0.05905158624444124,-0.13788080817545]","[-1,-1,-1]","[-0.172064398046365,0.07005202507286107]","[-1,-1,-1]","[0.08001205356384762,0.17059824602048126]","[-1,-1,-1]","[-0.13818938376801865,-0.012110383932094404]","[-1,-1,-1]","[-0.0557659292901459,0.1335919024794554]","[-1,-1,-1]","[0.15682085523418834,0.07546440612349045]","[-1,-1,-1]","[-0.1353437912659862,0.11918230530393598]","[-1,-1,-1]","[0.12566060813561647,-0.13603493943623354]","[-1,-1,-1]","[0.12508527106613643,0.017599944061976146]","[-1,-1,-1]","[-0.06435337437284827,0.04235965911829377]","[-1,-1,-1]","[-0.02226915882117677,0.17631649926865411]","[1,1,1]","[0.02,0.02]",96.4434,0,2,2,18,1,,,,,,,
,,,,,,,67d005119524a1e1d28a2699,682db417c31a43bad456356e,2025-05-21_13h27.05.109,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d556593cb38ad0a074487,,,,,,,,,,,96.4443,96.9436,,,97.1948,97.8615,left,0.6435,,,,,,,,,0.6,,,,,,96.9437,97.1948,97.8616,"[0.13142663566887647,-0.05862596775401536]","[-1,-1,-1]","[0.012841368087319395,0.07760080882960069]","[1,1,1]","[0.08416934788295426,0.08385565716505099]","[-1,-1,-1]","[0.1773962456738725,0.01791495523420159]","[1,1,1]","[-0.12660559866491689,0.025063853005680092]","[1,1,1]","[-0.0970214480337028,-0.10217505159374435]","[-1,-1,-1]","[0.09443596237671957,-0.11565316072795799]","[-1,-1,-1]","[-0.08042490138039178,-0.17076621874587986]","[1,1,1]","[0.16282284179917655,0.09363146590309261]","[1,1,1]","[0.06770100843108512,0.03757285774880637]","[1,1,1]","[-0.02590830197614036,-0.09611406310261358]","[-1,-1,-1]","[0.12215997657491019,0.03296505561530683]","[1,1,1]","[-0.05559897969324499,-0.06381907086395686]","[1,1,1]","[-0.18911376127136556,-0.01356436421168874]","[1,1,1]","[-0.16596046201744674,-0.06338146973295805]","[-1,-1,-1]","[-0.0737492046778201,0.0009166445340107214]","[-1,-1,-1]","[-0.03257447844002108,0.09911878277773527]","[-1,-1,-1]","[-0.005022857765810704,0.17674245969569358]","[1,1,1]","[-0.15015073715686922,0.13094651110098876]","[1,1,1]","[0.05945757438661548,-0.15556104733569112]","[1,1,1]","[-0.06367647527305305,0.14118393834853268]","[1,1,1]","[0.0365454103999917,-0.10474719309390926]","[-1,-1,-1]","[-0.13173102024174224,-0.031663535589797884]","[1,1,1]","[-0.1322620017542315,-0.14282173774057016]","[-1,-1,-1]","[-0.004328662602007259,0.005027669162927831]","[1,1,1]","[0.13199192957860065,0.14830506972393284]","[1,1,1]","[-0.13678983376051784,0.08066626574455957]","[-1,-1,-1]","[0.07220329722446027,0.14584207485325687]","[1,1,1]","[0.07479632811700085,-0.06355440328074384]","[1,1,1]","[0.17353247322053839,-0.08384903719261778]","[1,1,1]","[0.028148878486945125,-0.01861911054410124]","[-1,-1,-1]","[-0.08760084627779716,0.09451025435983]","[-1,-1,-1]","[0.02,0.02]",98.9621,0,3,3,171,1,,,,,,,
