right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,83.497,space,68.4869,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,83.4973,142.9933,space,29.4866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,142.9934,146.6058,space,0.5937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,146.6339,147.1208,147.1212,147.3643,147.3645,148.8687,,148.8689,149.9675,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,149.9686,150.4666,150.4667,150.7328,150.7329,151.5743,left,151.5743,152.6702,0,1,1,0,1,0.8,0.7959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.6708,163.9347,space,8.2412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,164.0442,164.4503,,,164.7202,165.0005,right,,,,,,,,0.1,0.2645,,,,,,,164.4508,164.7201,165.0009,"[0.14211838957346828,-0.0822801771796483]","[-1,-1,-1]","[0.05352895732303551,0.046157330420423213]","[-1,-1,-1]","[0.15945463496540607,0.05859460721431019]","[-1,-1,-1]","[0.09068071653445052,0.14691863603149025]","[-1,-1,-1]","[0.004511105240425287,-0.09106576418445579]","[-1,-1,-1]","[0.1105361367065399,-0.054431401151760775]","[-1,-1,-1]","[0.07942949656129426,-0.08694000914607133]","[-1,-1,-1]","[0.05096848228326834,-0.16570746368523817]","[1,1,1]","[-0.13370779197671506,-0.05090025509425211]","[-1,-1,-1]","[-0.1878892362051778,0.048647538891173986]","[-1,-1,-1]","[-0.1756852144917451,0.0000933225513460413]","[-1,-1,-1]","[-0.001310775256395955,-0.14161903698942807]","[-1,-1,-1]","[-0.025982957164354562,0.09857195191249975]","[-1,-1,-1]","[0.022644674750688175,-0.012900498705170543]","[-1,-1,-1]","[-0.07524997337284435,-0.04997365380428392]","[-1,-1,-1]","[-0.04574522816546241,-0.18474774982485195]","[-1,-1,-1]","[-0.07862711475733485,0.08670925234167477]","[-1,-1,-1]","[-0.08718450299072632,-0.08847002312237252]","[-1,-1,-1]","[-0.08879099429459468,0.04767782219407939]","[-1,-1,-1]","[-0.10893773672397543,-0.14019886012739083]","[-1,-1,-1]","[-0.14333942887905932,0.05606474007455469]","[-1,-1,-1]","[-0.03381749804969701,-0.008372602383567664]","[-1,-1,-1]","[0.050327504419194945,0.13270883079192858]","[-1,-1,-1]","[-0.05681341649537395,0.15285529324771024]","[-1,-1,-1]","[0.1400214873644821,0.13859767409319865]","[-1,-1,-1]","[0.10076264319594753,-0.15536432143056075]","[-1,-1,-1]","[0.015479732626777017,0.06260396118130711]","[-1,-1,-1]","[0.05968445755790969,0.17479594082264352]","[1,1,1]","[0.18326826164415622,-0.03209330383937012]","[-1,-1,-1]","[0.19873251148919044,0.015577726868931326]","[1,1,1]","[0.06083980164275247,0.08792003818035884]","[-1,-1,-1]","[-0.13127706697651897,0.11698103439688022]","[-1,-1,-1]","[0.02,0.02]",166.0991,0,0,0,26,1,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,166.0996,166.5981,,,166.8483,167.2979,right,,,,,,,,0.5,0.4359,,,,,,,166.5981,166.8482,167.2979,"[0.04001640785311254,0.09099486698134326]","[-1,-1,-1]","[-0.17619910180402645,0.01196814072040146]","[-1,-1,-1]","[0.05238555810487642,-0.01234249287708587]","[-1,-1,-1]","[-0.16213497616169104,0.11465725955921491]","[1,1,1]","[-0.13067259427964312,-0.01725165645781456]","[-1,-1,-1]","[0.1404158039956718,-0.07937714236668447]","[1,1,1]","[-0.06377581330336818,0.13409854382875386]","[-1,-1,-1]","[-0.01826845107205269,0.07283313726924581]","[-1,-1,-1]","[0.051675391500048455,-0.10316039125217237]","[1,1,1]","[0.11203007523795613,-0.05042304478728626]","[-1,-1,-1]","[0.014118299743156995,-0.06933820376812154]","[1,1,1]","[0.1299113811837655,0.14741319146471357]","[1,1,1]","[0.07494234537758171,-0.1633814010608031]","[1,1,1]","[-0.007217500812993039,0.009692492936986622]","[-1,-1,-1]","[0.010076449416057433,-0.17271092620890924]","[1,1,1]","[-0.08491293040903318,-0.07692107433546497]","[-1,-1,-1]","[0.15129284504219132,0.1092288417275452]","[-1,-1,-1]","[-0.05595839586383025,-0.13668429078049177]","[1,1,1]","[-0.045361004893900506,-0.03505742622628291]","[-1,-1,-1]","[-0.13710965003444486,0.05682570935274685]","[-1,-1,-1]","[0.12604899650458706,0.05807999037331883]","[1,1,1]","[-0.025136957506747687,0.18705250425410258]","[1,1,1]","[-0.018611530414422716,-0.10304610559353529]","[1,1,1]","[0.02400277969592007,0.14576856657721246]","[1,1,1]","[-0.08162967981957941,0.06352091633159727]","[1,1,1]","[-0.04346713239604715,0.034394907925419084]","[-1,-1,-1]","[-0.09846319568200065,0.02719467955413421]","[1,1,1]","[-0.06875829305177865,0.18610061457779217]","[-1,-1,-1]","[-0.13469800402516097,-0.13288427947997913]","[-1,-1,-1]","[-0.18076053064155465,-0.037280153043373246]","[1,1,1]","[-0.05006159519002668,-0.18654631879746364]","[1,1,1]","[0.15630400025992078,-0.02784173161968704]","[-1,-1,-1]","[0.02,0.02]",168.3969,0,1,1,106,1,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,168.3972,168.8957,,,169.1458,169.5279,left,,,,,,,,0.55,0.3668,,,,,,,168.8957,169.1458,169.528,"[0.023961772808737115,0.05795297899789898]","[1,1,1]","[-0.1078953121633192,0.0988872230134559]","[-1,-1,-1]","[0.07047307011903399,-0.1671635607432887]","[1,1,1]","[-0.08227439317527664,0.18107660895252722]","[-1,-1,-1]","[0.10526399073837493,-0.004294666570829216]","[-1,-1,-1]","[-0.027063409037364712,0.09914855089063729]","[-1,-1,-1]","[-0.07978956750086265,-0.16587684047206253]","[-1,-1,-1]","[-0.17070051797803806,0.024153141921929844]","[-1,-1,-1]","[0.1405587951067653,-0.06979438130731434]","[-1,-1,-1]","[0.09599413443167067,0.03805006997474589]","[1,1,1]","[0.0746703463424908,-0.08441272728052553]","[1,1,1]","[0.07242653151458234,-0.12568200919738334]","[1,1,1]","[0.10656971695516074,0.07734950749847502]","[1,1,1]","[-0.15400876324616172,-0.12367605640964605]","[1,1,1]","[-0.04974334386361853,-0.09444169326703367]","[-1,-1,-1]","[0.03517978027991919,0.13961210691520348]","[1,1,1]","[-0.19172689579336447,-0.021354939509606752]","[1,1,1]","[-0.13686459539927823,-0.0823872127476071]","[-1,-1,-1]","[0.03283912014367934,-0.02969317860418278]","[1,1,1]","[0.1585036565030985,0.065009677018793]","[1,1,1]","[-0.019145833740677073,-0.1719737066226668]","[1,1,1]","[-0.011112711108715019,-0.015208969978709614]","[-1,-1,-1]","[0.08717689075161637,0.17019801909724624]","[-1,-1,-1]","[0.02876552994129969,-0.08985484710742526]","[1,1,1]","[-0.0041610811130826575,0.18238279244663633]","[1,1,1]","[-0.01010001845940318,-0.11086730664843425]","[-1,-1,-1]","[-0.07366648765786375,0.0670794346155861]","[1,1,1]","[0.02702352276119178,-0.19599630689192032]","[-1,-1,-1]","[0.17850631953275495,-0.04758679252786903]","[1,1,1]","[-0.11009077754086354,-0.016625149996553217]","[1,1,1]","[-0.057605573165861186,0.021464731956217314]","[-1,-1,-1]","[-0.054585127118198414,0.13060012838960466]","[1,1,1]","[0.02,0.02]",170.627,0,2,2,136,1,,,,,,,
,,,,,,,67d479b71ef9f4c14f6bb2da,682f0fbd802cd567ee126fab,2025-05-22_13h52.36.916,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,170.6275,171.1262,,,171.3689,171.6157,left,,,,,,,,0.55,0.2308,,,,,,,171.1263,171.3689,171.6157,"[0.039417606771529515,-0.10372344170470504]","[-1,-1,-1]","[-0.0390169334498738,0.07650489387934438]","[1,1,1]","[0.1379536529273827,0.010872114545234346]","[1,1,1]","[0.05701665201103395,0.09041972987462672]","[-1,-1,-1]","[-0.053236024222673435,-0.002136216395325666]","[-1,-1,-1]","[0.17736578140658457,0.058855592723619815]","[1,1,1]","[-0.02968338815306023,-0.10003877811267102]","[1,1,1]","[-0.18029896042016105,-0.047702764313398385]","[1,1,1]","[-0.024761016512216925,0.027168129177085918]","[1,1,1]","[0.13750784995725684,0.13150881650038626]","[-1,-1,-1]","[-0.03878166812982805,0.16231523281660787]","[-1,-1,-1]","[0.013184723816233498,-0.06014419133816217]","[-1,-1,-1]","[0.049736104344839105,-0.007420410268000685]","[-1,-1,-1]","[0.13079990784762457,-0.118029393289834]","[-1,-1,-1]","[0.06780623718884415,-0.1454159588489961]","[-1,-1,-1]","[-0.08288051748516811,0.13118067116580445]","[1,1,1]","[-0.08397896494994285,-0.09260619396240402]","[-1,-1,-1]","[0.0783396299452955,0.04113990851566676]","[1,1,1]","[-0.007846151189364286,-0.1628936553555275]","[1,1,1]","[-0.1847589757480766,0.07373524869990995]","[1,1,1]","[0.03668809994661277,0.14359494219006005]","[1,1,1]","[-0.13520136394038215,0.10006410348176338]","[-1,-1,-1]","[0.027679343772771346,0.053444219235191624]","[-1,-1,-1]","[-0.117019498726264,-0.05392561883021481]","[1,1,1]","[0.08970631809933773,0.12174466968563359]","[1,1,1]","[0.11926016208238154,-0.027635859398840144]","[-1,-1,-1]","[-0.06642629852669392,0.036101468553544985]","[1,1,1]","[-0.1394120686331295,-0.11168787777298012]","[1,1,1]","[0.07796822309122704,0.18123371332165816]","[1,1,1]","[-0.14475742451629026,0.052891600935495414]","[1,1,1]","[0.08823974434101299,-0.08139733039234637]","[1,1,1]","[-0.1836842968593553,0.021998593420507136]","[-1,-1,-1]","[0.02,0.02]",172.7077,0,3,3,134,1,,,,,,,
