right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0003,15.7748,space,0.7549,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,15.7753,46.4879,space,0.6962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,46.488,50.3256,space,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,50.3402,50.842,50.8423,51.0764,51.0765,52.3439,left,1.2513,,52.3441,53.4446,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,53.445,53.9451,53.9451,54.1958,54.1958,54.7291,right,0.5199,,54.7291,55.8303,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.8306,59.4512,space,0.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,59.4736,59.9678,,,60.2017,60.9688,left,0.7545,,,,,,,,,0.45,,,,,,59.9681,60.2017,60.9691,"[0.13577734044657452,0.08457876647958822]","[-1,-1,-1]","[-0.18720508352762943,-0.03634953358678782]","[-1,-1,-1]","[0.12598326864682385,-0.0940967401465948]","[-1,-1,-1]","[0.14128721747075373,0.03290079838460881]","[-1,-1,-1]","[-0.054954209035553196,-0.024101100030622914]","[-1,-1,-1]","[-0.08561645547587275,-0.12317361682474635]","[-1,-1,-1]","[-0.017654750696531725,0.14890430403531166]","[1,1,1]","[0.042598086042474344,0.007734656821627143]","[-1,-1,-1]","[-0.02628762600604344,-0.1754853239468693]","[-1,-1,-1]","[0.04992597544632989,0.13622770743506457]","[1,1,1]","[-0.14384424980680674,-0.017430849331485594]","[1,1,1]","[0.012811510342583104,0.04242682967918445]","[-1,-1,-1]","[0.09263922402035113,-0.02564464577778639]","[-1,-1,-1]","[-0.08575397888445652,0.09584453656886621]","[-1,-1,-1]","[0.13383825354777823,-0.042109631742312054]","[1,1,1]","[0.012067703019622475,0.19845295278675887]","[-1,-1,-1]","[0.12505163999394658,0.14815362730912263]","[-1,-1,-1]","[0.03396046880449699,-0.08940101812270283]","[1,1,1]","[-0.17833966988872674,0.05157328565493203]","[1,1,1]","[-0.0030821499312903605,-0.047915697921297594]","[-1,-1,-1]","[0.0964310007485346,-0.12596456034970482]","[1,1,1]","[-0.08979232834046834,0.039919093780327354]","[1,1,1]","[-0.03295637836935847,-0.135593147006963]","[1,1,1]","[0.050398034042994665,0.1826337172883811]","[1,1,1]","[0.009970202067265461,0.08788611551899639]","[-1,-1,-1]","[0.13552946014835215,-0.14241061964170906]","[1,1,1]","[-0.14207949206482076,0.029768691238815308]","[1,1,1]","[0.19276650658333405,-0.023918046246328355]","[-1,-1,-1]","[-0.10047727787345406,-0.07259332460071366]","[1,1,1]","[0.05122616810832632,-0.14441177331568375]","[-1,-1,-1]","[0.087833882296199,0.07581268738732069]","[1,1,1]","[0.009647471964220672,-0.12437384799491359]","[-1,-1,-1]","[0.02,0.02]",62.0698,0,0,0,82,1,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,62.0701,62.5701,,,62.8208,63.3544,right,0.5218,,,,,,,,,0.55,,,,,,62.5702,62.8207,63.3544,"[0.10787294296835358,-0.09736821782946958]","[-1,-1,-1]","[0.009612300501491408,0.0057577803236412576]","[1,1,1]","[-0.032864244010695334,-0.13974186085061155]","[-1,-1,-1]","[-0.1575161631596427,0.020916010953091764]","[-1,-1,-1]","[-0.044832507698137423,-0.05624691106720329]","[1,1,1]","[-0.09340409518871495,0.05805001716064749]","[1,1,1]","[0.10259848936746684,0.04797640414386565]","[1,1,1]","[0.00894298194606975,-0.13080045464382145]","[-1,-1,-1]","[-0.03583782608931358,0.06592125510777111]","[1,1,1]","[0.040873257938326225,-0.1007711515483683]","[1,1,1]","[-0.1862461968117973,0.06663235741431127]","[-1,-1,-1]","[-0.013011452766283477,-0.1827147005645712]","[-1,-1,-1]","[0.1921534688327046,0.02844096937488505]","[-1,-1,-1]","[-0.1570351999960616,0.12297080367917447]","[1,1,1]","[-0.12245699129593919,0.00007372603069584393]","[1,1,1]","[0.14724820432722896,-0.13153542623770453]","[1,1,1]","[-0.14636694182697346,-0.13048019078755185]","[1,1,1]","[-0.015092718487381489,0.12452400626390756]","[-1,-1,-1]","[0.009016621188096319,-0.05763781068022782]","[-1,-1,-1]","[-0.026072297259508107,0.1652886107816369]","[-1,-1,-1]","[0.13047245030485008,-0.05117816643102157]","[-1,-1,-1]","[0.07633390498983486,0.1761310754591245]","[1,1,1]","[0.16617976983056937,-0.06975998401456007]","[1,1,1]","[0.08138708823274289,-0.010047738396870957]","[-1,-1,-1]","[-0.03084714429618553,-0.013460432199663043]","[-1,-1,-1]","[0.037079674827500984,0.07271938515788529]","[1,1,1]","[0.10106104373358296,0.13115344777634305]","[1,1,1]","[-0.09866468443355134,-0.15587337571461377]","[1,1,1]","[-0.17588102356469587,-0.03387528707747779]","[1,1,1]","[0.04883027852688629,0.022589306547231448]","[1,1,1]","[-0.09746961130433172,-0.07864429566381247]","[-1,-1,-1]","[0.04576048158045701,-0.1513486481758915]","[1,1,1]","[0.02,0.02]",64.4555,0,1,1,132,1,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,64.4559,64.9559,,,65.2065,66.3075,left,1.0852,,,,,,,,,0.4,,,,,,64.956,65.2064,66.3076,"[-0.12462243192095104,0.03009022242048318]","[-1,-1,-1]","[0.16597048683043789,0.0784972339010831]","[-1,-1,-1]","[0.11190701079443263,-0.1587491513517163]","[-1,-1,-1]","[-0.006058231569584927,0.08085179705042768]","[1,1,1]","[0.005625855863674415,-0.16767051929683816]","[-1,-1,-1]","[0.06854661344939193,-0.011627363220104506]","[-1,-1,-1]","[-0.15532789250019086,0.11527751880118352]","[-1,-1,-1]","[0.09962068334523873,0.08395517009670567]","[1,1,1]","[0.048048068696793615,-0.08364724254508223]","[-1,-1,-1]","[-0.00888573000804368,-0.05748356899567254]","[-1,-1,-1]","[0.09432017683528016,-0.07075592973628687]","[-1,-1,-1]","[-0.062122907707667194,0.16223040247717183]","[-1,-1,-1]","[-0.16434575744421195,0.015810412734353005]","[1,1,1]","[0.03768088276969264,0.07433998537054691]","[1,1,1]","[0.1543649839577648,-0.10013140523239156]","[-1,-1,-1]","[-0.1236966657278101,0.07915565205513503]","[-1,-1,-1]","[0.14362964590431324,0.03333592364572148]","[-1,-1,-1]","[-0.010375314357482594,0.04041484132596376]","[1,1,1]","[-0.0913066906221779,-0.1722103326760108]","[1,1,1]","[0.00533806108163226,0.0028143153760549484]","[1,1,1]","[0.030011535737685672,0.16181320215654535]","[-1,-1,-1]","[-0.033737063155464576,-0.12723745862494876]","[1,1,1]","[0.07771117710046198,0.1189231437875987]","[1,1,1]","[-0.1204337138617559,-0.08316134257179185]","[1,1,1]","[-0.010249883325633542,0.15027157995744767]","[-1,-1,-1]","[0.09098393865847368,0.17614382569856118]","[1,1,1]","[0.06765173175162045,-0.14766372628825605]","[-1,-1,-1]","[-0.0723696434478694,-0.013069051822356409]","[1,1,1]","[0.1555045613016567,-0.015699101003637944]","[-1,-1,-1]","[-0.05915193182142723,0.09759434048115913]","[-1,-1,-1]","[0.029212459321800107,-0.12013523179458235]","[1,1,1]","[-0.08431236698564082,-0.11786024961273861]","[-1,-1,-1]","[0.02,0.02]",67.4087,0,2,2,50,1,,,,,,,
,,,,,,,67d6e53407cb5301b586215a,682db43c55dad57aba3d428f,2025-05-21_13h52.06.163,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d556593cb38ad0a074487,,,,,,,,,,,67.4092,67.909,,,68.1596,68.8768,left,0.7021,,,,,,,,,0.45,,,,,,67.909,68.1595,68.8769,"[0.07742592131344266,-0.025230792314315503]","[1,1,1]","[0.0404492667525212,0.08576147699443687]","[-1,-1,-1]","[-0.09897587121678839,0.04951549715157208]","[-1,-1,-1]","[0.020528563241118323,-0.18392325699467443]","[-1,-1,-1]","[-0.026949982331520905,-0.17876109712725505]","[1,1,1]","[-0.061401931835582485,0.10576622300753788]","[-1,-1,-1]","[0.08386480473497882,0.13172942219776507]","[1,1,1]","[-0.11284404831372803,-0.01915455127375161]","[1,1,1]","[0.17855410440130368,-0.02117448493082526]","[-1,-1,-1]","[0.01604351450999162,0.16201965205316365]","[1,1,1]","[-0.1471535103408993,0.0903749157951498]","[-1,-1,-1]","[0.03588108612038139,-0.006531579001796453]","[1,1,1]","[-0.03365358935781486,0.035277845184583496]","[-1,-1,-1]","[0.1701709526548024,0.03277110716005187]","[-1,-1,-1]","[-0.005574738572917868,-0.13116568545433946]","[1,1,1]","[-0.16490777642558563,-0.10208547953790505]","[-1,-1,-1]","[0.09572072524796336,-0.14749183321004586]","[-1,-1,-1]","[-0.09229395819518131,0.15913753508269526]","[1,1,1]","[0.14737092629666718,-0.11366949989476675]","[-1,-1,-1]","[-0.10086317790299563,0.09874540544989627]","[1,1,1]","[0.17071530204767218,-0.0737025866010944]","[-1,-1,-1]","[-0.04501365107454427,-0.10889089582422336]","[-1,-1,-1]","[-0.1980520186553358,0.026043771772314612]","[-1,-1,-1]","[0.10386218602726516,-0.05738481280758473]","[1,1,1]","[0.036087137787413216,-0.10854013464592924]","[1,1,1]","[-0.1817468565273345,-0.03820472554602014]","[-1,-1,-1]","[-0.14868457276603497,0.030346624707826994]","[1,1,1]","[-0.1161833676587188,-0.1372683653396353]","[1,1,1]","[0.004370071441627442,-0.07800103054859826]","[-1,-1,-1]","[-0.10760442130051524,-0.08257627961961037]","[1,1,1]","[-0.14415796788998034,-0.06028056344936876]","[-1,-1,-1]","[0.13667366137155168,0.08707807830046667]","[-1,-1,-1]","[0.02,0.02]",69.9776,0,3,3,85,1,,,,,,,
