right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,87.6122,space,72.6001,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,87.6127,138.584,space,20.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,138.5845,147.5671,space,5.9623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,147.6094,148.0827,148.0836,148.3209,148.3212,149.8146,,149.8149,150.9142,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,150.9149,151.4144,151.4144,151.6718,151.672,153.1658,,153.1662,154.265,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,154.2667,189.1838,space,31.8934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,189.2036,189.6992,,,189.9502,191.1193,right,,,,,,,,0.4,,,,,,189.7008,189.9499,1.1464,,191.1198,"[0.08173220414550589,-0.14894487476230103]","[-1,-1,-1]","[-0.1141202237011572,0.023029691217439727]","[-1,-1,-1]","[-0.006397416979728002,-0.11738052688050733]","[-1,-1,-1]","[-0.15747951959159392,0.06898066301363996]","[-1,-1,-1]","[0.0890933880695989,0.1570881143075393]","[1,1,1]","[0.11647375169634047,-0.11307513500203918]","[-1,-1,-1]","[-0.12851123906045508,-0.023964867514859208]","[-1,-1,-1]","[-0.12744734447330033,-0.14466948742129088]","[1,1,1]","[-0.10349112618353533,0.14403848859336701]","[-1,-1,-1]","[0.016147307665169374,-0.05854578792510669]","[-1,-1,-1]","[-0.18427789727553884,0.0034659252954798107]","[1,1,1]","[0.036072804817831323,-0.018734652034021287]","[-1,-1,-1]","[0.12433148805786251,0.1218756202911729]","[-1,-1,-1]","[-0.06514992570286347,-0.18075484069534]","[-1,-1,-1]","[-0.10200984054284015,0.08840746564127923]","[1,1,1]","[-0.1543817716006389,-0.1098238471841436]","[1,1,1]","[-0.06864706761231318,-0.12165031107784689]","[1,1,1]","[-0.04044859658510441,0.013450809607673272]","[1,1,1]","[0.1788581857932457,-0.06738464376511462]","[1,1,1]","[0.16925420464373067,0.07018868347042548]","[-1,-1,-1]","[-0.13848875253725934,-0.06337865839901663]","[1,1,1]","[0.0634477841775804,0.04424093050649311]","[1,1,1]","[-0.05799102016788603,0.07179150921287118]","[-1,-1,-1]","[0.18181526570468262,-0.016099350388046718]","[-1,-1,-1]","[0.01976059382158981,0.18017053795253432]","[1,1,1]","[-0.005180876732151151,0.14138985560255002]","[-1,-1,-1]","[0.08387163427860406,-0.0884205335793611]","[1,1,1]","[0.12117098760005728,0.08030989257449878]","[-1,-1,-1]","[0.15460067850732254,0.014657716820808256]","[-1,-1,-1]","[0.11939986706048983,-0.022270983656464433]","[-1,-1,-1]","[-0.04836371572067623,-0.049588679545581965]","[-1,-1,-1]","[0.038867152093049195,-0.1851840202530702]","[1,1,1]","[0.02,0.02]",192.2154,0,0,0,59,1,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,192.2176,192.7221,,,192.9657,194.0319,right,,,,,,,,0.55,,,,,,192.7221,192.9655,1.0382,,194.0322,"[-0.12936912643787726,0.13421018065484486]","[1,1,1]","[0.08031667965732484,0.010672794118449395]","[1,1,1]","[-0.09619374972290783,0.0836268773576901]","[-1,-1,-1]","[-0.03314399586294102,0.06877350316201374]","[-1,-1,-1]","[-0.1001128814274933,-0.17208201033418213]","[1,1,1]","[-0.16670460431510825,0.016774907115213015]","[1,1,1]","[-0.10557669517782854,-0.03139317559299214]","[1,1,1]","[-0.014069405826466758,-0.12113542753653891]","[1,1,1]","[0.14816758888190357,-0.12935412197063895]","[1,1,1]","[0.1624627780960427,-0.008080248774949868]","[1,1,1]","[0.13233091392074367,0.04808985673246047]","[-1,-1,-1]","[0.17385147242225304,-0.06401280088195271]","[1,1,1]","[0.12003453093847662,0.15164821059541975]","[-1,-1,-1]","[-0.17439672161664296,0.06731567865671355]","[-1,-1,-1]","[-0.02133625173062062,-0.01808775035077999]","[-1,-1,-1]","[-0.12956379033190374,-0.13445045253841945]","[-1,-1,-1]","[0.057332049161401645,0.16035995745529352]","[-1,-1,-1]","[-0.00740758096983794,0.15901558859548515]","[1,1,1]","[-0.12353572248606612,-0.07302456712511406]","[1,1,1]","[0.021703430901896224,-0.06220105331334211]","[1,1,1]","[-0.12856446695648224,0.04947927190741325]","[1,1,1]","[-0.033930416018999675,-0.16534704626784386]","[1,1,1]","[0.11209645959932199,-0.07213699728379294]","[-1,-1,-1]","[-0.05444486027385282,0.130309927703408]","[1,1,1]","[0.06630794181953074,-0.06955316474837862]","[-1,-1,-1]","[0.025239175113761777,0.0018796705373419836]","[-1,-1,-1]","[-0.06944661384336144,0.16976064604970967]","[-1,-1,-1]","[0.010547553320036089,-0.1799188160485138]","[-1,-1,-1]","[0.06880788947185917,0.12129511224997873]","[1,1,1]","[-0.17222676562101205,-0.06369274843752327]","[-1,-1,-1]","[0.008804190703511317,0.08987691501518834]","[1,1,1]","[-0.0623235550954144,-0.07494182287436023]","[1,1,1]","[0.02,0.02]",195.1313,0,1,1,130,1,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,195.1333,195.6322,,,195.8831,196.8494,left,,,,,,,,0.55,,,,,,195.6324,195.883,0.937,,196.8498,"[0.16107262234020547,-0.0741731633639697]","[-1,-1,-1]","[-0.15787996171617874,0.009648267235584316]","[-1,-1,-1]","[0.02847419912454636,0.09991340947717069]","[-1,-1,-1]","[0.11242153517253287,0.10573224387980151]","[-1,-1,-1]","[0.006339049828511455,-0.05622381964716633]","[1,1,1]","[-0.14980855536462565,-0.06471174466671398]","[1,1,1]","[0.06997359764565221,-0.038439652390115396]","[1,1,1]","[-0.1122153037268972,-0.11657767867549607]","[1,1,1]","[0.04343193886848231,-0.1367512473535667]","[1,1,1]","[-0.04731091826108203,0.12847149310787137]","[1,1,1]","[-0.1939694139029867,-0.042945767414329226]","[1,1,1]","[0.13435660413706849,0.0707055408637701]","[1,1,1]","[0.08021236513517303,0.02813568356061419]","[1,1,1]","[0.02552829631857269,-0.18065120058465148]","[1,1,1]","[0.09709637030808921,-0.134249760667057]","[-1,-1,-1]","[0.05225082106973452,-0.0771344557426011]","[-1,-1,-1]","[0.007412989076938787,0.1944531603181878]","[-1,-1,-1]","[0.04855229993982412,0.15810674041450495]","[-1,-1,-1]","[-0.11744408250937614,0.12096889454331451]","[1,1,1]","[-0.10284039507471329,-0.15583098778508175]","[-1,-1,-1]","[-0.11763916600448572,0.04772325471889328]","[1,1,1]","[-0.0411879874491638,-0.05237451483491357]","[-1,-1,-1]","[0.11135528542394069,-0.022236903942295966]","[-1,-1,-1]","[0.15194633938349233,0.11607471963363485]","[-1,-1,-1]","[-0.0453313138407898,-0.14060338668095249]","[1,1,1]","[-0.01898705639658032,-0.19255838191616537]","[-1,-1,-1]","[0.004678034179012187,0.013144790245866825]","[1,1,1]","[-0.0804083459914477,-0.006850045117001267]","[-1,-1,-1]","[-0.05542443844413291,0.07163609631950178]","[1,1,1]","[0.18992748243505328,-0.021131215105392107]","[1,1,1]","[-0.17446718769227845,0.08269620105451926]","[1,1,1]","[0.05016359731388773,-0.0006769740456448942]","[1,1,1]","[0.02,0.02]",197.9487,0,2,2,142,1,,,,,,,
,,,,,,,67da6c21bcd71cf297d8db10,682f0fbccd7c08a2b7c6255c,2025-05-22_13h58.51.745,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,197.9507,198.456,,,198.7059,199.7389,right,,,,,,,,0.6,,,,,,198.456,198.7058,1.0247,,199.739,"[-0.15759813527017094,-0.09052885484375249]","[1,1,1]","[0.18041186211106408,0.06402888734408627]","[1,1,1]","[-0.000076778266339377,0.06919866126663399]","[1,1,1]","[-0.16912217748896533,-0.04941209577787187]","[1,1,1]","[0.13135834883466327,0.10721928843323557]","[1,1,1]","[-0.07583873745399491,0.14690791830836594]","[1,1,1]","[0.151338753899914,-0.04976835941153771]","[-1,-1,-1]","[-0.10010800258343497,0.10813460852824487]","[-1,-1,-1]","[-0.1316092482178261,0.023714075082425824]","[-1,-1,-1]","[0.1485946391655012,-0.11924099510210953]","[-1,-1,-1]","[-0.03955087578153898,0.010424423288186416]","[1,1,1]","[0.022403736326896944,0.17274948898443848]","[1,1,1]","[0.015281869946656165,-0.1982240392415213]","[-1,-1,-1]","[0.08213440762357234,0.06751543620333625]","[-1,-1,-1]","[-0.05873588842001332,-0.12041640919643193]","[1,1,1]","[0.09599370427664157,-0.07318999760255387]","[-1,-1,-1]","[0.1363580841845289,0.06456364929581104]","[1,1,1]","[0.052053486369021136,-0.06919497592192035]","[-1,-1,-1]","[0.06993693978591091,-0.11341045152083437]","[1,1,1]","[-0.13298851232560255,-0.13739574108976346]","[-1,-1,-1]","[0.12836213709548105,0.020480515064209347]","[1,1,1]","[0.013072285430277627,-0.1416908989854885]","[1,1,1]","[-0.0018225244401587238,-0.09105637424083722]","[1,1,1]","[0.11240113014849848,-0.017001173544458268]","[-1,-1,-1]","[-0.04379761759934378,0.188239546526296]","[1,1,1]","[0.05311231971710784,-0.0010857332033543403]","[1,1,1]","[0.0205763727186544,0.027773908230751886]","[-1,-1,-1]","[0.08284704774298021,0.13997054570376652]","[-1,-1,-1]","[-0.030022746554653444,-0.05441823468835224]","[-1,-1,-1]","[-0.07727421558379818,0.05756553894782351]","[1,1,1]","[-0.10322068860717389,-0.03527087935456668]","[1,1,1]","[-0.10379206130241626,-0.08881264788365384]","[1,1,1]","[0.02,0.02]",200.8321,0,3,3,171,1,,,,,,,
