right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,35.0429,space,20.0326,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,35.0437,67.312,space,2.2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,67.3125,71.6608,space,1.3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,71.749,72.1638,72.1649,72.4107,72.4111,73.6145,right,1.1553,,73.615,74.7146,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,74.7166,75.2137,75.2137,75.4498,75.45,76.3647,left,0.8993,,76.365,77.4653,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.4664,88.7331,space,8.2621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,88.7672,89.2371,,,89.4665,90.9628,,,,,,,,,,,0.5,,,,,,89.2384,89.4664,90.964,"[0.08482206333096995,-0.06596188477733704]","[-1,-1,-1]","[0.007367563274836593,0.1791755725551433]","[-1,-1,-1]","[-0.1555900822720974,0.09902264786316899]","[-1,-1,-1]","[-0.06220227127123876,0.13928074369069315]","[-1,-1,-1]","[-0.021930053213363155,-0.04307305134487087]","[1,1,1]","[-0.005308712010659977,-0.09833958500444279]","[1,1,1]","[-0.08440260368601538,0.0892781333976603]","[-1,-1,-1]","[-0.17484042864081878,0.027092368659967423]","[-1,-1,-1]","[-0.01872770256250831,-0.19481961145795834]","[1,1,1]","[-0.009437817248844831,0.012476647098984644]","[-1,-1,-1]","[0.04752679945209695,0.0796803020372636]","[1,1,1]","[0.17252094043940236,-0.09650536148860044]","[1,1,1]","[-0.0568884356625915,0.004616237022114269]","[1,1,1]","[0.10160705849484127,0.1499189028487564]","[1,1,1]","[-0.03695948364400148,-0.14271352207962307]","[1,1,1]","[-0.16662015068832398,-0.05303744361480429]","[-1,-1,-1]","[-0.025114992075573845,0.07099472958224744]","[1,1,1]","[-0.07413602376654892,-0.08100819752435383]","[-1,-1,-1]","[0.04476841971253317,0.022526858687305227]","[1,1,1]","[0.01737300377704761,-0.16139785526488665]","[1,1,1]","[0.042191681982678864,0.1549305734993672]","[1,1,1]","[0.14577833819068386,0.016593053216097373]","[-1,-1,-1]","[-0.09845072135409151,-0.15950762740127614]","[1,1,1]","[0.06539121344261385,0.18849378003339673]","[1,1,1]","[-0.040432290690903185,0.18668517347212998]","[-1,-1,-1]","[-0.14717774941166248,-0.09465167076314769]","[-1,-1,-1]","[-0.12992607432414788,0.030429757997420773]","[-1,-1,-1]","[-0.11114421060573622,0.1468192526527438]","[-1,-1,-1]","[0.09131839864172776,0.08414768248921256]","[-1,-1,-1]","[0.1078628390813315,-0.16036321482947485]","[1,1,1]","[0.1246541150618974,-0.09611733650897694]","[-1,-1,-1]","[0.191426894387005,-0.05089363057222065]","[1,1,1]","[0.02,0.02]",92.0649,0,0,0,118,1,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,92.0675,92.5645,,,92.8159,93.9161,left,1.085,,,,,,,,,0.6,,,,,,92.5647,92.8158,93.9164,"[0.1131678497072874,-0.023476708243458693]","[1,1,1]","[0.18042115484878932,-0.08092116919311527]","[1,1,1]","[0.13596964815754894,-0.09385899988752071]","[1,1,1]","[0.17749777313425064,0.044472910803646855]","[1,1,1]","[-0.12444530096765552,-0.15309508398082214]","[-1,-1,-1]","[-0.04032111093996306,0.05376164887554616]","[-1,-1,-1]","[0.0726958075248928,-0.09400607903268704]","[-1,-1,-1]","[-0.11457495736021932,0.030334433994514135]","[-1,-1,-1]","[-0.15739365229365004,0.04635681098409901]","[1,1,1]","[0.08391918949969553,0.07081372855768053]","[1,1,1]","[-0.18325891043244966,0.0025136583899155874]","[-1,-1,-1]","[0.015332818858280781,0.04938190151333864]","[-1,-1,-1]","[-0.11585224104775606,0.14972673836770203]","[1,1,1]","[0.11365141266204293,-0.13989849507827173]","[1,1,1]","[-0.007888634060638779,0.08622009919298261]","[-1,-1,-1]","[-0.14150278241775033,-0.021959423495928398]","[-1,-1,-1]","[0.03975887374943142,0.13232571857018635]","[1,1,1]","[0.12375185677274415,0.11839138286896624]","[1,1,1]","[-0.037641837182033615,0.0070211563940741845]","[1,1,1]","[0.026622364128432836,-0.08461110721961727]","[1,1,1]","[-0.04268170567946167,-0.06589249351756755]","[1,1,1]","[0.05766029779831683,0.012283438995314984]","[-1,-1,-1]","[0.007536723067341467,-0.13608935499502994]","[1,1,1]","[-0.0643396790994046,0.1547773123700263]","[-1,-1,-1]","[-0.12591631494149816,-0.10240658679044433]","[1,1,1]","[-0.004372149634263508,-0.03984492278037637]","[1,1,1]","[-0.015130959077103875,0.16351189382528547]","[1,1,1]","[-0.03188860076765108,-0.1473078291392447]","[-1,-1,-1]","[0.03336993783609548,0.19075754152702654]","[1,1,1]","[0.0741703999405939,0.16437531150514134]","[-1,-1,-1]","[-0.08041470203845759,-0.14903700364272865]","[-1,-1,-1]","[-0.061841357104380754,0.11172610318117664]","[1,1,1]","[0.02,0.02]",95.0153,0,1,1,156,1,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,95.0169,95.5152,,,95.757,96.4238,right,0.6531,,,,,,,,,0.1,,,,,,95.5153,95.7569,96.4239,"[0.14069767485855827,0.03372189261335249]","[-1,-1,-1]","[0.06273762942856875,-0.0743634721901738]","[-1,-1,-1]","[-0.15824433003769778,0.004136711426207355]","[-1,-1,-1]","[0.12904009141700734,0.10680529812053113]","[-1,-1,-1]","[-0.06506307204558193,-0.045544913297194574]","[-1,-1,-1]","[0.12455884325427832,-0.11936801034717254]","[-1,-1,-1]","[0.03274056989621088,0.0031083251454839967]","[-1,-1,-1]","[0.049624933211682196,-0.1379905215235887]","[-1,-1,-1]","[0.08521609175158347,0.13857065392904974]","[-1,-1,-1]","[-0.11798258570440687,0.013572502174415206]","[-1,-1,-1]","[-0.02300022216004114,0.058871158771970175]","[1,1,1]","[0.009733793210656913,0.19347310161452172]","[-1,-1,-1]","[0.16974780379116244,-0.10383605789790874]","[-1,-1,-1]","[0.08995044666560906,-0.17055365870220396]","[-1,-1,-1]","[-0.01263530786821526,-0.05556751862355618]","[-1,-1,-1]","[-0.12386173479802758,0.13366053250367319]","[-1,-1,-1]","[0.1838792409882876,0.06300742869838753]","[-1,-1,-1]","[-0.0812855326377401,0.06811326311520824]","[-1,-1,-1]","[0.0011779069343990105,-0.12215978189255]","[-1,-1,-1]","[-0.1068629169540973,-0.1281944657830656]","[-1,-1,-1]","[0.025331603389002016,0.05457533543502554]","[-1,-1,-1]","[-0.03067877726581216,0.11906796203341029]","[-1,-1,-1]","[0.08465561741477998,0.09353739282410707]","[-1,-1,-1]","[-0.14652227431155967,0.09987006862969307]","[-1,-1,-1]","[-0.04671845747726036,-0.09350753441094357]","[-1,-1,-1]","[-0.13345078488524387,-0.0651972099617527]","[-1,-1,-1]","[0.013299980498234474,-0.18920683040607503]","[-1,-1,-1]","[-0.06340429711201406,0.16239881737564554]","[-1,-1,-1]","[-0.0063475516819132115,-0.0058644421869557895]","[-1,-1,-1]","[0.04582319798913061,0.16780208275548128]","[1,1,1]","[0.1840101032078271,-0.03737351799459797]","[1,1,1]","[0.041284262378665955,0.10425004020090177]","[-1,-1,-1]","[0.02,0.02]",97.5243,0,2,2,24,1,,,,,,,
,,,,,,,67e54929de08a1cdb4e08723,682f0ff08ae6c08e95dc106e,2025-05-22_13h53.34.686,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,97.526,98.0246,,,98.2747,98.9589,left,0.67,,,,,,,,,0.6,,,,,,98.0247,98.2746,98.959,"[0.07060057869484113,-0.16276814622602293]","[1,1,1]","[-0.03811028016880994,0.16191229071183696]","[-1,-1,-1]","[0.08248809756655172,-0.03509417966123307]","[1,1,1]","[0.16294280996816202,-0.0542040336565]","[1,1,1]","[0.018370538973697975,0.16072068927053423]","[-1,-1,-1]","[-0.028324098529702826,0.05326110323089333]","[-1,-1,-1]","[0.12372959715589894,-0.0714154356257088]","[1,1,1]","[0.06512135693722162,0.1692460525680319]","[1,1,1]","[0.027074257859398376,-0.1766456435882448]","[1,1,1]","[-0.08157473264630088,0.08467825669324537]","[-1,-1,-1]","[-0.11972798118566438,-0.14852891080475913]","[1,1,1]","[-0.07391314778153543,-0.17780402623234498]","[1,1,1]","[-0.039770770857428764,0.11611618920031042]","[-1,-1,-1]","[-0.1758572460923337,-0.017764116242645074]","[-1,-1,-1]","[-0.002117435468595425,-0.01896958579625625]","[1,1,1]","[-0.02717711959183289,-0.14922893379412058]","[-1,-1,-1]","[-0.15293444113492977,-0.09480763281909171]","[1,1,1]","[-0.10525293435015728,-0.0478045684384645]","[1,1,1]","[-0.08549140115779927,0.025461212268130355]","[-1,-1,-1]","[-0.009613996863008461,-0.06961875624427259]","[1,1,1]","[0.18634077725500228,0.01194898433231209]","[1,1,1]","[-0.12998208231117198,0.005986356642605671]","[-1,-1,-1]","[0.07308676359893573,0.06265251901929758]","[1,1,1]","[-0.15032689236583013,0.05269728079282791]","[1,1,1]","[0.10520867866218424,0.008301083454818944]","[1,1,1]","[-0.07317325311232435,-0.12974933703031027]","[1,1,1]","[0.05419580267128713,0.021780378651190813]","[1,1,1]","[0.1366716651698049,0.08198713225149754]","[-1,-1,-1]","[0.04491886755140787,-0.07776463794957919]","[-1,-1,-1]","[0.08972752980732397,0.11610786000649075]","[1,1,1]","[-0.13371860802364136,0.09261142670893502]","[-1,-1,-1]","[0.030278067273136908,0.09895962888974094]","[-1,-1,-1]","[0.02,0.02]",100.0591,0,3,3,167,1,,,,,,,
