right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0006,48.3612,space,33.3383,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,48.3616,92.7102,space,14.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,92.7105,100.9401,space,5.2096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,100.9817,101.4544,101.4553,101.706,101.7063,102.3894,left,0.6182,,102.3905,103.4896,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,103.4908,103.9887,103.9887,104.2385,104.2386,104.7242,right,0.4587,,104.7246,105.8208,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.8213,120.3929,space,11.5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,120.4308,120.9032,,,121.1557,121.7046,left,0.5363,,,,,,,,,0.55,,,,,,120.9049,121.1555,121.7054,"[0.040704741653414964,0.14694586543333066]","[-1,-1,-1]","[-0.11605825327377527,0.034118339001747024]","[1,1,1]","[-0.06735726876048456,0.17500943533765628]","[-1,-1,-1]","[-0.049588011473498755,-0.16931964432968352]","[1,1,1]","[-0.07377781932004913,0.07326883724588464]","[-1,-1,-1]","[0.03079194635014874,-0.0700081167171131]","[1,1,1]","[0.06495739100477131,-0.09393468354194141]","[1,1,1]","[-0.11168719418572193,-0.03247223074951321]","[1,1,1]","[-0.1878065443803537,0.04902124087969964]","[-1,-1,-1]","[-0.10958501768052271,0.1195564058449027]","[1,1,1]","[0.07393793000226126,0.0014667598428615613]","[-1,-1,-1]","[-0.006737754503459945,-0.15737190649255456]","[1,1,1]","[0.10601630228482528,0.09241464159312013]","[1,1,1]","[-0.051883728038611875,-0.045813725026337286]","[-1,-1,-1]","[0.17467393729845163,0.056843954941321655]","[-1,-1,-1]","[-0.009607461967953356,-0.06968503828695433]","[-1,-1,-1]","[0.015940613644397618,-0.10840636880620554]","[1,1,1]","[0.0651185081417781,0.08842996453036915]","[1,1,1]","[0.06557984362516843,-0.1470947027500361]","[1,1,1]","[0.13304219465510778,-0.07166991322953928]","[-1,-1,-1]","[0.07180269071194156,0.04582134493033175]","[-1,-1,-1]","[-0.014627824362249154,0.0672609756307318]","[-1,-1,-1]","[-0.15164063537046726,-0.050712075455324336]","[1,1,1]","[-0.04278379706326324,-0.11490120124438843]","[1,1,1]","[0.01076001781456297,0.10849328558587343]","[1,1,1]","[-0.1262401708293529,-0.134016178347914]","[1,1,1]","[0.06319187095080081,0.184064029707176]","[-1,-1,-1]","[0.15163107579928767,0.011025425238522046]","[1,1,1]","[0.14644382284398128,0.08744676229979]","[-1,-1,-1]","[0.115557256185182,-0.14098434385949024]","[-1,-1,-1]","[-0.17335105915459464,0.08739050650589444]","[1,1,1]","[-0.011518197138261724,0.0038466994482311014]","[1,1,1]","[0.02,0.02]",122.8045,0,0,0,140,1,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,122.8056,123.3043,,,123.5546,124.0713,right,0.5001,,,,,,,,,0.5,,,,,,123.3045,123.5545,124.0715,"[-0.14043768174592614,0.11517855964484319]","[-1,-1,-1]","[0.13816749307620546,-0.0659345047394501]","[-1,-1,-1]","[0.071390126195721,-0.06440165833798202]","[1,1,1]","[-0.12036760277599096,-0.09207909946969342]","[-1,-1,-1]","[-0.07824952246119728,0.14824637111297367]","[1,1,1]","[-0.010060857282253009,0.10942904656196925]","[1,1,1]","[0.04866096634668691,0.15081365648455458]","[-1,-1,-1]","[0.07964786026888925,-0.1790740840884145]","[-1,-1,-1]","[-0.05727054233443642,-0.11521290242804448]","[1,1,1]","[-0.010269727444414638,-0.17012130105501888]","[1,1,1]","[0.13788977497163493,0.019752140101699667]","[1,1,1]","[-0.022560640045119006,0.047729388268852514]","[1,1,1]","[0.06564390674586743,0.10554661231632335]","[-1,-1,-1]","[-0.0011222016815996417,0.1996029922800237]","[-1,-1,-1]","[-0.16242834355576943,0.05228002789882119]","[-1,-1,-1]","[0.03350584819328956,-0.08293249439416045]","[-1,-1,-1]","[0.1502749764025952,0.09599197925462803]","[1,1,1]","[-0.02038743677059029,-0.002368399739582572]","[-1,-1,-1]","[0.0038103073957922984,-0.04802059795051285]","[-1,-1,-1]","[-0.10650390517891761,0.05708992929701379]","[1,1,1]","[0.18858020132268474,0.05862711082417871]","[1,1,1]","[-0.09954815733594294,-0.13832158447469992]","[-1,-1,-1]","[-0.07107017328289275,0.09133396849630017]","[-1,-1,-1]","[0.054344144062384164,-0.1331706716650025]","[-1,-1,-1]","[0.10707159517059443,-0.011682986384664721]","[1,1,1]","[-0.19400366410166217,0.019160411932974623]","[1,1,1]","[-0.06801414089960896,-0.05192933164191878]","[-1,-1,-1]","[0.1239973992876918,-0.10866313572339505]","[1,1,1]","[0.06749707340228621,0.061462578493070415]","[1,1,1]","[-0.1670986675325691,-0.09100192036929321]","[-1,-1,-1]","[-0.07683100870717643,-0.1801159455965542]","[1,1,1]","[-0.16416095631393374,-0.024342366080144288]","[1,1,1]","[0.02,0.02]",125.1701,0,1,1,116,1,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,125.1716,125.6677,,,125.9218,126.4382,right,0.4998,,,,,,,,,0.45,,,,,,125.6677,125.9216,126.4384,"[-0.0005083386984473977,0.17042596604527746]","[-1,-1,-1]","[-0.02052772708757206,-0.039192567782453606]","[1,1,1]","[0.138047896459931,-0.0723694806829319]","[1,1,1]","[0.12032880374233254,0.10270629157714192]","[1,1,1]","[0.021701730714170378,-0.06181375218651693]","[-1,-1,-1]","[0.03605060901090885,0.09849638516618922]","[-1,-1,-1]","[-0.11766159732698458,0.063181444906697]","[1,1,1]","[0.06031427665504665,-0.015287264772415895]","[-1,-1,-1]","[-0.08716036411952471,0.10970037975983318]","[1,1,1]","[-0.1579595955765727,-0.03251921189073147]","[-1,-1,-1]","[-0.09322554113661372,-0.08736171674325925]","[1,1,1]","[-0.059658479619154464,0.07398597821376]","[-1,-1,-1]","[-0.0805591706768746,-0.038212168621738526]","[1,1,1]","[0.04847178917634851,0.18238610503294914]","[-1,-1,-1]","[-0.007685905455670421,0.06382022833428143]","[-1,-1,-1]","[0.07462164536972639,-0.16730574416793434]","[-1,-1,-1]","[0.109903302963703,0.029275040357200216]","[1,1,1]","[0.04477573894017163,0.04864606197804348]","[1,1,1]","[-0.0165627306118599,-0.08946229193836419]","[-1,-1,-1]","[0.11596909566686538,-0.02140354160944129]","[-1,-1,-1]","[-0.12577848585976023,0.008236652350522651]","[1,1,1]","[0.19195849434108853,0.027853695714306344]","[-1,-1,-1]","[0.10233213148130339,-0.13548308135647782]","[-1,-1,-1]","[-0.034754903700679206,0.002966087621625784]","[-1,-1,-1]","[-0.17451399600368475,0.007601826462601783]","[1,1,1]","[0.13307704220552713,0.06308611990118437]","[-1,-1,-1]","[0.0815556545495412,0.11528327541631299]","[-1,-1,-1]","[0.02469331435901875,-0.15012757772102328]","[1,1,1]","[-0.02389589547241317,-0.1331575802839716]","[1,1,1]","[0.13873505973914854,-0.11816215838419125]","[-1,-1,-1]","[0.01367225722104109,-0.1951105919437064]","[1,1,1]","[-0.11848436906880117,-0.14035971105942685]","[-1,-1,-1]","[0.02,0.02]",127.5368,0,2,2,77,1,,,,,,,
,,,,,,,67e94945e5f6a3090ed5a9d0,682f2ed21c6101cee8c4fcc6,2025-05-22_16h05.16.108,cuing_paradigm_dot,2024.1.5,Win32,59.17159763,682d573fa47f1360d1451895,,,,,,,,,,,127.5383,128.0368,,,128.2876,128.672,left,0.3693,,,,,,,,,0.9,,,,,,128.0376,128.2874,128.6723,"[0.07893049609122597,-0.13961575079957889]","[1,1,1]","[-0.11002303362163543,-0.1449061448116196]","[1,1,1]","[-0.0591967022451166,0.029126787455439986]","[1,1,1]","[0.025565887799930406,0.03944578503151384]","[-1,-1,-1]","[-0.17409271185315975,0.03574382392522389]","[1,1,1]","[0.017539883932214267,0.12741958077295998]","[-1,-1,-1]","[0.09644271610859981,0.08298103821832117]","[1,1,1]","[-0.14824159453824098,-0.12218433166777243]","[1,1,1]","[0.010734496942459548,-0.11587280913228008]","[1,1,1]","[-0.16370490767442683,0.11369258587984882]","[1,1,1]","[0.0765931862210976,-0.06050740717971107]","[1,1,1]","[0.016520519784667082,0.18130319271293013]","[1,1,1]","[0.05701553329707765,-0.005329154810946111]","[1,1,1]","[0.15348620139547559,0.11837044289800341]","[1,1,1]","[-0.14257460151134416,0.0035481058639193082]","[1,1,1]","[-0.15106064137930184,-0.07799532488188192]","[1,1,1]","[0.09132164435726907,0.029824370782173704]","[1,1,1]","[-0.11674113231054171,0.150534686420634]","[1,1,1]","[0.005081102691902962,-0.16360305769630903]","[1,1,1]","[-0.11604203190113949,0.0394041931504668]","[1,1,1]","[0.15330040093203573,-0.008957211346229704]","[-1,-1,-1]","[-0.06429930000599778,0.08913413816381192]","[1,1,1]","[0.17524984503515564,-0.06708184649054075]","[1,1,1]","[-0.09597957630169367,-0.03495475285088598]","[1,1,1]","[-0.1906281901273126,-0.05487731158688315]","[1,1,1]","[-0.11881072049272969,0.09418661321264901]","[1,1,1]","[0.07085549334209433,0.13787049006669486]","[1,1,1]","[0.17702079588163253,0.08283229932458169]","[1,1,1]","[-0.039000413555719024,-0.08846116875175482]","[1,1,1]","[-0.0989845172760332,-0.07489557605904555]","[1,1,1]","[0.04736715231756572,-0.09573293878235932]","[1,1,1]","[-0.06418236513008095,0.1477095744895383]","[1,1,1]","[0.02,0.02]",129.7701,0,3,3,193,1,,,,,,,
