right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0005,95.3585,space,80.3436,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,95.3592,139.364,space,13.9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,139.3643,145.2562,space,2.8832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,145.2977,145.7728,145.7733,146.0233,146.0235,147.2237,left,1.1648,,147.224,148.3225,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,148.3233,148.8223,148.8224,149.0644,149.0644,149.6055,left,0.5272,,149.6056,150.7044,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.7051,157.6225,space,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,157.6546,158.1376,,,158.3772,158.6719,right,0.2751,,,,,,,,,0.9,,,,,,158.1382,158.3771,158.6725,"[0.011905965611617587,-0.14687967037252014]","[1,1,1]","[0.03680447149500061,-0.0074518560976526895]","[1,1,1]","[-0.06418062477987567,-0.1773581371009405]","[1,1,1]","[0.024682339229269445,0.15934824559872615]","[1,1,1]","[-0.009501644999053482,0.12503906310050458]","[1,1,1]","[-0.12421506865935256,-0.05565901310630299]","[1,1,1]","[0.1836296607677367,0.03563019281617225]","[1,1,1]","[-0.11170273676947635,0.08512177626952294]","[1,1,1]","[0.16625774310574587,-0.05422056633161372]","[1,1,1]","[0.10903047538892281,0.018270947305376695]","[1,1,1]","[0.005532911224642994,-0.1003140709352818]","[1,1,1]","[-0.0404649357787299,-0.12882019832765865]","[-1,-1,-1]","[-0.15667212845410436,0.03390749653598381]","[1,1,1]","[-0.09103343787839074,0.0011613109716659268]","[1,1,1]","[-0.17790381344033535,-0.0093348917866316]","[1,1,1]","[0.11321446142698915,-0.06027125700255359]","[1,1,1]","[-0.06761003117263803,0.10555059826983382]","[1,1,1]","[0.12825418855122753,-0.12245512551959958]","[1,1,1]","[0.09496495544011978,0.16710510306286458]","[-1,-1,-1]","[-0.1695853405942473,-0.09875107441965052]","[1,1,1]","[-0.05899110530969892,-0.024968218385835402]","[1,1,1]","[0.1253369186111791,0.10687331534213028]","[1,1,1]","[-0.12198218567182349,0.14876332533061035]","[1,1,1]","[-0.0020914593086405284,-0.18895376549742368]","[1,1,1]","[0.08155093827494993,-0.14927097888419139]","[1,1,1]","[0.15465810549565068,-0.012448571165727163]","[1,1,1]","[-0.0142639781471161,-0.018508953488711663]","[1,1,1]","[0.06811021205005326,-0.06920844553252796]","[1,1,1]","[0.060776816766787686,0.079132585185478]","[1,1,1]","[0.06584715383678078,-0.11092067706810357]","[1,1,1]","[-0.12862996105940352,-0.015606426867931492]","[1,1,1]","[0.01640982799991404,0.0358131107980554]","[-1,-1,-1]","[0.02,0.02]",159.7712,0,0,0,195,1,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,159.7717,160.277,,,160.5223,161.0386,right,0.5011,,,,,,,,,0.5,,,,,,160.277,160.5222,161.0387,"[0.12169216611376384,-0.13742132020985864]","[-1,-1,-1]","[-0.14625886809065497,0.08431298739708529]","[1,1,1]","[0.04173705014103459,-0.13392675576767563]","[1,1,1]","[0.050826147794626825,-0.03318969903821706]","[-1,-1,-1]","[-0.05633717339398749,-0.1787532366340204]","[1,1,1]","[-0.06059563088611292,-0.04050591126525497]","[1,1,1]","[0.16424030545267895,-0.01735689221625669]","[-1,-1,-1]","[-0.0024711831076412558,0.011500170501262633]","[1,1,1]","[-0.01742926665133547,0.09778195820471082]","[1,1,1]","[-0.17472040285084542,-0.014394038563095008]","[-1,-1,-1]","[0.03528599306253816,0.060141254011762554]","[1,1,1]","[0.07337379073488938,-0.10925687404456998]","[1,1,1]","[-0.037907485786590006,-0.12945189850694871]","[1,1,1]","[-0.0476179725574703,0.1720480841116334]","[-1,-1,-1]","[0.010045741815721512,-0.19958524236300254]","[-1,-1,-1]","[-0.011560910243469164,-0.04304823200669171]","[-1,-1,-1]","[-0.08334620095780752,-0.11174314914263855]","[-1,-1,-1]","[0.13664853800596824,0.05817200649467084]","[1,1,1]","[0.04075026615415253,-0.07867350548448214]","[1,1,1]","[-0.1766453445632208,-0.05899236511141047]","[-1,-1,-1]","[-0.12558261141328014,-0.006633227911740073]","[-1,-1,-1]","[0.10316521987877926,-0.03154626993454395]","[1,1,1]","[0.08527498479266038,0.021420883798436006]","[-1,-1,-1]","[0.10424814333567725,0.13067469115476427]","[1,1,1]","[0.19481422708437768,0.0334515970333316]","[-1,-1,-1]","[0.026965585123036147,0.19546733766598212]","[-1,-1,-1]","[0.10980463822965059,0.08784926022743883]","[-1,-1,-1]","[0.07869910772535423,-0.17681611413587073]","[1,1,1]","[-0.07402745520148081,0.13299994209487703]","[-1,-1,-1]","[-0.15032850030270728,-0.09284657547092325]","[1,1,1]","[-0.06858991708353619,0.0020706874650478486]","[-1,-1,-1]","[0.07133171152084146,0.10535415696170146]","[1,1,1]","[0.02,0.02]",162.1375,0,1,1,113,1,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,162.1387,162.6374,,,162.8889,164.3876,,,,,,,,,,,0.1,,,,,,162.6375,162.8888,164.3877,"[0.044577769361570624,0.01588984987455026]","[1,1,1]","[0.13624867129300786,-0.004835370139824636]","[-1,-1,-1]","[0.14223009611375917,0.1256396394739046]","[-1,-1,-1]","[-0.17486994217555468,0.036098085188523636]","[-1,-1,-1]","[-0.15156196895263202,-0.018795205888793687]","[-1,-1,-1]","[0.09557598749642748,0.04455069951711772]","[-1,-1,-1]","[-0.058770118720691246,-0.12444987790624473]","[-1,-1,-1]","[0.07243516238854786,0.18417927849435264]","[-1,-1,-1]","[-0.11716331829877959,-0.15672714169629054]","[-1,-1,-1]","[-0.005412106372184333,-0.12072963598717984]","[-1,-1,-1]","[-0.11748661444812261,0.10605982980304815]","[-1,-1,-1]","[-0.009783778292690053,-0.041359143409630046]","[-1,-1,-1]","[0.16095776043538731,-0.049185912052110335]","[-1,-1,-1]","[0.06946104984607701,-0.17128671049689065]","[-1,-1,-1]","[-0.10127901755736309,0.06448475681863369]","[-1,-1,-1]","[-0.02329427476529288,0.19329560967350526]","[-1,-1,-1]","[0.01670333778670596,-0.16988763849963953]","[-1,-1,-1]","[-0.15887957491389076,0.1054965656461695]","[-1,-1,-1]","[0.1328739685417623,0.0850356114038493]","[-1,-1,-1]","[0.036505434543479195,-0.11079553235134929]","[-1,-1,-1]","[0.03459717920956966,0.15426427874533308]","[-1,-1,-1]","[0.06994432938764909,-0.080359410552834]","[-1,-1,-1]","[-0.09372338255720629,0.14503679340112363]","[1,1,1]","[0.07804771387415618,-0.010970610210620164]","[-1,-1,-1]","[0.1732092817027903,-0.08835313086454968]","[-1,-1,-1]","[0.027103072331871172,0.06345530552122211]","[-1,-1,-1]","[-0.01813546482283012,0.0003376171696597812]","[-1,-1,-1]","[-0.020864790636526725,0.13834136954994714]","[-1,-1,-1]","[-0.053830780124163195,-0.04473470041529847]","[1,1,1]","[-0.07204753222340333,-0.17637773125070857]","[-1,-1,-1]","[0.08965056304966465,-0.1252992416726475]","[-1,-1,-1]","[-0.015351316583191811,0.05669016707757183]","[-1,-1,-1]","[0.02,0.02]",165.4976,0,2,2,0,1,,,,,,,
,,,,,,,67fcf2f9b4bf5a18fa0bc246,682f0fd6c0d1548b9e0fde7b,2025-05-22_13h53.44.487,cuing_paradigm_dot,2024.1.5,Win32,60.97560976,682d573fa47f1360d1451895,,,,,,,,,,,165.4984,165.9872,,,166.2269,166.8049,right,0.5606,,,,,,,,,0.1,,,,,,165.9873,166.2267,166.805,"[-0.14083384793938744,-0.11299835563005346]","[-1,-1,-1]","[-0.011993408483026683,0.1816710455170792]","[-1,-1,-1]","[-0.053804058741367164,-0.020810963988722172]","[-1,-1,-1]","[-0.0710559668175845,-0.17775245381104068]","[-1,-1,-1]","[0.012899836735241296,0.135908721924085]","[-1,-1,-1]","[0.1779880611693993,-0.06709203228390011]","[1,1,1]","[-0.06440354090292921,-0.11373248297917378]","[-1,-1,-1]","[-0.19809923902147045,0.018057026331325065]","[-1,-1,-1]","[0.07230718334967134,-0.12085950254974541]","[-1,-1,-1]","[0.05255561141526381,0.04431086946766581]","[-1,-1,-1]","[-0.04911778135581827,0.06697213537807238]","[1,1,1]","[-0.11310202403147036,0.08450315512937433]","[-1,-1,-1]","[0.06321088325967805,0.18884404126814958]","[-1,-1,-1]","[-0.058014809535705966,0.16150535769650118]","[-1,-1,-1]","[-0.12019737974538557,0.041081030714126915]","[-1,-1,-1]","[0.014859410714934414,-0.0797995085956509]","[-1,-1,-1]","[0.0019980402570742494,-0.15824129504633988]","[-1,-1,-1]","[0.12942395357495382,0.049792484661692754]","[-1,-1,-1]","[-0.17268790350997026,0.10030744667501601]","[-1,-1,-1]","[0.05857347698129257,0.10504558139794735]","[-1,-1,-1]","[0.02050067248620703,0.08487782393072149]","[-1,-1,-1]","[0.1123356118351752,-0.08046503387953885]","[-1,-1,-1]","[0.06197391764573438,-0.17208646083061666]","[-1,-1,-1]","[0.08454341377528117,0.15092116489932686]","[-1,-1,-1]","[-0.17637047729406352,-0.06564796874365894]","[-1,-1,-1]","[0.1439066641192468,-0.12563068679796374]","[1,1,1]","[0.04601337831204941,-0.015353200758583402]","[-1,-1,-1]","[0.12779455294278153,-0.020010091631958285]","[-1,-1,-1]","[0.1794518506703461,-0.00893658210080506]","[-1,-1,-1]","[0.13466555458760598,0.12388110634298595]","[-1,-1,-1]","[0.17347094537619998,0.04859611937767521]","[-1,-1,-1]","[-0.0988626877574502,-0.05380421854563388]","[-1,-1,-1]","[0.02,0.02]",167.9042,0,3,3,20,1,,,,,,,
