right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0007,242.5682,space,74.537,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,242.5685,313.3863,space,40.8135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,313.3866,316.4454,space,0.0405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,316.486,316.9614,316.9622,317.2119,317.2121,318.7164,,318.7169,319.8099,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,319.8106,320.3095,320.3096,320.5651,320.5652,320.9596,left,320.9598,322.0591,0,1,1,0,1,0.8,0.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0599,329.6748,space,4.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,329.6886,330.1909,,,330.4308,330.7408,right,,,,,,,,0.5,0.2843,,,,,,,330.1913,330.4306,330.7414,"[0.16346237224109197,0.04569906098382707]","[-1,-1,-1]","[0.15067961675577773,-0.004624764017018302]","[1,1,1]","[-0.052738568855423384,0.002286832847584075]","[-1,-1,-1]","[0.007885864131940265,-0.11826592576862935]","[-1,-1,-1]","[-0.08725044194946255,-0.10838487996979437]","[1,1,1]","[0.06754154153934012,-0.12390804720155783]","[1,1,1]","[0.16749829533149513,-0.10215999140372448]","[1,1,1]","[-0.06487123878543238,0.0409465939829267]","[-1,-1,-1]","[0.14160266003254288,-0.07150909556734913]","[-1,-1,-1]","[0.08730019253168582,0.0442199778026436]","[-1,-1,-1]","[-0.1768185609029093,-0.06489712597915816]","[1,1,1]","[-0.13408650489617685,-0.1005356574700338]","[1,1,1]","[-0.03223232815084422,0.14822040606699505]","[1,1,1]","[-0.12324718429365342,-0.00828048728858844]","[1,1,1]","[-0.15883489996127648,0.03239800559023084]","[-1,-1,-1]","[-0.12977495011148898,0.1481264684656181]","[1,1,1]","[0.10840249170946134,-0.02326508339027929]","[-1,-1,-1]","[-0.09887862519290172,-0.1566296739000246]","[-1,-1,-1]","[0.034391555804295364,-0.16982032891328713]","[-1,-1,-1]","[0.08207344134618437,0.11664023242105491]","[1,1,1]","[0.023893105121177732,0.16357347151305923]","[1,1,1]","[0.10152793347696525,-0.15011874414122234]","[1,1,1]","[0.12890041929622648,0.08728578468852465]","[-1,-1,-1]","[0.01925754680425053,-0.03791109860416118]","[-1,-1,-1]","[-0.029470881672796902,-0.04338521459691336]","[1,1,1]","[-0.01990024407410508,0.19132243911017144]","[-1,-1,-1]","[0.19519255991935336,-0.0009135479765378084]","[-1,-1,-1]","[0.048512547054799175,-0.08372555006652248]","[1,1,1]","[-0.08987033931117652,0.10780366939361767]","[-1,-1,-1]","[-0.015503684451033214,-0.19653319490637142]","[1,1,1]","[0.06513707279009129,-0.032501289053450365]","[1,1,1]","[0.106262183212217,0.15475233202461935]","[-1,-1,-1]","[0.02,0.02]",331.8407,0,0,0,99,1,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,331.8412,332.3404,,,332.5795,332.7573,left,,,,,,,,0.1,0.151,,,,,,,332.3405,332.5794,332.7573,"[0.14030102594551944,0.08375902193533678]","[-1,-1,-1]","[0.05686362987959846,0.030113958605472425]","[-1,-1,-1]","[0.15407286133330558,-0.11066527718168134]","[-1,-1,-1]","[0.050638166338000494,-0.12159000646290656]","[-1,-1,-1]","[-0.06341392170084444,-0.03681903153512665]","[-1,-1,-1]","[0.07800211946053062,-0.04192493216290099]","[-1,-1,-1]","[0.1779464462114575,0.06558430703527106]","[-1,-1,-1]","[-0.12799522520764534,0.04203639989704241]","[-1,-1,-1]","[-0.08895301306514802,0.07444075413753597]","[-1,-1,-1]","[0.02722808738524578,0.17310684780104604]","[-1,-1,-1]","[-0.02148606915075982,0.11814545439938953]","[-1,-1,-1]","[-0.020012236603280102,-0.1563943393164014]","[-1,-1,-1]","[0.027757607255825816,-0.048779459596053495]","[-1,-1,-1]","[-0.07084560275158144,-0.17234417332565938]","[-1,-1,-1]","[0.15385443230625545,0.014076841131461534]","[-1,-1,-1]","[0.02171275471397581,0.05816778768436288]","[1,1,1]","[0.08171844341409817,0.17606112261768225]","[-1,-1,-1]","[0.019239102315885343,0.11266777181991153]","[1,1,1]","[-0.17310088675943877,0.004169736050445921]","[1,1,1]","[-0.06209296068798778,-0.11517603462768868]","[-1,-1,-1]","[0.07316015761292026,-0.18293770776892254]","[-1,-1,-1]","[-0.028204397405626747,-0.07158116987965477]","[-1,-1,-1]","[-0.13728959838279994,-0.07807353837712375]","[-1,-1,-1]","[-0.04561824632499885,0.05633651263054025]","[-1,-1,-1]","[-0.18583859014181076,0.04681032328393723]","[-1,-1,-1]","[0.15890431939479513,-0.05690052113368735]","[-1,-1,-1]","[-0.0781735101008167,0.006575893144215781]","[-1,-1,-1]","[-0.13313158856028268,-0.026423398100589184]","[-1,-1,-1]","[-0.1454110162872943,0.08806959799475214]","[-1,-1,-1]","[-0.030310315775291127,0.19010316800513893]","[-1,-1,-1]","[0.11696430325636385,-0.005406094617353303]","[-1,-1,-1]","[0.07990131736704405,-0.08232689603190511]","[-1,-1,-1]","[0.02,0.02]",333.8567,0,1,1,8,1,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,333.8573,334.357,,,334.5958,334.84,right,,,,,,,,0.5,0.2179,,,,,,,334.357,334.5958,334.8401,"[-0.04207144126020814,-0.107712538492978]","[1,1,1]","[-0.06071187822829046,-0.1805552756952066]","[-1,-1,-1]","[0.03340743087578926,0.14985762512623574]","[1,1,1]","[0.08149728661837163,-0.04522409966595485]","[1,1,1]","[0.031040912646970717,-0.02553736329164296]","[1,1,1]","[0.03565684601024843,-0.11451509183970313]","[-1,-1,-1]","[-0.12645305368405702,0.14279434029412774]","[1,1,1]","[0.0012999802662876626,0.043518725765470986]","[-1,-1,-1]","[-0.007426565147229596,0.18344975823365856]","[-1,-1,-1]","[-0.12348785572141648,0.07579024281246642]","[-1,-1,-1]","[-0.04723794894650775,-0.045456307476457194]","[1,1,1]","[-0.1283952785231977,-0.056688736109328126]","[1,1,1]","[0.14015268701574457,-0.14092577467932607]","[-1,-1,-1]","[0.15491985944511208,0.07814831002669809]","[1,1,1]","[-0.10028570318727605,0.005410983085576352]","[-1,-1,-1]","[-0.13665009578955645,-0.11541016411719507]","[1,1,1]","[-0.00393121886564709,-0.18288791858461245]","[-1,-1,-1]","[-0.16140751705596681,0.02830763617855807]","[-1,-1,-1]","[0.1679477384244434,-0.030980790079579896]","[-1,-1,-1]","[0.13108192805370458,-0.07910027994298609]","[-1,-1,-1]","[0.09749536259992247,-0.16229436221411725]","[-1,-1,-1]","[0.11215128679568245,0.1521504071401236]","[-1,-1,-1]","[0.14921461590680055,0.12356496933831508]","[1,1,1]","[0.19248477429744718,0.05415240724650988]","[1,1,1]","[-0.05075265532207119,0.048813171148999406]","[-1,-1,-1]","[0.07877900835114103,0.09822133517035753]","[1,1,1]","[-0.08907915336818287,-0.12066475601233254]","[1,1,1]","[0.03429823794909564,-0.15652826872083597]","[1,1,1]","[0.17262453031675096,-0.0765502125878504]","[1,1,1]","[-0.02283775019189246,0.10896054063510903]","[1,1,1]","[-0.14231156672701437,-0.010631177925879377]","[-1,-1,-1]","[-0.07061724896598949,0.13618953979231843]","[-1,-1,-1]","[0.02,0.02]",335.94,0,2,2,114,1,,,,,,,
,,,,,,,67fd2c413355380a310b424a,682db3985f919414b92ae683,2025-05-21_13h13.20.401,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,335.9403,336.4405,,,336.6909,338.1923,,,,,,,,,0.9,,,,,,,,336.4405,336.6909,338.1923,"[-0.027048254729523647,-0.11277228768427203]","[1,1,1]","[-0.08524069950523325,0.17058568264682306]","[1,1,1]","[0.02791994950165112,0.12070810058048251]","[1,1,1]","[0.016633393772678414,0.05824474533440916]","[1,1,1]","[0.0034801745314969814,-0.17454491282543663]","[1,1,1]","[0.049101335035738505,0.1559037555525392]","[1,1,1]","[-0.19374620850786256,-0.02035006946656226]","[1,1,1]","[0.1483043309544701,-0.07962473606545153]","[1,1,1]","[0.013120081554602866,-0.07442719202224377]","[1,1,1]","[-0.09687984921050456,-0.047364992589967465]","[1,1,1]","[0.0471121703335186,-0.17645439008878666]","[1,1,1]","[-0.05406131055412939,-0.16357440293002948]","[1,1,1]","[-0.10471009771100383,0.11482187140655341]","[1,1,1]","[-0.09766993783493472,-0.10592101288028447]","[1,1,1]","[0.14264655880616633,0.1280539780566997]","[-1,-1,-1]","[0.1819816454985639,0.0005855495152327181]","[1,1,1]","[-0.1677541714702236,0.10320895457176238]","[1,1,1]","[-0.15916878428369746,0.0238352915200091]","[1,1,1]","[-0.10425791133368384,-0.1603642205776249]","[-1,-1,-1]","[0.16345517702824067,0.08695128928281926]","[1,1,1]","[-0.18339708323771037,0.05773815828273612]","[1,1,1]","[0.05207129195254416,-0.023801374259557615]","[-1,-1,-1]","[-0.01963297744770784,-0.03337697416248911]","[1,1,1]","[0.0906609488934966,0.16738922991488273]","[1,1,1]","[0.15439590187493338,-0.03286219147637952]","[1,1,1]","[-0.16667787504763504,-0.0734736954579499]","[1,1,1]","[0.09515691100816581,0.05855066393250066]","[1,1,1]","[-0.04591051247099371,0.10166975275775328]","[1,1,1]","[0.17055228939097372,0.04525488911543968]","[1,1,1]","[-0.002822316613167504,0.1743089998889708]","[1,1,1]","[0.09393874740992522,0.11093746661889818]","[1,1,1]","[-0.11917149377187047,0.04645313146109349]","[1,1,1]","[0.02,0.02]",339.2903,0,3,3,186,1,,,,,,,
