right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.001,50.7266,space,35.6936,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,50.7276,87.5378,space,6.7894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,87.5385,93.0459,space,2.4889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,93.1025,93.5621,93.5644,93.8104,93.8115,95.3131,,95.3141,96.4126,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,96.4157,96.9106,96.9106,97.1649,97.165,97.3475,left,97.348,98.4524,0,1,1,0,1,0.8,0.1734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.454,109.1053,space,7.6323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,109.128,109.621,,,109.867,110.6324,right,,,,,,,,0.1,0.7514,,,,,,,109.6215,109.8669,110.634,"[-0.06478651438880054,0.062752226509357]","[-1,-1,-1]","[-0.1907223403451811,0.05128794065131923]","[-1,-1,-1]","[-0.10195461575958846,0.041054320941559384]","[-1,-1,-1]","[0.007594597176611063,-0.019756189563010743]","[-1,-1,-1]","[0.11743147259471488,-0.08175907826037682]","[-1,-1,-1]","[0.10297201647459729,-0.12227857557497111]","[-1,-1,-1]","[0.18064658800827016,0.05496410451734222]","[-1,-1,-1]","[0.034653004169194125,-0.14623782997945287]","[1,1,1]","[-0.025045748425464472,-0.07697472568580455]","[-1,-1,-1]","[0.07504111345803242,0.08893118098514481]","[-1,-1,-1]","[-0.14070430274947207,0.06561392374528953]","[-1,-1,-1]","[-0.02299969827177661,-0.17553591831659346]","[-1,-1,-1]","[0.021489870196272503,0.1931805016024872]","[-1,-1,-1]","[-0.04416186301846162,0.14910187496247662]","[-1,-1,-1]","[0.037562007525143666,0.14215735794225032]","[-1,-1,-1]","[-0.0038569960982251525,-0.11889516187146346]","[-1,-1,-1]","[0.09629479003275712,0.1561684338841308]","[-1,-1,-1]","[0.018070016107208885,0.032764383210472814]","[-1,-1,-1]","[0.0964384355359644,0.03049246250466823]","[-1,-1,-1]","[0.04231241647289725,-0.1894208834824169]","[-1,-1,-1]","[-0.15449905373861977,-0.03540561169769948]","[-1,-1,-1]","[-0.07575503725349114,-0.04730072645811973]","[1,1,1]","[-0.11802139929855786,0.10958435431371927]","[-1,-1,-1]","[-0.12254817517333243,-0.11679740209042386]","[-1,-1,-1]","[-0.10784268420593614,-0.07847859738207881]","[-1,-1,-1]","[-0.1011228602351832,0.16376750629525805]","[-1,-1,-1]","[-0.01543688359680053,0.08118487890678137]","[-1,-1,-1]","[-0.19816807908915127,-0.010454577715679396]","[-1,-1,-1]","[0.1421027632923171,0.11901938649963657]","[1,1,1]","[0.16279716680539613,-0.10614939230193511]","[-1,-1,-1]","[0.13567418495045822,0.06216964378083483]","[-1,-1,-1]","[0.18127357290309665,-0.014785751940908991]","[-1,-1,-1]","[0.02,0.02]",111.7335,0,0,0,29,1,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,111.7354,112.233,,,112.484,113.9843,,,,,,,,,0.9,,,,,,,,112.2333,112.4839,113.9844,"[-0.04869591488705918,0.028538184671963306]","[1,1,1]","[-0.04558342938643931,0.08306379526479175]","[1,1,1]","[-0.16904072117359653,-0.033954839485248745]","[1,1,1]","[-0.02843334676563965,-0.0179003995958416]","[1,1,1]","[-0.08677405272998709,-0.007604497683211586]","[1,1,1]","[0.01823945989821659,-0.18209551920576328]","[1,1,1]","[-0.1758266052544864,0.03392417451158412]","[1,1,1]","[0.17437756864963538,0.09188188787832156]","[-1,-1,-1]","[0.12510963807650358,0.08185666872493398]","[1,1,1]","[0.011405780723832892,0.10803885737721587]","[1,1,1]","[-0.03359735569248428,-0.09805619759643584]","[1,1,1]","[0.005900998195581517,-0.07831124530918877]","[1,1,1]","[0.05583972063205369,0.18026377444504044]","[-1,-1,-1]","[0.030120697765577895,0.0030299976248634643]","[1,1,1]","[-0.01807116898515965,0.16624464090330437]","[1,1,1]","[0.043659417211052425,-0.11044238938255377]","[1,1,1]","[-0.15565789879501815,-0.10648206922998237]","[1,1,1]","[-0.03211974094319866,-0.19090408021492963]","[1,1,1]","[-0.13878910085396648,-0.060586186738670694]","[1,1,1]","[-0.0054700755258093635,0.04750843618392244]","[1,1,1]","[0.1528111408153832,-0.11959489642893943]","[1,1,1]","[0.11806199527763267,0.022783117033711664]","[1,1,1]","[0.09745361476446784,0.1418702774709297]","[1,1,1]","[0.10150896501388383,-0.14647957775261175]","[1,1,1]","[0.019510282935495192,-0.036271245686765846]","[1,1,1]","[0.05534830421354167,-0.15290514974892444]","[1,1,1]","[-0.11511688061483837,0.045047217902375494]","[-1,-1,-1]","[-0.07375194501842422,-0.15145543162663827]","[1,1,1]","[0.17254506245153683,-0.01737750750053551]","[1,1,1]","[-0.00935997024227976,-0.13314005841707197]","[1,1,1]","[0.14078095956655073,-0.06034142377633862]","[1,1,1]","[-0.07851082579688928,0.10768073327665537]","[1,1,1]","[0.02,0.02]",115.0838,0,1,1,183,1,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,115.0855,115.5831,,,115.8356,117.3328,,,,,,,,,0.45,,,,,,,,115.5831,115.8355,117.333,"[0.1564560289999781,-0.0477195078964296]","[-1,-1,-1]","[0.07506472880423004,0.16766802443228127]","[-1,-1,-1]","[-0.041136994598877,-0.03860961174023242]","[1,1,1]","[0.015541136116710243,-0.045432866237350454]","[-1,-1,-1]","[-0.04046856142428736,0.09000895611565432]","[-1,-1,-1]","[0.0010492964806669998,0.07846098955122782]","[1,1,1]","[0.10395933124004707,0.11904870827078479]","[1,1,1]","[-0.12026169440793591,-0.004245592789098859]","[-1,-1,-1]","[0.041002122530358946,0.0627108287440533]","[1,1,1]","[-0.15020191401812447,-0.11480936696628614]","[1,1,1]","[-0.12133776347096618,-0.1496298345463178]","[-1,-1,-1]","[0.001381599798217486,-0.174758898096112]","[-1,-1,-1]","[0.13842268745577108,0.0635988198899073]","[1,1,1]","[-0.1843538529261031,-0.03595780960119872]","[1,1,1]","[-0.012229491903173193,0.009682335348540752]","[-1,-1,-1]","[0.17088855759525276,0.00615054074839657]","[-1,-1,-1]","[0.003141224359603597,0.1558800592777325]","[-1,-1,-1]","[-0.047459077138558486,-0.12616404882062254]","[-1,-1,-1]","[-0.07630405954861583,-0.15936450408043956]","[-1,-1,-1]","[0.10609699877372748,-0.15444680489993814]","[-1,-1,-1]","[0.1250209964034524,0.1554919356390178]","[-1,-1,-1]","[0.06184962339450739,-0.10813604358141936]","[1,1,1]","[0.1027252021621079,-0.07211239153286393]","[1,1,1]","[-0.03745286906972106,0.17592901693351543]","[1,1,1]","[-0.12980287500742493,-0.05477861049551858]","[-1,-1,-1]","[-0.07794826016884411,0.014175240943869448]","[1,1,1]","[0.059932092847517306,-0.02060124946603067]","[1,1,1]","[-0.12320204130967168,0.06946408393463875]","[1,1,1]","[0.1676145097889708,0.095245792698772]","[-1,-1,-1]","[-0.14220948232622044,0.13252665834177013]","[-1,-1,-1]","[0.04986976510600609,0.11657598099087887]","[-1,-1,-1]","[-0.07919582201196307,0.10017314392984511]","[1,1,1]","[0.02,0.02]",118.4365,0,2,2,79,1,,,,,,,
,,,,,,,682634b74da614d118d7990e,682db39f429e8300156c69cb,2025-05-21_07h06.52.173,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d556593cb38ad0a074487,,,,,,,,,,,118.4396,118.9341,,,119.1855,120.3113,right,,,,,,,,0.9,1.1162,,,,,,,118.9343,119.1853,120.3114,"[0.012261106951871513,-0.1545883029481881]","[1,1,1]","[0.004126145960742241,0.18035430745139763]","[1,1,1]","[-0.060136696526260316,0.058251893544617676]","[1,1,1]","[0.00838713912539043,-0.03795117415929582]","[1,1,1]","[0.08082159968828535,-0.11447250845001473]","[1,1,1]","[-0.10831458226099626,0.025926674577950837]","[1,1,1]","[0.0849726848019732,-0.04305197494198801]","[1,1,1]","[0.08869985929858995,0.11902487657568989]","[1,1,1]","[-0.04714410777538702,0.11064057688069251]","[-1,-1,-1]","[-0.060231516050721,-0.07894853874546547]","[-1,-1,-1]","[-0.15071099744828984,-0.013266867591564256]","[1,1,1]","[0.10849844670891454,0.05147637984496508]","[1,1,1]","[-0.08539695168603878,-0.13363369632189098]","[1,1,1]","[0.029933584928239432,0.14697245543176155]","[1,1,1]","[-0.07273399340877269,-0.1768384146334065]","[1,1,1]","[-0.024666292680581448,-0.1859811287324167]","[1,1,1]","[-0.05381435669203786,0.1693641492851244]","[1,1,1]","[-0.005808374206030809,0.08316891712373285]","[1,1,1]","[0.1415601287845299,-0.013456911801657085]","[1,1,1]","[0.06340310612110901,0.17644211304186339]","[1,1,1]","[0.14446527659704594,-0.08707635639433049]","[1,1,1]","[-0.09942588074445674,0.09522364156710908]","[1,1,1]","[-0.05271201509623918,-0.030983860930809057]","[1,1,1]","[-0.18787128155097685,-0.04327752790287506]","[1,1,1]","[-0.154994809716889,-0.08026224328148854]","[1,1,1]","[0.1806206361817699,0.0018348634893546013]","[-1,-1,-1]","[0.13017602106008394,0.11088278007079358]","[1,1,1]","[0.1912196590069512,-0.042300004255532486]","[1,1,1]","[0.16844590034178697,0.053402845564518076]","[1,1,1]","[-0.1825713067873002,0.07931398681004805]","[1,1,1]","[-0.1265617357350622,-0.12648488415374098]","[1,1,1]","[-0.017716121211525087,-0.10358830553610837]","[1,1,1]","[0.02,0.02]",121.4097,0,3,3,190,1,,,,,,,
