right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose black,subject chose white,0.0004,184.1444,space,169.1192,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,184.1448,234.3108,space,20.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,234.311,243.9108,space,6.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,243.9311,244.4273,244.4276,244.6776,244.6778,246.1773,,246.1774,247.2773,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,247.2779,247.777,247.7772,248.0275,248.0275,248.5773,left,248.5773,249.6772,0,1,1,0,1,0.8,0.5381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.6775,254.2441,space,1.5483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,254.2586,254.7604,,,255.0112,256.3272,right,,,,,,,,0.1,1.3066,,,,,,,254.7608,255.011,256.3277,"[0.006497363370858394,0.11021055821686795]","[-1,-1,-1]","[-0.06358158388802196,0.1401673986487394]","[-1,-1,-1]","[-0.026848245429706416,0.007245709161974048]","[-1,-1,-1]","[-0.08541906736251341,-0.11756983930388298]","[-1,-1,-1]","[-0.05973619560655213,0.07169817278678157]","[1,1,1]","[-0.14404546630472018,-0.06686333448796064]","[-1,-1,-1]","[0.015965441104468236,0.1801557918399967]","[-1,-1,-1]","[0.11341750050206208,-0.1446324432316449]","[-1,-1,-1]","[0.06797769972073,0.06517113961966567]","[-1,-1,-1]","[-0.10728575629204165,0.10550281084225598]","[-1,-1,-1]","[-0.06921991392515922,-0.07109785660240253]","[-1,-1,-1]","[0.07607081285755456,0.11512989944656962]","[-1,-1,-1]","[0.01993094185026283,0.03480267756812865]","[-1,-1,-1]","[-0.01346453825224478,-0.14934435640398552]","[-1,-1,-1]","[0.15762984468929522,0.05345695089884523]","[-1,-1,-1]","[-0.002361660653095977,-0.18840277075074627]","[-1,-1,-1]","[-0.18644924644038036,0.00459689785315686]","[-1,-1,-1]","[-0.1656171331942144,0.06746148969577428]","[1,1,1]","[0.038365957344616765,-0.07790767969817293]","[-1,-1,-1]","[-0.008557625943913391,-0.094114581249549]","[1,1,1]","[-0.15415202273519335,-0.12436317659069068]","[-1,-1,-1]","[0.16935892536959973,-0.09286230004179599]","[-1,-1,-1]","[0.11651591113934277,0.01001337112505577]","[-1,-1,-1]","[0.08333234114682853,0.18163893336824052]","[-1,-1,-1]","[0.18437389611375893,0.0037849818622399073]","[-1,-1,-1]","[-0.033820877947592115,0.18110070050337265]","[-1,-1,-1]","[0.10921520796381325,0.07974692900236471]","[-1,-1,-1]","[0.04780426336729775,-0.12220066971817672]","[-1,-1,-1]","[-0.0972339883126004,-0.025374878125401453]","[-1,-1,-1]","[0.06497092753874355,-0.01053308133988873]","[-1,-1,-1]","[0.16742320645124692,0.10668695058578036]","[-1,-1,-1]","[-0.013893731621784273,-0.03338450102794226]","[-1,-1,-1]","[0.02,0.02]",257.4273,0,0,0,16,1,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,257.4277,257.9271,,,258.1774,258.9605,left,,,,,,,,0.45,0.7648,,,,,,,257.9272,258.1774,258.9605,"[-0.06481241427275485,0.10804310414675782]","[-1,-1,-1]","[0.018665934760496918,-0.0022501540470690213]","[-1,-1,-1]","[0.12116638858253063,-0.09809495906288657]","[-1,-1,-1]","[0.07670768844454247,-0.11134271331474284]","[-1,-1,-1]","[-0.09252069430118688,-0.15495191133804423]","[-1,-1,-1]","[-0.12891478428184447,-0.12168874466672275]","[1,1,1]","[-0.004255227881529074,0.11994977973690496]","[1,1,1]","[-0.086703608638992,-0.06722781681227132]","[-1,-1,-1]","[0.06890191738204272,0.03155101334915486]","[-1,-1,-1]","[-0.11058246583922403,0.050910944816496266]","[-1,-1,-1]","[-0.01849803140500115,-0.15575799806444082]","[-1,-1,-1]","[0.017875955291055606,-0.1170101207664877]","[1,1,1]","[0.1919535362532246,-0.0151897075772245]","[-1,-1,-1]","[0.10496041334023187,-0.16260753871112327]","[-1,-1,-1]","[0.09258485946793076,-0.06493765781529327]","[-1,-1,-1]","[0.011624709032321457,0.0746073831623993]","[-1,-1,-1]","[0.11558411431219627,0.06834967495955695]","[1,1,1]","[0.10338254458125677,-0.018517057361112452]","[1,1,1]","[-0.18602343414285621,-0.012862325157386797]","[1,1,1]","[-0.17483996882094713,0.08083340828098283]","[1,1,1]","[-0.03442787953941283,-0.0901368576342247]","[1,1,1]","[0.16493720016129226,0.09542688143094877]","[-1,-1,-1]","[0.030713798226444603,0.17504023757375745]","[1,1,1]","[-0.028047904684149444,0.08208968844667561]","[1,1,1]","[-0.05494458158052126,0.03841527319404334]","[-1,-1,-1]","[0.05824597891266944,-0.025924184677297134]","[-1,-1,-1]","[-0.1423100525955049,-0.07258019288578102]","[1,1,1]","[0.08069610420566045,0.1180961026403563]","[1,1,1]","[0.19071376135586812,0.029844151029893223]","[1,1,1]","[0.12734315341095076,0.1512812494390044]","[-1,-1,-1]","[-0.02770857228343945,-0.02476856683216715]","[-1,-1,-1]","[-0.0749721562897984,-0.016550979594009523]","[1,1,1]","[0.02,0.02]",260.0604,0,1,1,66,1,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,260.0607,260.5604,,,260.8107,261.8105,right,,,,,,,,0.1,0.9818,,,,,,,260.5605,260.8107,261.8107,"[-0.0785491745036467,-0.03312714692302843]","[-1,-1,-1]","[-0.17204997598049238,0.045638187751000016]","[-1,-1,-1]","[-0.19683429341645192,-0.03156837567900176]","[-1,-1,-1]","[0.07758325219951091,-0.18376434799546926]","[-1,-1,-1]","[-0.0485328672731251,0.14280333147327057]","[-1,-1,-1]","[0.16006477848550013,0.049956933736427296]","[-1,-1,-1]","[0.1099456444638504,-0.06789919495720938]","[-1,-1,-1]","[0.009428209112273014,-0.004883654824013098]","[1,1,1]","[0.16282329943369026,-0.014638003564861817]","[-1,-1,-1]","[0.03295615147405119,-0.1679757417235952]","[-1,-1,-1]","[-0.16378276129890113,-0.08667884382215858]","[-1,-1,-1]","[0.004575001300277935,0.07249023485633539]","[-1,-1,-1]","[0.006342542982793528,-0.0970074808437635]","[-1,-1,-1]","[0.09153984230233131,0.09335263529318805]","[1,1,1]","[0.03752856564720434,0.09705800599408934]","[1,1,1]","[0.17307155972979166,0.09907100108791757]","[-1,-1,-1]","[-0.13227083992470956,-0.1357568365094235]","[-1,-1,-1]","[-0.14002429225237664,-0.035786536345791466]","[-1,-1,-1]","[0.09297241971795665,0.1419630457809285]","[-1,-1,-1]","[-0.08592008956374324,-0.1087618789342662]","[-1,-1,-1]","[0.1490064135371568,-0.11662667422241985]","[-1,-1,-1]","[-0.1502423007810597,0.12049608169503903]","[-1,-1,-1]","[-0.05901348877987157,0.02626187395505372]","[-1,-1,-1]","[0.07467915590216109,-0.008283704961662811]","[-1,-1,-1]","[0.05936285022460315,-0.07726497263384471]","[-1,-1,-1]","[0.10883378806641372,0.03596560020827718]","[-1,-1,-1]","[-0.014609674578236871,-0.1867641982668365]","[-1,-1,-1]","[-0.02137175513207866,-0.06608119264381603]","[-1,-1,-1]","[-0.07591804583145162,-0.17762504151346978]","[-1,-1,-1]","[0.04765464229432777,0.13838167873590354]","[-1,-1,-1]","[-0.11575407481109541,0.1534004440153449]","[-1,-1,-1]","[-0.06945684506127357,0.17708565903092377]","[-1,-1,-1]","[0.02,0.02]",262.9104,0,2,2,22,1,,,,,,,
,,,,,,,682cada06e96e8a828a90ee2,682f1017f572c1c0528d9f0d,2025-05-22_13h56.10.564,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,682d573fa47f1360d1451895,,,,,,,,,,,262.9109,263.4105,,,263.6607,264.1772,left,,,,,,,,0.9,0.4981,,,,,,,263.4106,263.6606,264.1772,"[0.0092710649674491,0.18331383116151193]","[1,1,1]","[-0.15500350025779364,-0.07507196462133477]","[1,1,1]","[0.04769373071388579,0.057023957643045]","[-1,-1,-1]","[0.0591667571079045,-0.024405567405965927]","[1,1,1]","[0.015218604871256867,-0.06177788974799504]","[-1,-1,-1]","[0.07355605743778729,0.18285102886944535]","[1,1,1]","[0.046017735582725226,0.1504282991416168]","[1,1,1]","[0.12326666579875904,-0.051508466372643995]","[1,1,1]","[0.13657136342375367,0.10604271169784356]","[1,1,1]","[-0.0011884224553425225,0.03404440620541554]","[-1,-1,-1]","[0.03342213371192026,-0.13840251253485727]","[1,1,1]","[0.030793526802581933,-0.1807304147611065]","[1,1,1]","[0.15683661071914273,-0.11859493400703541]","[1,1,1]","[0.11406727447603666,-0.15640980852463657]","[1,1,1]","[-0.016615095790464603,-0.1993062924443953]","[1,1,1]","[-0.08682481600692743,0.16089935296031646]","[1,1,1]","[-0.04803976552643221,-0.05537172440736172]","[1,1,1]","[0.17697003319262283,0.06582072599343017]","[1,1,1]","[-0.13353336568109184,-0.041222064299872685]","[1,1,1]","[-0.07721780287846954,-0.13753392712386317]","[1,1,1]","[-0.04062594864982988,0.12369759462800071]","[1,1,1]","[0.10291285068253184,-0.09354595000438569]","[1,1,1]","[0.0956822555361791,0.029493438691325143]","[1,1,1]","[0.11388400266616709,0.06750504182370945]","[1,1,1]","[0.10248366520252533,0.13925840723074082]","[1,1,1]","[-0.1629474441501969,0.018380345424359738]","[1,1,1]","[-0.04007370122352522,-0.10505537345410917]","[1,1,1]","[-0.04158165679307117,0.05113652760015857]","[1,1,1]","[0.17737504180465707,0.018412500102254023]","[1,1,1]","[-0.14047420591473903,0.09259061565213439]","[1,1,1]","[0.07477449139521301,0.10286197817248986]","[1,1,1]","[-0.11170831675908331,-0.16478426032783666]","[1,1,1]","[0.02,0.02]",265.2771,0,3,3,201,1,,,,,,,
