right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0007,70.7665,space,55.7348,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,70.7676,169.8739,space,69.0897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,169.8747,175.1639,space,2.2703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,175.2456,175.676,175.6772,175.9226,175.9231,177.2789,right,1.2656,,177.2797,178.379,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,178.3816,178.8788,178.879,179.1296,179.1297,179.9128,left,0.7699,,179.9132,181.0134,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0147,187.7881,space,3.7569,,,,,,,,,,,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,187.8708,188.3028,,,188.548,189.4059,left,0.837,,,,,,,,,0.1,,,,,,188.3041,188.5479,189.4071,190.5053,0,0,0,3,1,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,190.508,191.0052,,,191.2507,192.5153,right,1.2481,,,,,,,,,0.6,,,,,,191.0054,191.2505,192.5155,193.6075,0,1,1,156,1,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,193.6093,194.1012,,,194.3401,195.5278,left,1.171,,,,,,,,,0.4,,,,,,194.1013,194.3399,195.528,196.6267,0,2,2,42,1,,,,,,,
,,,,,,,65fb11fa63f6a4a129409026,6825337ab3c15539f08dd1b7,2025-05-15_03h25.04.608,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,68242c07d0c0e200c6451fdd,,,,,,,,,,,196.6287,197.1209,,,197.3611,198.612,right,1.2343,,,,,,,,,0.5,,,,,,197.1211,197.3609,198.6122,199.7023,0,3,3,100,1,,,,,,,
