right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0002,62.0978,space,47.0766,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,62.0985,187.4502,space,95.3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,187.4517,221.5679,space,31.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,221.6205,222.0704,222.0718,222.3194,222.3201,223.1696,right,0.7881,,223.1707,224.2657,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,224.2679,224.7643,224.7644,225.0152,225.0153,225.6519,left,0.6274,,225.6523,226.7481,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7506,233.6212,space,3.8605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,233.6498,234.13,,,234.3831,235.2124,left,0.8117,,,,,,,,,0.55,,,,,,234.1326,234.3829,235.2129,"[-0.007021955517361315,0.1507426987694137]","[-1,-1,-1]","[-0.12258964224284105,0.09019645187088089]","[1,1,1]","[0.03423180710465665,0.1782348210174807]","[1,1,1]","[-0.10444616431310329,-0.07119663627233698]","[1,1,1]","[0.028233305572523067,0.13159399719933365]","[1,1,1]","[0.06707818652441341,-0.18724852833800076]","[1,1,1]","[-0.01748785542241089,0.09417847610326038]","[-1,-1,-1]","[-0.023736170186428256,-0.0535454505071538]","[1,1,1]","[-0.05733665313742132,0.03434409787374724]","[1,1,1]","[-0.08834158247833368,0.1562078797005432]","[1,1,1]","[-0.08277337895993804,-0.025446642290686872]","[1,1,1]","[-0.15540246219389378,-0.07672988298651945]","[-1,-1,-1]","[0.13795547254012813,-0.07347737093296416]","[1,1,1]","[0.1749218787928431,0.09277594013096367]","[1,1,1]","[-0.045502548318660206,-0.17262089030530522]","[-1,-1,-1]","[0.01190468998674595,-0.12140373037709705]","[-1,-1,-1]","[-0.17812241218429875,0.06932850265407872]","[-1,-1,-1]","[-0.14243646362938234,-0.002980888135619237]","[-1,-1,-1]","[0.09973110076805276,-0.1292011651879723]","[-1,-1,-1]","[0.09777381159139825,0.10284513252157605]","[-1,-1,-1]","[0.05779589224051024,-0.05880342459767128]","[1,1,1]","[0.04148716907355897,0.0714012950399484]","[-1,-1,-1]","[0.08587649307982304,-0.011724179892341738]","[-1,-1,-1]","[0.17790137108477488,-0.090246550153907]","[-1,-1,-1]","[-0.0633738185159064,-0.10692034085459548]","[1,1,1]","[0.09664299373272726,-0.07380566778174202]","[-1,-1,-1]","[0.03444382533920398,0.015305327665520261]","[1,1,1]","[0.07392257716819559,0.17204616965044175]","[1,1,1]","[-0.1045627340936312,-0.16938732842105939]","[-1,-1,-1]","[-0.09409696621185294,0.05316857900076185]","[1,1,1]","[-0.013411958270884974,0.052076128104639206]","[1,1,1]","[-0.02332856879539384,0.009411730024927298]","[1,1,1]","[0.02,0.02]",236.3138,0,0,0,134,1,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,236.316,236.8129,,,237.0632,238.0787,right,0.9998,,,,,,,,,0.6,,,,,,236.8135,237.0632,238.0788,"[0.08457783666304271,0.16863485036012454]","[-1,-1,-1]","[-0.006984863676721479,-0.004366312854437511]","[1,1,1]","[0.04765576326234895,-0.05959837712535609]","[1,1,1]","[0.11207710990497562,-0.1062450858446744]","[-1,-1,-1]","[-0.12309543689385277,-0.0428801759153787]","[1,1,1]","[-0.04970052263314105,-0.07366102617518383]","[-1,-1,-1]","[0.10633186150627945,-0.01279955312960242]","[1,1,1]","[-0.0030050762127587635,-0.13454378048892238]","[-1,-1,-1]","[0.15655981984530998,0.03565208412414008]","[1,1,1]","[0.005014829183455585,-0.055360739812168845]","[1,1,1]","[0.07445760930016673,0.11425524783738063]","[-1,-1,-1]","[0.11779968915233162,0.045763927028463804]","[1,1,1]","[-0.11553438738057616,0.056773853429703126]","[-1,-1,-1]","[0.1843254552191307,-0.027505360737452047]","[1,1,1]","[0.07370696941454535,0.020382776835883427]","[1,1,1]","[-0.1286538667340957,0.01769925156182447]","[-1,-1,-1]","[-0.18074331600790164,0.015089380804557833]","[1,1,1]","[0.1655496081593607,-0.10720151341978097]","[-1,-1,-1]","[-0.03381027435696624,0.11902615874262479]","[1,1,1]","[0.026920496408995125,-0.09839703623802938]","[1,1,1]","[-0.11267144021486261,0.14646984030350127]","[1,1,1]","[0.018775371677624126,0.19492493774071923]","[-1,-1,-1]","[0.007433612838313967,-0.17801342117361516]","[1,1,1]","[-0.1080757930515866,-0.10904890089411115]","[-1,-1,-1]","[0.07208263895363934,-0.15309167010225674]","[-1,-1,-1]","[0.12279315279114941,0.15611059831621418]","[-1,-1,-1]","[-0.15685161718454388,0.06677596257810148]","[1,1,1]","[0.01408459713309313,0.12059629728021158]","[1,1,1]","[-0.18200146502837172,-0.07955985271718506]","[-1,-1,-1]","[0.0037229340580350444,0.04093031981323125]","[1,1,1]","[0.12889641371062446,-0.051386497155180406]","[1,1,1]","[-0.05377306923970397,-0.14748302115139467]","[1,1,1]","[0.02,0.02]",239.1791,0,1,1,164,1,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,239.1812,239.6782,,,239.9302,240.5973,right,0.6617,,,,,,,,,0.9,,,,,,239.6782,239.9301,240.5974,"[-0.026331525187602296,0.09747433841876914]","[1,1,1]","[-0.018366874435447388,-0.04167126559340413]","[-1,-1,-1]","[-0.06855726915035477,-0.14978421630175281]","[1,1,1]","[-0.13354925920054592,-0.14545855869643884]","[1,1,1]","[-0.031401837315840474,0.15338147186413956]","[1,1,1]","[-0.08072669351707272,0.06486492920323059]","[1,1,1]","[0.18667123960104556,0.0379925356536036]","[1,1,1]","[0.06364037984874422,-0.006256434592644243]","[1,1,1]","[0.07938936919616128,0.03418887169244993]","[-1,-1,-1]","[-0.15352319832988606,-0.08844827203160423]","[1,1,1]","[0.062319128471121414,-0.05123585299965832]","[1,1,1]","[0.09684510781280681,0.13213954809243286]","[1,1,1]","[0.005857949049321992,-0.0011052982099266746]","[1,1,1]","[0.16538413911109867,0.07744952321838358]","[1,1,1]","[0.14484284130710862,-0.12036191242683056]","[1,1,1]","[-0.014661078959462845,-0.08365629031832411]","[1,1,1]","[0.10975916160241181,-0.05518659107312551]","[1,1,1]","[0.009888114385740276,-0.1613369958614993]","[1,1,1]","[-0.15932485537627733,0.09951468946667927]","[1,1,1]","[-0.0684874699090377,-0.0366763905213476]","[1,1,1]","[-0.10416547973950227,0.012972619758647637]","[1,1,1]","[0.09111459623297714,0.07463615344981529]","[1,1,1]","[0.10848168423942339,-0.15060776061505377]","[1,1,1]","[0.0318546704545214,0.16923664013354048]","[1,1,1]","[0.05271569454989561,0.1315991236764892]","[-1,-1,-1]","[0.03885371989759992,0.07119797387599981]","[1,1,1]","[-0.002741376954622222,0.06376430458357425]","[1,1,1]","[-0.07957152292307991,-0.08245321347882979]","[1,1,1]","[0.13576754668526317,-0.02251544054090527]","[1,1,1]","[-0.13872509851924014,-0.040084033230017496]","[1,1,1]","[-0.11669123462670548,0.1283886595390776]","[1,1,1]","[-0.010770751824607827,0.18785905885139123]","[1,1,1]","[0.02,0.02]",241.6955,0,2,2,192,1,,,,,,,
,,,,,,,66539487195bfe168f78bcc1,6831aab46af1965efc99b252,2025-05-24_14h25.40.413,cuing_paradigm_dot,2024.1.5,Win32,60.24096386,682d573fa47f1360d1451895,,,,,,,,,,,241.6975,242.1952,,,242.4466,243.071,left,0.6167,,,,,,,,,0.6,,,,,,242.1954,242.4464,243.0711,"[-0.06652865549349313,-0.08901550644800114]","[-1,-1,-1]","[-0.13476152741829506,0.14676260511252737]","[1,1,1]","[-0.11855123810503954,-0.04095694798406375]","[1,1,1]","[0.12118723741142619,-0.08387959500915085]","[1,1,1]","[0.036270859211453836,-0.1340174681256469]","[1,1,1]","[-0.1812029862640045,-0.06681746584453749]","[1,1,1]","[-0.03807139881157494,0.1935891105318014]","[-1,-1,-1]","[0.16445076639667028,0.05222572289913378]","[-1,-1,-1]","[0.1583006514397067,0.09358291096844094]","[-1,-1,-1]","[-0.055437846402461306,-0.1394529052389457]","[-1,-1,-1]","[0.013194857957526182,0.19418378090264288]","[-1,-1,-1]","[-0.01824368933958624,0.023577748247515427]","[1,1,1]","[-0.1709599947005088,0.07584189241769805]","[1,1,1]","[-0.0006839357860924974,-0.07724289893052015]","[1,1,1]","[-0.003382025039560076,-0.14916814374266132]","[1,1,1]","[-0.12782021673709773,-0.15227712211664438]","[1,1,1]","[0.16867118462382485,-0.07355249019646504]","[-1,-1,-1]","[0.10411619273505866,0.0436526980130645]","[1,1,1]","[0.02140742923298441,-0.026818369823415403]","[-1,-1,-1]","[-0.19174617539750316,-0.004153106780471318]","[-1,-1,-1]","[0.05521597878895653,0.05825424634101403]","[1,1,1]","[-0.07419257952674044,0.022088912231528153]","[1,1,1]","[-0.042032964335946575,0.10613666458215919]","[-1,-1,-1]","[-0.12647781498353552,0.08755274355890988]","[1,1,1]","[0.03844597742694256,-0.08969406777033366]","[1,1,1]","[-0.057926212878041755,-0.035035835175113675]","[-1,-1,-1]","[0.10175085345063725,-0.1322605788547189]","[1,1,1]","[0.001729727801036272,-0.1924147525018934]","[-1,-1,-1]","[0.11522991758388107,0.1597797007763136]","[1,1,1]","[-0.1631684761789422,-0.10646324116763282]","[-1,-1,-1]","[0.07635439609565567,-0.003669737782456874]","[1,1,1]","[0.1476354074063306,-0.022065264493050768]","[1,1,1]","[0.02,0.02]",244.1608,0,3,3,153,1,,,,,,,
