right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0,75.868,space,60.854,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,75.868,128.96,space,23.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,128.96,138.954,space,6.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,138.982,139.47,139.47,139.786,139.786,141.22,,141.22,142.32,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,142.321,142.819,142.819,143.071,143.071,144.153,left,144.154,145.253,0,1,1,1,1,0.2,1.067,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.253,169.101,space,20.839,,,,,,,,,,,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,169.125,169.617,,,169.836,170.883,left,,,,,,,,0.5,1.037,,,,,,,169.617,169.836,170.884,171.983,0,0,0,90,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,171.986,172.483,,,172.734,173.016,right,,,,,,,,0.55,0.269,,,,,,,172.483,172.734,173.016,174.116,0,1,1,139,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,174.116,174.616,,,174.868,175.166,right,,,,,,,,0.4,0.284,,,,,,,174.616,174.868,175.167,176.266,0,2,2,48,1,,,,,,,
,,,,,,,66d5353794a257d22919673b,682530b798de94e67efc5d05,2025-05-14_20h11.40.377,cuing_paradigm_dot,2024.1.5,Win32,60.0240096,68242c07d0c0e200c6451fdd,,,,,,,,,,,176.269,176.765,,,177.016,177.266,left,,,,,,,,0.1,0.235,,,,,,,176.765,177.016,177.266,178.365,0,3,3,23,1,,,,,,,
