right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0008,45.059,space,30.0407,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,45.0593,130.0759,space,54.9956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,130.0763,136.5231,space,3.4408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,136.5422,137.0405,137.0409,137.2746,137.2751,138.6405,left,1.3197,,138.6412,139.7402,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,139.7416,140.2397,140.2399,140.4973,140.4974,140.7568,right,0.2362,,140.7573,141.8598,0,1,1,0,1,0.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.8601,147.4732,space,2.5995,,,,,,,,,,,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,147.4825,147.976,,,148.2243,148.8724,left,0.6371,,,,,,,,,0.1,,,,,,147.9768,148.2243,148.8726,149.9727,0,0,0,3,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,149.9731,150.4724,,,150.7244,151.1562,right,0.4179,,,,,,,,,0.6,,,,,,150.4724,150.7242,151.1565,152.256,0,1,1,159,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,152.257,152.7556,,,153.0072,153.7062,right,0.6845,,,,,,,,,0.55,,,,,,152.7557,153.0072,153.7064,154.8059,0,2,2,133,1,,,,,,,
,,,,,,,672451c5f4e558e08242d746,682722081666f84b3e900760,2025-05-16_06h35.37.133,cuing_paradigm_dot,2024.1.5,Win32,59.88023952,68242c07d0c0e200c6451fdd,,,,,,,,,,,154.8066,155.3059,,,155.5569,156.0397,left,0.4696,,,,,,,,,0.4,,,,,,155.3061,155.5569,156.0398,157.1388,0,3,3,54,1,,,,,,,
