right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0015,56.3551,space,41.3075,0.0137,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,56.3578,87.0405,space,0.6639,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,87.0413,92.8549,space,2.7944,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,93.0706,93.369,93.3706,93.5694,93.5703,95.0747,,95.0771,96.1686,0,0,0,0,1,0.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,96.1723,96.6664,96.6668,96.8361,96.8374,98.3335,,98.335,99.437,0,1,1,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,,,,,,,,,,,,,,,,99.4403,105.12,space,2.6677,0.0011,,,,,,,,,,,,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,105.3059,105.6278,,,105.8247,107.0055,left,,,,,,,,0.55,,,,,,105.6293,105.8245,1.1448,0.0165,107.0061,108.1226,0,0,0,143,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,108.1243,108.6092,,,108.8755,110.3621,,,,,,,,,0.5,,,,,,108.6101,108.8752,,,110.3622,111.4604,0,1,1,92,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,111.4621,111.9622,,,112.2072,112.9875,left,,,,,,,,0.1,,,,,,111.9624,112.207,0.761,,112.9885,114.0902,0,2,2,17,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,114.0924,114.5942,,,114.8455,115.5254,right,,,,,,,,0.9,,,,,,114.5951,114.8453,0.6614,,115.5264,116.6129,0,3,3,196,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,116.6168,117.1343,,,117.3927,117.9392,right,,,,,,,,0.55,,,,,,117.1352,117.3924,0.52,,117.9417,119.0478,0,4,4,129,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,119.049,119.5488,,,119.7977,120.4254,left,,,,,,,,0.1,,,,,,119.5489,119.7976,0.6122,,120.4256,121.5143,0,5,5,5,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,121.5156,122.0519,,,122.2078,122.8694,right,,,,,,,,0.45,,,,,,122.052,122.2072,0.6412,,122.8696,123.9784,0,6,6,75,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,123.9826,124.4846,,,124.7293,125.2326,right,,,,,,,,0.6,,,,,,124.4853,124.7291,0.4799,0.0007,125.233,126.3309,0,7,7,175,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,126.3321,126.8303,,,127.0894,127.8188,right,,,,,,,,0.45,,,,,,126.8304,127.0892,0.7117,,127.819,128.9074,0,8,8,73,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,128.909,129.4109,,,129.6463,130.1593,right,,,,,,,,0.6,,,,,,129.4112,129.646,0.4878,,130.1595,131.2411,0,9,9,178,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,131.2437,131.7468,,,131.9933,132.5965,right,,,,,,,,0.6,,,,,,131.7469,131.9931,0.5861,,132.5967,133.7042,0,10,10,153,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,133.7071,134.1965,,,134.4406,134.9298,right,,,,,,,,0.6,,,,,,134.1974,134.4405,0.464,,134.93,136.0257,0,11,11,161,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,136.0277,136.5237,,,136.6969,137.6064,left,,,,,,,,0.4,,,,,,136.5238,136.6964,0.8821,,137.6066,138.7076,0,12,12,46,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,138.709,139.2125,,,139.4485,139.9837,right,,,,,,,,0.5,,,,,,139.2126,139.4484,0.5179,,139.9838,141.0743,0,13,13,117,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,141.0757,141.5756,,,141.8246,142.4111,right,,,,,,,,0.5,,,,,,141.5759,141.8244,0.5726,,142.4112,143.5171,0,14,14,97,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,143.5182,144.0262,,,144.2734,144.9063,left,,,,,,,,0.4,,,,,,144.0264,144.2734,0.6166,,144.9065,145.9964,0,15,15,49,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,145.9979,146.4919,,,146.745,147.4305,right,,,,,,,,0.5,,,,,,146.4921,146.7449,0.6664,,147.4306,148.5317,0,16,16,106,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,148.5389,149.0279,,,149.2603,150.03,left,,,,,,,,0.5,,,,,,149.0281,149.2601,0.748,,150.0303,151.1314,0,17,17,104,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,151.1341,151.6417,,,151.8749,152.4923,right,,,,,,,,0.45,,,,,,151.6421,151.8746,0.5943,,152.4925,153.5823,0,18,18,82,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,153.5848,154.0925,,,154.3335,154.9708,right,,,,,,,,0.45,,,,,,154.0929,154.3332,0.6178,,154.971,156.0725,0,19,19,89,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,156.0745,156.5737,,,156.8281,157.401,right,,,,,,,,0.6,,,,,,156.574,156.828,0.5497,,157.4014,158.4886,0,20,20,166,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,158.4906,158.9996,,,159.2488,159.9839,right,,,,,,,,0.55,,,,,,158.9999,159.2486,0.7135,,159.9842,161.0837,0,21,21,125,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,161.0858,161.5855,,,161.8284,162.6597,right,,,,,,,,0.6,,,,,,161.5857,161.8282,0.8054,,162.66,163.7549,0,22,22,160,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,163.7569,164.2572,,,164.4977,165.0656,left,,,,,,,,0.1,,,,,,164.2573,164.4975,0.5426,,165.0661,166.1624,0,23,23,8,1,,,,,,,
,,,,,,,67daae91f4057c50a9fd19fc,682530fd1893e63b4b947f44,2025-05-15_02h14.26.140,cuing_paradigm_dot,2024.1.5,Linux armv81,59.52380952,68242c07d0c0e200c6451fdd,,,,,,,,,,,166.1645,166.6688,,,166.9207,167.5127,right,,,,,,,,0.6,,,,,,166.669,166.9204,0.5668,,167.5129,168.6022,0,24,24,171,1,,,,,,,
