right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,white_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.color,polygon_2.pos,polygon_2.color,polygon_3.pos,polygon_3.color,polygon_4.pos,polygon_4.color,polygon_5.pos,polygon_5.color,polygon_6.pos,polygon_6.color,polygon_7.pos,polygon_7.color,polygon_8.pos,polygon_8.color,polygon_9.pos,polygon_9.color,polygon_10.pos,polygon_10.color,polygon_11.pos,polygon_11.color,polygon_12.pos,polygon_12.color,polygon_13.pos,polygon_13.color,polygon_14.pos,polygon_14.color,polygon_15.pos,polygon_15.color,polygon_16.pos,polygon_16.color,polygon_17.pos,polygon_17.color,polygon_18.pos,polygon_18.color,polygon_19.pos,polygon_19.color,polygon_20.pos,polygon_20.color,polygon_21.pos,polygon_21.color,polygon_22.pos,polygon_22.color,polygon_23.pos,polygon_23.color,polygon_24.pos,polygon_24.color,polygon_25.pos,polygon_25.color,polygon_26.pos,polygon_26.color,polygon_27.pos,polygon_27.color,polygon_28.pos,polygon_28.color,polygon_29.pos,polygon_29.color,polygon_30.pos,polygon_30.color,polygon_31.pos,polygon_31.color,polygon_32.pos,polygon_32.color,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose white,subject chose black,0.0005,161.537,space,146.5152,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,161.5378,249.0139,space,57.4573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,249.0144,252.196,space,0.1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,252.2642,252.7127,252.7136,252.9637,252.9641,254.4623,,254.4627,255.5617,0,0,0,1,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,255.563,256.0613,256.0613,256.312,256.3121,257.0449,right,257.0451,258.1442,0,1,1,0,1,0.8,0.7068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.1451,263.7932,space,2.6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,263.8337,264.3094,,,264.5508,265.2321,left,,,,,,,,0.1,0.6669,,,,,,,264.3106,264.5507,265.2331,"[-0.03914414324528752,0.15445019202019017]","[-1,-1,-1]","[0.09821127101614696,0.13737560380132738]","[-1,-1,-1]","[0.10051284668981027,0.07550121203188052]","[-1,-1,-1]","[0.023508526659277402,0.1547562665793487]","[-1,-1,-1]","[-0.14993265563565922,-0.11646102828193929]","[-1,-1,-1]","[0.020299001876323136,-0.02722888843767897]","[-1,-1,-1]","[-0.06532983832384823,-0.1497245073978337]","[-1,-1,-1]","[-0.1720814796100587,0.0743428983704246]","[-1,-1,-1]","[-0.044684463146773226,0.0886560121968952]","[-1,-1,-1]","[0.17359612327093518,0.08018470790043664]","[-1,-1,-1]","[0.0032874958392948394,0.056025902636822396]","[-1,-1,-1]","[0.09213118070411513,-0.04008027135055729]","[-1,-1,-1]","[-0.12412225116100374,-0.059356951103991154]","[-1,-1,-1]","[0.15567722328016553,-0.08843046984580863]","[-1,-1,-1]","[0.043257445162739834,-0.08949764130651752]","[-1,-1,-1]","[-0.07029515102068379,-0.024159689644515127]","[1,1,1]","[-0.09053709897859617,0.16492869822350925]","[-1,-1,-1]","[-0.0007061597160483795,-0.1226860498404816]","[1,1,1]","[-0.1801240077394474,-0.07855040186746982]","[-1,-1,-1]","[0.18760564289137316,-0.017287364909622596]","[-1,-1,-1]","[-0.09402565412323,0.076672432788405]","[-1,-1,-1]","[-0.17567087793964298,-0.019845002155696206]","[-1,-1,-1]","[-0.023698710242761448,0.02609048626070122]","[-1,-1,-1]","[-0.1302627418385371,0.13262158816590758]","[-1,-1,-1]","[0.04470985910433419,-0.1524938918107123]","[-1,-1,-1]","[0.030587273048046208,0.10061599736059657]","[-1,-1,-1]","[0.07177292834839924,0.012252309693286669]","[-1,-1,-1]","[-0.08178067744273973,-0.08770965561947941]","[-1,-1,-1]","[-0.0253622512353726,-0.04034414651633354]","[-1,-1,-1]","[0.08773666117758985,-0.08889471838144153]","[1,1,1]","[0.059046280251267874,0.1864158554548285]","[-1,-1,-1]","[0.13333389995480416,0.04845183957289314]","[-1,-1,-1]","[0.02,0.02]",266.3318,0,0,0,2,1,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,266.3327,266.831,,,267.0817,267.4086,right,,,,,,,,0.9,0.3021,,,,,,,266.8311,267.0817,267.4087,"[0.06537453466633825,0.010156143617081847]","[1,1,1]","[-0.022465566335325832,-0.054873186696210344]","[1,1,1]","[0.15410428048396071,0.02830974977365524]","[1,1,1]","[-0.1769203367154848,-0.057509067596023054]","[1,1,1]","[0.043837010523942774,-0.039098252809062935]","[1,1,1]","[-0.04870564548410296,0.15346174857868078]","[1,1,1]","[-0.08999462720255194,-0.1260113075896409]","[1,1,1]","[-0.04134748950046859,-0.00798783273507916]","[1,1,1]","[0.01866570714079661,0.01406656468433173]","[1,1,1]","[0.002555812859641463,0.09545528936694084]","[1,1,1]","[-0.05773885622521727,-0.0809158055767431]","[1,1,1]","[0.08207146153445853,0.1672975467759967]","[1,1,1]","[-0.01359016369301953,-0.13257347007526912]","[1,1,1]","[0.09958506110244039,-0.1251187352012161]","[1,1,1]","[0.051118867962135876,-0.1554534119266358]","[1,1,1]","[0.08569179573829401,0.0720553269937086]","[1,1,1]","[-0.11336063037038234,0.10729504395194725]","[1,1,1]","[0.1522612031327366,0.11770163068502265]","[1,1,1]","[0.1746031981814254,-0.08870558409829478]","[1,1,1]","[-0.1793325346019011,-0.004467637011365868]","[1,1,1]","[0.10255569340577475,0.11347362368422315]","[1,1,1]","[0.028079729622098683,0.061572372852435]","[-1,-1,-1]","[-0.09788096864512515,0.05303323907674099]","[1,1,1]","[0.022432605352633923,0.18068283638135496]","[1,1,1]","[-0.05007422853911794,-0.15901377618631773]","[1,1,1]","[0.020302849388028812,-0.08168289582020881]","[-1,-1,-1]","[-0.13027791018002347,-0.08151675423757532]","[1,1,1]","[-0.1539594955755936,-0.12424480200112768]","[1,1,1]","[0.10866992778539866,-0.07973213167040617]","[1,1,1]","[-0.15516317847212163,0.04819137814035014]","[1,1,1]","[0.17198144868595844,-0.04208471576442725]","[1,1,1]","[-0.0030785974518795513,0.13832635712118693]","[-1,-1,-1]","[0.02,0.02]",268.5083,0,1,1,202,1,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,268.5091,269.0083,,,269.2597,269.9912,left,,,,,,,,0.5,0.7108,,,,,,,269.0083,269.2597,269.9913,"[-0.04376266272313418,0.10456960858572002]","[-1,-1,-1]","[-0.04335962663264881,-0.06168793786570687]","[-1,-1,-1]","[0.0480157600315969,-0.15044312111411023]","[-1,-1,-1]","[-0.19921562228023665,0.006095511089608705]","[-1,-1,-1]","[0.07490803508263678,-0.04555598052363986]","[-1,-1,-1]","[-0.08711599399186737,-0.14555556012424917]","[1,1,1]","[0.10614307723094137,0.15304889404061062]","[-1,-1,-1]","[-0.045863427001309125,0.06002015689768792]","[1,1,1]","[0.11721309181052066,-0.039584891887465314]","[1,1,1]","[0.10298889865294912,-0.1560730104591918]","[-1,-1,-1]","[0.035599167028520735,0.17776995938541973]","[1,1,1]","[-0.13256342546345265,-0.04294696254895882]","[1,1,1]","[-0.12728397770782665,-0.09062166467119323]","[1,1,1]","[-0.07198893232653317,0.1706503399497654]","[1,1,1]","[-0.13425347687627973,0.03118775918338527]","[1,1,1]","[0.15025217057469728,0.07720146974536946]","[-1,-1,-1]","[-0.02619138122850158,-0.11876551809367496]","[-1,-1,-1]","[0.12186577353569564,0.020600279072245025]","[-1,-1,-1]","[-0.1401754422215864,0.07613353481595028]","[-1,-1,-1]","[-0.022233805162542582,-0.1753335363663884]","[1,1,1]","[-0.07061001226028249,0.012682599084394819]","[1,1,1]","[-0.037227044484413795,0.19527090188475135]","[1,1,1]","[-0.0023701713345113673,0.004235744869310158]","[1,1,1]","[0.030523012682690004,0.08029089157472134]","[1,1,1]","[0.1384853668473921,-0.11121227663443911]","[1,1,1]","[0.06535155272939082,0.10072360318969183]","[-1,-1,-1]","[-0.1884838750409131,0.04640256258595416]","[-1,-1,-1]","[0.029073691635365124,-0.027138675025149613]","[1,1,1]","[-0.1807311836244291,-0.032041491336980414]","[1,1,1]","[0.08205257662784586,0.03432113492199234]","[-1,-1,-1]","[-0.08547923048330032,-0.03193114573219178]","[-1,-1,-1]","[0.04025136653253682,0.03965390231965509]","[-1,-1,-1]","[0.02,0.02]",271.0911,0,2,2,109,1,,,,,,,
,,,,,,,67e8891f804abbe65ff993ad,68317a63a5a38dd7eba645da,2025-05-23_23h52.39.796,cuing_paradigm_dot,2024.1.5,Win32,59.52380952,682d573fa47f1360d1451895,,,,,,,,,,,271.0919,271.5912,,,271.8415,272.0576,right,,,,,,,,0.5,0.1853,,,,,,,271.5913,271.8413,272.0576,"[-0.09723670602540774,-0.019874471789628707]","[1,1,1]","[0.04651651711575525,-0.08856636055572946]","[1,1,1]","[-0.09622833948019655,0.05733733454936459]","[-1,-1,-1]","[0.08912430161463157,-0.1514277387307376]","[1,1,1]","[0.17731612825704793,-0.08523914865421381]","[-1,-1,-1]","[0.04672156663930938,0.08314816980306665]","[-1,-1,-1]","[0.08697894446920813,0.15818954054987133]","[1,1,1]","[-0.07785382936012102,-0.15654390571069615]","[1,1,1]","[0.12764229757123705,0.02649098738626228]","[1,1,1]","[-0.13683348690966848,-0.03798424313855965]","[-1,-1,-1]","[-0.12195738781383807,0.1361061005452884]","[-1,-1,-1]","[-0.07017217524933443,-0.11470116721459059]","[1,1,1]","[-0.012532505728924535,-0.19392697681124066]","[1,1,1]","[0.022346516454978236,-0.12201005102697732]","[1,1,1]","[-0.11252733206161879,-0.11838201860784864]","[1,1,1]","[-0.020404954513357925,-0.12894724553773926]","[-1,-1,-1]","[-0.08553990086251502,-0.06523464042658902]","[1,1,1]","[0.11985064327757794,0.1167623350427141]","[-1,-1,-1]","[-0.05136415835319812,0.036052133042073525]","[1,1,1]","[0.0003776498842343553,0.05870381497756483]","[-1,-1,-1]","[0.10690142486746841,-0.08180611383894155]","[-1,-1,-1]","[0.04855321362615329,0.16945695997066973]","[-1,-1,-1]","[0.0572002448349621,-0.03572607333547911]","[-1,-1,-1]","[-0.022615814054705426,0.16712394529976324]","[-1,-1,-1]","[0.1905598177841116,-0.030516195002520976]","[-1,-1,-1]","[0.17812714976263416,0.025727671496113578]","[1,1,1]","[-0.1815594723909259,-0.08254557311159372]","[1,1,1]","[-0.055293092967413075,-0.02452298844487684]","[-1,-1,-1]","[0.010117870498043146,0.12863606030821273]","[-1,-1,-1]","[-0.08969485204094983,0.16951111058924756]","[1,1,1]","[0.097362781089774,0.05720328257539447]","[-1,-1,-1]","[-0.17796372347686265,0.04529230314443558]","[1,1,1]","[0.02,0.02]",273.1574,0,3,3,105,1,,,,,,,
