right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0,23.343,space,8.336,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,23.343,54.054,space,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,54.054,57.884,space,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,57.889,58.387,58.387,58.635,58.636,59.641,left,0.977,,59.641,60.738,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,60.738,61.235,61.235,61.483,61.484,62.387,right,0.897,,62.387,63.484,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.484,69.653,space,3.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,69.659,70.157,,,70.405,71.048,right,0.64,,,,,,,,,0.55,,,,,,70.157,70.405,71.048,"[0.16391760253485474,0.02045805629102118]",4.0,"[0.02493897775851735,0.07156011144227374]",100.0,"[0.16643624727527187,-0.05339432176432374]",100.0,"[-0.16917429067624093,-0.08170945071766504]",100.0,"[-0.10646096748275057,0.1684229796324275]",100.0,"[0.0552354665540821,0.1324380856842148]",100.0,"[-0.06572152237910557,-0.00415460141487033]",4.0,"[0.1254338788535137,0.13544164230581765]",100.0,"[-0.12442821802894745,0.05448455744566567]",100.0,"[-0.03964199610182995,-0.1536903923200929]",4.0,"[0.06450216139078342,-0.1234896332542523]",4.0,"[0.016229542918753892,-0.14580370283797048]",100.0,"[0.11899571600985195,0.08187136856219544]",4.0,"[0.03741866824147484,-0.05818597668137873]",100.0,"[0.14667459695839918,-0.09087207879147918]",4.0,"[-0.029392081902844338,0.06262937609695421]",100.0,"[0.07812625065042139,0.06935462101029874]",4.0,"[-0.14621891400501427,-0.12846321449071743]",100.0,"[-0.0686203931130197,-0.05539779697450934]",4.0,"[-0.11557346711338881,0.11441579708748019]",100.0,"[0.12547612645061512,-0.05519550347116092]",100.0,"[0.03722364008932581,0.18058575299674498]",100.0,"[-0.14342772995909622,0.010828115836085412]",4.0,"[-0.03200713623718319,0.1441015330252446]",4.0,"[0.06433873273159979,-0.0006183376807303093]",100.0,"[-0.18116501912155872,0.057359486220216874]",4.0,"[0.07771140130415409,0.17592020476367032]",4.0,"[-0.000906614505063873,-0.025289235036723406]",100.0,"[0.019940886543112823,-0.18848083985861352]",100.0,"[-0.0664556745768753,-0.09906170089608507]",100.0,"[0.09660257343427102,-0.0847920226662424]",4.0,"[-0.12126855667367956,-0.07702511919922905]",4.0,"[0.02,0.02]",72.145,0.0,0.0,0.0,84.0,1.0,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,72.145,72.642,,,72.891,73.763,left,0.87,,,,,,,,,0.1,,,,,,72.642,72.89,73.763,"[-0.1803593309198956,-0.021196236407006675]",4.0,"[-0.1392202038594375,0.07439327774492491]",4.0,"[0.04103840084596767,0.16514697994516622]",4.0,"[-0.11991743561562361,-0.1483253255153162]",4.0,"[0.03791257006895013,0.03123561285301937]",4.0,"[0.09988347417865748,-0.0054614233771529295]",4.0,"[-0.018742280066313906,0.19477131948215587]",100.0,"[-0.025810765988866884,-0.15248711509615798]",4.0,"[0.10248111919229184,0.10950127211573897]",100.0,"[-0.09413922865737194,-0.012513172108337111]",100.0,"[-0.05143189664180541,0.0830098795225005]",4.0,"[-0.09984842590836106,-0.06779112377514669]",4.0,"[-0.1162142590432782,0.16196775147418]",4.0,"[-0.17972694277887044,-0.08680755768551726]",4.0,"[0.15577144623221836,-0.049830931781760276]",4.0,"[-0.1412500674025904,-0.0073812571599487205]",4.0,"[-0.004916076996558499,0.07728701576576259]",4.0,"[-0.043730891783616034,0.1587156944275915]",4.0,"[0.1121860162383067,0.05347674539756388]",4.0,"[-0.042761821090975906,-0.10484848103162583]",4.0,"[0.142561144880155,0.12539861705447322]",4.0,"[0.0725376127802142,0.06472989999452829]",4.0,"[0.15268233591597427,0.07738624312055624]",4.0,"[-0.01451868924877961,-0.06817425294042632]",4.0,"[0.0937398915219138,-0.06166933163865782]",4.0,"[-0.09733246653194634,-0.1104063285315503]",4.0,"[0.0716549088507259,-0.15455802590656095]",4.0,"[0.08826969971856077,0.17751935647003242]",4.0,"[-0.0044231017377251115,0.12176015360521293]",4.0,"[-0.1340535827451641,-0.08923716689851724]",4.0,"[-0.02239347833835053,0.033954005294956575]",4.0,"[0.04398490884125993,-0.02737082952404094]",4.0,"[0.02,0.02]",74.86,0.0,1.0,1.0,200.0,1.0,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,74.86,75.357,,,75.606,76.194,right,0.582,,,,,,,,,0.4,,,,,,75.357,75.606,76.194,"[-0.1640791276575007,-0.09038234555762925]",100.0,"[-0.13023042907380838,0.13167378872172153]",4.0,"[-0.10584336911164677,-0.03143309802599609]",100.0,"[0.03345111766688216,0.033464504206860854]",4.0,"[-0.12620048392329986,0.03668156183043053]",4.0,"[-0.04941981348074055,-0.1109721896102053]",4.0,"[0.17284952870508027,0.0674666627257491]",4.0,"[0.1031388626838009,-0.02029873194998089]",100.0,"[0.02794565967817121,0.11874903730156804]",4.0,"[-0.15779446810614742,-0.018597645655563735]",4.0,"[-0.0524648440130289,0.03635341934947522]",4.0,"[0.048340721695977786,-0.19373130816060136]",100.0,"[0.13176466213570762,-0.0787203443437386]",4.0,"[0.0026396753610650374,0.17664325727812688]",4.0,"[0.1863086827588023,-0.029199814398400158]",100.0,"[-0.012163452651872493,-0.073727091621036]",4.0,"[-0.06132022577245479,-0.15211583407656926]",100.0,"[0.18074238851661295,-0.07532862285194593]",4.0,"[0.13358998303021694,-0.1440638625099868]",100.0,"[0.042984675269082256,-0.05424540392651892]",4.0,"[0.06032441041621625,-0.011705500227810467]",4.0,"[-0.1697258217469163,0.022511902913395172]",100.0,"[0.09053748922745466,-0.11193345157272687]",4.0,"[0.0451430075598828,0.1701242811274202]",100.0,"[0.13686264208643797,0.016010688926739524]",4.0,"[-0.11256563713704712,-0.10552764251998009]",4.0,"[-0.0039006646234034555,0.014869725301337264]",100.0,"[-0.1881451941983034,-0.04829820927034678]",100.0,"[0.047706759655284425,0.0788941981946474]",100.0,"[-0.17685517093389702,0.08944078940237697]",4.0,"[-0.12095132792662595,0.08255790645092487]",100.0,"[0.12348381120595146,0.1150348560925083]",4.0,"[0.02,0.02]",77.291,0.0,2.0,2.0,151.0,1.0,,,,,,,
,,,,,,,5658000ca9872d0011e1ba26,6842bb43330fb1b6d6acbbca,2025-06-06_05h56.49.380,shape_ratio,2024.1.5,Win32,165.0165017,6842b561977af9ba9b0f87ca,,,,,,,,,,,77.291,77.787,,,78.036,78.75,right,0.71,,,,,,,,,0.6,,,,,,77.787,78.036,78.75,"[-0.027070243341756256,-0.0444274936054367]",100.0,"[-0.15732809296053316,-0.08934536996753334]",4.0,"[-0.05142957742339323,-0.1432165059595411]",100.0,"[0.04934844052639813,-0.18422764524501878]",100.0,"[-0.1684475136715241,-0.002308241255936039]",4.0,"[0.11695841414924535,0.07845320573778901]",100.0,"[0.09463455038450569,-0.057138676077570054]",4.0,"[0.10152722599552771,-0.14381557563487501]",4.0,"[-0.041679474270166765,0.1532073236400236]",100.0,"[-0.03312469946566726,0.04244758101593164]",4.0,"[0.02055416102299296,-0.04242848768459835]",4.0,"[0.11468790342671753,0.15270749183657142]",4.0,"[-0.01732034999426028,-0.1191104471951313]",4.0,"[-0.04919815622092743,0.08264081218460745]",4.0,"[-0.11825525954151546,0.05420009794746058]",4.0,"[-0.000902406563432933,-0.19242329971176972]",4.0,"[-0.05699514560843497,-0.07797470869129208]",100.0,"[0.023608140134562465,-0.14604245722828857]",4.0,"[0.1526778341320619,0.049255344044172464]",100.0,"[0.00013787310561957708,0.09199775798088378]",100.0,"[-0.06807831522391233,0.014149725984993384]",100.0,"[0.06592073809151651,0.05489000865996657]",100.0,"[-0.07824008938751349,0.052996210510593174]",4.0,"[0.06597694395294955,-0.11889815577968292]",100.0,"[0.10058566660878837,0.004286380703619813]",100.0,"[0.02306165248063214,0.17217797562356257]",100.0,"[-0.012282534321166149,-0.00580744197080843]",100.0,"[-0.10907026869066004,0.12994516333972497]",100.0,"[-0.19758084802068407,-0.030918092041700727]",100.0,"[-0.1684673863016214,0.06986680955554943]",100.0,"[0.13281359372751597,-0.10066152986535996]",100.0,"[0.1961705643664978,-0.029691045848999092]",100.0,"[0.02,0.02]",79.848,0.0,3.0,3.0,52.0,1.0,,,,,,,
