right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0008,28.9471,space,13.9285,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,28.9474,60.2469,space,1.2795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,60.2473,65.4618,space,2.1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,65.4943,65.9633,65.9638,66.2141,66.2144,67.7133,,67.7138,68.8131,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,68.8141,69.3128,69.3128,69.5636,69.5637,70.3221,right,70.3222,71.4128,0.0,1.0,1.0,1.0,1.0,0.8,0.7339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4134,76.1155,space,1.6843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,76.1619,76.6292,,,76.8803,77.5963,left,,,,,,,,0.55,0.7031,,,,,,,76.6299,76.8803,77.5971,"[0.12838935491219242,-0.057304518493763036]",100.0,"[0.17671337481308047,0.05528673778961803]",100.0,"[-0.12044905389375316,0.10803049464321941]",100.0,"[-0.17378421458814172,-0.07269516432542171]",4.0,"[-0.04280760022411304,-0.04714427037697848]",4.0,"[0.029999484336798547,-0.06958857270227661]",100.0,"[-0.07725996562966761,-0.11767126427211433]",4.0,"[0.11412669150094042,0.14401380447247092]",100.0,"[0.16825547984761627,-0.08196942298663487]",4.0,"[-0.09737255302781392,0.15376769978914345]",100.0,"[-0.014717901040323724,0.15543889396834978]",4.0,"[-0.008652180181970032,-0.005014601669563194]",100.0,"[-0.02111901831115653,0.03797754188113432]",4.0,"[-0.18488208015998508,-0.0016991340956273684]",100.0,"[-0.08712885511165434,-0.0431761345984215]",4.0,"[0.06672199406816383,-0.13654538705276673]",100.0,"[0.06648590129768663,0.18431924351342127]",4.0,"[-0.16633136291121706,0.04224781954107855]",100.0,"[-0.1368324286142234,-0.10359880578387043]",100.0,"[-0.13207443240293892,-0.007621823193857597]",4.0,"[0.06230369627243308,0.10297180324941159]",4.0,"[0.02871788575148223,0.04344554945598169]",100.0,"[0.1303752815643952,0.06700250919181631]",4.0,"[-0.030109187059603654,0.09132469276868475]",4.0,"[-0.10004723199387666,-0.08311470993691732]",100.0,"[0.08772224445348652,-0.06313196525984996]",100.0,"[0.14691186155161207,0.02677636546929082]",100.0,"[0.00368596137581536,-0.16208214774266824]",100.0,"[0.0046507859631196346,0.11602013280371393]",100.0,"[-0.13084429673823939,-0.14857765107424986]",100.0,"[-0.04413737301965652,-0.14165267186965197]",4.0,"[0.11990449754169606,-0.011322578635049702]",4.0,"[0.02,0.02]",78.6961,0.0,0.0,0.0,72.0,1.0,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,78.6968,79.1961,,,79.4463,80.1311,left,,,,,,,,0.5,0.6746,,,,,,,79.1962,79.4462,80.1311,"[0.08683333803110256,-0.015227664950073685]",4.0,"[0.04566948069326827,-0.18506221178819504]",100.0,"[0.19243565539609916,0.04442078418828206]",4.0,"[0.10209420888864457,0.046016428655355664]",4.0,"[0.11842724042031162,0.09849076528288904]",100.0,"[-0.04931372311175057,0.18352471434504652]",4.0,"[-0.11004977926967466,-0.11067213291768895]",100.0,"[-0.01053017671199443,-0.11494599529688783]",100.0,"[-0.07273072287681329,0.0886188922526628]",4.0,"[0.04804145791861696,-0.1336618117714758]",100.0,"[-0.1532469477107066,-0.027105632614160914]",4.0,"[0.030485579804712875,0.02510211585015557]",4.0,"[0.04838086657298155,0.1658729447758412]",4.0,"[-0.02011660775673511,0.11983430079064863]",100.0,"[0.07132473281780417,0.09356779608818107]",100.0,"[0.1648795993413766,-0.04976703292766184]",4.0,"[-0.07419013404432995,-0.16485132709549938]",4.0,"[-0.1143320553846059,0.1305989857440819]",100.0,"[0.033615427777557105,0.0740867380056536]",4.0,"[-0.11074920937219103,0.01788845040621537]",4.0,"[-0.15389199528148276,-0.09073745152687034]",100.0,"[-0.10748052500464246,-0.06818840181790907]",100.0,"[-0.05069814194648436,0.05393778928681915]",100.0,"[-0.0047621496692030075,-0.15735850848468105]",100.0,"[0.16516597902062144,-0.10699398337955394]",100.0,"[0.10081790682357473,-0.12007496259516565]",100.0,"[-0.013776543845833352,0.015018558677624623]",4.0,"[-0.03353502844356079,-0.1869928869917883]",4.0,"[-0.1554280715391554,0.10008920211357106]",100.0,"[-0.1739872533498103,0.04183258690550352]",4.0,"[-0.09124887914341197,0.16609418085578748]",100.0,"[-0.0029347037894907266,-0.03453730064220306]",4.0,"[0.02,0.02]",81.2293,0.0,1.0,1.0,91.0,1.0,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,81.2299,81.7292,,,81.9799,82.5789,right,,,,,,,,0.45,0.5882,,,,,,,81.7293,81.9799,82.5791,"[-0.025084460633425645,0.15015238607333295]",4.0,"[-0.007972740893876002,-0.13944488788726853]",4.0,"[0.009604750028655287,0.0338555565882837]",100.0,"[0.0076447061906486456,-0.0248046046055412]",100.0,"[0.05810963319021991,0.11213564012477988]",100.0,"[-0.08872537830755499,-0.1659676110901093]",100.0,"[0.0050161940105921884,-0.18336824195044876]",100.0,"[0.10149659963469383,0.14454928161625058]",4.0,"[0.1926512694655731,0.008131032044160989]",100.0,"[0.10182738444780186,-0.1252404415124812]",4.0,"[-0.0731124856435206,-0.10438120066818325]",4.0,"[0.17522165652924682,-0.07930881680805721]",4.0,"[-0.1312474674057657,-0.041847512931917734]",4.0,"[0.08841446677591777,0.020883449354102177]",100.0,"[0.19055819787211184,-0.03980387560943734]",4.0,"[0.014345283669193569,-0.07296796934594951]",100.0,"[0.046949074976497626,-0.04617563368532082]",4.0,"[-0.17098302893497813,-0.04793559898876901]",4.0,"[-0.06288246759303352,-0.0041367629175318235]",4.0,"[-0.10746924728781268,0.03346108672132333]",100.0,"[-0.1640916347794261,0.063340413792436]",100.0,"[-0.07021942418472689,0.10497444833616436]",4.0,"[0.14333088685655698,-0.12840478283647783]",4.0,"[0.08800817826251012,-0.17048892130563217]",4.0,"[-0.11330340817017477,-0.13234720852731618]",4.0,"[-0.029017847720587037,-0.09714153570470768]",4.0,"[0.13986379631293652,-0.05120540235529317]",100.0,"[0.14822686629836526,-0.009368368854758176]",100.0,"[0.09912521171689055,-0.04512510101174045]",100.0,"[0.13556086620941168,0.030913415963352855]",4.0,"[0.026704020741162286,0.19656326362466525]",4.0,"[-0.01941952796359541,0.09620225177492557]",100.0,"[0.02,0.02]",83.6794,0.0,2.0,2.0,132.0,1.0,,,,,,,
,,,,,,,5a0c4184fe645f0001e9f5dd,6842bb1ff95b8e86f01fcd1d,2025-06-06_11h02.05.578,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,83.6799,84.1793,,,84.4301,85.2126,left,,,,,,,,0.4,0.7695,,,,,,,84.1793,84.4299,85.2127,"[0.11554132281830562,0.09931276785928397]",4.0,"[0.15907035464744482,0.010561839754388782]",4.0,"[-0.14398585797918245,0.12076113925803461]",4.0,"[-0.0319197628800649,0.1539483233899616]",100.0,"[-0.05297583423270265,0.08435637642540382]",100.0,"[-0.12144395410291257,-0.1087837376716862]",4.0,"[0.038636838552875176,-0.11743103321592321]",100.0,"[0.17869055136249176,-0.05056988369195879]",100.0,"[-0.05234194469298121,-0.05817210835649868]",4.0,"[0.06421987775335865,0.08043615199507566]",100.0,"[-0.10646412416339236,-0.009281257848004014]",4.0,"[0.13737500210269987,-0.08881664676531541]",4.0,"[-0.10820675846643965,-0.05330936606765691]",100.0,"[0.12531132165000583,-0.042723325334193214]",100.0,"[0.048894141413263245,0.0261440991466334]",100.0,"[-0.07031318255149281,0.03694917296194168]",4.0,"[-0.012328775076511282,-0.10239535046785087]",4.0,"[0.09524107859607149,-0.1329014378078602]",4.0,"[-0.13297121888420935,0.0626666583112804]",4.0,"[0.08428282756505866,-0.061399218179810006]",4.0,"[0.018021945913685212,0.11118351224930736]",100.0,"[-0.18591246474768755,-0.008674016469459452]",100.0,"[0.021193738594910177,-0.04840128532970771]",4.0,"[0.05224265097269723,-0.15768474828173082]",100.0,"[-0.016912431641315263,0.055770629865162485]",4.0,"[0.13766027502160724,-0.13197077337070934]",100.0,"[-0.031187235682641694,-0.014743355400450995]",4.0,"[-0.012428328227278051,-0.1535698735301865]",4.0,"[-0.16439939565296716,-0.07660754372374035]",4.0,"[0.11760227789721327,0.02446110912146822]",4.0,"[0.14206320666720487,0.13642782309377874]",4.0,"[0.0770824284727668,0.12961728291727592]",100.0,"[0.02,0.02]",86.3125,0.0,3.0,3.0,170.0,1.0,,,,,,,
