right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,20.804,space,5.7903,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,20.8041,52.7043,space,1.8938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,52.7043,57.5376,space,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,57.5461,58.0375,58.0377,58.2876,58.2877,59.7878,,59.7879,60.8876,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,60.8878,61.3874,61.3875,61.6377,61.6377,62.0878,right,62.0878,63.1875,0.0,1.0,1.0,1.0,1.0,0.8,0.4198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1877,67.9877,space,1.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,67.993,68.4876,,,68.7378,69.2376,left,,,,,,,,0.6,0.4798,,,,,,,68.4878,68.7378,69.2378,"[0.09571575354797089,0.15888872010335103]",100.0,"[-0.03663613762474313,-0.02241682904620454]",100.0,"[0.12762537543482264,-0.1284744620275096]",4.0,"[0.07137044549935737,-0.04487425995996991]",100.0,"[0.037696917459865996,0.03568981616576042]",4.0,"[0.029872934661451224,-0.16771853949094467]",4.0,"[-0.12671374331829924,0.13410927393406538]",100.0,"[0.12006673911065932,0.07089316031966755]",4.0,"[-0.13956372587949198,0.055957511266848836]",4.0,"[-0.06407626871059721,0.14252223735877861]",100.0,"[-0.07606514444790695,-0.18195340349092942]",4.0,"[-0.03347365938930249,-0.074362102255664]",100.0,"[-0.016103861719153095,0.19849665142462158]",100.0,"[-0.09887511755448626,-0.06723047392033181]",100.0,"[0.16704927560784857,-0.020567509447518575]",100.0,"[-0.10724458906232308,-0.135370376295406]",100.0,"[-0.04459468820039788,0.045027542572557935]",100.0,"[0.08596425199714602,0.0212932012040634]",4.0,"[-0.15364368826782962,-0.12370775021374981]",100.0,"[-0.10873668682294672,-0.02766547382034026]",100.0,"[0.014403996623101238,-0.020837768057242346]",4.0,"[0.018274406551811822,0.0946218184251242]",4.0,"[0.16883807964859393,0.08460446807063673]",4.0,"[-0.08238045146348255,0.09723780569157899]",100.0,"[0.019437900613232098,-0.08784916325299238]",4.0,"[-0.1773133371507676,-0.0012003992930848808]",100.0,"[-0.0177924147329967,-0.14114608023048414]",100.0,"[0.07518509615412812,0.07245792328922972]",100.0,"[0.08603605262874084,-0.10979283339595929]",100.0,"[0.03738159205985924,0.16878403995040894]",4.0,"[0.13780684579525085,-0.0480435125813789]",4.0,"[0.13556529083898738,0.1405872805795709]",100.0,"[0.02,0.02]",70.3377,0.0,0.0,0.0,39.0,1.0,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,70.3379,70.8376,,,71.0877,71.5377,right,,,,,,,,0.5,0.4422,,,,,,,70.8376,71.0877,71.5377,"[-0.062487267411052816,0.10656831910626391]",100.0,"[-0.1411251021174255,0.023305602234854762]",100.0,"[0.1132418683752438,-0.03476490299180375]",4.0,"[-0.07884580203190243,-0.15396377160884106]",100.0,"[-0.10563299622776454,-0.06271520055748747]",4.0,"[0.06509650102116214,-0.10625410652007515]",4.0,"[-0.13528081574012088,-0.11390544074915808]",100.0,"[-0.049533539934625684,0.15034860320270188]",4.0,"[0.13354668698079283,-0.13950665536445944]",100.0,"[-0.07373316211088157,0.03388353945528904]",100.0,"[0.1408758997647391,0.07883518193318079]",100.0,"[-0.1318859203312449,0.10819882067165384]",4.0,"[0.013596027258921142,0.04838234291823383]",4.0,"[0.09539584647511885,0.09330986815112675]",4.0,"[0.14020779524077404,0.010587928823596686]",4.0,"[-0.1865047648531329,0.02651743709082019]",100.0,"[-0.09464728619930357,-0.110161088316214]",4.0,"[-0.1664016939574182,-0.04289238849222397]",4.0,"[-0.04858949008750267,-0.18053623755737921]",100.0,"[0.027370416039259785,-0.14610296908595194]",100.0,"[-0.0005673518110474932,-0.09186069255179857]",100.0,"[0.04237754684271857,0.15524810800821084]",100.0,"[0.10013093732531513,0.03558888935176016]",4.0,"[-0.1968881800299553,-0.012397654093516676]",100.0,"[0.01068760439606666,-0.012292504958078912]",4.0,"[0.0052758081550377915,0.09854640897927967]",100.0,"[0.08335965774576291,-0.1460969545341319]",4.0,"[-0.04755440125850039,-0.04630444587798045]",100.0,"[-0.05741904084032695,-0.09217125803994826]",100.0,"[0.1576152901776319,-0.055488163722120835]",4.0,"[0.19012314385990858,0.042685017911032797]",4.0,"[0.09471632244735172,0.14371252985681865]",4.0,"[0.02,0.02]",72.6377,0.0,1.0,1.0,119.0,1.0,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,72.6378,73.1376,,,73.3878,73.9543,right,,,,,,,,0.9,0.566,,,,,,,73.1376,73.3878,73.9544,"[0.16394310393846445,-0.02708988653508253]",100.0,"[-0.030700948605250442,0.08603279497059627]",100.0,"[0.11555935625268703,0.11887582716415089]",100.0,"[0.07744542742432742,0.059716221164711675]",100.0,"[0.02322647958173216,-0.11189272545598211]",100.0,"[0.19845338802036339,0.021116678943673504]",100.0,"[-0.0010661419767685574,0.0532664620574026]",100.0,"[-0.10258397284744421,-0.055164041584265945]",100.0,"[0.11879101640639171,0.040173913444700934]",4.0,"[-0.011287158701763113,0.1352484134729866]",4.0,"[-0.16021141486005583,-0.028659764908641108]",100.0,"[0.04547877067523946,0.17236517699639184]",100.0,"[0.05921234240331626,-0.03127505248104462]",100.0,"[0.0676413494053029,-0.10991606177697792]",4.0,"[-0.0727099407827602,0.13850278768492488]",100.0,"[0.14093699798547568,-0.06681655664005161]",100.0,"[-0.11397418357734468,0.03324993302712711]",100.0,"[0.1212661194966158,-0.13236380893004768]",100.0,"[-0.0038120740410901954,-0.04808582247145378]",100.0,"[-0.021822817712758763,-0.005063995204193198]",100.0,"[0.035893255444699006,0.11753969743224879]",100.0,"[-0.03775117086181327,0.17617055962801684]",100.0,"[-0.12593985495556304,0.07538197949672287]",100.0,"[-0.11398211091446371,0.12568199876861463]",100.0,"[0.07963819059691957,0.13717738110727612]",100.0,"[0.05845666202097081,-0.15457305107174474]",100.0,"[-0.09278329788216488,-0.154838688245019]",100.0,"[-0.17623409991442512,0.06497771459769915]",100.0,"[0.028822399541714325,-0.0037363804868013805]",100.0,"[-0.17075057051277792,-0.08747188837912237]",100.0,"[-0.09243959643090009,-0.09720061217505305]",100.0,"[0.17764119463297154,0.08259345347896405]",100.0,"[0.02,0.02]",75.0543,0.0,2.0,2.0,11.0,1.0,,,,,,,
,,,,,,,5a1d44eeab721b0001ef9566,6842bbd6679d2d9fbd464d4a,2025-06-06_11h58.55.530,shape_ratio,2024.1.5,Win32,120.4819277,6842b561977af9ba9b0f87ca,,,,,,,,,,,75.0545,75.5543,,,75.8044,76.321,left,,,,,,,,0.55,0.5009,,,,,,,75.5544,75.8044,76.3211,"[-0.011638629874282127,-0.16242976115525995]",100.0,"[0.11252715784638805,0.031166854315731445]",100.0,"[0.10749369791170182,-0.09139704215935884]",100.0,"[-0.16324953316255245,-0.0877229629531987]",4.0,"[-0.11344070721042618,-0.03410841953503608]",100.0,"[0.10500147684106938,-0.1340901980522405]",4.0,"[-0.17239798044775154,0.006075542198332064]",100.0,"[0.1432468203247023,0.06135550821286414]",4.0,"[0.06134161064425098,-0.014167086980534892]",100.0,"[0.0048194128672818136,0.14943283265117213]",100.0,"[0.025400770533900174,0.015199596602525078]",100.0,"[-0.06320731090346042,-0.0032721321960364584]",100.0,"[-0.0385433241579667,-0.10205013495162585]",100.0,"[-0.022053006980981643,-0.011316781106394756]",100.0,"[0.11620522207841806,0.12942450444037754]",4.0,"[0.030572620876721645,0.09577869348031536]",100.0,"[-0.04289538023238889,0.03237621736559679]",4.0,"[0.06061882386311977,-0.17453855548986003]",100.0,"[-0.09750032070918975,0.14666415926157247]",4.0,"[0.018507785888257383,-0.05373655681339796]",4.0,"[0.17508207522024247,-0.07346911434792112]",4.0,"[-0.06764110926867921,-0.1846883687816867]",4.0,"[-0.019801186488224896,0.10800809329934041]",4.0,"[-0.15823383878764363,0.07262245702737853]",4.0,"[-0.18273986335172265,-0.0481338098200166]",4.0,"[0.1679631631980259,0.006921903431890403]",100.0,"[0.06668561289474856,0.06596369257524867]",4.0,"[0.05275670929021391,-0.1169019340397436]",4.0,"[-0.09283196112321133,-0.12341432607189509]",100.0,"[-0.14804745041309483,0.1325556502306465]",100.0,"[0.044491162418838805,0.18753556682416322]",100.0,"[0.054036378419568806,0.1393631477847234]",100.0,"[0.02,0.02]",77.421,0.0,3.0,3.0,72.0,1.0,,,,,,,
