right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,25.712,space,10.6897,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,25.7121,56.5566,space,0.8267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,56.5568,60.3218,space,0.7643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,60.336,60.8283,60.8285,61.0822,61.0824,62.5802,,62.5804,63.6707,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,63.6712,64.1637,64.1638,64.4121,64.4121,65.0564,left,65.0564,66.1446,0.0,1.0,1.0,0.0,1.0,0.2,0.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1449,87.2406,space,18.0886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,87.2503,87.7467,,,87.9873,88.7886,left,,,,,,,,0.6,0.789,,,,,,,87.747,87.9872,88.7889,"[0.05258625643799392,-0.03739050361477094]",100.0,"[-0.19400943979981922,0.023461051202335343]",4.0,"[0.15717229909271824,-0.01777169364688867]",100.0,"[0.12939669967265102,-0.046839534642367474]",4.0,"[-0.16933059219102312,-0.1057170315964322]",4.0,"[-0.1310060233126107,0.04322624354130209]",100.0,"[-0.015493391181443224,0.0016828683753667315]",100.0,"[-0.11257470324736003,0.16112891271962257]",100.0,"[-0.1357093141398385,-0.05506464151348452]",100.0,"[0.06406222595473449,-0.1377392671938291]",100.0,"[0.004702059592806693,0.05924114836947221]",4.0,"[0.18669937114415674,-0.050335466143481236]",100.0,"[-0.07692386381003993,-0.0292778810399683]",4.0,"[-0.11164055600624659,-0.004004808141483889]",100.0,"[0.08414631310726094,-0.07916214470679217]",4.0,"[0.04294970902164671,0.0461798538856539]",100.0,"[0.03810121269250836,0.13105308123362633]",4.0,"[0.1165058939793057,0.013492066188137551]",100.0,"[-0.006192512052375585,0.10833738738443772]",100.0,"[0.03731961477857178,-0.09225514835968361]",4.0,"[-0.0846683144677636,0.07390093089771126]",100.0,"[0.010473556353585434,-0.053688709024402044]",100.0,"[0.005636491275539529,0.19495520903184743]",4.0,"[-0.0652460482797424,-0.10856802708747042]",4.0,"[-0.08558401519486306,0.03298057668155134]",100.0,"[-0.04591884945519937,-0.19433992090030552]",4.0,"[0.10999562582501139,0.08939131353523315]",100.0,"[0.11450679693005492,-0.10851988736773475]",4.0,"[0.16563625440173205,0.049888120252324315]",100.0,"[0.18797108718484673,0.011299253081600024]",100.0,"[0.10579491335664432,0.1356015989480938]",4.0,"[-0.11693830466951378,-0.16105969964506645]",100.0,"[0.02,0.02]",89.8705,0.0,0.0,0.0,36.0,1.0,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,89.8709,90.3638,,,90.6142,91.3963,left,,,,,,,,0.6,0.77,,,,,,,90.3638,90.6141,91.3964,"[0.13814599316627776,0.12123287358461664]",100.0,"[0.14410114121261525,0.01787669701839482]",4.0,"[0.1473919052862872,0.07911728861332341]",4.0,"[0.07619673791781464,0.13487225952933607]",100.0,"[0.04213023530973304,0.10435214595160347]",4.0,"[0.12309502785247763,-0.15136967515792965]",100.0,"[0.00458304436728762,0.04641514481159654]",100.0,"[0.1350707263803576,-0.06021885477667637]",100.0,"[0.07718636225902996,-0.11061133310396816]",100.0,"[0.02507937049925369,-0.17280813387256452]",100.0,"[-0.048353241904271274,-0.02360499154790488]",100.0,"[-0.1261430330154899,-0.093458390180986]",100.0,"[-0.12761485540684966,0.1379530335394155]",4.0,"[0.08101443135774153,-0.053322816550814195]",4.0,"[-0.10088351241814586,0.04736236037263088]",100.0,"[-0.025585380616419486,-0.12076116365950806]",4.0,"[-0.0016941806004072226,0.14434165562861198]",100.0,"[-0.07180999133974883,-0.11389720055477283]",100.0,"[-0.13446373167982684,-0.026015539872980584]",4.0,"[-0.06710538513695391,-0.15799252026443866]",100.0,"[-0.005467163250679673,-0.08527939093972739]",4.0,"[-0.1810585718036651,0.02647015974211131]",100.0,"[-0.1854256665171758,-0.04044040464073676]",4.0,"[-0.07928816480227234,0.14256600909790984]",100.0,"[-0.10123900594441745,-0.05673534149505193]",100.0,"[0.02629641655739498,-0.05500120709876112]",100.0,"[-0.027777664394073292,0.19741061892094255]",100.0,"[0.06478083520835383,0.18493863312093492]",4.0,"[0.18146286458273547,-0.04807394056003185]",100.0,"[0.023013997744562392,0.003167107804479431]",4.0,"[0.05846043111581817,0.02499551651637576]",4.0,"[-0.14854900748564664,0.09969539749007471]",4.0,"[0.02,0.02]",92.4845,0.0,1.0,1.0,54.0,1.0,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,92.4848,92.9789,,,93.2275,93.885,right,,,,,,,,0.55,0.6457,,,,,,,92.9789,93.2275,93.885,"[0.03469435558463719,0.050301197319613404]",4.0,"[0.05875438401669416,0.1736523062912802]",100.0,"[-0.1247055650758943,0.037904290930208986]",4.0,"[0.010607586269433776,0.1897136288408823]",4.0,"[0.05028339668555961,-0.014667417927223442]",4.0,"[-0.03934688262044443,0.042300188532061224]",4.0,"[0.07818637542928539,0.021771150954942822]",4.0,"[0.17518358352956737,0.009473597453820226]",100.0,"[0.08642191729058464,-0.1062652271939227]",100.0,"[0.09727454416162411,0.14224554251663846]",100.0,"[-0.043526769392578026,0.13613449940010425]",100.0,"[-0.09823057170329234,0.1641442823735188]",100.0,"[0.1333898246049653,-0.09474125933228876]",4.0,"[0.13584131912844244,0.043641077476528393]",100.0,"[-0.1621189527329686,-0.03825132433665333]",100.0,"[-0.001649388969799343,0.08999394921676193]",100.0,"[-0.015755731199272777,-0.0978528772307037]",4.0,"[-0.08509601821985295,0.05524307785641017]",100.0,"[-0.05979777729778923,-0.06646415321466786]",4.0,"[0.007041856325140795,0.1373967841722517]",100.0,"[-0.03412874985986697,-0.13355637300700407]",100.0,"[0.0404629192830087,-0.15171956681026202]",4.0,"[-0.12118891582908262,0.0823643293171135]",100.0,"[-0.10710262990408351,-0.042600185714037744]",4.0,"[0.18465059707671932,-0.06970859329171647]",100.0,"[-0.11547655215574572,-0.11279755953486142]",4.0,"[0.002785729851552408,0.018794525336714166]",100.0,"[-0.16966197693936727,0.09380765668255901]",100.0,"[0.011751624870753784,-0.1961233730637944]",100.0,"[0.1666307271695005,0.08129265886995414]",100.0,"[0.08941715005492905,-0.023710258309801394]",4.0,"[0.15263707254268058,0.11901147624089851]",4.0,"[0.02,0.02]",94.9789,0.0,2.0,2.0,80.0,1.0,,,,,,,
,,,,,,,5a8d8079190420000156435d,6842bb3b96e1f3ce14561fac,2025-06-06_05h57.17.031,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,94.9792,95.47,,,95.7138,96.5245,right,,,,,,,,0.4,0.7988,,,,,,,95.4701,95.7138,96.5245,"[0.09280127923064005,-0.16151682031388603]",100.0,"[0.09826402221392076,0.1041180444750347]",4.0,"[0.18883716454703559,-0.04997493426354969]",100.0,"[-0.07991597429109353,0.07298917791034208]",4.0,"[-0.09221360803622794,0.15926645075602922]",4.0,"[-0.013997816543010803,-0.17785696529457057]",4.0,"[0.011234843035166395,0.0017330322874584525]",100.0,"[0.06009914112247666,-0.10125965729637702]",4.0,"[-0.1508342017676068,0.004905579540961025]",100.0,"[-0.04308986147461062,0.19221190376984293]",100.0,"[0.16205271717054814,0.02970627123716589]",4.0,"[0.1321021876837716,0.07237220277848538]",4.0,"[-0.07323578405885645,-0.04327865500847606]",4.0,"[0.049779247781840605,-0.034148211272484096]",100.0,"[0.13433722066060813,-0.02423454314577361]",4.0,"[0.06819001336303433,0.18768812738966895]",4.0,"[0.12408175567367964,-0.1179348136311709]",4.0,"[-0.019436480216572814,-0.03846121549429659]",4.0,"[0.015872308735599153,0.16884998420940997]",4.0,"[-0.11624578440534494,-0.16031051065979843]",100.0,"[-0.1697867681357862,-0.09435317744606743]",4.0,"[0.12060478252286112,0.01670529095870399]",4.0,"[-0.12960656044460164,0.060284928080055464]",100.0,"[0.019983857866016686,0.12073239964398415]",4.0,"[0.07994741384992445,0.062304624881972935]",100.0,"[-0.02304574557192436,-0.13522150403402391]",100.0,"[0.038630093869550526,-0.17969568252330753]",100.0,"[0.07876774059411873,0.0020638246532081925]",100.0,"[-0.03558005562082405,-0.09295145455134106]",100.0,"[0.016119682853776646,-0.08471617601387198]",4.0,"[-0.0212329051524645,0.10859152410205804]",4.0,"[0.0888445434908186,0.1521167692921529]",4.0,"[0.02,0.02]",97.6172,0.0,3.0,3.0,162.0,1.0,,,,,,,
