right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,24.087,space,9.0761,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,24.0873,57.1037,space,2.9934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,57.1039,61.1698,space,1.0389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,61.1878,61.6868,61.6872,61.9237,61.9239,63.4196,,63.4198,64.52,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,64.5206,65.0194,65.0194,65.2698,65.2698,66.4362,right,66.4363,67.5365,0.0,1.0,1.0,1.0,1.0,0.8,1.1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.537,71.2529,space,0.6906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,71.2667,71.753,,,72.0036,72.5533,left,,,,,,,,0.9,0.531,,,,,,,71.7536,72.0035,72.5537,"[0.1604777627500915,0.0979273909481064]",100.0,"[-0.08355016590704963,0.011677904880651731]",100.0,"[-0.1593312695377489,0.08894357196734809]",4.0,"[-0.07956853115247724,-0.11867343651870091]",100.0,"[-0.12544657216276475,-0.09967377472060036]",100.0,"[-0.14650172254387567,0.037868959630157156]",100.0,"[0.04156022792890837,0.08638653753056072]",100.0,"[0.05689881785367665,-0.06486192583889425]",100.0,"[0.07002472029356915,0.1759834136441269]",100.0,"[0.10519814544934128,-0.032131348897548206]",100.0,"[-0.03146400638142771,0.1144607544344156]",100.0,"[0.16046880859178342,-0.07785884624838209]",100.0,"[0.05572358833178792,0.015786321817092275]",100.0,"[-0.04135065964037238,-0.015900864515659804]",100.0,"[-0.013861579169706149,-0.09882333875313985]",100.0,"[-0.06512151332648619,0.050180825879028224]",100.0,"[0.043304022247062,-0.17301987603466698]",100.0,"[0.1873742064124707,0.05480479865619726]",100.0,"[-0.04388010615512023,0.15614703833462515]",100.0,"[0.076362063700843,-0.10270314340552932]",100.0,"[0.12287920993675432,0.15457990392432727]",4.0,"[0.0042403529095825215,0.01491918240334059]",100.0,"[-0.1947238488749439,0.017003182679189488]",100.0,"[0.022897408903858225,-0.03862682169234191]",100.0,"[-0.1010903314208937,0.07096395879339627]",100.0,"[-0.10867012794318386,0.15837976068154433]",100.0,"[0.09492558806096434,0.0979848973902172]",100.0,"[-0.11045896602161896,0.11043725402378134]",100.0,"[0.14525392272917564,-0.11583978937737592]",100.0,"[-0.033378959207247566,-0.19611623136569012]",100.0,"[-0.08423203524612165,-0.06361722577629993]",100.0,"[0.005500723336998346,0.13855982292047875]",4.0,"[0.02,0.02]",73.6531,0.0,0.0,0.0,15.0,1.0,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,73.6536,74.1526,,,74.4033,75.2195,right,,,,,,,,0.55,0.8048,,,,,,,74.1526,74.4033,75.2195,"[-0.008927362423620895,-0.04151522794349297]",4.0,"[0.11750532635225325,0.022559007957793416]",100.0,"[-0.18205568867991503,-0.017701058731506583]",4.0,"[0.0020345746194135876,0.10312418976945903]",4.0,"[-0.12006409834280542,0.09110404368956651]",100.0,"[0.04757024435632192,0.1789783279822933]",100.0,"[0.016819374727627928,-0.005709050974554355]",4.0,"[-0.0709045048688258,-0.10633468128549112]",4.0,"[0.1886483613001105,-0.0619960253228085]",100.0,"[-0.12058284653735359,-0.08946519454196143]",4.0,"[-0.05753909625298025,-0.17845336128074185]",100.0,"[-0.18564490786036805,-0.06386398893012783]",100.0,"[0.0767463435395087,-0.009226210202070978]",100.0,"[0.02708388708635185,-0.12002479329018961]",100.0,"[-0.08472958290107285,0.006151457383239667]",100.0,"[-0.07473695905269341,0.06807810837293977]",4.0,"[-0.1967438178828816,0.028546682751537253]",4.0,"[-0.012400913011215957,-0.18846910944741385]",100.0,"[-0.04933339198780294,-0.06426746023318344]",100.0,"[-0.03974726701579852,0.028585816370545806]",4.0,"[-0.14041855673499526,-0.12506225870066615]",100.0,"[0.14027589996943277,-0.029104238808395674]",100.0,"[-0.13962763728892746,0.0409680007901151]",4.0,"[0.06787015292288998,-0.07426501627218846]",100.0,"[0.05438805320167925,-0.15487670091750425]",100.0,"[-0.05259623781755916,-0.018039459209623073]",4.0,"[0.13960578852815586,0.07051074030442735]",4.0,"[0.1304986347943068,-0.08637100032822817]",4.0,"[-0.14682855875362688,0.12115808025565934]",100.0,"[0.07585001969455804,0.09268954712665493]",100.0,"[-0.03720325343902032,0.14527534733164899]",4.0,"[0.13047283909553392,0.133153139364696]",100.0,"[0.02,0.02]",76.3195,0.0,1.0,1.0,64.0,1.0,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,76.32,76.8193,,,77.0697,78.3031,left,,,,,,,,0.4,1.2169,,,,,,,76.8193,77.0697,78.3032,"[0.13011137468004588,-0.08681206464868188]",100.0,"[-0.06842999460694885,0.07157228624903839]",4.0,"[-0.10262452147258355,-0.05124223879979566]",4.0,"[0.08205827550118214,-0.14901182990708128]",100.0,"[0.054895340334844146,-0.015816247737832318]",100.0,"[-0.01611139583831166,0.1493196664222586]",4.0,"[-0.16502017007540273,-0.040234717104464884]",4.0,"[0.15604499398492036,0.08849990768234717]",100.0,"[0.06226015703289076,0.1451043647031326]",4.0,"[-0.09738477823361824,-0.16582260419972503]",100.0,"[-0.17345028834108178,0.009599964254067037]",4.0,"[0.10795651404751905,0.13564443361186437]",100.0,"[-0.026629499102095708,-0.1611479621207664]",100.0,"[0.018061643014282786,-0.08701008070687671]",4.0,"[-0.10758779658748922,0.05208549421508324]",4.0,"[0.18148144165261326,-0.009358920773617819]",4.0,"[0.10098711549675292,0.016597319362433322]",100.0,"[-0.11780380243523834,-0.12700106833656322]",100.0,"[-0.15134287042801983,-0.08316640268655898]",100.0,"[-0.006981415618412736,0.03882917282286212]",100.0,"[0.030465228284974652,-0.17887785137180184]",4.0,"[0.10426058350489699,0.09261387647740707]",4.0,"[0.17043618800311736,0.0366829375844639]",4.0,"[-0.18991077493206948,0.053005211901113014]",4.0,"[0.13288799642625812,-0.019854599698191134]",4.0,"[-0.06309625384286602,-0.0622111981857974]",4.0,"[-0.006971814598265214,-0.12628143954298057]",100.0,"[-0.07156299012622717,-0.10599334929316533]",4.0,"[-0.13191536273296353,0.09099366228894286]",4.0,"[-0.12722523180333267,0.006303653333972162]",4.0,"[-0.048231477851776436,0.024320678073926977]",4.0,"[-0.0737136820311389,0.15399992495353318]",100.0,"[0.02,0.02]",79.4028,0.0,2.0,2.0,178.0,1.0,,,,,,,
,,,,,,,5b3158ba532e3d00018e324a,684428c4a592fdff32f0d0d7,2025-06-07_13h59.07.422,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,79.4034,79.9028,,,80.153,80.5365,left,,,,,,,,0.6,0.3643,,,,,,,79.9029,80.153,80.5365,"[0.16422434208612835,0.04818452745918214]",100.0,"[-0.024146946374691346,0.16908575982166704]",100.0,"[-0.004903882132421061,-0.06681310074698031]",100.0,"[-0.09680047004638297,-0.1652967324285313]",4.0,"[-0.15338034195451258,0.106442233638759]",4.0,"[0.1419432544769953,0.12408438273305286]",4.0,"[0.07610079306048141,-0.0415719070749491]",4.0,"[-0.14300411201894336,0.020034722896555692]",100.0,"[-0.08216487341882206,0.10013771906626631]",100.0,"[-0.18110226777729757,-0.07500836192045283]",100.0,"[0.15060525030262573,-0.09286659630614834]",100.0,"[-0.15316876223176315,-0.03112735930725453]",4.0,"[0.027261189381386223,-0.1194737294054261]",4.0,"[-0.044106983996200826,0.12870199885921288]",4.0,"[-0.008012099037509289,-0.17471200638807532]",4.0,"[-0.03368793714825257,0.027627612812496663]",100.0,"[0.07107039429464374,0.1458567331883019]",100.0,"[0.18668966170090856,-0.02291650057782539]",100.0,"[0.037544283337616856,0.046112906099492576]",100.0,"[-0.02936842101931016,-0.024153457539155886]",100.0,"[0.15575339913915776,0.008084931784587104]",4.0,"[0.028084356958556937,0.09434467544597411]",4.0,"[0.11344858972703065,0.0225181322168148]",100.0,"[-0.10731102391367402,-0.07046623784304042]",4.0,"[0.03556054892264422,-0.19610177551732572]",100.0,"[-0.052797716273525114,-0.08413030664393799]",100.0,"[-0.07738009637138044,-0.03566654587638827]",100.0,"[-0.1314491487272467,0.06890540036993092]",100.0,"[0.017510295233729076,0.14977105840659213]",4.0,"[-0.10615744545066243,0.00007640547392436878]",4.0,"[-0.18517819630199323,0.032383672422002865]",100.0,"[0.12851780245490932,-0.13221852155299552]",100.0,"[0.02,0.02]",81.6359,0.0,3.0,3.0,46.0,1.0,,,,,,,
