right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,67.5391,space,52.5107,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,67.5394,99.4115,space,1.8697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,99.4118,102.9469,space,0.5219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,102.9684,103.4464,103.4467,103.6886,103.6889,104.8332,right,1.125,,104.8334,105.9289,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,105.9297,106.4156,106.4158,106.6489,106.649,107.0925,left,0.4365,,107.0926,108.1985,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.1988,113.4144,space,2.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,113.4333,113.927,,,114.1916,114.8607,right,0.6627,,,,,,,,,0.9,,,,,,113.9273,114.1915,114.861,"[0.060432493492214794,0.17407293648194458]",100.0,"[0.1225618477576032,-0.14683160722547028]",100.0,"[-0.042677187277083806,-0.02374021782524726]",100.0,"[0.06342537359016498,-0.0065705355430267865]",100.0,"[-0.02620615177874776,0.14714658135581138]",100.0,"[0.054976249882887615,0.08082620405627976]",100.0,"[-0.04908428819825532,-0.12692163518555727]",100.0,"[0.007272311930945992,0.10602616570871351]",100.0,"[0.038149392589208686,-0.14217177918887036]",100.0,"[-0.0872463087233478,0.016111129733715375]",100.0,"[-0.10106069519783188,0.06750390194927594]",100.0,"[-0.04476925685160875,0.024936880774819488]",100.0,"[-0.034477915107009635,0.06380998329999993]",100.0,"[0.04676521553215592,-0.19216745764777338]",4.0,"[0.04063020353206051,0.1339044601768839]",100.0,"[-0.024985702297861484,0.19394174263341027]",100.0,"[0.10907059657371976,0.07160939263568024]",100.0,"[0.09640545055729835,0.11607729914940244]",100.0,"[-0.08024432086250223,-0.0911577277000922]",100.0,"[0.13209000386639963,-0.010161919632202499]",100.0,"[-0.0965406779402978,-0.051899079865898944]",100.0,"[0.014046516818312713,-0.05650202155318362]",100.0,"[-0.07542713700333196,0.11546437871697199]",100.0,"[0.04502542202360032,-0.10255434224863877]",4.0,"[-0.007789057450885874,-0.17331217676665023]",100.0,"[-0.18241845059145992,-0.011201848608631163]",100.0,"[0.002277995366351218,0.03893332523041969]",100.0,"[0.0916091086564596,-0.03658029511008013]",4.0,"[-0.0963328577364375,0.17459692040125008]",100.0,"[0.10297510228354657,-0.09519179587611007]",100.0,"[0.18541272859025848,-0.03153974238658578]",100.0,"[-0.1715981917395581,0.07889647597148172]",100.0,"[0.02,0.02]",115.9635,0.0,0.0,0.0,1.0,1.0,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,115.9637,116.4657,,,116.6898,117.2039,right,0.4898,,,,,,,,,0.9,,,,,,116.4658,116.6897,117.2039,"[0.10786667596008241,0.017179949562657747]",100.0,"[-0.026363014740731758,-0.029824144724426908]",100.0,"[0.10562348902623235,0.09798092981608252]",100.0,"[-0.15356741227118814,-0.051945039588369796]",100.0,"[0.012807399179300192,-0.060599018630053215]",100.0,"[0.05715582494478928,0.020667810997820724]",100.0,"[0.15502894784024995,0.03396528156555806]",100.0,"[-0.061310255791227834,-0.1233505598656997]",100.0,"[0.053633612960992026,-0.0846494179977223]",100.0,"[-0.048851759542852334,0.06465871075199729]",100.0,"[0.14162318746310953,-0.06147751656337714]",100.0,"[-0.08055230346961835,0.16949448580875598]",4.0,"[0.022385194051867414,0.08959967280562793]",100.0,"[0.02424983324681267,0.18817915879460384]",4.0,"[0.06071081765556063,0.15200659549076026]",100.0,"[-0.07951760252368406,0.022379749717922216]",100.0,"[-0.148785410838544,0.03014911041556175]",100.0,"[-0.01317703294132681,0.010697297432905374]",100.0,"[-0.10199293234970741,0.11507422154015604]",100.0,"[-0.035496857919089415,0.16006173081107833]",100.0,"[0.08902797587177018,-0.1193292564143904]",100.0,"[-0.18815790823154332,0.06483697971769951]",100.0,"[0.19834673066826883,0.0059019318551616]",100.0,"[0.011309928838953952,-0.15306955851717322]",100.0,"[0.08827910358894384,-0.16812544039507477]",100.0,"[-0.11747696284816597,0.06138567063423375]",100.0,"[-0.14044338844141188,-0.09247981465718294]",100.0,"[-0.05437432550145206,0.104586036892625]",100.0,"[0.11554898036249373,0.14779763950546584]",100.0,"[-0.10140730625593784,-0.12738462157746164]",100.0,"[-0.043625864587063905,-0.1809376422791761]",4.0,"[-0.0015905613613779418,0.05287738590322901]",100.0,"[0.02,0.02]",118.2914,0.0,1.0,1.0,18.0,1.0,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,118.2917,118.7683,,,119.0,119.9342,right,0.9276,,,,,,,,,0.55,,,,,,118.7683,119.0,119.9343,"[0.13096875930310692,0.12437395586390687]",100.0,"[-0.13003496648827328,-0.1036425182615296]",4.0,"[-0.09376494311305164,0.007465576107223098]",100.0,"[-0.0068356186653050184,-0.1268793552758492]",4.0,"[0.02290540189398183,-0.031227193915592213]",100.0,"[-0.03708654532437809,-0.040532931641656104]",100.0,"[0.11147393703440883,-0.03610699241593062]",4.0,"[0.10358765184554643,0.012423003388546034]",4.0,"[0.06901071464329028,-0.06087064882456662]",4.0,"[0.008462069113748307,0.02939792323657235]",100.0,"[0.051379179652086146,0.09622027963424465]",100.0,"[-0.015070598907276737,0.13205266522092374]",100.0,"[-0.10824449112845087,0.04514950196135018]",100.0,"[0.0882328316683672,0.13460492544406405]",100.0,"[-0.1768092700293159,-0.0774817235165739]",4.0,"[0.12708786543431363,0.052903896223345875]",4.0,"[-0.06726882052364337,0.11280682530432955]",4.0,"[0.04625069661530147,0.14742646605750387]",4.0,"[0.0763617965070826,-0.12299348361374289]",100.0,"[0.173657936743612,-0.00978579806820544]",100.0,"[-0.12909464993741485,-0.03277804339379743]",4.0,"[-0.055925761246442496,-0.12915823052996292]",100.0,"[0.04982218826681533,-0.16918632774015185]",4.0,"[-0.1563465861795295,0.027914944153645305]",100.0,"[-0.03165407540426485,0.196454252649647]",100.0,"[-0.06251801908238207,-0.18970886210300444]",4.0,"[0.15873214193280114,-0.08566043439980808]",100.0,"[0.12954524473020818,-0.13785060549119424]",100.0,"[0.0515927921324757,0.19112550252933738]",100.0,"[-0.0077408285759079055,-0.19093915702105516]",4.0,"[-0.18208382959734237,0.07241209036064188]",100.0,"[-0.04154468721732372,0.08109339282795368]",4.0,"[0.02,0.02]",121.0286,0.0,2.0,2.0,76.0,1.0,,,,,,,
,,,,,,,5c19b6e25ead950001bdb5a8,6842bb8b4b197d0d6f9e8885,2025-06-06_03h58.09.799,shape_ratio,2024.1.5,Linux x86_64,60.24096386,6842b561977af9ba9b0f87ca,,,,,,,,,,,121.0289,121.5198,,,121.7756,122.2018,left,0.4195,,,,,,,,,0.1,,,,,,121.5198,121.7756,122.2018,"[0.05782263142329399,-0.0004317427863261545]",4.0,"[-0.162659284308783,-0.06329735164180675]",4.0,"[0.10978547558537428,0.11983915893986641]",4.0,"[-0.06686693267745389,0.06823610844768882]",4.0,"[0.026286947731924845,-0.1770164083232006]",4.0,"[-0.0562797364530553,0.13603727243391905]",4.0,"[-0.1329131024402447,0.017296942135564947]",4.0,"[0.021592021145858484,0.15200114797593478]",4.0,"[0.1587099392494433,-0.11230459699010041]",4.0,"[0.12135298289614654,-0.09569156315419819]",4.0,"[-0.0021834093740600987,-0.13543429607290058]",4.0,"[-0.1406023652058176,-0.027331242127858955]",100.0,"[0.08271348874647526,-0.0773518727878295]",4.0,"[-0.0436698706333997,-0.12942512904527637]",4.0,"[-0.1642841975476408,0.04989188853735779]",4.0,"[0.16098656589064256,0.06363872335597477]",4.0,"[0.06877331672057678,-0.17618338954363733]",4.0,"[-0.04724560211950227,-0.06967221037653329]",4.0,"[-0.020518712227711896,0.10581124985015278]",4.0,"[-0.016841821591471955,-0.0004616994859774846]",4.0,"[0.17762852465175327,0.00507473861350576]",4.0,"[0.006359498144739613,-0.07897812912660118]",4.0,"[-0.10671030420373967,-0.10158535577609344]",4.0,"[-0.05280268973582881,-0.17885154894234984]",4.0,"[-0.1572359807552009,0.09059633546444502]",4.0,"[0.09327289076299691,0.04179711856752131]",4.0,"[-0.09178462476394152,-0.02156722863045747]",4.0,"[0.05517254005565913,0.06888288525517426]",4.0,"[0.13886048413048604,0.018501006373174037]",100.0,"[0.1852612925718398,-0.06029057909608223]",4.0,"[0.020112502216045595,0.09259096570656021]",100.0,"[-0.11306123811909546,0.05626491163248762]",4.0,"[0.02,0.02]",123.2935,0.0,3.0,3.0,195.0,1.0,,,,,,,
