right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,29.2468,space,14.2279,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,29.2472,59.9197,space,0.6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,59.9199,63.9496,space,1.0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,63.969,64.4656,64.466,64.7167,64.7169,66.2141,,66.2142,67.3131,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,67.3136,67.8126,67.8126,68.0626,68.0626,68.5131,right,68.5132,69.6113,0.0,1.0,1.0,0.0,1.0,0.2,0.4381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.6119,74.8412,space,2.2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,74.8796,75.3564,,,75.6069,76.0221,right,,,,,,,,0.55,0.396,,,,,,,75.3572,75.6069,76.0225,"[-0.009943942438930207,-0.014691095946125212]",100.0,"[-0.14797946455274819,-0.011821466004887883]",100.0,"[-0.11271830758607716,-0.06047336616576236]",100.0,"[0.12630594807672757,-0.05264267857013765]",100.0,"[-0.0979649132714988,-0.003965504907561609]",100.0,"[0.08092761063162993,0.027244189949079494]",4.0,"[0.0515686060840864,-0.14231157240782022]",100.0,"[-0.021757262636557684,-0.06513999821518922]",100.0,"[0.19238003417093408,0.007754128289000186]",4.0,"[0.026344825640455944,0.16862250617942928]",100.0,"[0.10728170810812214,0.09264316131237763]",100.0,"[-0.09041423470575953,-0.14150254590761263]",4.0,"[0.03502782506247372,-0.08069206051970809]",100.0,"[-0.12092934238323122,0.037120980501085254]",100.0,"[-0.06217741269863316,-0.05050050313797114]",4.0,"[0.033313013100529976,0.04217284616331163]",100.0,"[0.13929221789152468,-0.10084385907136748]",4.0,"[0.024970911533821732,0.10897374076694268]",4.0,"[-0.03833471267676961,0.14568076925446355]",4.0,"[-0.18762408473880526,0.015254974913570134]",100.0,"[-0.16665663102198172,-0.05518237721633802]",100.0,"[-0.0008316815917233854,-0.18932814599484207]",4.0,"[-0.04128895975574822,-0.1762573527756144]",4.0,"[-0.18279738946227406,0.07900294627505113]",4.0,"[-0.08391464565047764,0.1042584166716806]",4.0,"[0.12346500529653379,-0.15223012997394625]",100.0,"[-0.05558385638064122,0.06947322014427636]",100.0,"[-0.04410988575614392,0.18912592154127614]",4.0,"[-0.15678914993104473,-0.09461228177805499]",4.0,"[0.07595179069791959,0.15565346204425187]",4.0,"[0.08300233564444637,-0.07853971450314913]",100.0,"[0.14889394871064138,0.025758604782769923]",100.0,"[0.02,0.02]",77.1212,0.0,0.0,0.0,72.0,1.0,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,77.1215,77.6207,,,77.8708,78.1868,right,,,,,,,,0.55,0.3005,,,,,,,77.6207,77.8708,78.1869,"[-0.09998731588627473,0.07056997958778269]",100.0,"[-0.10104068244633084,-0.16266521440098328]",4.0,"[-0.005056546510553271,-0.12038552155190359]",4.0,"[0.07379285567832078,-0.14958526489800006]",100.0,"[0.05484784008828762,0.03373675537623624]",100.0,"[-0.17981231982585527,0.021342345657215527]",100.0,"[0.13611935269810815,-0.12154818144742015]",4.0,"[0.08109181614829084,-0.04682892205449617]",4.0,"[-0.0054607317677357985,0.03521176391532591]",100.0,"[-0.03241341634819692,0.12028063440625383]",100.0,"[-0.09928044679963495,-0.005451176669828699]",4.0,"[-0.17620302550397288,-0.07936399580684916]",4.0,"[0.17421511507742443,-0.08415575660945217]",100.0,"[-0.005736615074290528,0.08600543615249137]",4.0,"[-0.08329556131286503,-0.06069269332373775]",100.0,"[0.04426293006041779,0.18470749338359643]",100.0,"[0.09862626384558258,0.06580623644365509]",4.0,"[-0.06968441888628778,0.17519550049028662]",100.0,"[-0.008596877921487927,-0.19623076462516018]",100.0,"[-0.03360921817128649,0.0013016365433098406]",100.0,"[0.038263416715087976,0.11215727011708214]",4.0,"[-0.003176556054976255,0.17894206412369065]",100.0,"[0.1390521567534824,0.1015579516305728]",100.0,"[-0.13330260873554356,-0.033110775063267074]",100.0,"[0.09856079696514478,-0.00981783954379948]",100.0,"[-0.07647683696346284,-0.12375682184906354]",100.0,"[0.07188945981240995,-0.09808094235487093]",4.0,"[0.022748811181422645,-0.06930592118363017]",4.0,"[0.10289816416174975,0.17086428895059264]",4.0,"[-0.08001641737042275,0.10690207231348786]",4.0,"[-0.12283201254772076,0.13947988286258345]",4.0,"[-0.03887478204571134,-0.08068814432196372]",100.0,"[0.02,0.02]",79.2858,0.0,1.0,1.0,62.0,1.0,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,79.2861,79.7855,,,80.0355,80.3517,right,,,,,,,,0.9,0.2963,,,,,,,79.7855,80.0354,80.3517,"[0.1212071136797343,-0.026424300377269203]",100.0,"[-0.08624949582239066,0.10860638857599278]",100.0,"[0.08272777357406887,-0.06130315296408588]",100.0,"[-0.07018772529608061,-0.11949209656936109]",100.0,"[-0.09940026945310315,0.0009316537546041905]",100.0,"[-0.13609192638710396,0.026058157404380573]",100.0,"[-0.041416500619550795,-0.003024186137090345]",100.0,"[-0.037851944003748146,0.11304241043571688]",100.0,"[0.01285780543567407,0.16066786697995353]",100.0,"[-0.04455223730156225,0.19206010638083743]",100.0,"[0.11309767680107025,-0.09440489310422345]",100.0,"[0.16588703341418715,-0.023674086353046603]",100.0,"[0.13811587216448212,0.049259383358966555]",100.0,"[-0.07863923430566341,-0.1652056359769485]",100.0,"[-0.08049719151385476,0.04777088705413042]",100.0,"[-0.10572714936166171,0.14418009984954702]",100.0,"[-0.00984062807483657,-0.14673641613814914]",100.0,"[-0.14229016283668072,-0.12770442833928738]",100.0,"[0.05204179339278429,0.13946454818272708]",100.0,"[0.02796394222292249,-0.05900559730397317]",4.0,"[0.03667708457172758,-0.1460036768185231]",100.0,"[-0.017398735440175485,0.05609036297402548]",100.0,"[0.0647167317325647,-0.09784091907239952]",4.0,"[0.1312459743423914,0.14841141595406748]",100.0,"[-0.06683782203284741,-0.06863517954529841]",100.0,"[-0.1736742388570229,-0.07600594682056784]",100.0,"[0.09858087296212488,0.037151904767543265]",100.0,"[0.026792839999808745,0.022847593369728015]",100.0,"[0.09291451562451902,0.10336608045499016]",100.0,"[-0.1645095057009684,0.10633731154127082]",100.0,"[0.0739043458751,-0.015588308091615818]",4.0,"[0.07959798894857166,0.17390946431039458]",100.0,"[0.02,0.02]",81.4509,0.0,2.0,2.0,16.0,1.0,,,,,,,
,,,,,,,5cd083548702e10018e3b0a5,68399d25daf88b88604399f2,2025-05-30_13h57.39.671,shape_ratio,2024.1.5,Win32,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,81.4514,81.9502,,,82.2001,82.4998,left,,,,,,,,0.1,0.2796,,,,,,,81.9502,82.2001,82.4998,"[0.13808646293338894,0.009878040686551237]",4.0,"[0.04932447303964163,-0.1434426055267009]",4.0,"[0.06960602555663051,0.14816189638653088]",100.0,"[0.01761665517934274,0.16259376072620163]",4.0,"[-0.12718904647335846,-0.016556256739485957]",4.0,"[-0.05636915913986027,-0.0016457493698540046]",4.0,"[0.06324527781738104,-0.10579488465337016]",4.0,"[0.16099892941821234,-0.03452792010647591]",4.0,"[-0.13688680290886865,-0.06528358803840541]",4.0,"[-0.05392335036173491,-0.16096845084396982]",4.0,"[-0.016331314667992137,-0.10080092750172102]",4.0,"[0.040932394613952976,-0.04145776891630327]",4.0,"[0.06145212049137269,0.049389554704626575]",4.0,"[-0.008474284405903516,0.06241312989699296]",4.0,"[-0.19438942281271437,-0.0246591429082241]",4.0,"[0.031739226089819425,0.124742386021481]",4.0,"[-0.08825931621950764,-0.07250136179376707]",4.0,"[0.000004269483170310707,-0.02270490920554034]",4.0,"[0.12531467597385965,-0.11717511266921253]",4.0,"[-0.10706872795158577,0.1175897074634397]",4.0,"[-0.09447873730640392,-0.16090259285150074]",4.0,"[-0.03627608934392225,0.1887568489414084]",4.0,"[-0.024575496625514406,-0.19087523104565837]",4.0,"[-0.11037662138696591,0.049956089459927515]",4.0,"[-0.16383452410848554,-0.09889915466669001]",4.0,"[-0.02383928367544315,0.11426539272084997]",4.0,"[-0.1345477443647992,-0.12659446272488856]",4.0,"[0.10510215802119681,0.1157655419841961]",4.0,"[0.15385302986932498,0.10603796079473765]",100.0,"[0.0942937917042794,-0.05216951994922906]",4.0,"[-0.16556606743200455,0.1031143474074368]",4.0,"[-0.07495600893207617,0.08072297413963403]",100.0,"[0.02,0.02]",83.5991,0.0,3.0,3.0,194.0,1.0,,,,,,,
