right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0,61.611,space,46.604,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,61.611,92.217,space,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,92.217,96.914,space,1.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,96.924,97.418,97.418,97.667,97.667,98.546,right,0.841,,98.546,99.644,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,99.644,100.142,100.142,100.391,100.391,100.688,left,0.293,,100.688,101.786,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.786,112.072,space,7.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,112.079,112.575,,,112.824,113.892,right,1.062,,,,,,,,,0.4,,,,,,112.575,112.824,113.892,"[-0.09565604603026746,0.10351765501188465]",4.0,"[0.031103737098900273,-0.08331989684150448]",4.0,"[-0.02353037686784597,-0.021200554831669573]",4.0,"[0.02555357351514192,0.16447962696169183]",4.0,"[-0.04525562142600169,-0.1097214723332682]",4.0,"[-0.08546082035024888,0.040202167913011566]",4.0,"[-0.07390218543148955,0.1671420336863734]",4.0,"[0.10984541013858737,-0.11873004612672912]",100.0,"[-0.10950634641683152,-0.1352931785075321]",100.0,"[0.1348961712351913,-0.05122786340933492]",4.0,"[0.09582212352407292,0.08423376494888123]",100.0,"[-0.13115404026789945,0.05060584540686788]",4.0,"[0.0865890772024226,-0.05908295974510333]",4.0,"[-0.03765872695063006,-0.15676725660283378]",4.0,"[0.15137035222001344,-0.1247917846436107]",4.0,"[-0.08435859889490266,-0.09433797538225155]",100.0,"[0.009861129229492184,0.041693497215373895]",4.0,"[-0.06548784114614956,-0.04365719503995358]",100.0,"[0.18761439250533424,0.03680635476499874]",4.0,"[0.02850869675894508,-0.17897268528313545]",100.0,"[0.06364405254203524,-0.005941891693061353]",4.0,"[0.012702849504316103,-0.04429115006525341]",100.0,"[-0.1605345506593558,-0.09452537218737994]",100.0,"[-0.16816805320766162,0.0018937952320592733]",100.0,"[0.14880470268538432,0.11354524414232185]",100.0,"[-0.05554263074220885,0.010404408664968303]",4.0,"[-0.12286325761760415,-0.04468345706898428]",100.0,"[0.1713936121431464,-0.08466691628494862]",4.0,"[0.18139528760072313,-0.009161400146378711]",4.0,"[0.01432236591934371,0.001467835396751809]",4.0,"[0.07954819715040078,0.14337686418536597]",100.0,"[-0.010614752053710414,0.10439044196710807]",100.0,"[0.02,0.02]",114.99,0.0,0.0,0.0,169.0,1.0,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,114.99,115.487,,,115.736,116.258,right,0.517,,,,,,,,,0.1,,,,,,115.487,115.736,116.258,"[0.01795685910195875,-0.10465441476849527]",4.0,"[0.15243237978816074,0.05311364982326689]",4.0,"[-0.12305056818746365,-0.027551061418666725]",4.0,"[0.14918508243993747,-0.10614673855264652]",4.0,"[-0.08366413581754195,0.1295142361371532]",4.0,"[-0.08080930812429608,-0.055610215715587046]",4.0,"[0.0010505498598009106,0.10914153308170763]",4.0,"[-0.12238253702977366,0.05126809278168312]",4.0,"[-0.07196086160122636,-0.11188469780581599]",4.0,"[0.017704233566747687,0.04193547746037328]",4.0,"[-0.032419964432959705,-0.05707158799865535]",4.0,"[-0.001203194248450313,0.18118403027749744]",4.0,"[0.10598717589660131,0.10476305422426614]",4.0,"[-0.19878449494370812,-0.021696870526831495]",100.0,"[0.10820319383663078,0.039596115444847216]",4.0,"[0.012968593972126123,-0.028758667111057547]",4.0,"[-0.12222193036603933,0.10437873261313706]",100.0,"[0.1476466483469943,0.10780808830019419]",4.0,"[0.07533731715364451,-0.02064515509126417]",4.0,"[0.06622127993024753,-0.18258773820573224]",100.0,"[-0.020531869602083908,-0.16174910127446251]",4.0,"[-0.024995990792058352,0.03447625568366411]",4.0,"[-0.03961010825414938,0.10218040032204005]",4.0,"[0.11768005163316134,-0.003744488413734166]",4.0,"[0.103752276809303,0.14565788437701804]",4.0,"[0.05158666626924321,-0.05941951018919352]",4.0,"[-0.07047590566642295,-0.16152729661845933]",4.0,"[0.11861163387909264,-0.1381143770139847]",4.0,"[-0.08629664140830963,0.1796522511088453]",4.0,"[0.18042004876939396,-0.07693187940913282]",4.0,"[0.04499424440194234,0.12249936664110621]",4.0,"[-0.16706566434995035,0.03967519296876179]",4.0,"[0.02,0.02]",117.356,0.0,1.0,1.0,198.0,1.0,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,117.357,117.854,,,118.103,118.564,left,0.454,,,,,,,,,0.55,,,,,,117.854,118.103,118.564,"[0.13186472930912696,-0.14931171528890338]",4.0,"[-0.06857403115150718,0.030716807279092907]",4.0,"[0.02535682039190081,0.021022148042819832]",100.0,"[-0.16405353525407065,0.08670022892236637]",100.0,"[0.14557737341593574,-0.05609692552158142]",100.0,"[0.07320371211619048,-0.12979382022680627]",100.0,"[0.006758943135323361,-0.07057383109831471]",100.0,"[-0.08969682840809486,0.0818194868507812]",100.0,"[-0.1205449605498659,-0.09449319930450936]",100.0,"[0.08729129779584788,-0.0014655769618815743]",100.0,"[-0.009611487132244948,-0.15901083135360902]",4.0,"[-0.044503006039237694,-0.04367176916986633]",100.0,"[-0.16500286559298977,-0.09325544021388715]",4.0,"[-0.18638060577787866,0.005597773886846282]",4.0,"[0.10398775491645738,0.03541297789376604]",4.0,"[0.19437063531014157,0.036168867293810386]",4.0,"[0.05850721885400421,0.1598907363996124]",100.0,"[0.048023793501226854,0.05963531850760291]",100.0,"[0.19462365856734562,-0.02131316771840428]",4.0,"[0.05506864091093944,-0.07911551366261256]",100.0,"[-0.01848959942700101,0.18212704737872612]",4.0,"[-0.08540154571563295,-0.024067183692442744]",4.0,"[-0.033221557033417906,-0.10545096755540226]",100.0,"[-0.11327683725671264,0.024492166221888826]",100.0,"[0.018569290493321164,0.13709341553855509]",100.0,"[0.16024175038382948,0.08099066898460122]",100.0,"[0.1392168743376622,0.12055709458445207]",4.0,"[-0.06408793066428216,-0.179435124884541]",4.0,"[-0.02495524106358579,0.03279804459567677]",4.0,"[0.05992543678100831,-0.17643225910945762]",100.0,"[0.027681852017941072,-0.12254969230908791]",100.0,"[0.10128927281888529,-0.09279810978438587]",4.0,"[0.02,0.02]",119.662,0.0,2.0,2.0,78.0,1.0,,,,,,,
,,,,,,,5ce42dbec3f4270001574a15,683aefb86849d91dac18a4a4,2025-05-31_14h02.47.638,shape_ratio,2024.1.5,Win32,165.0165017,683ae9196541af24d3a69e58,,,,,,,,,,,119.663,120.16,,,120.408,120.985,right,0.574,,,,,,,,,0.1,,,,,,120.16,120.408,120.985,"[-0.045095882462326896,-0.06448426141616821]",4.0,"[-0.012978171002589781,0.18515024742838357]",4.0,"[-0.1516247732147358,0.011957096214883417]",4.0,"[0.16000811886530117,-0.10618614071934455]",4.0,"[-0.18590510918865819,-0.061585549462941695]",4.0,"[0.051563184133865285,0.02672956389414789]",4.0,"[0.04629948356224362,0.0744468634594345]",100.0,"[0.0629289034208085,-0.09310770388394285]",4.0,"[0.03931314465447364,-0.18078061002525217]",4.0,"[-0.09437084625389175,-0.10394559178405322]",4.0,"[-0.018699947287478636,0.07887377077053445]",4.0,"[-0.043544611657931796,-0.14309279403698263]",4.0,"[0.09274793291544524,0.13635415546701193]",4.0,"[0.14985797903278458,0.02554750715199602]",4.0,"[-0.08098546256449558,0.1183823648701774]",4.0,"[-0.08973265396809277,0.029132613192320727]",4.0,"[-0.09960586011910355,-0.16428030699680243]",4.0,"[-0.15626723617979418,0.07601958317241618]",100.0,"[0.14742330296324552,-0.031982768177890565]",4.0,"[0.005717563223046958,-0.010492475042384746]",4.0,"[-0.14661339597327738,-0.03390155727669402]",4.0,"[0.0362164797085235,0.13570460177440047]",4.0,"[0.18974255771779952,0.050741074585698764]",4.0,"[-0.11964285699429014,0.15027790403565724]",4.0,"[0.19566837038077345,-0.01739938615426905]",4.0,"[0.06596093782436156,-0.14578303642815477]",100.0,"[-0.0030520106401449375,-0.17197034132769337]",4.0,"[0.11454065197366779,-0.15212870097597037]",4.0,"[-0.13685209528174422,-0.13545769017274825]",4.0,"[0.07760233143297364,-0.010379480771981095]",4.0,"[-0.19099457922107574,0.02645287427354885]",4.0,"[-0.16782724843889743,-0.10651790862887134]",4.0,"[0.02,0.02]",122.083,0.0,3.0,3.0,182.0,1.0,,,,,,,
