right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,64.2589,space,49.2421,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,64.2595,116.875,space,22.6014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,116.8752,120.1523,space,0.2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,120.1863,120.6674,120.6679,120.9222,120.9224,122.4147,,122.4149,123.5133,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,123.514,124.0124,124.0124,124.2624,124.2625,124.6442,left,124.6442,125.7424,0.0,1.0,1.0,1.0,1.0,0.8,0.3741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7428,129.4036,space,0.6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,129.4207,129.9192,,,130.1699,130.5187,right,,,,,,,,0.55,0.3316,,,,,,,129.9196,130.1698,130.5193,"[-0.17890667439458768,-0.034636501255978974]",100.0,"[0.052064747311061366,0.15488321321971957]",4.0,"[0.18661592765438487,0.07067539308968451]",4.0,"[-0.003450633319440346,0.015855672245796603]",100.0,"[0.0016462165808100325,0.17268340483077435]",100.0,"[-0.13053348962337313,-0.04503649528063306]",100.0,"[0.16250256898515184,0.11200980223697428]",100.0,"[-0.0826739925975889,0.12387679581554718]",100.0,"[-0.06504122875718733,-0.033043466211368284]",4.0,"[-0.07895536368087054,0.011076053571034998]",4.0,"[-0.1457960725473513,0.07586149519363541]",4.0,"[-0.025524093449817098,-0.02327300839971318]",100.0,"[-0.0024668888252276987,0.08164545712121027]",100.0,"[0.11386022369633116,0.04134279327812874]",100.0,"[0.07901263651595776,0.08922595265739482]",4.0,"[-0.03786126364725096,-0.1270989132422423]",100.0,"[0.11416933116631389,-0.14763693232704264]",4.0,"[0.03993919703297648,-0.1546885274688629]",100.0,"[-0.03934013004161732,0.15298911540228982]",100.0,"[-0.06974461238289584,-0.18633433351142736]",100.0,"[0.08096330795497197,-0.11523898833835058]",100.0,"[0.0426547348211534,-0.06536946753288718]",100.0,"[-0.16279433537107244,-0.07907668682228276]",100.0,"[-0.04690021952763564,-0.08000785567796781]",100.0,"[-0.1250996400312265,0.1428665062965312]",4.0,"[0.013981519442862297,-0.18758074762341845]",4.0,"[-0.13885143434558986,-0.12863229848569585]",4.0,"[-0.07911903303923352,0.05609411349639507]",4.0,"[0.17526910352803093,-0.04413060001243851]",4.0,"[-0.12351964553564589,0.00912209079645429]",4.0,"[0.15139568797765995,0.013737972012680255]",4.0,"[0.11588061486244548,-0.08902940023261756]",100.0,"[0.02,0.02]",131.6165,0.0,0.0,0.0,79.0,1.0,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,131.6169,132.1157,,,132.366,133.0146,right,,,,,,,,0.45,0.6332,,,,,,,132.1157,132.366,133.0147,"[0.1489951458866644,-0.02399764993259139]",4.0,"[-0.15138279583183092,-0.11419410041359798]",100.0,"[-0.11014589556655387,0.040253072052210626]",4.0,"[-0.16092461452150852,0.041687230751650386]",4.0,"[-0.08316820753549187,0.11770757697112771]",100.0,"[-0.19818295851645576,0.0030728636318556237]",4.0,"[0.03920829248010899,-0.14929395430595607]",4.0,"[-0.009456438947394638,-0.06599978223229222]",4.0,"[-0.16451106813941366,-0.07636419509556833]",4.0,"[-0.05434870709681585,-0.12155667761893546]",4.0,"[-0.14299787283115142,0.08244404885758252]",100.0,"[0.10783775491624614,-0.10677469180585678]",4.0,"[0.10780828950933252,-0.16566314749226055]",100.0,"[0.004044752885682264,0.09501895550970059]",100.0,"[-0.11314984058261203,0.1508000796109878]",100.0,"[-0.14783054986668837,-0.03287099195167925]",4.0,"[0.17932116974134824,-0.052103733245109585]",100.0,"[-0.002912124420811167,-0.020199082608266673]",4.0,"[-0.12116335378065163,-0.0019102776696645599]",100.0,"[0.15476233341443124,0.09461068016123461]",4.0,"[-0.0341287129159627,0.01863764210215989]",100.0,"[0.04630036866044153,-0.05088193315174547]",100.0,"[-0.05742670754898257,-0.032901532087453084]",4.0,"[-0.10827641432696924,-0.0691543229765238]",4.0,"[0.03159529704952115,0.038746751438696304]",100.0,"[0.05470937570054633,0.11674864222043176]",4.0,"[-0.02238422432992265,-0.19020160206188533]",4.0,"[0.09408207788892352,-0.01494232550874318]",100.0,"[-0.0762366926322847,-0.15676939962613012]",100.0,"[-0.04224497894736622,0.08390103774809873]",100.0,"[0.018821905340225147,-0.11282088376982391]",4.0,"[0.06568471667821107,-0.11660525738980604]",4.0,"[0.02,0.02]",134.1124,0.0,1.0,1.0,129.0,1.0,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,134.1127,134.6121,,,134.8618,135.2778,left,,,,,,,,0.5,0.4018,,,,,,,134.6122,134.8618,135.2779,"[0.175288928838455,0.018343473662080233]",100.0,"[0.09840141685179968,0.11835429568052612]",100.0,"[0.10895414907139038,-0.026598232677801252]",100.0,"[0.009375652960559875,-0.14244421245455613]",4.0,"[-0.001626660451028485,0.13491770766389968]",4.0,"[0.01781138021448674,-0.06996363002670304]",4.0,"[0.024004880401718703,0.09056137446132483]",4.0,"[-0.09090262124327547,0.017026030786112676]",100.0,"[0.0790663918189852,0.16022957700023918]",4.0,"[-0.07476978296388045,0.10434186260774952]",4.0,"[-0.030884038520257884,-0.19175016646226897]",4.0,"[-0.10135899827090117,-0.13845333651385427]",4.0,"[0.1081282047654734,-0.12932247778336947]",100.0,"[0.04966359456539977,-0.16729923927993848]",4.0,"[-0.16541101581624834,-0.04478879018000377]",4.0,"[-0.04755346933286876,0.0683909425418532]",100.0,"[-0.03571361440562106,-0.07897569819925465]",4.0,"[-0.10271117663427187,0.15491617839503524]",100.0,"[0.020039228587324823,0.19738510308392346]",100.0,"[0.07066803529781536,-0.04297040901256221]",100.0,"[0.10198366459157543,0.04292932443571382]",100.0,"[-0.17671366700996022,0.01707426884612339]",100.0,"[-0.034129049670755154,-0.01124358568963963]",100.0,"[0.18837625561532065,-0.04052293241894503]",4.0,"[-0.08852062732923394,-0.07705696416072466]",100.0,"[-0.17538453234635748,0.0743952175522666]",4.0,"[0.09054920418228764,-0.09236667578643487]",100.0,"[-0.10632556986165097,0.07637186783184158]",100.0,"[-0.15076411125564268,-0.11351081196249185]",4.0,"[0.16253156479765893,-0.0723701591914373]",4.0,"[0.1405343076100013,0.08936012840760377]",4.0,"[0.03475880640718316,0.02438300977195688]",100.0,"[0.02,0.02]",136.3754,0.0,2.0,2.0,90.0,1.0,,,,,,,
,,,,,,,5d36e5a972282e0019605fa0,684428b48a1770798672be07,2025-06-07_13h56.38.052,shape_ratio,2024.1.5,Win32,61.72839506,684250e4f00cb30b92d1fa88,,,,,,,,,,,136.3758,136.8747,,,137.1245,137.4239,left,,,,,,,,0.5,0.2894,,,,,,,136.8748,137.1245,137.424,"[0.09434173819964178,0.06903979136804152]",4.0,"[0.04744916800982825,-0.16777899109980587]",4.0,"[-0.1229593959203149,0.012620264080183196]",100.0,"[-0.18970942306268937,0.03383652598959822]",100.0,"[0.014325002076649617,0.17479874375797805]",4.0,"[-0.17026397724351777,-0.005186341927173655]",100.0,"[-0.12374837284023239,-0.15636741123328265]",4.0,"[0.10833173196769551,0.1565824187950702]",4.0,"[-0.024633381674947906,0.0455297564558177]",100.0,"[0.15831471944896158,0.04849325758468174]",100.0,"[-0.05738019582775519,0.07527998667749831]",4.0,"[0.07143791122861273,-0.09949016957110692]",4.0,"[0.08325491567419205,-0.02771550634119263]",4.0,"[-0.147662989511766,-0.08167394110662324]",4.0,"[-0.022133464251483777,-0.18105734794536135]",4.0,"[0.020988213467740987,-0.13050314415943579]",100.0,"[0.1313187843272211,-0.09924756769142251]",100.0,"[-0.07548749029584066,-0.1007685032939302]",4.0,"[-0.11318322857474307,-0.04795111471821646]",100.0,"[0.02346488901686386,0.06815620675434114]",4.0,"[0.08201066791734009,0.020111890509280667]",100.0,"[-0.07817014439357786,-0.15463628314028233]",100.0,"[-0.11855400576551108,0.15024273203022137]",100.0,"[-0.014289478903330948,-0.025662794165698968]",100.0,"[0.04797839683517744,0.13960535895046516]",4.0,"[-0.06557067886020969,0.13526887994008185]",4.0,"[-0.1460857604063355,0.08916709553375014]",100.0,"[0.13803821922735734,0.12305156131714509]",4.0,"[0.16332561550863875,-0.07288905238551455]",100.0,"[0.18895575331995199,-0.01633712157440421]",100.0,"[-0.035130815306965754,-0.07713377420062473]",4.0,"[0.02829667405800315,0.007387561354106034]",100.0,"[0.02,0.02]",138.5222,0.0,3.0,3.0,105.0,1.0,,,,,,,
