right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,46.6829,space,31.6561,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,46.6831,82.166,space,5.4648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,82.1663,90.3495,space,5.1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,90.3719,90.8661,90.8663,91.104,91.1042,91.8662,right,0.7244,,91.8663,92.9658,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,92.9662,93.4657,93.4659,93.7231,93.7231,94.366,left,0.621,,94.3661,95.4657,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4661,103.2329,space,4.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,103.2469,103.7493,,,104.0082,104.666,right,0.6341,,,,,,,,,0.45,,,,,,103.7499,104.0082,104.6665,"[-0.17568285297395017,0.046253174373645026]",4.0,"[-0.1549841250638603,0.12031812064720636]",4.0,"[0.040992323033826154,-0.139262843125219]",100.0,"[-0.0762847528401683,0.0975261287292524]",100.0,"[-0.10358601292257434,-0.1009441565611371]",100.0,"[0.06314887345511053,0.15587264552647226]",4.0,"[-0.1038018809035412,0.1471068570865578]",100.0,"[0.18366189548051154,0.0055693194618929385]",4.0,"[-0.1114998945040109,0.04480887936097163]",4.0,"[-0.10724536768004335,-0.005502467280836103]",4.0,"[-0.004654876317307153,-0.1504331760433089]",100.0,"[0.016775737196788588,-0.029967025109782656]",4.0,"[0.12142873699737289,0.051842735119485735]",4.0,"[0.0847814203777483,0.09706185752417217]",100.0,"[0.06863173574830636,-0.04033621774059463]",4.0,"[0.016886137423981696,0.07757654718492729]",100.0,"[-0.022495053384438635,0.18262832715536792]",100.0,"[0.045754867969152686,-0.1881330017504414]",100.0,"[-0.16877079193520858,0.002836945262066721]",4.0,"[0.16319304820603328,0.09520830948744474]",100.0,"[0.09140301269567717,-0.08702738276045743]",100.0,"[-0.042986331952352755,-0.038861214210932]",4.0,"[-0.06274847979431471,0.14176652855047092]",4.0,"[0.10953349618256802,-0.16631021395074133]",4.0,"[-0.07438189677795662,-0.1791377396986014]",4.0,"[-0.11553774007961246,-0.15054784525649717]",4.0,"[0.13121581240976601,-0.07034847236032042]",100.0,"[0.0779613881016949,0.024036469940131987]",100.0,"[-0.07472452469405315,0.027172651677465194]",4.0,"[-0.1081727106625482,-0.057703992533939125]",4.0,"[-0.020797381893884616,0.04547108058546018]",4.0,"[-0.017919508762938467,-0.0771666686975743]",100.0,"[0.02,0.02]",105.766,0.0,0.0,0.0,141.0,1.0,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,105.7665,106.2658,,,106.5163,107.0994,left,0.5507,,,,,,,,,0.5,,,,,,106.2658,106.5162,107.0994,"[-0.0889066732280499,-0.12040250148466887]",4.0,"[-0.1690404822761925,0.028336040665296085]",100.0,"[-0.0748078616257121,-0.010625765209377578]",100.0,"[0.15093364777332877,0.038004619485970025]",100.0,"[0.08562779606381488,-0.16631814706801556]",4.0,"[0.02390728879105326,0.040335785664908815]",4.0,"[-0.12734696344340884,0.027958836571353653]",100.0,"[-0.014116025482095394,0.1888199148404016]",4.0,"[-0.14720976350858322,-0.05821074466575461]",100.0,"[0.03194794682065734,-0.024137185772098644]",4.0,"[0.17172977709729897,-0.04105721222233331]",100.0,"[0.0705082206658144,0.17881032438815905]",4.0,"[-0.09236409714942931,-0.06476964426604427]",100.0,"[0.06709868278439053,-0.12358436004113271]",100.0,"[-0.14693244488473842,-0.013648594451391468]",4.0,"[-0.06418716231418549,0.0992434781805511]",100.0,"[0.11459024755239872,0.11883474638093951]",4.0,"[-0.040786993537479166,0.024839816153969175]",4.0,"[-0.10894860067657883,0.11693172346261463]",100.0,"[-0.03260226361858592,-0.12318035766511429]",4.0,"[-0.013442745335487762,0.06308654892506045]",4.0,"[-0.11143370418662307,0.06892102638027757]",100.0,"[0.011716965205895716,-0.09562339161478131]",100.0,"[-0.002794659192768889,-0.1914847480807617]",4.0,"[-0.03677491143839187,-0.03767456741066275]",4.0,"[-0.0737600824447391,0.14541126849688393]",100.0,"[0.0916209768395195,0.04250693616032786]",4.0,"[0.05131768340825034,0.11160371075592639]",100.0,"[-0.16056001401347242,0.09930357721162644]",4.0,"[-0.04936306056117144,-0.1884524426273545]",100.0,"[0.10640579774190498,-0.09611914318042997]",100.0,"[0.18914850879760353,-0.0045384384777953975]",4.0,"[0.02,0.02]",108.1993,0.0,1.0,1.0,99.0,1.0,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,108.1998,108.6993,,,108.9385,109.5161,left,0.5518,,,,,,,,,0.45,,,,,,108.6994,108.9385,109.5161,"[0.155545476380799,0.07238082526812464]",100.0,"[-0.0577869332372826,-0.05599533636416344]",4.0,"[-0.16651536661321242,0.09885357237709842]",4.0,"[0.08714735282703082,0.16670853691640272]",4.0,"[0.07273292973543978,0.09224677292729772]",4.0,"[-0.07983136336310008,-0.09476810342620212]",4.0,"[0.07398796723268163,-0.028481149892172215]",4.0,"[-0.07903192253390225,-0.1717794077846323]",100.0,"[-0.0006993606476452699,0.05363990216562975]",4.0,"[-0.10220000836075185,-0.006592701607631673]",100.0,"[-0.09084937568482795,0.16567727285718145]",100.0,"[0.03518807087668705,-0.0166969763479176]",4.0,"[-0.15684730669615124,0.04712004631041995]",100.0,"[-0.045667494454247774,0.027478527776912707]",100.0,"[-0.11904521669726738,-0.12028418978051918]",4.0,"[0.006945924402267421,-0.04536718305694267]",4.0,"[0.159294372951943,-0.04074663527661679]",100.0,"[-0.0069233041233231745,-0.1825698981636157]",4.0,"[0.023953276698722988,-0.1502640770937676]",100.0,"[0.12947348820202123,-0.07883770566187638]",4.0,"[-0.04686270155270424,0.15564022238752437]",100.0,"[0.08070562111533125,-0.16311903569709027]",4.0,"[0.14617882167432963,-0.12755986895923216]",4.0,"[0.1166455380774323,-0.02139786386526186]",4.0,"[0.1699177103451542,0.023742917058368607]",4.0,"[-0.028443667717692,0.11931134900526583]",100.0,"[0.05871675504628182,-0.0695232572913509]",4.0,"[-0.016682819481228496,-0.14065239680473338]",4.0,"[0.13864382865150046,0.11987203109990202]",100.0,"[-0.004465493511959194,0.17369918557349567]",100.0,"[0.11039981785314741,0.04804715793296866]",100.0,"[-0.18614770868299804,0.013431744471480085]",100.0,"[0.02,0.02]",110.6159,0.0,2.0,2.0,129.0,1.0,,,,,,,
,,,,,,,5d40a12f4994c40001e4b80c,68399dae6f7e59acd2acb45f,2025-05-30_14h01.33.871,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,110.6163,111.1163,,,111.3735,112.1496,left,0.7548,,,,,,,,,0.6,,,,,,111.1164,111.3735,112.1497,"[0.14931732193669156,0.12154378431281918]",100.0,"[-0.0014273055435824746,0.025264741746276978]",100.0,"[-0.06454834288140804,0.13033020246273555]",100.0,"[-0.13173579727115747,-0.12926141651243622]",4.0,"[0.1334357294692757,0.006712017109554728]",100.0,"[-0.0029303871426331683,0.1843489522251588]",4.0,"[0.06884364113336039,0.059929679052584464]",4.0,"[-0.017505990769422466,-0.02123657638093926]",100.0,"[-0.16484981176496905,-0.10487981649880274]",4.0,"[-0.13513283101811446,-0.04651428582745832]",100.0,"[0.10734126641633825,0.11275694679033946]",100.0,"[0.09167232927242665,-0.12354223275032894]",100.0,"[0.010516107868119923,-0.12298200719614392]",4.0,"[0.044060811641741096,-0.05763621223536932]",4.0,"[0.06260776704960792,0.1360753375044909]",4.0,"[-0.02993513915895046,-0.13366867187580536]",100.0,"[-0.12579931733063718,0.11124679725971562]",4.0,"[0.17558854160039486,-0.06902588284001297]",100.0,"[-0.18190389811411245,0.07372377416175352]",100.0,"[0.0014393484945037143,-0.18624935480158655]",4.0,"[-0.08936776806107667,0.16467964876912433]",4.0,"[-0.18758383817867103,-0.04367358448013028]",100.0,"[0.18544742582893636,0.04817728640994326]",4.0,"[-0.13505065414440603,0.06283999677635525]",100.0,"[0.05449049858780382,-0.16091359013341558]",100.0,"[-0.04984942624065463,-0.07605654894416762]",100.0,"[0.11914582651497804,0.15403614670448368]",100.0,"[0.1289646065804068,-0.07700232180200445]",100.0,"[-0.067444858430125,0.08052720433065369]",100.0,"[-0.18913762218733304,0.023166465179347624]",4.0,"[0.13038479507062894,-0.03333854123809985]",100.0,"[0.027309382831394714,0.08597226527417128]",4.0,"[0.02,0.02]",113.2494,0.0,3.0,3.0,34.0,1.0,,,,,,,
