right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,25.8825,space,10.8503,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,25.8828,67.5319,space,11.628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,67.5321,72.3318,space,1.7739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,72.3532,72.8482,72.8486,73.0825,73.0828,74.1493,right,1.055,,74.1496,75.2492,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,75.2499,75.7481,75.7481,75.9985,75.9986,76.5314,left,0.5276,,76.5315,77.6322,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.6329,83.2661,space,2.6127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,83.2803,83.7821,,,84.0323,84.8485,left,0.8125,,,,,,,,,0.4,,,,,,83.7826,84.0322,84.8489,"[-0.07586806689819754,0.08531878493553861]",4.0,"[-0.0761910199331961,0.00705576900182119]",100.0,"[-0.04406859217313234,-0.09838947388012843]",4.0,"[0.017650979869865906,0.16650562575898634]",4.0,"[0.004443666667191049,-0.06350111472901808]",4.0,"[-0.12049814244220966,0.02334274304395388]",100.0,"[0.023214712390622328,-0.14451709986746591]",4.0,"[0.06214462025929157,0.15237888755434936]",100.0,"[-0.15781952203690278,-0.014781253298710318]",4.0,"[-0.08792876818809164,-0.08918392171614498]",100.0,"[0.14675478669930597,0.02492345232590834]",4.0,"[0.08261088224322952,-0.13673923255635484]",4.0,"[0.11012947923513693,-0.08293545462447112]",4.0,"[0.10284461047086947,0.059096887167980124]",4.0,"[-0.1439156073933774,0.10639415992851546]",100.0,"[0.015729901057681208,0.07259820312495353]",100.0,"[-0.1435386585114917,-0.057518686571004556]",100.0,"[-0.07231177005948754,-0.04173077385425441]",100.0,"[0.028131574088464187,-0.19687000514504072]",100.0,"[0.035774123116471546,0.01851302324376755]",4.0,"[0.13651367285907007,-0.038415779500691236]",4.0,"[0.03526671909630927,-0.09843264858984142]",100.0,"[0.07532235290669499,-0.0463735892631814]",4.0,"[0.18464215543573376,-0.0548235961786681]",4.0,"[0.08757759385089064,-0.004337468902928015]",100.0,"[-0.10559138492765169,-0.13982217342791062]",100.0,"[-0.03351538950192096,0.08919786419473687]",4.0,"[0.07062362990797424,-0.18453152681294724]",4.0,"[-0.1050126807298647,0.16651791730157486]",100.0,"[-0.016376701499233367,0.012639191998031226]",4.0,"[0.020182123649773495,-0.018587115241774428]",4.0,"[-0.053501092812330765,0.1694806610618677]",4.0,"[0.02,0.02]",85.9486,0.0,0.0,0.0,177.0,1.0,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,85.949,86.4485,,,86.6988,87.3648,left,0.6598,,,,,,,,,0.4,,,,,,86.4486,86.6988,87.3648,"[-0.17877971581521135,-0.003508105380488111]",100.0,"[-0.1412820536610483,-0.1282587145642196]",4.0,"[-0.1089188528156423,0.00891282217637668]",4.0,"[0.09249464574418269,0.11866531304599333]",100.0,"[0.12539465928406562,-0.10038394863542481]",4.0,"[0.13520193587077833,0.11388980341832812]",100.0,"[-0.1333727328680269,0.14499515206112706]",4.0,"[0.016105143242858323,-0.10990751920695695]",4.0,"[0.16091659271435318,-0.056146797984433956]",4.0,"[-0.17061322270191492,0.08666071216523027]",4.0,"[-0.023566847442986146,0.04956776071991623]",100.0,"[0.11095738412817793,-0.060044757970971786]",4.0,"[-0.03290791809596853,-0.09565383188025282]",4.0,"[-0.027276647173306683,-0.18955612286120205]",100.0,"[0.1284797022257458,0.02181083377472856]",4.0,"[0.07029607167370207,0.031931781872400554]",4.0,"[0.12356922961257913,0.07362410080124401]",100.0,"[-0.021839672694061132,-0.025366332244467344]",4.0,"[0.058786106328658404,-0.1020350391121586]",100.0,"[0.029330109229033778,0.17879064602936093]",4.0,"[0.014646514063615492,0.018798901884216027]",4.0,"[-0.02201243559129106,-0.14377526896042728]",4.0,"[-0.11971986489497803,-0.059347576497919045]",4.0,"[0.10599606945113989,-0.16410784459220773]",100.0,"[-0.18556031171171677,-0.05892683168703024]",100.0,"[-0.09407061908248292,-0.13004111140487865]",100.0,"[-0.0616671702613192,0.18229550817255977]",100.0,"[0.19548055506641235,0.02539799305047915]",100.0,"[-0.12808186780996078,0.07335509776376918]",100.0,"[-0.049987360970412315,0.13094908568896033]",4.0,"[-0.087148271083705,-0.02683189551741219]",4.0,"[0.05209439164768488,-0.05736226082102473]",4.0,"[0.02,0.02]",88.4644,0.0,1.0,1.0,169.0,1.0,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,88.4648,88.965,,,89.216,89.6486,left,0.4255,,,,,,,,,0.9,,,,,,88.9651,89.216,89.6487,"[-0.13810911325746336,-0.141985967744585]",100.0,"[0.03800346628298743,0.07866165234246748]",100.0,"[-0.09433401735311243,-0.07033891809060686]",100.0,"[-0.05081280800786927,0.07686851496362321]",100.0,"[0.06275697820714987,0.1735727329973732]",100.0,"[0.11648739433977263,-0.08210530791822203]",100.0,"[-0.160174597797309,-0.03769032925601374]",100.0,"[-0.07026910509434442,0.03828669439422884]",100.0,"[-0.019640725611830258,0.026768318229436195]",100.0,"[-0.004376264816834665,0.08929246054805856]",100.0,"[-0.03246158805009774,-0.03525837682479649]",100.0,"[-0.08090292323278928,0.12551073259232837]",100.0,"[-0.15862096916199886,0.055580431883367455]",100.0,"[-0.02296226879383563,-0.1696016127907721]",100.0,"[0.024035947682863403,-0.0162057789070207]",100.0,"[0.1744779710685775,0.01641773941617423]",100.0,"[-0.1094121951743772,0.08906855227377752]",100.0,"[0.022498498688750628,0.17198121975967964]",100.0,"[0.1355666455816887,0.09071179672902617]",100.0,"[-0.09481954744173961,0.16325626632040405]",100.0,"[0.11984207928221323,0.02064286026009227]",100.0,"[0.07215569894022499,-0.18546585952780478]",100.0,"[0.06149365034924037,0.03893690804013036]",100.0,"[-0.10612386242016797,-0.01137217811093455]",100.0,"[-0.042118381290255996,0.15244686164109295]",100.0,"[0.1646766407294984,-0.08349861329701616]",100.0,"[-0.01675585647196587,-0.11925846103703425]",4.0,"[-0.1089963847784442,0.0489214054659902]",100.0,"[-0.07111498397889907,-0.10933584752050188]",100.0,"[0.12255076463470525,-0.13890631943461187]",4.0,"[0.0749099430932318,0.13386685852572755]",100.0,"[0.020463071116359047,-0.0978148417974895]",4.0,"[0.02,0.02]",90.7482,0.0,2.0,2.0,6.0,1.0,,,,,,,
,,,,,,,5d6e3252dfe6d10001dbe508,684428b2c1753ab9bb8d4f81,2025-06-07_13h55.48.251,shape_ratio,2024.1.5,Linux x86_64,60.24096386,684250e4f00cb30b92d1fa88,,,,,,,,,,,90.7486,91.248,,,91.4989,92.0321,left,0.5198,,,,,,,,,0.55,,,,,,91.248,91.4989,92.0322,"[-0.19583373226779238,0.02703431273255051]",4.0,"[0.0913640511198702,-0.017516872720653033]",4.0,"[0.09968908275509988,0.1289341186554571]",100.0,"[-0.04641603716897935,0.021467168581371876]",100.0,"[-0.014073640628484308,-0.016167603238923328]",100.0,"[-0.10941181883978501,-0.01802962577220921]",4.0,"[-0.15941414765416964,0.004382690016012848]",100.0,"[-0.12459664629072559,0.06940929901744872]",100.0,"[0.04342542013553172,-0.07390654897744643]",4.0,"[-0.18246216460816317,-0.058246285579359826]",4.0,"[-0.08277851904235324,-0.14663489792386045]",100.0,"[-0.05825115252571968,-0.06374797703113988]",4.0,"[0.008293832979912923,0.16866288095623608]",100.0,"[-0.1548408547831387,-0.09399881305972868]",100.0,"[-0.08064583077375047,0.15256944009770973]",100.0,"[0.0013056486449569355,-0.10018249006154648]",100.0,"[0.08660475857595092,-0.11191897136581853]",4.0,"[0.17180823829147004,0.10133243106812535]",4.0,"[0.16579852831895475,0.037359248139050845]",4.0,"[0.01819387491506277,0.09679540619615971]",4.0,"[0.12462869587788993,0.09680965613998099]",4.0,"[0.004394158492263521,-0.19847067202649862]",100.0,"[-0.07947889085090257,0.07248593149455393]",100.0,"[0.16656256147052453,-0.00836553510687044]",100.0,"[0.1657538192389883,-0.07298953346306468]",100.0,"[-0.03649608136090545,-0.13085939682072648]",100.0,"[-0.12688201863733273,-0.15130471309608595]",100.0,"[0.026997515054765532,-0.009502451213191232]",100.0,"[-0.034094763484400915,0.1969449805620538]",4.0,"[-0.1648205343531387,0.0656056878062177]",100.0,"[0.07446372276267371,0.08270534397672755]",4.0,"[0.12354045342761025,0.049266117606210205]",4.0,"[0.02,0.02]",93.1316,0.0,3.0,3.0,77.0,1.0,,,,,,,
