right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0,308.424,space,293.403,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,308.424,339.633,space,1.189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,339.633,347.181,space,4.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,347.208,347.696,347.696,347.947,347.948,348.827,left,0.845,,348.827,349.924,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,349.926,350.423,350.423,350.676,350.676,351.771,left,1.083,,351.771,352.868,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.869,356.227,space,0.346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,356.245,356.743,,,356.993,357.773,right,0.77,,,,,,,,,0.5,,,,,,356.743,356.993,357.774,"[-0.027762649691338365,0.02815132464765749]",4.0,"[-0.15274998829069264,-0.007662602360176043]",100.0,"[0.012106301012926401,-0.10450216471634242]",4.0,"[-0.07035855446801624,0.08161960105557627]",100.0,"[0.14539327324062876,0.014391865621985453]",100.0,"[-0.14759756123486056,-0.06732048205646342]",100.0,"[-0.08443876189392736,0.14041418058704058]",100.0,"[-0.1995790807739397,-0.0061202927967124255]",100.0,"[-0.05231964135345586,-0.043565448993587025]",100.0,"[0.010818795079874877,0.09102145595574014]",4.0,"[0.012740444669238564,0.026226154487025723]",100.0,"[0.07504357753924486,-0.170522644824131]",4.0,"[0.08573611454692592,0.17925775530559712]",4.0,"[-0.0820682798497866,0.013192448910822606]",4.0,"[0.16141603531186968,0.11745056325500486]",4.0,"[0.09585104407130553,0.09418107276136861]",4.0,"[0.1009377160089493,-0.039950619903569205]",100.0,"[0.0432342387895018,0.1323661173841969]",100.0,"[-0.08643896870466544,-0.07185934175115662]",4.0,"[0.110218294176848,0.05063018658325451]",4.0,"[0.015683224404157117,-0.16371216718836556]",100.0,"[0.10770891136473375,0.1411724307803628]",100.0,"[-0.034924990277829526,-0.17163014706537597]",100.0,"[0.1701677037657124,0.06835065983392326]",100.0,"[-0.002739058628004801,-0.06467160769029306]",100.0,"[0.06987071400971032,-0.10557149884730949]",4.0,"[0.17680367406476308,-0.05750735238555406]",4.0,"[0.15233311579150852,-0.10927766426487505]",4.0,"[-0.16409547562985574,0.07691987719724581]",4.0,"[0.07092820307177808,0.03247511596340072]",4.0,"[-0.14174255877261088,0.11055226892144739]",4.0,"[0.10187915022215879,-0.1315545105023805]",100.0,"[0.02,0.02]",358.871,0.0,0.0,0.0,99.0,1.0,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,358.873,359.37,,,359.622,360.367,right,0.733,,,,,,,,,0.4,,,,,,359.37,359.622,360.367,"[-0.13438335326119133,-0.09581904658762617]",4.0,"[0.10997942614304192,-0.04343497430166966]",4.0,"[0.04782804727451081,-0.1126009023179333]",100.0,"[-0.035291935228887614,-0.19568451626155242]",100.0,"[-0.04018594733244774,0.19101646808209716]",100.0,"[-0.03940964227549728,-0.04595324151692136]",100.0,"[-0.12430097202740811,-0.1464999355294903]",4.0,"[-0.05716935033641123,0.018446688196679925]",4.0,"[0.05339837361181891,0.08784635307613924]",4.0,"[-0.016807983337885118,0.10390069268864102]",4.0,"[0.1323281691067274,0.033265130152689726]",4.0,"[-0.004531392119805205,-0.002808777911275586]",4.0,"[0.005963660814811857,-0.1353230494741483]",100.0,"[0.11298662355927792,0.13184318785789528]",4.0,"[-0.15121342720989242,0.0872943413515382]",4.0,"[0.09996266876051817,0.004033517029176932]",4.0,"[-0.15323079524345007,0.02908169328802856]",4.0,"[0.14471284283576455,-0.12956101220254843]",4.0,"[0.03869868233990863,-0.006606186388528064]",100.0,"[0.16693473269007938,0.00987252709254858]",100.0,"[-0.06396674047860534,-0.15180626723323787]",100.0,"[-0.1554120704814293,-0.04596253234404058]",100.0,"[0.042734178166658414,0.13275856402912772]",4.0,"[-0.1003876348302381,0.14415062216182659]",100.0,"[-0.053276015923677075,0.06689801564856866]",4.0,"[-0.10058157714755679,0.05214281312427088]",100.0,"[0.06033468778540933,-0.042552413732887456]",4.0,"[0.09333679184385417,0.07246197692509657]",4.0,"[0.028303574050719777,0.05147961134922398]",4.0,"[-0.04796258313204448,-0.09464269606607612]",4.0,"[0.027722283169808206,-0.19791101285632928]",100.0,"[0.04350360231060363,0.17361919290498004]",100.0,"[0.02,0.02]",361.465,0.0,1.0,1.0,159.0,1.0,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,361.466,361.963,,,362.215,363.211,right,0.985,,,,,,,,,0.55,,,,,,361.963,362.215,363.211,"[0.0778911173899366,0.017812209091675538]",100.0,"[0.14693694562193146,-0.10897911867789581]",4.0,"[-0.1287955694121711,0.027377686664629256]",100.0,"[-0.060144099097568356,-0.12124360954901202]",4.0,"[0.028838421433706362,0.1725445670875799]",100.0,"[-0.05153605453932223,-0.003750763777187996]",4.0,"[-0.16548386906150492,-0.09677900027554853]",100.0,"[0.06782854623900439,-0.184780791776269]",4.0,"[0.1923095026812609,-0.0008348967246901045]",100.0,"[-0.07813243457984109,0.046022716304224075]",100.0,"[0.021525390507107497,-0.11498617912784949]",4.0,"[0.027960845046868868,-0.006139268861939939]",4.0,"[-0.06919561099095853,0.11453454583187625]",100.0,"[-0.01187555498554457,0.06548820817034634]",4.0,"[-0.11637971853417964,-0.11432282379022231]",100.0,"[-0.1785471803808662,0.08970474113349847]",4.0,"[0.15885779100249425,-0.024898326562604087]",100.0,"[-0.021297974102382693,-0.174963804173607]",100.0,"[0.11816054253030439,-0.06495891672170775]",4.0,"[0.09179142618670003,0.0994364506708407]",4.0,"[0.02983915192875688,0.10416574729772828]",100.0,"[0.06159252292037793,-0.13762558345711204]",100.0,"[-0.04609345074693677,-0.06165652199562245]",4.0,"[0.13487944353528525,0.05411746867313209]",4.0,"[-0.09093679701001815,-0.07441996590334907]",100.0,"[0.10883931558970414,0.15651718458701647]",100.0,"[0.05580674848030775,-0.03952569143091077]",100.0,"[-0.08193511258948574,-0.16661697323010874]",100.0,"[-0.19864946105336986,-0.021710305168637374]",4.0,"[-0.17940609642717678,0.042729133308653654]",100.0,"[0.10771987301046385,-0.014908290683331788]",100.0,"[0.11387460314510679,-0.14107911841240428]",4.0,"[0.02,0.02]",364.308,0.0,2.0,2.0,75.0,1.0,,,,,,,
,,,,,,,5dd25456cc192027096069bb,6842bbcfd3a92410aca99606,2025-06-06_11h59.02.735,shape_ratio,2024.1.5,Win32,60.09615385,6842b561977af9ba9b0f87ca,,,,,,,,,,,364.313,364.806,,,365.058,365.689,left,0.618,,,,,,,,,0.55,,,,,,364.808,365.058,365.689,"[-0.17782926333525267,0.0767327771928349]",100.0,"[0.034892543289429555,-0.16147092608129085]",100.0,"[-0.13551785966762722,-0.024931978529238726]",100.0,"[0.05794627192047237,0.1060809274392948]",4.0,"[-0.02457452167930361,0.12769993229591609]",4.0,"[0.12569065556579925,-0.017496778162227188]",100.0,"[-0.08952097458209461,-0.15087975216340263]",4.0,"[-0.1398603491391364,0.05861520745603791]",100.0,"[0.053166313894939976,0.1921187395060194]",100.0,"[-0.07428834096572577,-0.01580886609579348]",4.0,"[0.18950897251429968,-0.058104022613142646]",100.0,"[0.020763631104280655,0.154997019973135]",100.0,"[-0.0008323289184321058,-0.0031906232276214417]",4.0,"[-0.06102839477850911,-0.0873875942340866]",100.0,"[-0.014857462774729019,-0.1705324822591226]",4.0,"[-0.07257207374697124,0.0989664931997344]",100.0,"[0.18207397757518118,0.030126565238033545]",4.0,"[-0.09902566036587372,-0.10405944818573057]",100.0,"[0.05706944518549243,-0.02252882991636717]",100.0,"[-0.016452846943529182,0.051028800157809605]",4.0,"[0.1575535840557866,0.0851853249447267]",4.0,"[-0.17490404491777528,-0.08768995973041882]",4.0,"[-0.13908626338228391,-0.06741673019603033]",4.0,"[0.14240851058095333,-0.13967628988529446]",4.0,"[0.07556918214563074,-0.12352395468265447]",100.0,"[-0.14130716859444456,-0.11641046633155777]",100.0,"[-0.06706628399823092,0.03497199293050106]",100.0,"[0.019573965561988416,0.08540762649815907]",100.0,"[0.11489701522575406,-0.10404471764544809]",100.0,"[0.01567505690058492,-0.06483242493003917]",4.0,"[-0.18307067120386714,-0.034699094893960315]",100.0,"[-0.11157731868339693,0.009748196653768698]",4.0,"[0.02,0.02]",366.785,0.0,3.0,3.0,84.0,1.0,,,,,,,
