right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,52.7764,space,37.7586,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,52.7783,85.4463,space,2.6513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,85.4466,90.5405,space,2.0716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,90.5956,91.0412,91.0417,91.293,91.2936,92.3465,right,0.9421,,92.3468,93.451,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,93.4522,93.9533,93.9534,94.2036,94.2037,94.8555,left,0.6347,,94.8556,95.9607,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9615,107.5044,space,8.5195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,107.5301,108.0294,,,108.2685,108.6812,right,0.3776,,,,,,,,,0.6,,,,,,108.03,108.2685,108.6819,"[-0.0662805529715848,0.06846806541772682]",100.0,"[0.04757237307998239,0.10977953279667785]",4.0,"[0.1279729505138588,0.1227518272496321]",100.0,"[-0.006575687058014546,-0.067631087744834]",4.0,"[-0.10648054570777883,-0.10498966361142825]",100.0,"[-0.17913030542411135,-0.0022751038452325633]",4.0,"[0.1560963590136879,0.0911223785892197]",4.0,"[-0.045089091232281726,0.0033154994020161066]",100.0,"[0.0333399258612793,0.07036101540245984]",100.0,"[-0.02349069023746316,0.10656339031429035]",4.0,"[0.12646910976494596,0.061627678261109535]",100.0,"[0.19082170102109858,0.015331314832165469]",100.0,"[-0.1617029889710289,0.10301082011307171]",100.0,"[-0.02595904551085112,0.152852729430906]",4.0,"[-0.04908176320943603,-0.091457192526573]",100.0,"[0.08415770568273422,-0.0027201971398132046]",100.0,"[-0.028387865883265775,0.04211324124252327]",100.0,"[0.014792703870383115,-0.02209412607525773]",4.0,"[0.03396881327332361,-0.17175763182348183]",4.0,"[0.16403577762476043,-0.09601026393751982]",100.0,"[-0.024404173993821655,-0.14976487517784629]",4.0,"[0.15441380291127765,-0.007652367264598356]",100.0,"[-0.13688517240489997,-0.057786462337526975]",100.0,"[0.010819268946946297,0.19313473914338727]",4.0,"[0.1851465429020743,-0.05919278611881987]",100.0,"[0.027294833616956282,0.021847138431365865]",4.0,"[0.08756638005417407,-0.14262155468584484]",100.0,"[0.07709322521728089,-0.0445135962566716]",100.0,"[-0.1203921016092538,0.0352842500300458]",4.0,"[0.12379939089006302,-0.08082978979209401]",4.0,"[0.09913741837594846,0.1712060382444143]",100.0,"[-0.06922169605248794,0.12613890678850925]",100.0,"[0.02,0.02]",109.7861,0.0,0.0,0.0,37.0,1.0,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,109.7869,110.288,,,110.5273,110.9897,right,0.4291,,,,,,,,,0.55,,,,,,110.2881,110.5272,110.9898,"[-0.025442085073470705,-0.12365180661737755]",100.0,"[-0.10148441839283354,-0.040744341713785215]",4.0,"[-0.10004047720952047,0.009480815955838004]",4.0,"[0.15343519505030473,0.11746827690078333]",100.0,"[0.11989711068089504,-0.059613363323938046]",4.0,"[-0.1383067823479242,0.11428004011372157]",4.0,"[-0.15494567753367,0.046358458676643045]",100.0,"[0.1348621229824274,0.01223768938107461]",100.0,"[-0.0061741151677025905,-0.1699750378702291]",100.0,"[0.08098873281203543,0.1002403414591753]",100.0,"[0.0016503273070341631,-0.03515496909175839]",4.0,"[0.07794382731199886,0.02518733490393016]",100.0,"[-0.0009383615761292313,0.005256098521706862]",4.0,"[0.135679610349738,0.055247093701525404]",100.0,"[-0.04851725734835636,-0.18012827868253112]",100.0,"[-0.008612761283734552,0.05626297437133582]",100.0,"[0.03972272825089088,-0.17705502175827195]",100.0,"[-0.09082051701521061,-0.10137421122419465]",100.0,"[0.040966650546207524,0.1780344015760902]",100.0,"[-0.009404513443607059,0.19373560083019242]",4.0,"[0.04981453221225029,0.06281215547260106]",4.0,"[-0.03604693918524877,0.12362743416447837]",100.0,"[-0.05861247980856187,0.019393659143533235]",100.0,"[-0.09391825950461556,0.12520132621460253]",100.0,"[0.16243100085576595,-0.09569394657676694]",4.0,"[0.061352946482157354,-0.01995551605786076]",4.0,"[0.011380686715924368,-0.08129967499002917]",100.0,"[-0.07388983975376326,0.06136805249734632]",4.0,"[-0.14241582113455709,-0.10310900792997171]",100.0,"[0.167271796066114,-0.04962945929288299]",4.0,"[-0.11268584571365349,-0.14866921039337536]",4.0,"[-0.19044573918627836,-0.012287519758366165]",4.0,"[0.02,0.02]",112.0948,0.0,1.0,1.0,60.0,1.0,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,112.0956,112.5965,,,112.8481,113.1731,left,0.3021,,,,,,,,,0.4,,,,,,112.5966,112.8481,113.1731,"[-0.06988316680052035,-0.03245544624153517]",4.0,"[0.0457083821181167,-0.0007174313409665185]",4.0,"[-0.1503720030444182,0.017293836638202824]",4.0,"[-0.0575398585295383,-0.08738919997252736]",4.0,"[0.14443663012454758,-0.01111855361112764]",100.0,"[0.03953360619064903,-0.17993511210588295]",100.0,"[-0.011057070756779103,-0.1254772944942815]",4.0,"[0.18590900787816353,0.0009184040583276168]",4.0,"[-0.03263552384966103,0.07075083857177834]",100.0,"[0.04723335356707743,0.11528677578503747]",100.0,"[0.11128211270895871,-0.08428320695064749]",4.0,"[-0.04356900930478132,0.14344391256492015]",4.0,"[-0.07921882587065654,0.06288268288330272]",100.0,"[-0.16311776868711145,-0.09604282883262664]",4.0,"[-0.05763193462985916,-0.18109996092284594]",100.0,"[0.16911659653299474,0.046362113460166644]",100.0,"[0.13056822182073308,-0.14683675103302554]",4.0,"[-0.1761968331027731,-0.02560644690106102]",4.0,"[0.1662549164243818,-0.08167610657105127]",4.0,"[0.09267176697153508,0.1469323067414071]",4.0,"[-0.10402955442894667,0.023402848542014732]",4.0,"[-0.018511671896226736,-0.02963825656435269]",100.0,"[-0.13172239080135864,-0.029235618324677713]",100.0,"[-0.12356641063623347,-0.15044999060107403]",100.0,"[0.010650257094607391,0.04870946511793166]",4.0,"[-0.033927583541212974,0.01741803010031615]",4.0,"[0.11660176438431338,0.10031495609153589]",100.0,"[0.16936605656304285,0.09492848299390218]",100.0,"[0.05421075231271974,-0.05215230238533504]",4.0,"[-0.15363115243574926,0.09448426577775211]",4.0,"[-0.07258604707120947,-0.12518791562630177]",4.0,"[0.0768151131733573,0.04252762388974511]",100.0,"[0.02,0.02]",114.277,0.0,2.0,2.0,176.0,1.0,,,,,,,
,,,,,,,5dd3699ee73e6136c640f1cf,6844286014f0fd16d229e9b2,2025-06-07_07h56.39.079,shape_ratio,2024.1.5,Win32,40.16064257,684250e4f00cb30b92d1fa88,,,,,,,,,,,114.2775,114.7787,,,115.0311,115.2055,right,0.1503,,,,,,,,,0.4,,,,,,114.7787,115.031,115.2056,"[-0.13578820805375963,-0.08889684720572653]",4.0,"[0.07120487413196501,0.04762076052294724]",4.0,"[-0.11913215697798199,0.046523877750134265]",100.0,"[0.1595506221794975,0.07658119994094806]",100.0,"[-0.057437447841602034,0.03809198742585321]",100.0,"[-0.16550539475986667,-0.061862765922784724]",4.0,"[0.0871561351909982,-0.08565376189113226]",4.0,"[-0.16050459700164066,0.08781482639117294]",100.0,"[-0.031838590700738204,-0.10659206568698068]",4.0,"[-0.115691701216238,-0.1473365898416504]",100.0,"[0.13552935936770172,0.030312068145550132]",100.0,"[0.14118016993884674,-0.029646806963254793]",4.0,"[0.08857010012865273,-0.005104470827127899]",4.0,"[0.13612691178817282,0.10965659728655185]",4.0,"[-0.03171338165018673,0.11254059574763679]",4.0,"[0.044939056603059226,-0.06725174181954136]",4.0,"[-0.003482119269559044,-0.04272438909792795]",4.0,"[-0.03298017800647971,-0.19060747039210696]",4.0,"[-0.06227314108392391,0.17522708220865751]",4.0,"[-0.06372431990521249,-0.04674741181641454]",4.0,"[-0.010493358049162916,-0.14307795538240817]",100.0,"[-0.1099426357662403,0.08687926954492335]",100.0,"[-0.0797915409486738,-0.10823512368299651]",100.0,"[-0.004226179223740272,0.14534086031110333]",100.0,"[0.11795612540240534,-0.15963901564911012]",100.0,"[0.08071323267887714,0.1791746701126877]",4.0,"[0.0388085352634627,0.07512841448804645]",100.0,"[-0.09356940789316642,-0.0033063301606163224]",100.0,"[-0.15114265190371728,0.005605635075356378]",4.0,"[-0.0036689588240462613,0.025959721653291704]",4.0,"[0.13198888516476598,-0.09536377655493401]",4.0,"[0.17997433150540032,-0.0775327357851593]",4.0,"[0.02,0.02]",116.3094,0.0,3.0,3.0,150.0,1.0,,,,,,,
