right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,45.9332,space,30.913,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,45.9336,89.4536,space,13.4986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,89.4539,94.1917,space,1.7349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,94.2145,94.708,94.7086,94.9588,94.9591,95.6417,right,0.658,,95.6418,96.7432,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,96.7441,97.2432,97.2433,97.4941,97.4942,97.8771,left,0.3663,,97.8773,98.978,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9787,102.5972,space,0.6057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,102.6143,103.0982,,,103.3492,103.3985,left,0.0372,,,,,,,,,0.1,,,,,,103.0989,103.3492,103.399,"[0.1031706721842923,-0.1484687706336812]",4.0,"[0.10002981402401505,0.11494165384369877]",4.0,"[-0.14221996373329276,0.07227257921843847]",4.0,"[-0.1575155380124625,-0.02127290513035577]",4.0,"[0.053361309705508196,-0.192367378202284]",4.0,"[0.018962684177496296,0.1088580174835537]",4.0,"[-0.030594173386104224,-0.006356398447604998]",4.0,"[-0.1604492505479347,-0.07102534398469863]",4.0,"[0.07024909507465649,-0.05616609902788844]",4.0,"[-0.03577209486620917,0.17871294498310897]",100.0,"[-0.09545658582035961,-0.08021976592744479]",4.0,"[0.18252002254077465,-0.024572197006199694]",4.0,"[0.040194285911748916,-0.026348858309391307]",4.0,"[-0.02193791636706513,0.04928091483533731]",4.0,"[-0.10346901513811349,0.008102015203607038]",4.0,"[0.1676313675500345,0.06858420896142883]",4.0,"[-0.014571554948341883,-0.1733171509510498]",4.0,"[0.03004165518573809,-0.09559641063953636]",4.0,"[-0.01466328658749551,-0.06068131293570687]",100.0,"[0.14791892399328413,0.11334760806811249]",100.0,"[0.12867624943825182,-0.10479698155693538]",4.0,"[0.04512304767658202,0.043218401885461284]",4.0,"[0.06035500930930875,0.16191953230623266]",4.0,"[0.12320272052905239,-0.012745760492435471]",4.0,"[-0.06494730151121776,0.08756638263698452]",4.0,"[0.09549027385175796,0.06994327438481836]",4.0,"[-0.11305845436929934,-0.1458520520555669]",4.0,"[-0.028559749992628603,-0.11965096891748606]",4.0,"[0.09701864676968229,0.021469819697971237]",4.0,"[-0.0584398919044315,0.1417658226642532]",4.0,"[-0.13808708198909242,0.11956552598830918]",4.0,"[0.17664347827253363,-0.09084741726398621]",4.0,"[0.02,0.02]",104.4987,0.0,0.0,0.0,196.0,1.0,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,104.4994,104.9989,,,105.2504,105.9507,left,0.684,,,,,,,,,0.1,,,,,,104.999,105.2504,105.9508,"[-0.06885425415411171,0.01711132513087054]",4.0,"[-0.1093995537022533,-0.15675906175320675]",4.0,"[-0.092410034756849,0.16277976843842726]",100.0,"[-0.06130514639803185,-0.07053470599030252]",100.0,"[-0.1467708511347577,-0.007353397768962234]",4.0,"[0.10203442784257337,-0.06775265524753743]",4.0,"[-0.11090116511488769,0.0767619727142937]",4.0,"[-0.15241449436080023,0.10246633685614873]",4.0,"[0.15894080722980405,-0.07648898247637209]",4.0,"[-0.010438422957368344,-0.055128152051706396]",4.0,"[0.04272943671027628,0.14315680345356696]",4.0,"[0.13012414348900075,-0.031136928371977044]",4.0,"[-0.018067013660993426,-0.13959757484725463]",4.0,"[-0.04576004423198045,-0.1832696422824237]",4.0,"[-0.023097664236276648,0.028229842378575933]",4.0,"[0.0023330198934581143,0.15219004516561563]",4.0,"[0.1627216890336643,0.09819395991350337]",4.0,"[0.14997904913820112,0.041750551252230324]",4.0,"[-0.11612964460476738,0.12456722084069852]",100.0,"[0.09450046530143698,0.09858441826628957]",4.0,"[-0.1097202756655361,-0.03266489276692065]",4.0,"[0.04184164563920793,-0.19332558884794857]",4.0,"[0.10558407331892265,-0.13166263192932695]",4.0,"[-0.06153658267424083,-0.12856246526340404]",4.0,"[0.029237378399540947,-0.0010148603298902974]",4.0,"[-0.17386950785574362,0.02910751834258353]",4.0,"[-0.16781007573915663,-0.08766677175920247]",4.0,"[-0.09281110175099373,-0.09593018635654747]",4.0,"[0.1837781499164892,0.01311500199138111]",4.0,"[0.035919458980374706,0.09526793062252578]",4.0,"[-0.047545964132662606,0.09785082440281817]",4.0,"[-0.027440270860435483,0.19229354517159775]",4.0,"[0.02,0.02]",107.0516,0.0,1.0,1.0,198.0,1.0,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,107.0522,107.552,,,107.803,108.035,right,0.2199,,,,,,,,,0.45,,,,,,107.552,107.8029,108.0352,"[-0.0034004106407546546,-0.03732626730446964]",4.0,"[0.011115932252690438,0.18085515867659996]",100.0,"[-0.12707367266994848,0.11302601160292444]",4.0,"[-0.08872032035552878,-0.09277195623667737]",4.0,"[0.015401291364051016,0.06453509806871058]",100.0,"[-0.08143680752036428,-0.14870602279992792]",4.0,"[-0.005049519339647872,-0.10131632674473193]",100.0,"[-0.13810355699015622,-0.035891890598186635]",4.0,"[0.035507290935041326,-0.07354721583852158]",100.0,"[0.18571512822592653,0.013529669012906299]",4.0,"[0.07044388082433516,0.048339880540575995]",4.0,"[0.06048376412230576,-0.14173805983546348]",100.0,"[0.11238398842571487,-0.15159563992791095]",100.0,"[-0.13451803845282467,0.01192930793837893]",100.0,"[-0.15636663035188467,0.0512034232949356]",4.0,"[-0.06440888180643066,-0.02449900293080434]",4.0,"[0.1475801405078593,0.1242628267659393]",100.0,"[-0.07420173712172892,0.02278404134310053]",4.0,"[0.10419122990328501,-0.029664691771680313]",4.0,"[-0.08597048047021937,0.11750026453282748]",4.0,"[-0.1893845356066552,0.022233317666540905]",100.0,"[-0.10344094368624018,0.05129766204331372]",4.0,"[-0.05141761107891288,0.05850009657782016]",4.0,"[0.09168478187268875,-0.0951825952345601]",100.0,"[0.007614969517100143,-0.19499752598066086]",4.0,"[0.05615199649076752,-0.030161473132537]",4.0,"[0.06964260529020737,0.11655162777289069]",100.0,"[0.0009552011878718574,-0.1502573886399552]",100.0,"[0.048309166350427556,0.013503272185240098]",4.0,"[0.13701953313451107,0.04175227351342151]",4.0,"[-0.040030247175635275,0.12248968850327087]",100.0,"[-0.17820764450871027,0.0875846487972565]",100.0,"[0.02,0.02]",109.1357,0.0,2.0,2.0,139.0,1.0,,,,,,,
,,,,,,,5f0f6811a0ed4a11dbc57b79,68399de980caacdc60371909,2025-05-30_13h01.20.460,shape_ratio,2024.1.5,MacIntel,59.88023952,683853e18dae57a2147b65e0,,,,,,,,,,,109.1362,109.6371,,,109.8879,110.7206,left,0.8168,,,,,,,,,0.9,,,,,,109.6371,109.8879,110.7206,"[-0.0561022458645554,0.1600644266354177]",100.0,"[0.013738815549900639,-0.15853872671607702]",100.0,"[-0.06999292449646703,-0.12044866932189531]",100.0,"[0.0625737994873721,0.16129405195469146]",100.0,"[0.18262360287668905,-0.06772991073965606]",100.0,"[-0.043341356855718056,0.005582519570008196]",100.0,"[0.02285847014667398,0.005966725505543193]",100.0,"[0.08752583968708567,-0.02604071029742995]",100.0,"[0.08036746285704721,-0.10790867798528887]",100.0,"[0.05993466753254232,-0.06838059071516438]",4.0,"[0.00510411221239075,-0.08081534867296247]",100.0,"[-0.15864157533337211,0.007766389724857665]",100.0,"[-0.019464503944570295,0.19600421946973257]",100.0,"[-0.10484958197969194,0.0912155743372432]",100.0,"[0.030587312508865365,0.11107676581368973]",100.0,"[-0.09798805466277712,-0.07901133226859591]",100.0,"[-0.17570701413075668,0.04633947022411031]",100.0,"[0.15287172927493814,0.021248076580713468]",100.0,"[-0.0659619966007802,-0.03901683843474181]",100.0,"[-0.14710279535664814,-0.0786747945125991]",100.0,"[-0.057187808947556956,0.04617937248663573]",4.0,"[-0.04985888308959682,-0.17008012957564003]",100.0,"[0.10826135034025076,-0.06548231743593387]",100.0,"[0.04391738657291691,0.06758653524303371]",100.0,"[0.0339760170908999,-0.11571440950116982]",4.0,"[-0.19794077541106853,-0.011460664634583199]",100.0,"[-0.022083517085960822,0.09654390946099295]",100.0,"[0.023502229458553472,0.17891157297546958]",100.0,"[0.11832238608700868,0.14221344037988962]",100.0,"[0.16840578708669926,0.06172307936253097]",100.0,"[0.15460898082981564,-0.03282673188961657]",100.0,"[-0.12634870201909118,-0.14932846885366338]",100.0,"[0.02,0.02]",111.8224,0.0,3.0,3.0,21.0,1.0,,,,,,,
