right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0,1166.65,space,1151.637,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,1166.65,1198.12,space,1.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,1198.12,1202.352,space,1.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,1202.362,1202.852,1202.852,1203.102,1203.102,1204.467,left,1.328,,1204.467,1205.567,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,1205.568,1206.068,1206.068,1206.318,1206.318,1206.834,right,0.502,,1206.834,1207.933,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,1207.933,1211.815,space,0.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,1211.824,1212.315,,,1212.565,1213.432,right,0.85,,,,,,,,,0.9,,,,,,1212.315,1212.565,1213.432,"[0.004894136962091806,-0.08111284059762054]",100.0,"[0.08616582479460769,0.13608065420688154]",100.0,"[-0.17798451535473325,0.07282052637849988]",100.0,"[-0.07439415585223977,0.07670728034579924]",100.0,"[0.017703947961666584,-0.15873087107952114]",100.0,"[-0.11724022448322606,0.0843778205944042]",100.0,"[-0.05745940667286055,0.1738316363600748]",100.0,"[0.010189057272004252,0.16675161369920186]",100.0,"[0.15575807356484278,-0.012006978065933708]",100.0,"[-0.08596810741433034,-0.09784196763370456]",100.0,"[-0.020258427593073582,0.032690939950837376]",100.0,"[0.10423602271605245,-0.054290658412184625]",100.0,"[0.1301446879738771,0.1165069901364449]",4.0,"[0.1409711038725106,-0.07449573683744211]",100.0,"[-0.06545465393223247,-0.18010786357765646]",100.0,"[0.18024977926929706,0.06774430809665438]",100.0,"[-0.14410106158602967,0.03353201137504375]",100.0,"[-0.06938014349828715,-0.03598320170644778]",100.0,"[-0.06575131548452504,0.13386302718834187]",4.0,"[-0.12080456062947645,-0.03681217145458253]",100.0,"[0.016647843953856618,0.0007357937419888425]",100.0,"[0.035546297659828634,-0.05433671823714779]",100.0,"[0.11688163816059657,-0.15656114462096346]",100.0,"[0.17703894596368738,-0.056200414491656386]",100.0,"[0.0342214434403021,0.1136500794210232]",100.0,"[0.11993920267434283,0.0600244958958465]",100.0,"[0.08158440241746115,-0.010059545016651563]",100.0,"[0.19844373196105286,0.02220395794622152]",4.0,"[0.07692948902005467,-0.11079904197325895]",100.0,"[-0.021909075055982385,0.11009100027119026]",100.0,"[-0.16303496601320602,-0.10578256013175212]",100.0,"[0.056136762761152606,0.06282607146585535]",100.0,"[0.02,0.02]",1214.532,0.0,0.0,0.0,5.0,1.0,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,1214.532,1215.031,,,1215.281,1215.748,right,0.45,,,,,,,,,0.9,,,,,,1215.031,1215.281,1215.748,"[-0.08430631457735206,-0.1105355954902699]",100.0,"[-0.18008562579878826,-0.02106717958128729]",100.0,"[0.04863901159139181,-0.02234915092371203]",100.0,"[-0.17707481386826335,0.0651850403965303]",100.0,"[-0.09853142449861059,0.0102663664722538]",100.0,"[0.03403074423679292,0.184592488588548]",100.0,"[0.11925799034981888,0.09738648570359142]",100.0,"[0.015889322539040896,-0.047649337883504936]",100.0,"[-0.1180196340386255,-0.029938380822507184]",100.0,"[-0.05619716019656932,0.1398774866008787]",100.0,"[0.16955130660590018,-0.0020888047148617363]",4.0,"[0.036707766458592486,-0.09095253679855464]",100.0,"[0.005845374594631694,0.1382426624473652]",100.0,"[-0.0815622145684025,0.17519227194239895]",100.0,"[-0.028748361230099495,0.0026069002830149397]",100.0,"[0.06726402260425952,-0.18260635565937008]",100.0,"[0.12928836973668867,-0.12860212161853476]",100.0,"[0.13256388397432842,-0.04295592031676902]",100.0,"[0.19055293055483447,-0.05516785372839701]",100.0,"[-0.012873915671942567,-0.13244076472683122]",100.0,"[0.09272139705497323,-0.07772967391461309]",100.0,"[0.16497491982989076,-0.09965707203386154]",4.0,"[0.16200686442454404,0.11547372532213292]",100.0,"[-0.06273666059806766,-0.07215141889544309]",100.0,"[-0.00833105204184383,0.18044639200082077]",100.0,"[0.04510325876543446,-0.13514633843660445]",100.0,"[-0.09097937305059287,-0.15198242216184366]",4.0,"[-0.15138658803609917,-0.11939798779895572]",100.0,"[-0.03817005078325824,-0.036677618052918075]",100.0,"[0.038240896227990116,0.09741826708092614]",100.0,"[0.06607377887288156,0.14768895789011088]",100.0,"[0.013356192618575123,0.04389133740824859]",100.0,"[0.02,0.02]",1216.847,0.0,1.0,1.0,1.0,1.0,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,1216.849,1217.347,,,1217.597,1218.029,left,0.426,,,,,,,,,0.5,,,,,,1217.347,1217.597,1218.03,"[-0.09741301032434697,-0.12586591496056987]",100.0,"[0.12714502258887392,0.06586799758316923]",4.0,"[-0.024374875732784382,-0.17700523208931235]",100.0,"[-0.14589507876054877,0.12320931386318143]",100.0,"[0.11164464942186564,0.14219130124756052]",100.0,"[0.19572170655380378,-0.0005464652507716012]",100.0,"[-0.008927979433020011,-0.06430116890612383]",100.0,"[-0.15170988413718936,-0.07266470375273192]",100.0,"[0.051751756723346094,-0.14543850586432464]",100.0,"[0.1712305969944516,0.09033422164793198]",100.0,"[-0.14347010567389565,-0.11595100452484285]",100.0,"[0.1077962040093615,-0.09690676785903268]",4.0,"[0.02295085584206479,0.11998363124197416]",4.0,"[-0.09816621124374825,0.10596943553129376]",4.0,"[0.137104446043029,-0.03482850039265094]",4.0,"[-0.03933354318826208,0.10278019804650868]",4.0,"[-0.10183899493611752,-0.06848814038461311]",4.0,"[-0.04195972171323943,-0.12473284430058527]",4.0,"[0.008092191282958612,0.19069748914284956]",100.0,"[0.014867880541991361,-0.030044205904463772]",4.0,"[-0.05755172940890343,0.17831571684658196]",4.0,"[0.05702749102897062,0.14328123864311615]",100.0,"[-0.02327137012191593,-0.0034169485396557692]",4.0,"[-0.06942993584502222,-0.00948775786550291]",4.0,"[0.008272479932320933,-0.14603038214266406]",100.0,"[-0.16953813336409035,0.04183258390419154]",4.0,"[0.07775796813395416,0.022165860313362113]",100.0,"[-0.04847865126700324,-0.05269405215446676]",100.0,"[0.040469187989440984,0.07886007085307897]",100.0,"[0.18390844778229123,0.04327011026438995]",4.0,"[0.08088622023237226,0.1823687254361956]",4.0,"[-0.17146349106160097,-0.013686904229879254]",4.0,"[0.02,0.02]",1219.129,0.0,2.0,2.0,97.0,1.0,,,,,,,
,,,,,,,5f70f2daea9a9f7076484982,6842bb028ad3b7fb1f2eb68a,2025-06-06_11h55.24.470,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,1219.13,1219.629,,,1219.879,1220.429,left,0.537,,,,,,,,,0.5,,,,,,1219.629,1219.879,1220.429,"[0.14793776069836417,-0.05554249282654928]",100.0,"[-0.035608250544894506,0.15557020225788865]",4.0,"[0.055873762479504784,0.0008238559589113823]",100.0,"[0.09748108507214975,0.10772428955565329]",100.0,"[0.044767340408241,0.06040229823352289]",4.0,"[-0.07296303553014055,-0.038691824597584856]",100.0,"[0.10354668508776613,-0.15364824958009088]",100.0,"[-0.1861133299321169,-0.06577806160632702]",4.0,"[0.13889518745388132,0.051563115391679834]",4.0,"[0.13154979667682418,0.0008404598353315367]",100.0,"[-0.023209744446681804,0.04693000297066565]",100.0,"[0.04352193681712056,-0.10131967296515973]",4.0,"[-0.01865140628057883,-0.12239725146673684]",100.0,"[0.020741487430165767,-0.1395591151509339]",100.0,"[0.18864588902297688,0.057394654229727844]",4.0,"[0.08809291350859605,0.036215747994597994]",4.0,"[-0.06556513370713536,-0.18148302112462505]",4.0,"[0.05373579299098693,0.1653330562021978]",4.0,"[0.03523152065227966,0.12270563788305806]",4.0,"[0.05674504428594943,-0.17502131150275532]",100.0,"[0.15104824337980793,-0.10585343811448501]",100.0,"[-0.07408356078613744,0.05044029397275425]",100.0,"[-0.12321747890014075,0.03655526243706061]",100.0,"[-0.12953917671963225,-0.023901097659360653]",4.0,"[-0.045990674559139764,0.004136063589038145]",4.0,"[-0.13454526875847728,0.09404615681949828]",4.0,"[0.15051251632608584,0.11227502921686934]",100.0,"[-0.061568878254321426,-0.13410614075115354]",100.0,"[0.04879724093558055,-0.05107733952379818]",4.0,"[0.0009971591720404416,-0.011616271611499288]",4.0,"[-0.11886575327729389,-0.11700683351353842]",100.0,"[-0.17605805143496722,0.05447784951448729]",4.0,"[0.02,0.02]",1221.528,0.0,3.0,3.0,105.0,1.0,,,,,,,
