right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.001,140.685,space,125.663,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,140.685,179.029,space,8.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,179.03,185.363,space,3.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,185.395,185.878,185.878,186.131,186.131,186.994,left,0.808,,186.994,188.094,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,188.095,188.594,188.594,188.846,188.846,189.41,right,0.551,,189.411,190.511,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.511,202.313,space,8.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,202.353,202.827,,,203.079,203.594,left,0.501,,,,,,,,,0.1,,,,,,202.827,203.079,203.594,"[0.10794430343652237,-0.01911639444829576]",100.0,"[-0.11619476161810716,-0.0402095019878469]",4.0,"[0.027144671850984476,-0.042495611873006524]",4.0,"[-0.18238854587301045,-0.00798803730793564]",4.0,"[0.05398937769067519,0.18658060217966096]",4.0,"[-0.14591926339379568,-0.11394275486664027]",4.0,"[-0.07658257585140957,0.1258623275837387]",4.0,"[-0.012274562802876263,-0.0765377192197164]",4.0,"[0.1447894748033991,-0.0682918964330426]",100.0,"[0.012250193339011103,-0.1779344897359647]",100.0,"[-0.02284849779468426,0.0805658488081705]",4.0,"[-0.06434428816970467,-0.05221465356341102]",4.0,"[0.11518521135977981,0.15401749795896136]",4.0,"[0.04940108648136057,0.13063313059714055]",4.0,"[0.074432392564758,-0.08808122923676315]",4.0,"[-0.10315893933798548,0.013025708080275172]",4.0,"[-0.08589069619048276,0.08024795754769588]",4.0,"[0.08855213330193289,-0.14476368147568333]",4.0,"[0.15794382858028044,0.031307634108596896]",4.0,"[0.16740612924620765,0.07459461201741756]",4.0,"[-0.03034835838095821,-0.18219941315872026]",4.0,"[0.0976044882741862,0.07757513019785567]",4.0,"[-0.044923579862531406,-0.0002845697518496321]",4.0,"[0.060083306822395634,-0.1774909667811282]",4.0,"[-0.11225292586893433,-0.14222511167573626]",4.0,"[-0.11851104686137162,0.141977847065622]",4.0,"[-0.04372825827118466,-0.11384981004093774]",4.0,"[0.06238691244091294,0.05065599408888981]",4.0,"[0.1754186384788386,-0.03851285915111128]",4.0,"[-0.15846787776691298,0.0854557098037031]",4.0,"[0.12514339858577553,0.10772274941905595]",4.0,"[-0.024695449041906473,0.03732073888975437]",4.0,"[0.02,0.02]",204.694,0.0,0.0,0.0,192.0,1.0,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,204.695,205.194,,,205.445,205.861,left,0.4,,,,,,,,,0.1,,,,,,205.194,205.445,205.861,"[0.0013569938002457465,0.05170782391791841]",4.0,"[0.03887767782245244,-0.16051503138503997]",4.0,"[0.013505926717173908,-0.03866618706342104]",4.0,"[0.04171411740308728,0.15136207624566506]",4.0,"[0.11717069919876934,0.07121019641111354]",4.0,"[-0.0896692081676006,-0.011933389829505292]",4.0,"[-0.023934278962820625,-0.09371719643671467]",4.0,"[0.10159875380797091,-0.10385330513615523]",4.0,"[-0.11589073428269069,-0.15466708961866069]",4.0,"[-0.02084711344103724,-0.13782310725390925]",4.0,"[0.10271073733022681,0.16458988164221788]",4.0,"[-0.12163552985040091,0.11744417909477088]",4.0,"[0.028556663624237585,0.010783738726877807]",4.0,"[0.07657952926942738,0.07981749522800927]",4.0,"[-0.1077145240975851,-0.08163783031613617]",4.0,"[0.1938819871776352,-0.038094032286082435]",4.0,"[-0.12777695513481085,0.06756993140806192]",4.0,"[-0.0702067825827622,-0.15668200217038247]",4.0,"[0.16593953437192502,0.08304879847943926]",4.0,"[-0.009608748586085276,0.12278842125370419]",4.0,"[0.08621404977919157,-0.04638834726945122]",4.0,"[0.03962916473739728,-0.07657418126233276]",4.0,"[-0.07465618508039987,0.12673772531356786]",100.0,"[-0.06887685409387043,-0.11363008555700173]",4.0,"[0.06880330905807239,0.02468500381026967]",4.0,"[-0.1636972129189217,0.038099528395550156]",4.0,"[-0.03102125892848363,-0.025878239492149333]",4.0,"[0.19958597636159056,0.008854266335775128]",4.0,"[0.15660468767910968,-0.013090174339955612]",4.0,"[-0.1811361727871897,-0.0705012182203257]",100.0,"[-0.09262414336256312,0.0402289807920117]",100.0,"[0.005354991955955944,-0.19762688124356412]",4.0,"[0.02,0.02]",206.961,0.0,1.0,1.0,189.0,1.0,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,206.962,207.461,,,207.718,208.127,left,0.398,,,,,,,,,0.1,,,,,,207.461,207.718,208.127,"[0.01716919356516103,-0.08714399915283597]",4.0,"[-0.06733275773113287,-0.0288502196147497]",4.0,"[0.06455805574281494,0.020746343558825455]",4.0,"[0.05939978816157378,0.14793071696311036]",4.0,"[-0.1250188552804141,0.02301183279615025]",100.0,"[-0.08024586447182133,-0.1686064736253713]",4.0,"[0.12163048115525812,0.007391906795967276]",4.0,"[0.15908859702872313,-0.06263233400089793]",4.0,"[0.014113229001802759,-0.004806683966002334]",4.0,"[0.19663092973059848,-0.03418077321993671]",4.0,"[-0.18105759428065069,-0.05244448585398433]",4.0,"[0.09082156215133026,-0.09669690053870618]",4.0,"[-0.08121174252376955,0.028344568185941832]",100.0,"[-0.11424715871284767,-0.020940443095217497]",4.0,"[0.06471623129551578,-0.053713593755728775]",4.0,"[0.02825028030337644,0.06119076541916039]",4.0,"[0.041798856453735,-0.131958169196637]",4.0,"[-0.007364443184096217,-0.16572202472249167]",4.0,"[-0.024134422002841466,-0.03989738786443516]",4.0,"[-0.10399557081961876,-0.09347813001468123]",4.0,"[-0.15462922638231633,0.05938213476514664]",4.0,"[0.14110574681336668,0.1277551682204436]",4.0,"[-0.04650635129044519,0.09899364746121364]",4.0,"[-0.028016658788952917,-0.1279855053655977]",100.0,"[0.11801108378598203,-0.15773459830852998]",4.0,"[-0.1140147060585249,0.09611369789880636]",4.0,"[-0.13120853037665703,-0.13768201272561884]",4.0,"[-0.07442323577640474,0.13186726845648286]",4.0,"[-0.13708414625013138,-0.06483144919252429]",4.0,"[0.12909858939270621,0.0707188591749541]",4.0,"[0.1499572541093288,-0.12462391519920198]",4.0,"[-0.16266012097452365,-0.10966297687601638]",4.0,"[0.02,0.02]",209.228,0.0,2.0,2.0,188.0,1.0,,,,,,,
,,,,,,,602fb33786b077cdbad2d5bb,6842bb15d7ddfa007138f798,2025-06-06_11h56.00.260,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,209.228,209.728,,,209.98,210.393,left,0.401,,,,,,,,,0.4,,,,,,209.728,209.98,210.393,"[-0.07400105695384596,0.15744533523378565]",4.0,"[0.12794355580782568,0.14376184407003606]",100.0,"[0.030621072252906018,-0.15960407381760383]",100.0,"[0.006434603820859443,-0.1103304220347795]",100.0,"[-0.06625426369753515,-0.07986733172829304]",4.0,"[0.0869851967920857,0.09306903909673384]",100.0,"[-0.1626811028948164,-0.057854356689847175]",100.0,"[0.032056711189046495,0.04542909071194402]",4.0,"[0.13464182434247512,-0.004464375221782085]",4.0,"[-0.12230913938343088,0.005671061342869224]",4.0,"[-0.1298655570730319,0.11059786277483784]",4.0,"[0.08778623425004527,0.1676715634051392]",100.0,"[-0.029629896118739476,-0.16403287821575707]",4.0,"[-0.008535936359027368,-0.03884913352412641]",4.0,"[-0.0666566608369586,-0.009224800856160634]",100.0,"[0.09843606341148595,0.04627671319644689]",100.0,"[0.1369741964343812,-0.13696445779408395]",4.0,"[-0.1543937121213877,-0.09774420559323435]",4.0,"[-0.10913440901593198,-0.10933722125341531]",4.0,"[-0.04444274227393396,0.04461561497457656]",4.0,"[0.03730772435006051,0.19401374295858181]",100.0,"[-0.08342337162725219,0.05709412286154261]",100.0,"[-0.15983342865534103,0.04850207665315098]",100.0,"[0.03798824512558742,-0.07462872020656797]",4.0,"[0.11125849211843712,-0.09405406120747048]",4.0,"[0.14346250221806237,0.08408911381265066]",100.0,"[0.04832729082168876,-0.11327811326902201]",4.0,"[-0.08013199208950593,-0.17723160363401344]",4.0,"[0.16749815960334538,-0.10669302010300095]",100.0,"[-0.014232169666849509,0.10765377457350067]",4.0,"[0.024244428975320243,0.0017172081724929347]",4.0,"[0.08896647492766875,-0.022257998358595894]",4.0,"[0.02,0.02]",211.494,0.0,3.0,3.0,164.0,1.0,,,,,,,
