right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,39.9035,space,24.8829,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,39.9037,77.6343,space,7.7125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,77.6345,83.5068,space,2.8533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,83.5232,84.0227,84.0229,84.2722,84.2723,85.4198,right,1.1309,,85.42,86.5178,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,86.5183,87.0167,87.0168,87.2672,87.2672,87.6661,left,0.395,,87.6661,88.7639,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7645,94.3707,space,2.5848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,94.3809,94.8694,,,95.1196,95.6344,right,0.5098,,,,,,,,,0.9,,,,,,94.87,95.1195,95.6347,"[0.09296786430881017,0.09374282363824038]",4.0,"[-0.025300404007146813,0.08604271009560481]",100.0,"[-0.04857675928815654,0.04408528635757693]",100.0,"[0.16133706737953152,0.05936181444283465]",4.0,"[-0.054850163962612865,-0.006057425658750736]",100.0,"[0.021703798422305732,0.13050239790609877]",100.0,"[0.027886530200993142,-0.14096218765210186]",100.0,"[0.09298596071777737,-0.10428398300950457]",100.0,"[0.03690083449699858,-0.0030567680911328774]",100.0,"[-0.1659345930349604,0.10555904178334813]",4.0,"[-0.10957769567406815,-0.007636100831934215]",100.0,"[-0.02788619546119788,-0.05151813338077856]",100.0,"[0.1444521156795018,-0.004722182833052017]",100.0,"[0.15405708771830082,-0.08065303353905703]",100.0,"[-0.09942489118893061,0.046111997906775865]",100.0,"[-0.049526026883083045,0.16983516657017744]",100.0,"[-0.036473210487842446,-0.19240709422889257]",100.0,"[-0.1558318359831459,-0.009634181408508526]",100.0,"[0.07211033482087852,-0.1486523414792998]",100.0,"[0.03181435191975027,-0.07416860288114263]",100.0,"[0.13394888119417572,-0.13641039185056694]",100.0,"[-0.11620620911999502,-0.15172459271881295]",100.0,"[0.09429344425581014,-0.019737971077069594]",100.0,"[-0.06057442345263005,-0.08270648778924213]",100.0,"[0.030139107990707275,0.07249422034138182]",100.0,"[-0.13069653638511608,-0.08944538935920016]",100.0,"[0.060705685188151955,0.17122871840938284]",100.0,"[0.07123298309909709,0.03355518593585728]",100.0,"[-0.07360042388607585,0.08516939939218493]",100.0,"[0.1406200513884339,0.10003486675771037]",100.0,"[0.06445085165533704,-0.04682438213701587]",100.0,"[0.12092286374823609,0.15510207059709208]",100.0,"[0.02,0.02]",96.7325,0.0,0.0,0.0,25.0,1.0,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,96.733,97.2315,,,97.4818,97.9137,right,0.4162,,,,,,,,,0.9,,,,,,97.2316,97.4818,97.9138,"[0.17368711202591003,-0.046302039208470536]",100.0,"[-0.11506612358590365,0.11762107930973023]",100.0,"[-0.14976687146636683,-0.048460245251142134]",100.0,"[0.044507345010868865,0.19441362122050518]",100.0,"[-0.03675329504692126,-0.10043583850905856]",100.0,"[0.18750442282868715,0.05466396238759972]",100.0,"[-0.028865028293534944,0.03462973588962816]",100.0,"[0.08366337190697587,-0.17706933731955385]",100.0,"[0.112492494603142,-0.010436340905318524]",100.0,"[0.10142230639522465,0.059302510821308385]",100.0,"[-0.09437344873084466,0.0667513000888696]",100.0,"[-0.010316998798365552,0.12242180147659036]",100.0,"[0.01881430247367802,-0.07792306299079604]",100.0,"[0.1349628293479361,0.1341210015988699]",4.0,"[0.06135771712621121,0.04300177835979983]",100.0,"[-0.023800196143422367,0.18708426875910106]",100.0,"[0.09941427574563165,-0.11550541833665785]",100.0,"[-0.0692557281417445,-0.01711962757967304]",100.0,"[-0.08547780831243178,-0.17990107801981092]",100.0,"[0.16138181391812212,-0.08896175031055126]",100.0,"[0.16545903009008847,0.0918814144888623]",100.0,"[-0.1563618100063083,0.11868796135312705]",100.0,"[-0.033079812635237675,-0.1606555929610837]",100.0,"[0.059732138328372465,0.13737135953088964]",100.0,"[0.022671251769076833,-0.19093091269252777]",100.0,"[-0.04266358236798335,-0.05603512727949289]",100.0,"[-0.1441680331951233,0.021792777684320398]",100.0,"[-0.14685228131737033,-0.10555823168632265]",4.0,"[0.10353132194221924,0.16159254811948257]",100.0,"[-0.12062305341921792,-0.14129759226228988]",100.0,"[-0.05239725453601371,0.07383041867741352]",4.0,"[0.049959681989727,-0.12289658141861955]",100.0,"[0.02,0.02]",99.0117,0.0,1.0,1.0,2.0,1.0,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,99.0122,99.5107,,,99.761,99.9766,left,0.2112,,,,,,,,,0.1,,,,,,99.5107,99.761,99.9766,"[-0.11603827478827573,-0.12099054033785246]",4.0,"[-0.14843578108722794,0.027346411735686364]",4.0,"[0.06035316941711164,0.1042805700886499]",4.0,"[-0.08537028528636023,0.04028441517008385]",100.0,"[0.004775803806162701,0.185762676456178]",4.0,"[-0.06289996021092538,-0.10954457355635798]",100.0,"[0.07003751633895407,-0.08227132679007566]",4.0,"[-0.056872270980318024,-0.17261427771462348]",100.0,"[0.16789690492410558,-0.010365216881399651]",4.0,"[-0.025474070590340465,0.15748436303763721]",4.0,"[-0.13712315692208282,-0.07041528088576754]",4.0,"[-0.046690762546532906,-0.04831177173424485]",4.0,"[0.07117240026019059,0.005607821430494354]",4.0,"[-0.16872005186616504,0.08594021021048559]",4.0,"[-0.06396082400735616,0.07423255232721673]",4.0,"[0.0033146999062075378,0.03813514089138347]",4.0,"[0.08723471458654486,0.15111953667095468]",4.0,"[-0.09685497129250231,0.17323108685226674]",4.0,"[0.11600721937341575,0.06485485382606193]",4.0,"[-0.18767804978062244,-0.03162120551018885]",4.0,"[0.0297943004864279,0.07716397179026872]",4.0,"[-0.08494263551989972,0.11423434697708082]",4.0,"[0.11872352332887146,-0.003961067969045017]",4.0,"[0.12653416645600604,-0.06681175324232012]",4.0,"[0.020595248480806568,-0.02452316638756493]",4.0,"[0.06979372225455675,0.06338413187035949]",4.0,"[0.18391006556457676,0.06913583015210809]",4.0,"[-0.017953693055140194,-0.11319880380246024]",4.0,"[0.06785626242300462,-0.1262960311634046]",4.0,"[0.053464642897725664,-0.19160216736683805]",4.0,"[0.13643291140224728,0.12400369519750044]",4.0,"[-0.035280630466269884,0.10978430893682688]",4.0,"[0.02,0.02]",101.0744,0.0,2.0,2.0,187.0,1.0,,,,,,,
,,,,,,,603d0e0e5b0386b034e93bf5,6842bb2b278f6138edc6f7e9,2025-06-06_11h58.18.094,shape_ratio,2024.1.5,Win32,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,101.0748,101.5736,,,101.8237,102.2563,left,0.4174,,,,,,,,,0.1,,,,,,101.5736,101.8236,102.2563,"[0.052010727106328286,-0.09757569013847857]",4.0,"[0.14027097887591822,-0.09256359625955224]",4.0,"[-0.12001907309081147,-0.14546961031246022]",4.0,"[0.05376964724734661,0.006155438241121043]",4.0,"[0.1559422716933022,-0.011228762536731057]",4.0,"[0.0696971530619299,0.09988980968237991]",4.0,"[0.0894138108059193,-0.0648274132509487]",4.0,"[-0.09742808324805136,0.11409201071106939]",100.0,"[-0.12327214583734218,-0.02746229199810236]",4.0,"[0.024577702306948418,0.13436015402270812]",4.0,"[0.12705328413532369,0.10105216655007732]",4.0,"[-0.16520705777745337,-0.09871881068735812]",4.0,"[-0.08329302821837142,-0.10098503748355939]",100.0,"[-0.016951816374152693,0.18060477900207966]",4.0,"[0.1662520784499002,0.09203875776538335]",4.0,"[-0.15565377241965067,0.059085706597545085]",4.0,"[-0.0695879853527594,0.07010376531606916]",4.0,"[0.004303956318305059,-0.14775242706657754]",4.0,"[-0.015143636763755533,-0.041660586302028485]",4.0,"[-0.10538779153767455,0.16318206487574194]",4.0,"[-0.15630536164043365,0.10060401321248069]",4.0,"[-0.0304854678903823,0.12846786671640908]",4.0,"[0.0977175140183128,0.06471195555630713]",4.0,"[0.112036454462281,0.004753574733097009]",4.0,"[-0.03788193292418559,-0.10776412637801773]",4.0,"[0.03646994413033654,-0.04591359429305769]",4.0,"[0.032552368853967145,0.048607019971295906]",4.0,"[0.08084197866082707,0.13854636772791332]",4.0,"[0.10726570673495368,-0.12835634222559456]",4.0,"[0.007743387283185968,0.012831748542026532]",4.0,"[-0.08051648930820748,-0.028739421623520996]",100.0,"[0.02786172977595039,0.18210195850037436]",4.0,"[0.02,0.02]",103.3537,0.0,3.0,3.0,190.0,1.0,,,,,,,
