right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,31.5452,space,16.5315,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,31.5462,70.2441,space,8.6826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,70.2444,77.2047,space,3.9445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,77.2286,77.7219,77.723,77.9616,77.962,78.9871,left,0.973,,78.9875,80.0857,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,80.0866,80.5852,80.5854,80.8357,80.8358,81.4184,right,0.5663,,81.4185,82.5161,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.5166,87.547,space,2.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,87.585,88.063,,,88.314,88.729,left,0.4003,,,,,,,,,0.45,,,,,,88.0649,88.3138,88.73,"[-0.0366941117745359,0.047206286312576166]",4.0,"[0.18900763536534237,0.026313757007074043]",4.0,"[0.028164485081237565,-0.1721468640124684]",100.0,"[-0.07135438249100719,-0.15136103628668474]",100.0,"[-0.11389248372757678,0.016085887816257662]",100.0,"[0.1253716664508278,-0.1231496990219362]",4.0,"[-0.1777917761601453,0.03489781187360333]",4.0,"[-0.07629629640960212,-0.07085856255485598]",4.0,"[0.007887205500855537,-0.057867624344492934]",100.0,"[-0.11157578431597778,-0.026858695646983618]",100.0,"[0.042307096138963385,0.13946212817330247]",4.0,"[0.06217337540555465,-0.06932938351103148]",4.0,"[0.16536300843465718,-0.046803280616647236]",4.0,"[0.11908767429739138,0.06502891580414112]",100.0,"[0.08516483679892145,0.03651695025944137]",100.0,"[0.053919247634368145,0.17903152880609882]",100.0,"[0.053246718647571384,-0.1276333432962093]",100.0,"[-0.1176754764898316,0.06379423653895559]",4.0,"[-0.07709199723171657,0.07486986804131435]",100.0,"[0.05318978033744233,-0.003366829949167857]",100.0,"[0.08760771075988932,0.10946035447896502]",4.0,"[0.07084733557766233,-0.17446418916732157]",100.0,"[-0.15299884417946644,0.10928809460200481]",4.0,"[0.019689571211343862,0.04252992176688893]",4.0,"[-0.04047424732830027,0.1624075017278955]",100.0,"[0.09369247916101874,0.15474488373793893]",4.0,"[0.0494845896626043,0.07242384676362187]",4.0,"[-0.026105684595855976,0.10503013173600875]",100.0,"[-0.037484772580144904,-0.19443603717481883]",4.0,"[-0.045788922042445064,-0.03645774087997585]",4.0,"[0.17888366686698207,0.06537750342931704]",4.0,"[-0.1670761610437705,-0.004939712714277315]",4.0,"[0.02,0.02]",89.828,0.0,0.0,0.0,142.0,1.0,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,89.8289,90.3275,,,90.5774,90.9766,right,0.3846,,,,,,,,,0.4,,,,,,90.3276,90.5773,90.9766,"[0.08145250389822012,0.17795817654804155]",100.0,"[-0.1120438953449352,-0.058160213917221884]",100.0,"[-0.025764566970153023,-0.09951375650002461]",4.0,"[0.0633310344573099,0.08306373919594022]",100.0,"[0.031001545607675738,-0.17054057431631528]",4.0,"[-0.006187330619880461,0.09290399041490767]",4.0,"[0.15859655109192872,0.1068802200644692]",4.0,"[-0.06942971256155174,-0.0010425744494248189]",100.0,"[0.09049922663532664,-0.15437608852717327]",4.0,"[0.18915610371798128,0.027034065173821387]",4.0,"[-0.12113281345227986,-0.10677623430171056]",100.0,"[-0.06263563881407042,-0.13012288095042515]",4.0,"[0.11306788219902583,-0.09960026134228576]",4.0,"[0.08391019779698862,-0.05756410377016232]",100.0,"[0.018340246269506182,-0.1179654196879543]",4.0,"[-0.17326391566109423,-0.09158428788048631]",4.0,"[0.11669697221718008,0.15115741126959165]",4.0,"[-0.0522729058199714,0.10521075236969431]",4.0,"[-0.165655585113614,0.09307110118433258]",4.0,"[-0.195197915231736,-0.039122574325247274]",100.0,"[0.01701289877477203,-0.04496595583884976]",100.0,"[-0.027208996272346655,-0.19604387874574644]",100.0,"[-0.016500943768689626,0.03708243027830568]",100.0,"[-0.1046861991818879,0.07093790523102522]",4.0,"[-0.1483976026733465,0.03236182942103037]",4.0,"[-0.07067061071623006,-0.06685887783361884]",4.0,"[-0.09861560423577911,-0.16267070765556443]",100.0,"[-0.1406838095275422,0.12612899854788723]",4.0,"[-0.10136525858097642,0.17200279257608045]",100.0,"[0.08049404833817456,-0.014909381802599318]",4.0,"[0.006704347650699346,0.19634653711239347]",4.0,"[-0.13066690773509307,-0.022212581928088337]",100.0,"[0.02,0.02]",92.0759,0.0,1.0,1.0,176.0,1.0,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,92.0766,92.5754,,,92.8247,93.2577,left,0.4015,,,,,,,,,0.4,,,,,,92.5755,92.8246,93.258,"[0.017097110576243045,-0.0006409481026472794]",4.0,"[0.08845158668061748,-0.17735650420137974]",4.0,"[-0.17421178415814118,-0.018014326811363682]",100.0,"[-0.12397982605222004,-0.14598146600391015]",4.0,"[0.06883373787821924,-0.0702086748272835]",4.0,"[-0.009370378684303167,0.18496474513812333]",100.0,"[0.08397456616755734,0.033443393405930257]",100.0,"[0.05963904707353302,0.1168493692985879]",100.0,"[0.04605749244970029,-0.03271455471336608]",100.0,"[-0.1351112482936759,0.11772848574345286]",4.0,"[-0.009767709680084462,0.09684024616336029]",4.0,"[-0.06704169372607306,0.168325853291344]",4.0,"[0.08479603905538337,0.07937593772423952]",100.0,"[-0.07268830078732397,0.014858596964120303]",4.0,"[-0.06036583044997157,-0.08205527913163269]",4.0,"[0.03437086011226206,0.19092124901521637]",100.0,"[-0.0768121883233398,-0.03248517713307655]",4.0,"[-0.09456627413747892,-0.11219044589821622]",4.0,"[-0.10609980443530877,0.08544852199304825]",4.0,"[-0.1659793964145483,0.027830552658078923]",4.0,"[0.1030855698732144,-0.11330219162707413]",4.0,"[0.11731676683554644,-0.00908823554136234]",4.0,"[0.1431677919089864,-0.07662505855056348]",100.0,"[-0.02427459091111874,0.002730913461708743]",4.0,"[-0.048368371636005575,0.11202356494302067]",4.0,"[-0.12834119741343053,0.05123338551859985]",100.0,"[-0.03956135034927626,-0.15114309079065796]",100.0,"[0.0019396453904938777,-0.180395437050572]",100.0,"[0.04377308440531229,-0.1583813194012277]",4.0,"[-0.043363940602215365,0.06245734820190346]",100.0,"[0.06084462259325214,-0.11967336359856429]",100.0,"[0.1566662862888999,0.11439758904577904]",4.0,"[0.02,0.02]",94.3566,0.0,2.0,2.0,167.0,1.0,,,,,,,
,,,,,,,6060b2cead1daacd69adb31f,68399d387ba2871b7f95274d,2025-05-30_12h58.05.130,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,94.357,94.8562,,,95.1136,95.541,right,0.4096,,,,,,,,,0.5,,,,,,94.8563,95.1136,95.5412,"[-0.09906952320175275,-0.10681095769587821]",100.0,"[0.08461608842493049,0.004804981118033696]",100.0,"[0.13562775350803452,0.07146226586383685]",4.0,"[-0.04602638799514373,-0.19184547138926475]",100.0,"[-0.07987498498197522,0.09392156621172455]",100.0,"[0.013339082288586015,-0.1497196268432604]",4.0,"[-0.049319953672658096,-0.10171562109408146]",100.0,"[0.03384222633071513,-0.0447528275717624]",100.0,"[-0.12211622163151017,0.006075749504720143]",100.0,"[0.16682386270267544,-0.07444184598326586]",4.0,"[-0.03433466065788095,0.014433212733632014]",4.0,"[0.10263600185475957,-0.12401762367296595]",4.0,"[0.0710490632079141,-0.1521989479543529]",4.0,"[0.09727548621350829,-0.05600872813564382]",100.0,"[0.0660549158513629,-0.09253937533652729]",4.0,"[-0.1631585986360809,0.007559933725338713]",4.0,"[-0.14292651041699025,0.05683745008980847]",4.0,"[-0.05856527378755714,0.1699873198594304]",100.0,"[-0.11866363565481992,0.15373148341591547]",4.0,"[-0.04179791439804131,0.11538179078232587]",100.0,"[0.024146020725969417,0.07539666980557092]",100.0,"[-0.16362596303394855,-0.11176641835397301]",4.0,"[0.12496009248734684,-0.019607848572563924]",4.0,"[-0.019728434958659138,0.058651201521523685]",100.0,"[0.12444101601189984,0.12543609657113913]",4.0,"[-0.03908607156543447,-0.030572891963160112]",4.0,"[-0.1838016349364925,0.04690744883264957]",100.0,"[0.19678610380706638,0.015829630354250786]",100.0,"[0.016551695453419987,0.03169348594553422]",4.0,"[-0.13525436964328305,-0.05458980779634641]",100.0,"[0.07547878526918565,0.10301839930786846]",100.0,"[-0.1645838340777745,0.1113491511918434]",4.0,"[0.02,0.02]",96.6381,0.0,3.0,3.0,116.0,1.0,,,,,,,
