right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0,17.971,space,2.924,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,17.971,50.268,space,2.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,50.269,60.085,space,6.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,60.125,60.602,60.602,60.852,60.852,61.552,left,0.634,,61.552,62.652,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,62.652,63.152,63.152,63.402,63.402,63.985,left,0.572,,63.986,65.085,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.085,71.019,space,2.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,71.031,71.519,,,71.77,72.452,left,0.667,,,,,,,,,0.55,,,,,,71.519,71.77,72.452,"[0.049527024148223874,-0.07290848063155463]",100.0,"[-0.07277328540977177,-0.1128394438897125]",100.0,"[0.1473293337243653,-0.10314981248389542]",100.0,"[0.120058552220864,-0.053680999602345514]",100.0,"[0.0030742990559124174,0.07361299147030272]",4.0,"[0.06843484747798899,0.017342216722122356]",100.0,"[-0.11219942074351005,-0.07008373785677796]",4.0,"[-0.06688733907996203,0.18112712790576277]",4.0,"[-0.004063298698078809,-0.046974893331698964]",4.0,"[-0.05977500764970406,-0.18984778789137566]",100.0,"[-0.07109507222129606,0.11243858871470204]",100.0,"[-0.09322083060176965,0.07433417048358328]",100.0,"[0.00041061687387595157,-0.00029744058158898693]",4.0,"[-0.07964205578702302,-0.03115966287262082]",4.0,"[0.051593174940428956,-0.022544328868909475]",100.0,"[0.06935199534650405,0.1863281286583587]",100.0,"[-0.01067461191523395,-0.1601857298942837]",4.0,"[0.16633336049633132,-0.028506241397514467]",4.0,"[-0.15963044224730777,-0.08015890934009269]",100.0,"[-0.15684268034278387,-0.03242668619832257]",100.0,"[-0.16809549689889025,0.08926410579078455]",100.0,"[0.09609488931840342,0.12272557403002138]",4.0,"[0.09317430763454644,-0.09817470669866418]",4.0,"[-0.08111401723786535,0.032531346753887413]",100.0,"[0.11454960166053642,-0.1423766343229511]",4.0,"[0.007461713372247209,0.17310838330192913]",100.0,"[0.18808371816718616,0.05971103964535996]",100.0,"[0.1454082425080553,0.09512664323142106]",4.0,"[-0.12839354756883203,-0.13315465590574396]",100.0,"[-0.1307790493740843,0.00677258888043362]",100.0,"[-0.014152505439972162,0.12921004062770167]",4.0,"[0.02127017127234976,-0.11034944079361807]",4.0,"[0.02,0.02]",73.553,0.0,0.0,0.0,60.0,1.0,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,73.554,74.052,,,74.303,74.652,left,0.336,,,,,,,,,0.6,,,,,,74.052,74.303,74.652,"[0.029441352165113486,0.055384634626720566]",4.0,"[-0.1659377131212407,0.03980036963539422]",4.0,"[0.07676528859379249,-0.07388848541882141]",100.0,"[-0.06579499380932717,0.08096646035946782]",4.0,"[-0.0654160495486031,-0.054576761515869834]",100.0,"[0.15215396521438013,-0.06770515476122232]",100.0,"[-0.10492480119308321,-0.10170087078955768]",4.0,"[-0.033824839747694714,-0.19119790124125866]",100.0,"[-0.15073387985313122,0.10916574472649439]",100.0,"[-0.028138911793486508,0.17805657053291998]",100.0,"[0.01611203888899504,0.10809628716334975]",4.0,"[-0.06785459190774008,-0.13417141503665728]",100.0,"[0.0018611282867580577,-0.16850549223068798]",100.0,"[0.05342312976601468,-0.010533986391809315]",100.0,"[-0.06436174437956349,0.13322700382156732]",100.0,"[-0.12148112598675495,0.039258882646972595]",100.0,"[0.02918200937900925,0.17977108313210122]",4.0,"[0.07421926841836583,0.12689493366263202]",100.0,"[0.12355120519999531,0.03651761764641694]",4.0,"[0.14213799143824513,0.08983012558232628]",100.0,"[-0.053297579461265086,0.004319191083430719]",4.0,"[-0.12934053842074972,-0.025072865281805603]",4.0,"[0.008804729737055964,-0.022719510476636038]",100.0,"[-0.10915505631382325,0.09085143909687643]",4.0,"[-0.0265366687724102,0.07209702952250767]",4.0,"[0.1558725152350915,-0.027851313481353137]",100.0,"[-0.11179085580960435,-0.15402217573312538]",100.0,"[-0.19257136874005984,-0.013050632242280995]",4.0,"[0.14760162353572043,-0.11121316856065956]",100.0,"[-0.014896748135186143,-0.11268311291987057]",100.0,"[0.1790977525939228,0.019476424774194444]",100.0,"[-0.1007025202697551,0.15568256708572006]",4.0,"[0.02,0.02]",75.752,0.0,1.0,1.0,38.0,1.0,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,75.752,76.252,,,76.503,76.903,left,0.384,,,,,,,,,0.45,,,,,,76.252,76.503,76.903,"[0.0735067082425978,-0.17453833576619193]",100.0,"[0.14756853592892474,0.09407448698243037]",100.0,"[0.06565493671671327,0.005286921802549275]",4.0,"[-0.1431527518367023,0.1156802272798646]",4.0,"[0.17700959398009852,0.058908650465926755]",100.0,"[-0.09381961738150164,0.130115325382686]",100.0,"[-0.027651763152210598,-0.11191919025489985]",4.0,"[0.14385868281915545,-0.04844429654781666]",4.0,"[-0.10117647711831088,-0.013426033298454244]",4.0,"[-0.05148311661299016,0.02659983039144253]",4.0,"[0.07632179298298168,0.13142884659489368]",100.0,"[-0.1619864361665772,-0.057662687317142754]",4.0,"[-0.1799787749272523,0.07727659303198926]",100.0,"[0.03236480897580484,0.16897252977844274]",100.0,"[0.14394513694210276,-0.120062575219409]",4.0,"[0.06765688525348998,-0.08336543503205135]",100.0,"[-0.05784592645766893,0.172083402380279]",4.0,"[0.00832799843162174,0.0012067356929111562]",4.0,"[-0.12427227897874481,-0.12916319375288376]",100.0,"[-0.07066428146146912,-0.14142200557908477]",4.0,"[-0.10174291173753622,-0.07453828826812332]",4.0,"[-0.02578065496332509,0.1304681767758191]",100.0,"[-0.05591707958827352,-0.051445968375268956]",100.0,"[0.05783118073602472,-0.041299071435158846]",100.0,"[-0.028918445375059162,0.07009592818424865]",4.0,"[0.11563707408991783,-0.14964317661933207]",4.0,"[0.12486145937617302,0.058248702558741865]",4.0,"[-0.08253191955436803,0.06369444730197449]",4.0,"[0.028897939228071254,-0.1217702355889821]",100.0,"[0.12112263006810373,0.012157411752840658]",4.0,"[0.04274142875288459,0.05495949888990694]",4.0,"[0.17139913608204604,-0.08233932261061372]",100.0,"[0.02,0.02]",78.002,0.0,2.0,2.0,139.0,1.0,,,,,,,
,,,,,,,60984a1b0cce76d16c4ca781,6842baf6a96369826b317af1,2025-06-06_11h55.21.117,shape_ratio,2024.1.5,Win32,60.0240096,6842b561977af9ba9b0f87ca,,,,,,,,,,,78.003,78.503,,,78.752,79.186,left,0.422,,,,,,,,,0.55,,,,,,78.503,78.752,79.186,"[-0.07501014923431289,-0.0461254559732034]",100.0,"[0.15715210166431393,0.09746136754259667]",4.0,"[-0.06390542198642936,0.016541661386709854]",4.0,"[0.07126959425487682,-0.15050327137353836]",4.0,"[-0.052074478320195156,0.1415921595390542]",4.0,"[0.10258192855646667,0.11615377348744685]",100.0,"[0.1817750199369452,-0.06825439645408171]",4.0,"[0.034851962012028524,-0.17202584873538007]",100.0,"[-0.02399398881296179,0.09950488334224743]",4.0,"[-0.013896470638902302,0.17982304590363685]",100.0,"[0.11866306760220842,-0.04834453158673495]",100.0,"[-0.05341196279910129,-0.1678051512731689]",4.0,"[0.09997424043742796,0.023224597824212302]",4.0,"[0.12273888798767328,0.05923345820447514]",100.0,"[-0.00876017192522544,-0.14852716653834636]",100.0,"[-0.00017025405777776283,-0.09646782311019939]",4.0,"[-0.1747957087524627,-0.05849658584994271]",100.0,"[-0.1608200956906609,-0.11720482408606317]",100.0,"[0.052292669437906475,0.09624318579629393]",100.0,"[0.11805217831810741,-0.13121937494151723]",100.0,"[-0.17651344865699584,0.04480959023515251]",4.0,"[-0.11845628959743708,-0.10529564514195211]",4.0,"[0.15752436543855727,-0.10706938937586581]",4.0,"[0.05097576258274609,0.012983996799497672]",4.0,"[-0.12523641401315924,0.07022067976256019]",100.0,"[-0.07682958037324537,-0.10255964735619935]",100.0,"[-0.08194224805682976,0.05663926596800172]",100.0,"[-0.007724781920743979,-0.19090073627566692]",100.0,"[0.06194348634976719,0.1853746338219228]",100.0,"[-0.11876693961770803,-0.03573320668320367]",100.0,"[0.009445081090238451,0.07171723396053908]",4.0,"[-0.1914759752871475,-0.010630183327478655]",100.0,"[0.02,0.02]",80.286,0.0,3.0,3.0,78.0,1.0,,,,,,,
