right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,35.2253,space,20.2113,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,35.2255,67.8112,space,2.5713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,67.8113,71.7953,space,0.9533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,71.8061,72.2955,72.2957,72.5478,72.5479,73.5969,right,1.0157,,73.597,74.6977,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,74.6981,75.1985,75.1985,75.4505,75.4506,76.4494,right,0.978,,76.4495,77.5508,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.551,86.2598,space,5.6882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,86.2687,86.7598,,,87.0107,87.8132,left,0.7852,,,,,,,,,0.1,,,,,,86.76,87.0107,87.8135,"[-0.023748736193238616,-0.03596840302577817]",4.0,"[0.10036145634022081,0.11101055043777963]",4.0,"[0.08330628472912198,-0.027322756244130192]",4.0,"[0.086617755645255,0.017432834410996963]",4.0,"[0.030923056588766044,0.18969421437627293]",100.0,"[-0.06276993051817024,0.026954136721835827]",4.0,"[-0.15287547330003437,0.0283095995326988]",100.0,"[-0.08351582800591392,-0.13235881381759657]",4.0,"[0.14657391108431314,0.04448679747572018]",4.0,"[-0.05129875127939997,0.06627543719525096]",4.0,"[0.11152278610824029,0.15510398350814286]",4.0,"[-0.03147837513270262,0.12522926955312266]",4.0,"[0.015311898223344854,0.15258724369785204]",4.0,"[0.02021551905741484,-0.041632537435762736]",4.0,"[0.05592104254000422,0.05924009882101838]",4.0,"[-0.05981431115523875,-0.013161334724575459]",4.0,"[0.01989650525662663,-0.09671179998130951]",4.0,"[0.0606965434208305,-0.18269559337611438]",4.0,"[-0.14448794776206578,-0.07880159583658466]",4.0,"[-0.10912516863672159,-0.020356871310274572]",4.0,"[0.14907402234408781,-0.05657291964493518]",4.0,"[-0.14039646169523531,0.1319803181035397]",4.0,"[-0.17423947582039662,-0.03924060182370746]",100.0,"[0.1439062024096362,-0.1107629082168047]",4.0,"[-0.07450078302348256,-0.1811808027639486]",4.0,"[-0.0137338874413677,-0.1306442207240075]",4.0,"[0.06873223412236491,-0.14199101556711377]",4.0,"[-0.18718657374579162,0.06228244195591685]",4.0,"[0.002653017536682509,0.01315114831875431]",4.0,"[-0.09010003141306351,0.08033301971945998]",4.0,"[-0.09372655705967008,0.14754391385796903]",4.0,"[-0.012999320886251692,0.053870465940410575]",4.0,"[0.02,0.02]",88.9139,0.0,0.0,0.0,208.0,1.0,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,88.9142,89.4126,,,89.6638,90.3472,right,0.6662,,,,,,,,,0.4,,,,,,89.4126,89.6638,90.3472,"[-0.14208784985809658,0.10275045715290902]",4.0,"[0.12628535665030863,0.1357046529435544]",100.0,"[0.043754959696834954,-0.12384059260023135]",4.0,"[-0.04511501635138851,0.05860154520495767]",4.0,"[0.1305918803577274,-0.048636922288794966]",100.0,"[0.03064453056258986,0.06731572260875444]",4.0,"[0.04349194545286443,-0.1879865722107076]",100.0,"[-0.0009320970235753741,-0.18026527339755674]",4.0,"[0.14281516039626463,0.020658865186419993]",4.0,"[0.07380579319633328,-0.09532717405061383]",4.0,"[0.08199147050320454,0.09892834237973319]",100.0,"[0.024825921876829006,0.004215873603957722]",100.0,"[-0.09413601289369708,0.12984317042442292]",100.0,"[-0.1224307169764747,-0.06119726882718349]",100.0,"[-0.1451703764236851,0.05535778144274405]",100.0,"[0.043681179154027736,0.13796888936012727]",4.0,"[0.00979221587437979,0.10716262383245881]",100.0,"[-0.10116792607859688,0.04216911745276487]",4.0,"[-0.09523846950485798,-0.09328314532849295]",100.0,"[0.08188252575228537,-0.03338535501490105]",100.0,"[-0.034013038788541845,0.16988100156350006]",4.0,"[0.07967301756093313,0.16286112133621894]",100.0,"[-0.1766115377333952,-0.026703727118689687]",4.0,"[-0.04056361943366348,-0.02950756161033173]",4.0,"[0.17305394026542625,-0.0773558207113578]",4.0,"[-0.08016575250247468,-0.011836705771276679]",4.0,"[-0.008881931259391799,0.03241183567481955]",4.0,"[0.12103228047819675,-0.12245901411323615]",100.0,"[-0.03511836264953806,-0.07575097811003541]",4.0,"[-0.13552423934348212,-0.12349305870795067]",4.0,"[0.01567057331823819,0.17538800760395953]",4.0,"[-0.09458402839717424,-0.14469428066762255]",4.0,"[0.02,0.02]",91.4479,0.0,1.0,1.0,161.0,1.0,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,91.4481,91.9497,,,92.199,92.9014,left,0.6843,,,,,,,,,0.45,,,,,,91.9497,92.1989,92.9014,"[-0.053874970589594645,-0.06962066507429045]",4.0,"[0.07898776506450565,0.182063208381308]",100.0,"[0.14299819099881217,-0.009078303661256427]",4.0,"[0.07463887174476493,0.133483049963475]",4.0,"[-0.10096969702660101,-0.029510579934671554]",4.0,"[-0.06390729992552494,-0.1772361841700869]",100.0,"[-0.0787146117390031,0.16714554348840166]",100.0,"[0.14259722908445127,-0.13508713074313014]",4.0,"[-0.0482390328501746,0.06272873334363385]",100.0,"[-0.15437708754648513,0.017862273941938383]",4.0,"[0.0409813925885254,0.00030813862858339444]",4.0,"[-0.12885359110170164,-0.11396587345085575]",100.0,"[-0.0321451734199803,0.18893211145485003]",4.0,"[-0.11881233579259401,0.1606634784908929]",100.0,"[-0.009164363396738576,0.12480603923823741]",4.0,"[0.16323053598645712,-0.09933150748659593]",4.0,"[0.041692215488209554,-0.09257498660059535]",100.0,"[-0.15291618393512388,0.10220828482701787]",100.0,"[0.10181912428990925,0.07256867252297329]",4.0,"[0.027502906412220054,0.1011426886237023]",4.0,"[-0.0022056412502629063,-0.09101099095886922]",4.0,"[0.08133323182734929,-0.027804552973926724]",4.0,"[0.021968171252722057,-0.18221002887369003]",100.0,"[0.05855137438924172,-0.13422050731033544]",100.0,"[-0.07503205887931788,-0.12398220858877947]",4.0,"[-0.11242357148201915,-0.1519365743432]",100.0,"[0.11459474960631368,0.11050110881799341]",4.0,"[0.02196149620793288,0.15005823377849015]",100.0,"[-0.11524753775911474,0.07107633043621929]",100.0,"[-0.08503893857393129,0.019820199991153253]",4.0,"[0.1744710207267044,-0.03957248316320677]",4.0,"[-0.12173463182672009,-0.06525115069703796]",100.0,"[0.02,0.02]",94.0002,0.0,2.0,2.0,137.0,1.0,,,,,,,
,,,,,,,60b9f19d122c7adf0c37899c,6842badfb3c8fb436149524d,2025-06-06_10h54.55.325,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,94.0006,94.5008,,,94.7517,95.2349,right,0.4679,,,,,,,,,0.9,,,,,,94.5008,94.7516,95.235,"[-0.16963079093489322,-0.016528295604731014]",100.0,"[-0.14675253058609175,-0.10291255471600912]",100.0,"[0.08993614299588736,-0.07315455563283142]",100.0,"[0.052992219580334315,0.0020020576276341163]",100.0,"[-0.08067219051449064,0.044524992936901]",100.0,"[-0.1716702080566629,0.056964035006086315]",100.0,"[0.08294622839905533,0.17269469791759867]",100.0,"[0.1472440712922419,0.06109163877216247]",100.0,"[-0.06884823532456236,0.18125384802600183]",100.0,"[0.0957609527413672,0.13173589482161444]",100.0,"[-0.0378513991356729,0.10286353137725529]",100.0,"[0.036919704819756385,-0.14662449490887347]",100.0,"[-0.1132507602416846,0.14420125115146534]",4.0,"[-0.01998366525902292,-0.020818130508398428]",100.0,"[-0.015110557087272629,0.1705236225066416]",4.0,"[-0.03739954944953023,0.023565668038353627]",100.0,"[-0.13122217175805018,-0.0357088291148959]",100.0,"[-0.15751847934274593,0.11391566086801956]",100.0,"[0.051533918148426144,-0.18985297211403768]",100.0,"[-0.09382083152091589,-0.16978458925493262]",100.0,"[-0.07978639466321094,-0.036549342134261205]",100.0,"[0.01468238629146839,0.13891191167986647]",4.0,"[0.16990572634748285,-0.03300967879694514]",100.0,"[0.04300392970179152,0.08496315469452104]",100.0,"[-0.10867472371224836,-0.12717116515167529]",100.0,"[-0.023075682594453528,-0.1757091983488518]",100.0,"[0.13238273845691306,-0.053705266885356456]",100.0,"[-0.11782532520834917,0.07240065364552431]",100.0,"[0.02472426047923213,0.1978092409316872]",100.0,"[0.010528007770958164,-0.09480916259857765]",100.0,"[-0.10266883081974695,-0.07057206467692735]",100.0,"[-0.05011811374579842,0.14249114734719545]",100.0,"[0.02,0.02]",96.3359,0.0,3.0,3.0,8.0,1.0,,,,,,,
