right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0001,29.8793,space,14.8768,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,29.8794,60.5932,space,0.7061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,60.5934,64.4899,space,0.8893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,64.5018,64.9928,64.993,65.2416,65.2417,66.7383,,66.7384,67.8352,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,67.8356,68.332,68.332,68.5808,68.5808,68.8594,right,68.8595,69.9562,0.0,1.0,1.0,0.0,1.0,0.2,0.2744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.9565,74.8957,space,1.9283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,74.9015,75.3984,,,75.6474,76.144,left,,,,,,,,0.4,0.4919,,,,,,,75.3987,75.6473,76.1442,"[0.18802717870384922,-0.02386823184472336]",100.0,"[-0.0729878346629145,-0.1009588911559204]",100.0,"[0.0423769333887078,-0.17001991700519276]",4.0,"[0.12335532839467557,0.1337376362290259]",4.0,"[0.0034721037231631403,0.026797143842919053]",4.0,"[0.08169323646436859,0.09564075475947226]",100.0,"[-0.030897054505034174,-0.026268469668291928]",4.0,"[-0.14346880342762422,0.0953126953061921]",100.0,"[0.15126607217424196,0.0172713190999763]",4.0,"[-0.10604781467717665,-0.013132978113290113]",100.0,"[0.009801888284759917,0.08942743295312984]",100.0,"[0.02344141756461617,-0.03706993827369061]",100.0,"[0.15772119012179636,-0.06485097653149752]",4.0,"[-0.13436453613467159,-0.09074477112473518]",100.0,"[0.01702698733214878,0.16676624197297196]",4.0,"[-0.008578819599786203,-0.1998147637936446]",100.0,"[0.0664163841124407,0.04027957002543652]",4.0,"[-0.056850041513929715,-0.17592764157594037]",4.0,"[-0.07899186870202188,0.0733751070484734]",100.0,"[-0.06705866764716843,0.03375177866205306]",4.0,"[0.08075479727345952,0.17775601336322003]",4.0,"[-0.07311000928838829,0.12978248534281053]",4.0,"[0.05935088960225941,-0.08054779987082779]",4.0,"[-0.026517215364900027,0.16814035875802752]",4.0,"[-0.14145047237481784,-0.03840196032815274]",4.0,"[-0.0830384076493829,-0.062192634706112755]",100.0,"[0.11335493307715232,0.05317608490644847]",4.0,"[-0.11850586144237107,0.15365070060992125]",4.0,"[-0.12428163654273666,-0.1464974532586306]",100.0,"[0.15932700499241334,0.10544132027586993]",4.0,"[-0.15330511187527354,0.03101305488866027]",4.0,"[0.08741898712814829,-0.1288564917459453]",100.0,"[0.02,0.02]",77.2409,0.0,0.0,0.0,152.0,1.0,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,77.2412,77.7378,,,77.9864,78.5803,left,,,,,,,,0.45,0.5916,,,,,,,77.7378,77.9864,78.5803,"[-0.08272506312349381,-0.10325312327320943]",100.0,"[-0.09931107603875292,0.07034506396859791]",4.0,"[0.06305526703742138,-0.03654532846145416]",4.0,"[-0.005425947538750892,-0.09368059118152061]",100.0,"[0.12595045705570984,0.0959892479687817]",100.0,"[0.14139375014405917,-0.0585945849015544]",100.0,"[-0.1473525389933072,0.056963090962218646]",4.0,"[-0.059480887446420425,0.022142424078617745]",4.0,"[-0.039767087292188544,0.06804644616191881]",4.0,"[-0.062450421799497814,-0.17238094137453025]",100.0,"[-0.03928151766425183,0.1494655871969538]",100.0,"[0.10199440583295268,0.038211270358507035]",4.0,"[-0.08539456091687864,0.16861528660197073]",4.0,"[-0.021233743739472167,-0.15876860188706954]",4.0,"[-0.011649645544874418,-0.03079361531866549]",100.0,"[-0.14242783205629153,-0.08057878020735662]",4.0,"[-0.12763322920697612,0.00130865271614628]",100.0,"[0.06834281279274472,0.06471028824380859]",100.0,"[0.0004070228467594669,0.04636962201253138]",4.0,"[0.08802399455242226,-0.06925017585854354]",4.0,"[0.0059923663688521015,0.18891527856685125]",100.0,"[-0.05071631918892407,0.19074101944748093]",100.0,"[0.03758747790069967,-0.17145766414741148]",4.0,"[0.177718713682958,0.06304081154935653]",4.0,"[-0.0860395386622967,-0.02590937130862311]",4.0,"[-0.01022263909394453,0.11124141170841773]",4.0,"[-0.1890382283555502,0.028630457703549814]",4.0,"[0.14779256419617878,0.008452561681281454]",100.0,"[0.03458587359175579,-0.10766166676406248]",100.0,"[-0.11428473589001083,-0.1396080631059614]",100.0,"[0.054048742739850976,0.16172000329943675]",4.0,"[0.05731320411748397,0.021951418861512292]",4.0,"[0.02,0.02]",79.6772,0.0,1.0,1.0,123.0,1.0,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,79.6775,80.1741,,,80.4228,80.9438,left,,,,,,,,0.5,0.5183,,,,,,,80.1741,80.4228,80.9439,"[-0.19126770827728667,-0.04052335462442674]",4.0,"[-0.13861173251259498,-0.0215620630331048]",100.0,"[0.007900168134204676,-0.12408041714147032]",4.0,"[0.0689201103783721,-0.18338392877250978]",4.0,"[0.0930071565520198,0.11384458782723623]",4.0,"[-0.028579761904957784,-0.023245438203760762]",4.0,"[0.08509150242111854,0.05946891022655965]",100.0,"[-0.07255147100671362,-0.13974313396508117]",4.0,"[0.06763092708722596,-0.06595206084977609]",100.0,"[0.1372084508773714,-0.08256628875867111]",100.0,"[-0.1290435433467635,0.10679769973671516]",4.0,"[-0.10044355683455494,0.028373563115372143]",100.0,"[0.05493374536041196,0.14913558387961645]",100.0,"[0.17197558412986866,-0.006437187311749209]",4.0,"[0.04025493238456634,-0.022709383061681424]",100.0,"[-0.08261395413444526,0.08496789068846679]",100.0,"[-0.16399991578481732,0.013143446529817183]",4.0,"[0.175511687593226,-0.054332811676491156]",100.0,"[-0.04659298568846645,0.10818226594552205]",4.0,"[0.07444571497665156,0.01140114034091349]",100.0,"[-0.10315201392530164,0.1433522735337917]",100.0,"[-0.0038592085742654818,0.10028160691613107]",100.0,"[-0.14803700099964873,-0.10212562944963018]",100.0,"[-0.051194921347234856,0.16401820231124553]",100.0,"[0.054617845481328885,0.09602788972625001]",4.0,"[-0.009378929501486402,0.17068835039292646]",4.0,"[0.02192728626686161,0.019330056561123726]",4.0,"[-0.04384535052533308,-0.190401882195647]",100.0,"[-0.04877835151618954,-0.10484313368524294]",4.0,"[0.16688449866815153,0.09525578012406098]",4.0,"[-0.03893221810185225,0.021222017312262628]",4.0,"[-0.09375179077205353,-0.01214350574986443]",100.0,"[0.02,0.02]",82.0407,0.0,2.0,2.0,108.0,1.0,,,,,,,
,,,,,,,60ba101202b7fd117c0f3b94,6844292d5ace92be5db7a103,2025-06-07_13h57.41.651,shape_ratio,2024.1.5,Win32,166.6666667,684250e4f00cb30b92d1fa88,,,,,,,,,,,82.0409,82.5377,,,82.7864,83.2771,right,,,,,,,,0.4,0.4848,,,,,,,82.5378,82.7863,83.2771,"[-0.07998226344673011,-0.09685015816458979]",4.0,"[0.08250452360557801,-0.10742254265255813]",100.0,"[0.005972004769952385,0.09821335506205836]",100.0,"[-0.11081731786214401,0.06293255913378706]",100.0,"[0.09781391837878385,-0.16890855595705467]",4.0,"[-0.05440480975881914,0.11660223288663465]",4.0,"[0.018349387607388024,-0.1925977441989607]",100.0,"[-0.06716767466478521,-0.008424469577813622]",4.0,"[0.12159270576105578,-0.03828620510328181]",4.0,"[-0.17043529419960068,-0.015205435028605588]",4.0,"[-0.13439700762979653,-0.08332814237628222]",100.0,"[-0.06770672754963104,-0.137300850273711]",4.0,"[0.06615575687903422,0.05411429083719876]",100.0,"[0.12051624230517884,0.08200182662512505]",4.0,"[0.057311989303834826,0.17460569219277375]",4.0,"[0.093204198608394,0.022135801508058165]",100.0,"[-0.1313842407463287,-0.027994359962496176]",4.0,"[0.18995723074716322,-0.005634888351618968]",100.0,"[-0.17694435263710204,0.031654479570642276]",4.0,"[0.02540955632308062,0.008118402858342002]",100.0,"[0.16809454000997384,-0.10213182416130567]",4.0,"[-0.10307888570826883,0.15622005739934045]",4.0,"[-0.010464483275704383,-0.10162722380277449]",100.0,"[-0.002250325418099747,0.15848556898989022]",100.0,"[0.04042226652111402,0.13589864106266436]",100.0,"[0.02837504845467605,-0.051579516581323086]",4.0,"[-0.03469181333003521,-0.19514276541944076]",4.0,"[0.18605987920156059,0.03509580179008687]",4.0,"[-0.018903719910665372,0.013498846466671887]",4.0,"[-0.1600376861773948,0.10914293118655165]",100.0,"[0.15022473119401508,0.0016923497244005954]",4.0,"[0.12066924244046132,0.12805345198421264]",4.0,"[0.02,0.02]",84.3739,0.0,3.0,3.0,177.0,1.0,,,,,,,
