right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,26.8085,space,11.7981,0.0002,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,26.8086,57.6715,space,0.8507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,57.6716,60.9303,space,0.2543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,60.9402,61.4305,61.4306,61.6807,61.6807,62.3638,right,0.6744,,62.3639,63.4641,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,63.4643,63.9641,63.9641,64.2143,64.2143,64.9311,left,0.716,,64.9311,66.0311,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0313,69.59,space,0.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,69.596,70.09,,,70.3403,70.915,right,0.5711,,,,,,,,,0.1,,,,,,70.0902,70.3403,70.9151,"[-0.12147912770586285,-0.027823712038494694]",4.0,"[0.10344770798627972,0.03382583697246938]",4.0,"[-0.16491327262862646,0.0277033344723738]",4.0,"[0.03115557196070303,0.04519179802509036]",4.0,"[-0.06424671994871459,-0.11940710451144436]",4.0,"[-0.17277157926915016,-0.10062126081542086]",100.0,"[-0.08488529102613786,-0.07166580337147788]",4.0,"[0.1091999983941589,0.13762132154960952]",4.0,"[-0.0049723004834167275,0.10892285707817992]",4.0,"[0.08389305764758714,-0.096073585378477]",4.0,"[0.15460758818362166,0.016813543059312583]",4.0,"[-0.03992734989094826,-0.16821586808283318]",4.0,"[-0.02128187947781672,-0.0428813209557832]",4.0,"[0.017813806147871855,-0.14853704862116418]",4.0,"[-0.19045379922798944,-0.018751836979351764]",4.0,"[-0.1442007780695985,0.11566945724356242]",4.0,"[0.016407548827739683,-0.1964261676592616]",4.0,"[-0.01964833614677362,0.03718612795727907]",4.0,"[0.037973767620259266,0.17507766354167467]",4.0,"[0.056066984806378145,-0.1851883036385732]",4.0,"[0.03218086312710601,-0.001404022321240851]",4.0,"[0.16777490406447532,0.0996317383266448]",4.0,"[0.14884832934055686,-0.05186673995154834]",4.0,"[0.0599294447459238,-0.13622544738019463]",4.0,"[-0.0553395235869208,0.16734895975796324]",4.0,"[-0.012734987612085991,0.1879537679687437]",100.0,"[0.02612767987471887,-0.051431938039306214]",100.0,"[-0.09828608532715671,0.06525201787658354]",4.0,"[-0.10196538198614576,0.12973375446257854]",4.0,"[-0.13172553998365857,-0.08532268655967563]",4.0,"[-0.055729537571582506,0.09697491344760908]",4.0,"[0.11479112584950034,0.07616031671785597]",4.0,"[0.02,0.02]",72.0154,0.0,0.0,0.0,202.0,1.0,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,72.0156,72.5154,,,72.7655,73.5905,right,0.8171,,,,,,,,,0.1,,,,,,72.5154,72.7655,73.5905,"[-0.05720097783953825,-0.06820102244237193]",4.0,"[-0.0980458273267865,-0.16539533382651136]",4.0,"[0.04278961364571606,-0.19079773918940277]",4.0,"[-0.13406588393273802,-0.07626070542429504]",4.0,"[0.09268182031066126,0.09680204404035195]",4.0,"[0.018421145566182982,0.12343130581013473]",4.0,"[-0.059573352240476954,0.1106724389602713]",4.0,"[-0.021094884973698557,-0.02367828531016768]",100.0,"[-0.14730491544996258,-0.024194103906887778]",4.0,"[0.0012414090072289169,-0.1798679779315489]",4.0,"[-0.05373894938527463,0.048283484156776336]",4.0,"[0.028847689009398995,0.19160240117962465]",4.0,"[0.0478505245636565,0.018757460108180163]",4.0,"[0.053144445193859115,-0.021181692614164502]",100.0,"[0.09696510888986115,-0.01326830699252389]",4.0,"[0.10924603495506868,0.16205175653871678]",100.0,"[-0.1304065338468466,0.0638478529879085]",4.0,"[0.002841786033166341,0.03194615809037927]",4.0,"[-0.15418482801291067,0.027586062373780584]",4.0,"[0.16594219783513633,0.047226067064041366]",4.0,"[-0.052637125405741884,-0.17185616827228667]",4.0,"[-0.049244981872520695,0.19015056642512065]",4.0,"[0.11239235596629166,-0.15912188579055248]",4.0,"[-0.08848302190460751,0.17843586849840057]",4.0,"[0.06146902689350179,0.14476664785515053]",4.0,"[0.17111923201193652,-0.013460148803039673]",4.0,"[-0.08011421297625883,-0.12298972935335609]",4.0,"[-0.07707183563675006,-0.022954051004251696]",4.0,"[0.1071191801088942,-0.114241039635513]",4.0,"[-0.1967945989362274,0.01395853505112616]",4.0,"[0.0635795639727772,-0.1361628576192228]",4.0,"[-0.13349534443149544,-0.13997508273854561]",4.0,"[0.02,0.02]",74.6908,0.0,1.0,1.0,187.0,1.0,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,74.6908,75.1909,,,75.4411,76.0408,right,0.5939,,,,,,,,,0.45,,,,,,75.1909,75.441,76.0408,"[-0.1312792463817676,-0.11719843869141379]",4.0,"[-0.15248546726636533,-0.021071946051772886]",4.0,"[0.001921633806339051,-0.04065047593252067]",4.0,"[0.037430282893378346,-0.11730391152932908]",100.0,"[-0.09098860454064558,0.006886650043846272]",4.0,"[0.15428305609931414,-0.03605177153797574]",4.0,"[-0.043971777410450635,0.18236501022314727]",100.0,"[0.12970172026655816,-0.11551648507366086]",4.0,"[0.06111751121327412,0.02729329992282607]",100.0,"[0.11802756326232512,0.00037622071474266124]",100.0,"[0.029405044993596783,-0.1663053197387452]",4.0,"[-0.09106298176207078,0.07441405799309117]",100.0,"[0.057301463482068764,0.16771935718426506]",4.0,"[-0.10409998310976136,0.13623699202912243]",100.0,"[0.18393945817500146,0.0778450325854089]",100.0,"[-0.07777323066363231,-0.1018761671378454]",4.0,"[0.09424240090529387,0.11274532350472344]",100.0,"[-0.0318226464839029,-0.10096447632480522]",4.0,"[-0.04454840625167593,-0.007537098738484263]",4.0,"[0.04514627354464915,-0.03798098690415562]",100.0,"[-0.17503697523003237,0.08632895057531814]",4.0,"[-0.17325957963290126,-0.06230422337166012]",4.0,"[0.1081165343889212,-0.07985073948583611]",4.0,"[-0.05377557505267198,0.12427344379866577]",4.0,"[0.15296027963454967,0.048176745437611405]",4.0,"[0.13753293793114288,0.09163969081485239]",100.0,"[0.05135205893523931,0.10785512204826628]",100.0,"[-0.02521321653479213,-0.19606649826692]",100.0,"[-0.1329319059078381,0.06434518006120234]",100.0,"[0.012914492432903968,0.004059104348650211]",4.0,"[-0.10660647259679587,-0.056857316000155714]",100.0,"[0.16926527709845357,-0.0848318087387707]",4.0,"[0.02,0.02]",77.1412,0.0,2.0,2.0,132.0,1.0,,,,,,,
,,,,,,,60fc39cce64c39328a7c8904,68442929b31074d12f757525,2025-06-07_13h57.49.979,shape_ratio,2024.1.5,Win32,119.047619,684250e4f00cb30b92d1fa88,,,,,,,,,,,77.1413,77.6411,,,77.8913,78.6413,left,0.7423,,,,,,,,,0.5,,,,,,77.6411,77.8913,78.6413,"[-0.05599500940202794,0.13460824216773012]",100.0,"[-0.09592010802826285,-0.01929114495217904]",100.0,"[-0.09993586107812141,0.0291546234207307]",100.0,"[0.09050291407999106,0.13621622330797414]",4.0,"[-0.04699570290635194,-0.07471307409757728]",100.0,"[0.11462090374227384,0.007314334955694387]",4.0,"[0.020485339624536254,0.10838957995618256]",4.0,"[-0.030283227905697378,0.01677629651586282]",100.0,"[0.16332792901892262,-0.03485716646998571]",100.0,"[0.08740839413769293,0.07790356379279817]",100.0,"[0.009993182883360804,-0.055559215960233665]",100.0,"[-0.1500427194917795,0.01653770472631057]",4.0,"[-0.08219850785773007,0.07493540342789994]",100.0,"[-0.19035843325755689,-0.05725792452100568]",100.0,"[-0.15648242714885016,-0.03187957985663609]",4.0,"[-0.007083212620566004,-0.19130481689415704]",4.0,"[0.10550626344598452,-0.07407494044866568]",4.0,"[-0.0017851625959660982,-0.10393961805911246]",4.0,"[-0.1211332725285777,-0.12837983901324976]",4.0,"[-0.10194658618833392,0.13823604300882641]",4.0,"[0.14182325004197593,0.11131830400793973]",4.0,"[0.05701592146057496,0.029438564248812568]",4.0,"[0.1844848162730398,0.03463611361269062]",4.0,"[-0.055675750607626424,-0.024250158050365154]",100.0,"[0.029521947144289917,-0.15468760070986673]",100.0,"[0.13743059843413183,0.04689944001815805]",100.0,"[-0.12449765083181429,0.1034111177566817]",4.0,"[0.08241593576755697,-0.11741785388947691]",4.0,"[-0.137320689891194,-0.07763535856162025]",100.0,"[0.0312937040551311,0.15619189516735285]",100.0,"[0.05983903689478664,-0.05218391986756207]",100.0,"[-0.07334166886693305,-0.10917223335759173]",4.0,"[0.02,0.02]",79.7416,0.0,3.0,3.0,98.0,1.0,,,,,,,
