right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,42.1548,space,27.1307,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,42.1557,78.2692,space,6.1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,78.2699,82.9537,space,1.6607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,83.0229,83.4695,83.4707,83.6294,83.6298,85.1208,,85.1214,86.2207,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,86.2233,86.7203,86.7206,86.9718,86.9719,87.5547,right,87.5551,88.6545,0.0,1.0,1.0,0.0,1.0,0.2,0.5652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6565,97.0589,space,5.3772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,97.1088,97.5742,,,97.8125,98.592,left,,,,,,,,0.1,0.7527,,,,,,,97.576,97.8124,98.5937,"[-0.1433267168664446,-0.10941972548956903]",4.0,"[-0.13027586743946812,0.02708006748121088]",4.0,"[0.1696222509218858,0.027362161398504687]",4.0,"[-0.08010544420014966,-0.10217063383282579]",4.0,"[-0.09898637493778427,-0.04469785157275912]",4.0,"[-0.04843305554002601,-0.05170681210078342]",4.0,"[0.10792222592941346,0.08361663924414779]",4.0,"[-0.00022194405435815,-0.010029895014704486]",4.0,"[0.06562517884331284,-0.146244386514736]",4.0,"[-0.004205228902529149,-0.14274825932176322]",4.0,"[-0.03569325135953411,-0.1160694881194708]",4.0,"[-0.10364602466670303,0.13138653443052997]",4.0,"[0.16138406589655516,-0.02283656583018238]",4.0,"[0.1033647484007884,0.15058162685747287]",4.0,"[-0.024379779800256355,0.18489746625595202]",4.0,"[-0.1456747910091892,0.13408593185238707]",4.0,"[0.03381578478029734,0.14814018517326585]",4.0,"[-0.16616182031442583,0.0874978791694585]",4.0,"[0.10646673094262253,0.009121933427987776]",4.0,"[0.03720747501652807,0.008714784081988346]",4.0,"[0.03133744681569878,-0.19140275170359877]",100.0,"[0.06200023198819418,0.05016991508323297]",4.0,"[-0.08587385456531495,0.010930380682408924]",4.0,"[-0.049402933915309886,-0.16952491575225268]",100.0,"[0.14842157685117202,-0.09316250208492254]",4.0,"[0.06664188359100594,0.12119798948093102]",4.0,"[0.030143389150484378,-0.07265542563215824]",4.0,"[0.002660364054445653,0.07881265541017224]",4.0,"[-0.01028762233967984,0.12996801342655181]",4.0,"[-0.17568329313131037,-0.03176568991238752]",100.0,"[0.11889728791849016,-0.15748158939667467]",4.0,"[-0.059794431198134455,0.07906342808133243]",4.0,"[0.02,0.02]",99.6928,0.0,0.0,0.0,208.0,1.0,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,99.6946,100.1921,,,100.4352,101.0586,left,,,,,,,,0.1,0.602,,,,,,,100.1923,100.4351,101.0588,"[-0.03219021369647906,0.1814241843175041]",4.0,"[-0.015497291989036686,-0.009904583467600273]",4.0,"[0.07428019579182389,0.03948194875569059]",4.0,"[-0.10661511432301211,0.07045180190507074]",4.0,"[0.08322658978799242,0.10106995948116318]",100.0,"[-0.14510511113793567,-0.06607435930635915]",100.0,"[-0.13831865119637332,-0.136207876828672]",4.0,"[0.014508267849821576,0.13696023900269458]",4.0,"[-0.03880671269842429,-0.11168658893901418]",4.0,"[0.17579586313311685,0.09276227458710407]",4.0,"[-0.06180640024157665,-0.03664940767234176]",4.0,"[-0.01232176741298195,-0.15816392013061312]",100.0,"[-0.09032438121828487,0.15131926801673498]",4.0,"[-0.16428017592184965,0.042444925420760206]",4.0,"[0.05463922804437614,-0.059575568788214656]",4.0,"[-0.04922012505658946,0.09014423016656392]",4.0,"[-0.09134206474484517,0.008204583553510968]",4.0,"[0.002279090934802805,-0.053060427979976066]",4.0,"[0.014267636266028528,-0.12259292290602761]",4.0,"[-0.08732184240404213,-0.08651867444021154]",4.0,"[-0.1816242050835414,-0.030257371851978392]",4.0,"[0.13360784524271374,-0.07842451875139324]",4.0,"[0.12159527205679842,0.08729381840095912]",4.0,"[0.15942830881973963,0.034075274871829944]",4.0,"[-0.050641999302306416,-0.17778078274212356]",4.0,"[0.1921395111670419,-0.023871647326844176]",4.0,"[0.13830980715878194,0.13099335729309686]",4.0,"[-0.04706657916859983,0.0494621493173155]",4.0,"[0.0687425962551185,-0.10729546448698468]",4.0,"[0.032888412288020585,0.005248858494758924]",4.0,"[-0.14690385006991694,0.1011632369072028]",4.0,"[-0.08815781564294055,-0.14201894669104984]",4.0,"[0.02,0.02]",102.1589,0.0,1.0,1.0,191.0,1.0,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,102.1602,102.6585,,,102.9026,103.5271,right,,,,,,,,0.45,0.6071,,,,,,,102.6588,102.9025,103.5273,"[-0.06320163314847962,0.01618842501003353]",4.0,"[0.14397201746425184,-0.058436434671715255]",4.0,"[0.010661878857522723,0.045991577642491885]",4.0,"[-0.06037184927096285,0.09613569148114996]",4.0,"[0.17696645127237,0.07513764149635692]",100.0,"[0.13955790544308314,-0.12830440896702863]",4.0,"[-0.09248748041400633,-0.12799528315608813]",4.0,"[0.022116684945640733,0.13744763419179493]",4.0,"[0.14778397006075233,0.13303705287771836]",100.0,"[0.01616962664486198,-0.17051810439787013]",4.0,"[0.0880865176933612,-0.12398049373212233]",100.0,"[-0.06770488601280711,0.15271562113961862]",100.0,"[-0.1722050301257827,-0.04167750608331676]",4.0,"[0.05118672413829512,0.0065867044805743655]",100.0,"[-0.02720368837200336,-0.12842980768892276]",4.0,"[-0.025294565064402714,0.13266932667180506]",4.0,"[-0.06335469071265608,-0.06780194795289746]",100.0,"[0.12041082643616345,0.03562078085601762]",100.0,"[0.06222928655588761,-0.048175169893379104]",100.0,"[-0.16296193099443532,-0.09786330182018749]",4.0,"[-0.13402416646869755,-0.016357425523877117]",4.0,"[0.12306904735848127,-0.00874918655736675]",4.0,"[-0.12001790719324675,-0.05737035319631994]",100.0,"[-0.026343750382167595,-0.18564453240567547]",4.0,"[-0.18759890648626457,0.0502740256168552]",4.0,"[0.008247722782976297,0.1854106474266102]",4.0,"[-0.040686869364718825,-0.018142249513690072]",100.0,"[-0.15635661158789593,0.11562118722113833]",100.0,"[-0.10173883481986451,0.0318317175251464]",100.0,"[0.029778622580476834,-0.09241052784307871]",4.0,"[0.011222460039494349,-0.02504306738686413]",100.0,"[0.17043568987304708,0.023097679511928097]",100.0,"[0.02,0.02]",104.6261,0.0,2.0,2.0,134.0,1.0,,,,,,,
,,,,,,,6137753896c9b6b5813a2432,68399d5fd7f68f7be9a09a39,2025-05-30_13h01.17.925,shape_ratio,2024.1.5,Win32,60.60606061,683853e18dae57a2147b65e0,,,,,,,,,,,104.6275,105.1269,,,105.3695,106.0625,right,,,,,,,,0.55,0.6843,,,,,,,105.127,105.3695,106.0627,"[0.04938325889249199,-0.16238065425987205]",100.0,"[-0.05365719610917599,0.15375248460581653]",100.0,"[-0.041477067235084146,-0.01409433283365069]",100.0,"[-0.10699760140200423,0.0363218329667729]",100.0,"[-0.12076237252939782,-0.05046703006600853]",100.0,"[0.0594885084292458,-0.03939823881959201]",4.0,"[0.026281685082052125,0.11026943269769073]",4.0,"[0.16113760647093542,-0.10892084780889798]",100.0,"[0.06748813306902951,-0.08995784863291008]",100.0,"[-0.14880904116351065,-0.11008398821707037]",100.0,"[-0.05746861554464035,-0.10411471157034985]",100.0,"[0.00014086643505526643,-0.17007130391740782]",100.0,"[0.08712490436284606,0.045092956679113776]",4.0,"[0.1293018688988214,0.14960854634134974]",4.0,"[0.11244204242076863,-0.07997667413043057]",100.0,"[0.06078774186320568,0.17939876141432629]",100.0,"[-0.18421089556667297,-0.017177512225005877]",4.0,"[0.18840697813856888,0.007365299856150013]",4.0,"[0.1620361156586399,0.09656568318643963]",4.0,"[-0.10066755498089262,-0.12367645645900546]",100.0,"[-0.010195906361713376,-0.09920738249486569]",4.0,"[-0.1480854288587735,0.11473120099448401]",4.0,"[-0.07286274989645251,0.07842705883391927]",4.0,"[-0.07094499779260681,-0.055486074632681154]",100.0,"[0.08017380988617542,0.001432694810807507]",100.0,"[0.09865026118387533,0.09080320014909943]",4.0,"[-0.020862153675934064,0.02973562437395335]",100.0,"[-0.14706177537241774,0.045705701056945415]",100.0,"[0.09432383224259877,-0.1226612668176654]",4.0,"[0.017916344226650678,0.007643011634064627]",4.0,"[0.148532693383403,-0.009239952249695715]",4.0,"[0.14968600223148232,0.05363293468880388]",100.0,"[0.02,0.02]",107.1533,0.0,3.0,3.0,88.0,1.0,,,,,,,
