right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,180.285,space,165.2797,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,180.2852,214.4057,space,4.1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,214.4057,220.6639,space,3.2512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,220.6887,221.1679,221.1682,221.4182,221.4183,222.1889,left,0.7615,,222.1889,223.2889,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,223.2892,223.7887,223.7888,224.039,224.0391,224.4929,right,0.4519,,224.4929,225.5928,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.5931,233.5764,space,4.9757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,233.5932,234.0803,,,234.3307,235.1013,right,0.7689,,,,,,,,,0.45,,,,,,234.0805,234.3306,235.1016,"[0.06155384835271951,0.17861995826652852]",4.0,"[-0.02612806581537648,0.00878915114579629]",100.0,"[-0.10917433486235675,-0.13352852090234765]",100.0,"[0.042695898646796224,0.08634317403621937]",100.0,"[0.12973703612993592,0.1382643851980262]",4.0,"[0.1310984641817199,0.08897659906693808]",4.0,"[-0.09715292379469764,0.14996834371104756]",4.0,"[-0.07960665004227033,0.06790796021908345]",100.0,"[0.0706963566996682,-0.10515918585653845]",4.0,"[-0.012634717616038524,-0.08616741820081408]",4.0,"[-0.09916461733740853,0.10336412792756253]",100.0,"[0.10642825783549592,-0.1522074612466796]",100.0,"[-0.1532155772478675,0.06577518683722465]",100.0,"[-0.15560217455087175,-0.05212493018273257]",4.0,"[0.0444428728453693,0.04083042559676012]",4.0,"[0.14550560643173366,-0.029046092629872074]",4.0,"[0.0830616188408242,-0.04306907161096675]",4.0,"[0.1697223837883953,0.06178587155872644]",4.0,"[0.11189863272526487,-0.0842584685302469]",4.0,"[0.15124742060033833,0.01230041442274601]",4.0,"[0.0034689234896736814,0.1887644268374676]",4.0,"[0.14760004168097668,-0.12990486729549994]",100.0,"[-0.06869591134976276,0.008358063587634025]",100.0,"[0.09534543743426009,0.05795893083442627]",100.0,"[0.0018503491769501234,-0.17042971231449902]",4.0,"[-0.03720576510668583,-0.1260338266893244]",4.0,"[0.17292460148189143,-0.08449395723769275]",100.0,"[-0.01838629857985856,-0.045054973814461094]",4.0,"[-0.0921608940998449,-0.036910022551476594]",100.0,"[-0.15589538633004707,-0.11635283256284187]",100.0,"[-0.0036018973709163247,0.05238615637075292]",100.0,"[-0.04771930244554789,-0.18627570151506992]",4.0,"[0.02,0.02]",236.2012,0.0,0.0,0.0,125.0,1.0,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,236.2015,236.7011,,,236.9513,237.4303,right,0.4762,,,,,,,,,0.9,,,,,,236.7011,236.9512,237.4303,"[0.15063030139120526,-0.0413169996960632]",100.0,"[0.013047301372965652,-0.163645572670074]",4.0,"[0.08913042734765525,0.05565946795787599]",100.0,"[-0.1141245877935783,0.011642789367281208]",100.0,"[0.12942225824023665,-0.11615115197032648]",100.0,"[0.041768446874350953,0.10417104038801962]",100.0,"[0.06774746321424814,0.017743459110278227]",100.0,"[-0.04347098100308491,0.17495599669657277]",100.0,"[0.03412947225129046,-0.05925376981785328]",100.0,"[-0.011556610708973535,-0.0430837417186052]",100.0,"[0.15701564292804118,0.04887825349967039]",100.0,"[-0.01484377112431005,0.146615924638321]",100.0,"[0.025010066812663195,0.021060516475547682]",100.0,"[0.07117543937477837,-0.027508827978901577]",100.0,"[0.1305904063635778,0.1425073531006684]",4.0,"[-0.189758040597929,0.04719709146110439]",100.0,"[-0.14406882772066074,0.09327071207305006]",100.0,"[-0.04533576085928659,0.06917960765193096]",100.0,"[0.18981147325615053,0.004604086849504972]",100.0,"[0.04682342411723079,0.16271294290420396]",100.0,"[-0.1266142854531659,0.1469229096570063]",100.0,"[-0.04856052572816727,0.11966416076146966]",100.0,"[-0.0672586907525837,-0.09057836535885858]",100.0,"[-0.04086518312749015,-0.009647517247046515]",100.0,"[-0.007629458853956522,0.19666359632856406]",100.0,"[0.044255653195009265,0.058563870439159955]",100.0,"[0.024639257707715842,-0.10738393343327382]",100.0,"[-0.10186873184466609,-0.027580918119380734]",100.0,"[-0.13982758361448364,-0.1317241709373563]",4.0,"[-0.10543757902925739,0.08053201534204504]",100.0,"[-0.09189504511968534,-0.15381436730997905]",100.0,"[-0.1569051813366276,-0.0944029555553882]",100.0,"[0.02,0.02]",238.5304,0.0,1.0,1.0,11.0,1.0,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,238.5305,239.0304,,,239.2804,239.9804,left,0.6989,,,,,,,,,0.45,,,,,,239.0305,239.2804,239.9804,"[-0.08528399996855728,-0.017573790038774344]",100.0,"[-0.07224615939890958,-0.10821177889180046]",100.0,"[0.0871495114946211,-0.02516957597575892]",4.0,"[0.1808750252393481,0.06309258570756511]",100.0,"[-0.14733533468565452,0.00267941709307049]",4.0,"[0.07626317376081909,0.14764972063901666]",100.0,"[0.0063116083113440155,0.12973372165856908]",100.0,"[0.027753827008354336,-0.14977586846866972]",100.0,"[0.03766351910018253,-0.10747766794264842]",4.0,"[-0.08597575551711262,0.15691461894621725]",4.0,"[0.12409185616249858,0.08781746029007975]",4.0,"[-0.022221712786333645,-0.08074664189141793]",4.0,"[-0.007995707155796826,0.1906243017562968]",4.0,"[-0.14013181794694898,-0.13488239762861967]",4.0,"[0.0071265640318325055,-0.18946811949959222]",4.0,"[-0.07941450407044147,0.10934341275225423]",4.0,"[0.13508633127652883,-0.04895587331638426]",100.0,"[-0.04491274636963392,0.15669974923195504]",100.0,"[-0.11221920824984179,0.06746671046606233]",100.0,"[-0.12676015163032195,0.11471823102729041]",100.0,"[0.0191629102773347,0.03267172992543236]",100.0,"[-0.055876508753940034,-0.05473530387509267]",100.0,"[0.1303004718856845,0.007474533530383107]",4.0,"[-0.028498601684829632,-0.1558373944037148]",4.0,"[0.12258769561194553,0.157919935962713]",4.0,"[-0.045483769019303975,-0.012812268475844027]",4.0,"[-0.07397148961831211,0.0215907889981572]",4.0,"[0.007651650407567479,-0.045363730619304266]",100.0,"[-0.00589919104989225,0.0882942335893409]",100.0,"[0.0678533480321591,-0.1719623990096722]",4.0,"[-0.12380668560208322,-0.056402747274779494]",4.0,"[-0.1934245041767811,0.037978059533578294]",4.0,"[0.02,0.02]",241.0804,0.0,2.0,2.0,123.0,1.0,,,,,,,
,,,,,,,6140ef8d27499e70e8740918,6842bae7e7f0cc789c6605df,2025-06-06_10h55.05.046,shape_ratio,2024.1.5,Win32,243.902439,6842b561977af9ba9b0f87ca,,,,,,,,,,,241.0807,241.5803,,,241.8304,242.4222,left,0.5888,,,,,,,,,0.1,,,,,,241.5803,241.8304,242.4222,"[-0.08430055133934827,-0.024593658776110323]",4.0,"[0.016669788119455693,-0.0581556142568559]",4.0,"[-0.02399005113625451,0.059863796956956906]",4.0,"[-0.025958352594388487,-0.19767747852593037]",4.0,"[0.06426295760967578,0.1547523022451813]",4.0,"[0.10083831292810677,0.039792929408030746]",100.0,"[0.07126619985980062,-0.09660492682351646]",4.0,"[0.06522293545461492,0.0178996965795954]",4.0,"[0.06879206747755329,0.0881970260863364]",4.0,"[-0.062436807501018446,0.043746715576842274]",4.0,"[0.13427798007427041,0.06732054498234301]",4.0,"[-0.19787072533241903,-0.000028071797427216418]",4.0,"[-0.02203946653364677,0.16358465129221764]",4.0,"[-0.1099413354582539,-0.1010692504519107]",4.0,"[-0.12111716728928554,0.09465389755702884]",4.0,"[0.12468155271202097,0.11948817785008284]",4.0,"[-0.028531235309245694,-0.02337229185230245]",4.0,"[0.12024888093986733,-0.09269791707068983]",4.0,"[-0.19222255793975604,0.04798059868794616]",4.0,"[0.020670348472258775,-0.10578991628211659]",4.0,"[-0.030912034238999825,-0.07780775006019126]",4.0,"[0.04125275920736542,0.18936662614604435]",100.0,"[-0.1377778134012087,-0.04194543861891529]",4.0,"[-0.12052286382712997,0.013698711148856329]",4.0,"[0.1290552266743042,-0.005660024214450672]",4.0,"[0.020067420968834255,-0.19569813560678948]",4.0,"[-0.023351724883349863,0.10739635791761341]",4.0,"[-0.17591222132850493,-0.07335633102718397]",100.0,"[0.02481169897225524,0.05514522830468578]",4.0,"[-0.13278121717861593,-0.14279283879099436]",4.0,"[0.07605379189139709,-0.1829077363325054]",4.0,"[0.18657039418808005,0.03265355107721705]",4.0,"[0.02,0.02]",243.5221,0.0,3.0,3.0,184.0,1.0,,,,,,,
