right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,20.7109,space,5.6914,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,20.7114,68.0306,space,17.3017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,68.0308,81.5446,space,10.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,81.5744,82.061,82.0614,82.3145,82.3147,82.7448,right,0.3908,,82.745,83.8444,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,83.8452,84.3442,84.3443,84.595,84.595,85.1784,right,0.5799,,85.1786,86.2776,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2782,95.0948,space,5.7979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,95.1205,95.611,,,95.862,96.3444,left,0.4694,,,,,,,,,0.1,,,,,,95.6115,95.8619,96.3449,"[0.012336483708046306,0.08119533608427353]",4.0,"[0.09334431442733761,-0.11104263417920655]",4.0,"[0.009096578541318175,-0.1650052620930007]",4.0,"[-0.10019908843409081,-0.0761832470704931]",4.0,"[0.09999660887358171,0.09423258266226293]",4.0,"[0.11002896971173813,-0.0052763704948761946]",4.0,"[-0.1270688393979494,0.13224763820470267]",4.0,"[-0.09901247872009863,-0.013653525549582369]",4.0,"[-0.054553856157175264,-0.03434779654275131]",4.0,"[-0.16088747547080356,-0.057093524105614]",4.0,"[-0.12439691873037818,0.061911234152301986]",4.0,"[0.046129153763802694,-0.07087693207534371]",4.0,"[0.10127178885360248,0.14259822890910734]",4.0,"[0.054256865381315425,0.19235863535552825]",100.0,"[-0.05497942246020591,-0.15280126371260805]",4.0,"[0.14346478521606593,0.08504217635982794]",4.0,"[-0.02465463328642605,-0.001340512100010456]",4.0,"[0.0566158543163526,0.15124008887681448]",4.0,"[0.09815320497915145,0.04111219413268131]",4.0,"[-0.046807294691637,0.17800119590351046]",4.0,"[-0.025853801968239,0.06310348543889312]",4.0,"[0.11918901711713102,-0.04713300130831171]",4.0,"[0.027894292665080398,-0.11286061419629585]",4.0,"[-0.17424588322716214,0.008645639502541106]",4.0,"[-0.14906793354587627,-0.11919793735224493]",4.0,"[-0.16250520820221429,0.09387328690715101]",4.0,"[0.012706033542434629,0.03536486938327328]",100.0,"[-0.059357962649216445,0.11537441056749011]",100.0,"[-0.0004238355086784685,0.14213278384872838]",4.0,"[0.14215390303190595,-0.11442418693081509]",4.0,"[-0.0021315209453997993,0.19567733526243952]",4.0,"[-0.07115928924149077,0.02358198290896236]",4.0,"[0.02,0.02]",97.4445,0.0,0.0,0.0,194.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,97.445,97.9444,,,98.1948,98.6111,right,0.4032,,,,,,,,,0.1,,,,,,97.9445,98.1948,98.6112,"[0.018415095880341535,0.15844523788158]",4.0,"[0.12437713193913874,-0.10532877503720366]",4.0,"[-0.1311907257953435,-0.10726378452412097]",4.0,"[0.028862849168564925,-0.09849629510367225]",4.0,"[0.06961626980412021,-0.011536905711376555]",4.0,"[-0.18331157991266203,-0.068723979920904]",4.0,"[0.1936392029278477,-0.027172653695886544]",4.0,"[-0.013739631618530194,0.040158365675044265]",100.0,"[-0.061847397759707656,-0.12435054866950612]",4.0,"[-0.037335563594751604,-0.17316049340910158]",4.0,"[0.1429034086552416,0.09915311866411956]",4.0,"[0.02937639412077718,-0.19124237905267055]",4.0,"[0.017398481950954958,-0.002724646058075405]",4.0,"[-0.10002533651235614,-0.07490206595646505]",100.0,"[0.0937389751601158,0.055955335360292416]",4.0,"[-0.003168478091943317,-0.06315178108058471]",4.0,"[-0.03245672159891296,0.16984547243233544]",4.0,"[0.023042755032847907,-0.13998823029743984]",4.0,"[-0.17727233601284006,-0.019748727821697266]",4.0,"[-0.06781566186603334,-0.011749768454242712]",4.0,"[-0.04213702896658067,0.09271205209407232]",4.0,"[0.16025356280575295,-0.004410128899167026]",4.0,"[-0.07956078240519643,0.12658802201227815]",4.0,"[0.15316111600340507,-0.06917670536501484]",4.0,"[0.05996794904581071,0.031268357091193306]",4.0,"[-0.15159293139018404,0.11849248673440478]",4.0,"[0.11891031874352645,0.023949032966910262]",4.0,"[0.07200751420432547,-0.09313832973298895]",100.0,"[0.1188188357503302,-0.15512849327766356]",4.0,"[0.06215682833539562,0.094030363874575]",4.0,"[0.04357956518890037,-0.04769860032438179]",4.0,"[-0.09584518972026362,0.0635285589186345]",4.0,"[0.02,0.02]",99.711,0.0,1.0,1.0,190.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,99.7115,100.211,,,100.4613,100.8112,right,0.3367,,,,,,,,,0.9,,,,,,100.2111,100.4613,100.8113,"[-0.08190829510714424,0.15014619751764705]",100.0,"[0.10236891367332546,0.11566126810594202]",4.0,"[-0.04269264285899654,0.03569932284938348]",100.0,"[0.03434365463513466,-0.044157588505235164]",100.0,"[-0.0887019401247771,-0.09529071678935862]",100.0,"[0.1330232575955291,-0.00487697034125135]",100.0,"[0.17660046227005424,-0.01493376671262767]",100.0,"[0.08594901019265513,-0.15729599746870201]",100.0,"[-0.10966020573445583,-0.03800386687050052]",100.0,"[-0.027526657532894728,-0.191390982009685]",100.0,"[-0.1301711130575035,0.11844239885420169]",100.0,"[-0.13769865819055171,0.06641125486802706]",4.0,"[0.0021955637758633985,0.031147602964289308]",100.0,"[0.032434529041168225,-0.1435844663686279]",100.0,"[0.05095822951225802,0.1382264056836013]",100.0,"[-0.08103005722760373,0.05591801839853289]",100.0,"[0.12558678097033502,-0.08607088952930189]",100.0,"[0.05997692157714478,-0.08240836764464021]",100.0,"[0.05199878412575938,0.08250442695079753]",100.0,"[0.01867861444867264,0.16384155530927483]",100.0,"[0.09568922376747617,-0.05201044968127837]",100.0,"[-0.030191751650843212,0.18322470470493216]",100.0,"[-0.18892061619505945,-0.05203820151874724]",100.0,"[-0.034834075190337634,0.12640932888936499]",100.0,"[0.06638257171154727,-0.12226264174873486]",4.0,"[-0.1976682544220848,0.019943774706204717]",100.0,"[0.058177126200437454,0.022432009247425014]",100.0,"[-0.14632231700266415,-0.10962453340858677]",100.0,"[-0.07602916246326755,-0.004467769513189292]",100.0,"[-0.09808182801085424,-0.14006317701994525]",100.0,"[0.12538804145422203,-0.14286796723735745]",100.0,"[-0.013544412910093246,-0.12035024184979666]",100.0,"[0.02,0.02]",101.9116,0.0,2.0,2.0,27.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,101.912,102.4113,,,102.6616,103.0779,left,0.4027,,,,,,,,,0.4,,,,,,102.4113,102.6615,103.078,"[0.07257848064595812,0.09080681222228429]",100.0,"[-0.03229979319577919,0.13219482467947147]",100.0,"[-0.020788366369202088,-0.1665656076159552]",100.0,"[0.10294347248730672,-0.12174520200660063]",4.0,"[0.10302168335585246,-0.0024186793669271527]",100.0,"[0.08636751269428242,0.1377544231393557]",100.0,"[0.006783687534441192,0.16330626674688936]",4.0,"[0.05238438899002569,-0.12788493629475467]",100.0,"[0.04771893317399698,-0.1772414344175773]",4.0,"[-0.13083647051054023,0.013923350463515467]",4.0,"[-0.10524631096077006,-0.14712588015565892]",4.0,"[-0.16864194545766023,0.0415059700733536]",100.0,"[-0.11751566730143517,0.13853733857321057]",4.0,"[0.13365049275879884,0.13275944744250065]",4.0,"[0.030804210447691993,-0.0015294758989238793]",4.0,"[-0.10630564795765839,-0.019015545270799745]",4.0,"[-0.14647831900948954,0.10980920661722063]",100.0,"[-0.10891743754392376,0.05530059632258409]",100.0,"[0.15668925603469083,-0.08159997558165787]",100.0,"[-0.12001035408928667,-0.07654385899830482]",100.0,"[0.02443539237949248,0.064053608250319]",4.0,"[0.04430826209582049,-0.05285191432855804]",100.0,"[-0.014883899750441333,-0.04999350194277437]",4.0,"[0.008778916528900496,0.12066692242500492]",4.0,"[-0.0779697670614179,-0.08025602526345561]",4.0,"[-0.015478967939320385,0.0028439444216703316]",4.0,"[0.12195958500909475,-0.15740348556892886]",100.0,"[-0.1521495220477214,-0.12747882900635224]",4.0,"[-0.16427731039151813,-0.032034074894324194]",4.0,"[0.0818912919605117,0.18106787687800469]",4.0,"[-0.05374923296311373,0.1858509321356896]",4.0,"[-0.02598991198382365,-0.12548650137854522]",4.0,"[0.02,0.02]",104.1777,0.0,3.0,3.0,157.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,104.1781,104.6778,,,104.9284,105.229,right,0.2965,,,,,,,,,0.4,,,,,,104.6779,104.9284,105.229,"[0.08661881508809854,-0.1529306692128976]",4.0,"[0.12947104727242684,-0.09706564102090279]",4.0,"[0.14067499357827187,0.02571249261007627]",4.0,"[-0.13472013845672184,0.008420445422899566]",100.0,"[-0.044732674334365445,-0.19185828915434644]",4.0,"[0.017609090058340313,-0.17279323562491622]",100.0,"[0.11137030898323427,0.13719164574626652]",4.0,"[-0.07432089132547844,-0.06587180301494233]",4.0,"[-0.07597703988379301,-0.020975338124274982]",100.0,"[0.17681754716501,0.09325516639076079]",4.0,"[-0.03712850953837827,0.1395235684746842]",100.0,"[0.01386115650381562,0.061496029863153015]",4.0,"[-0.17258311594711498,0.057394019363837416]",4.0,"[-0.0611162853360779,0.07148483988501235]",100.0,"[0.005269284213631285,-0.02571746248052124]",4.0,"[0.1661525639142438,-0.033426694876252744]",4.0,"[0.06986410327928137,-0.09923690776930971]",100.0,"[0.10515037078880046,0.09721768816302663]",100.0,"[0.05576775816439568,-0.0041207758403456534]",4.0,"[-0.04073252390241973,-0.10953588773116753]",4.0,"[0.07855231716259099,-0.042017278328084745]",100.0,"[0.0389660673457614,-0.04854663786000799]",4.0,"[-0.14152033810972148,-0.07803884118719587]",100.0,"[0.06562717669078433,0.05921106665804205]",100.0,"[0.10942677496976223,0.05168655090627336]",4.0,"[-0.19668445206095456,0.019775145009053148]",4.0,"[-0.1265203070196419,0.05701644535901654]",4.0,"[0.04675121436995204,0.15480651345482901]",4.0,"[-0.04809516831869792,0.016219157064829598]",100.0,"[-0.11284874002333212,-0.04888141466235209]",100.0,"[-0.11495426716992004,0.12096497259232472]",100.0,"[-0.03265279021928999,-0.04416246439221688]",4.0,"[0.02,0.02]",106.3277,0.0,4.0,4.0,175.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,106.3282,106.8278,,,107.0787,107.3282,right,0.2348,,,,,,,,,0.45,,,,,,106.8279,107.0787,107.3282,"[0.07881920800764063,0.12757721289004523]",100.0,"[-0.09051945273434678,0.08138286519949761]",4.0,"[-0.11075844175729663,-0.03036829620590305]",100.0,"[0.09416017008434893,-0.171389199624864]",100.0,"[0.10609401797571918,-0.126229433577154]",4.0,"[0.05868923014993609,0.036459221612889996]",4.0,"[0.18596208070649853,-0.021568746893648648]",4.0,"[0.04226888335272774,-0.07652573701543995]",4.0,"[-0.17749389357401293,-0.09059732452853331]",100.0,"[-0.13352967958510695,0.0962966133840912]",100.0,"[0.03112863746040744,0.10608420410323391]",100.0,"[0.13414007357908306,0.12011567524260974]",100.0,"[0.18117506574497402,0.06743811761978913]",100.0,"[0.006007040927664985,-0.18314190300532762]",4.0,"[-0.014193500309941806,0.13935802549788556]",4.0,"[0.15084292950981004,0.0367244694769956]",4.0,"[-0.05929760195684675,0.13975781817834962]",4.0,"[-0.04855125576754836,-0.0607858519571472]",100.0,"[-0.08032512921752524,0.1820474292120344]",4.0,"[0.0052340347000487675,0.07193258391088939]",4.0,"[-0.17752325986377568,0.044641591489450023]",4.0,"[-0.10599042517543432,-0.10777416666471219]",4.0,"[0.00217226315685262,-0.08705382988293238]",4.0,"[-0.12314428885978007,0.022574385110472973]",4.0,"[0.10960986107488076,-0.030445016033256934]",4.0,"[0.1566187119423882,-0.09498118423986354]",100.0,"[-0.07016179962853236,-0.17458794823233714]",100.0,"[-0.06534078606128457,-0.10220800129519997]",4.0,"[0.03998734441054149,0.17005444830852376]",4.0,"[0.07146543272809833,-0.015928468701872856]",100.0,"[0.04516128418485362,-0.15793560641430807]",100.0,"[0.08398946293100217,0.0683343038030056]",100.0,"[0.02,0.02]",108.4277,0.0,5.0,5.0,147.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,108.4282,108.9277,,,109.1784,109.6448,right,0.4521,,,,,,,,,0.5,,,,,,108.9277,109.1783,109.6448,"[0.1802553223333676,0.017266945959208833]",100.0,"[0.16236664501967243,0.06608209792405052]",4.0,"[-0.046179826416429745,-0.09471306755390807]",100.0,"[0.06453962463682182,-0.05742481478169439]",100.0,"[-0.024153178977143624,0.05808712475081807]",4.0,"[0.08466291742835509,0.10660880873800097]",4.0,"[0.11295146159361244,-0.09996760296535977]",100.0,"[0.032847495530429725,0.11468469627202334]",4.0,"[-0.016360680593243856,0.12301476176145833]",4.0,"[0.01669638775740248,0.16559860329393414]",100.0,"[-0.13571059261136686,0.11250904735151947]",4.0,"[-0.11946346790015291,-0.02943311967842058]",4.0,"[-0.1644572097108914,-0.05191559750373089]",4.0,"[-0.08208567224324581,-0.18095916326484812]",4.0,"[-0.09108682754610133,-0.08570603178774297]",4.0,"[0.016728987011880646,-0.07337596923049461]",100.0,"[0.03505060028337729,-0.13822407804879822]",4.0,"[-0.1560598646210207,0.05965314987453411]",4.0,"[0.11853493339063585,0.014674260678443758]",4.0,"[0.021462541698267494,0.05845238154652206]",100.0,"[-0.1639172210479977,-0.001517816592516712]",100.0,"[0.05629883515943293,-0.1742410630625654]",100.0,"[0.06230401813575564,0.033643339238268406]",100.0,"[0.06174779539772017,-0.10683442591829412]",100.0,"[0.08711978637059428,0.157197851050409]",4.0,"[0.1483550111886301,0.11476230520294631]",100.0,"[-0.05691218087188387,-0.019221456497867065]",100.0,"[-0.06608675368459911,0.14861676024548764]",4.0,"[-0.1079002002781612,0.07849385339217838]",4.0,"[-0.022908672364961156,-0.1657567246180005]",100.0,"[0.12751212605677878,-0.05531639757555611]",100.0,"[-0.11296628795901682,-0.14272270479053584]",100.0,"[0.02,0.02]",110.7445,0.0,6.0,6.0,94.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,110.7451,111.2446,,,111.4953,111.9307,right,0.4322,,,,,,,,,0.55,,,,,,111.2447,111.4953,111.9307,"[0.01735796008243931,-0.1626634505700975]",100.0,"[0.07112871933887528,0.03531075502166544]",100.0,"[-0.11069185959215022,0.050523757658778666]",100.0,"[0.025397290704085595,0.07815643016576722]",100.0,"[-0.17239273444281666,-0.0019213309941268938]",100.0,"[0.07305960798794679,-0.12334787699108155]",4.0,"[-0.0005843292407406155,0.15712392525837873]",4.0,"[-0.11178212586173074,-0.14368306992441626]",100.0,"[-0.011609340097145883,0.04978480008157614]",4.0,"[-0.10433322565658305,-0.05464521932999829]",4.0,"[-0.011946891154009093,-0.023981275091283373]",100.0,"[-0.052912630615921864,-0.1754448099283342]",100.0,"[0.035252505358159214,-0.057010083111924945]",100.0,"[0.16801206735733906,0.03841244650175444]",4.0,"[-0.15209195048134844,-0.12498905892642126]",4.0,"[0.06332166542838968,0.15941922255929653]",100.0,"[-0.080138568138782,0.17656276471589857]",4.0,"[-0.004276547231858007,0.11460340534869126]",100.0,"[0.02877026590125928,0.18846722447859926]",100.0,"[-0.17227417709257253,0.06865291354545298]",100.0,"[0.08858174108018715,0.08036805286262837]",4.0,"[-0.07473270348500452,0.08898781054155408]",100.0,"[0.13623589190799815,-0.10024143404991015]",100.0,"[0.08671950937377891,0.1242923710429459]",100.0,"[0.14070162827567906,-0.043745253688073235]",4.0,"[-0.043686555371517874,-0.0730815526951843]",100.0,"[-0.09293676337729186,0.13290402554206107]",4.0,"[0.026099989686565035,0.0359171558262441]",4.0,"[0.12155105363638849,0.015422723627333745]",4.0,"[-0.1439382728610208,0.1225405714073986]",4.0,"[0.14918772121053692,0.10046991106607857]",4.0,"[0.07968385866629153,-0.1702839993150678]",100.0,"[0.02,0.02]",113.0277,0.0,7.0,7.0,84.0,1.0,,,,,,,
,,,,,,,615d8873c11a1982c8838b54,6842bbb5d7318522582b5f74,2025-06-06_13h00.40.339,shape_ratio,2024.1.5,Win32,60.60606061,6842b561977af9ba9b0f87ca,,,,,,,,,,,113.0281,113.5277,,,113.7783,114.2282,right,0.4361,,,,,,,,,0.9,,,,,,113.5277,113.7782,114.2283,"[0.1495162877420692,0.10589302326368372]",4.0,"[0.13147192541334282,-0.030269763925909295]",100.0,"[0.021351851468026557,-0.11951631691449444]",100.0,"[-0.14301079654161708,0.11909718323505775]",100.0,"[0.17157260710351827,0.004175972342986765]",100.0,"[-0.07485573791005475,0.03716787728197766]",100.0,"[-0.048743594470770334,-0.18196512515139468]",100.0,"[0.10226489801334285,0.018895421389058625]",100.0,"[-0.11179792868862216,-0.001552677031494267]",100.0,"[0.11307156121433816,0.13173561924559807]",100.0,"[-0.07218469672806961,0.14535815260950247]",100.0,"[0.015862116255241976,0.16972879966222504]",100.0,"[-0.010473638055830011,0.09708545525368581]",100.0,"[-0.17982463564506154,0.05561500906129914]",100.0,"[0.10673616103234697,-0.1659339230039713]",100.0,"[0.019444202187548592,0.03567175171417977]",100.0,"[-0.0018286555133205627,-0.19638208791252174]",100.0,"[-0.08543232129131874,0.09720036852333656]",4.0,"[-0.03365244360899561,-0.030347918232269858]",100.0,"[0.0916817322168061,-0.04818568195337138]",100.0,"[0.09142773994906973,0.07065758687985571]",100.0,"[-0.09041599547983573,-0.15442168703417367]",100.0,"[0.05381582005544387,0.11977835610380355]",100.0,"[0.06346242346187922,0.18785130151402124]",100.0,"[0.07978843482912726,-0.12373594286219156]",100.0,"[0.1412481633941454,0.06002898424350176]",100.0,"[-0.011067008413352024,-0.09100079814848094]",4.0,"[0.027746345133664377,-0.16907604136844304]",100.0,"[-0.1179254203179037,-0.10679692473393813]",100.0,"[-0.05751703587261719,-0.09747964947808625]",100.0,"[0.0390127110931504,-0.07080088373862539]",100.0,"[-0.02842676130847896,0.06002810069222325]",100.0,"[0.02,0.02]",115.3278,0.0,8.0,8.0,3.0,1.0,,,,,,,
