right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0,22.4402,space,7.4162,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,22.4409,60.2827,space,7.8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,60.2833,65.0016,space,1.6926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,65.0676,65.5183,65.5195,65.7694,65.77,67.2526,,67.2532,68.353,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,68.3552,68.8529,68.853,69.1082,69.1085,69.5858,right,69.5864,70.6874,0.0,1.0,1.0,1.0,1.0,0.8,0.4522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6897,75.9746,space,2.2612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,76.0404,76.4895,,,76.7414,76.9565,right,,,,,,,,0.9,0.2019,,,,,,,76.4913,76.7412,76.9582,"[-0.0630545590463236,0.12194758812916662]",100.0,"[0.062271331286056004,-0.09402750082472545]",100.0,"[-0.09250937359887412,0.16335198047822203]",4.0,"[0.030581281693289622,0.06910471229656959]",100.0,"[-0.000051337820506598184,0.14978650399164262]",100.0,"[-0.16337502416821015,0.0994052166189957]",100.0,"[0.11826410635644431,0.04117375105426066]",100.0,"[-0.00039630885533494534,-0.13204096627914164]",100.0,"[0.10286483310321724,0.09760873641637156]",100.0,"[-0.12019922992517441,-0.14234024953554317]",100.0,"[-0.03369132294151274,0.18805834934315963]",4.0,"[0.030650633206046333,-0.034187940013493255]",100.0,"[-0.17887941558067372,-0.07861666620135134]",100.0,"[-0.08076091345969365,-0.026485787413117842]",100.0,"[-0.1516214085991376,0.015303117807725803]",100.0,"[0.07769279180367787,-0.007017065518822599]",4.0,"[-0.07508859113762097,-0.11088056012129197]",100.0,"[-0.05957698142611899,-0.07104870697034299]",100.0,"[-0.005780891149598236,0.051542620887533946]",100.0,"[0.009139416787024048,0.011527583678496583]",100.0,"[0.179804715344029,-0.012105080330814639]",100.0,"[0.11481322567382926,-0.15672043578579142]",100.0,"[-0.1881067582892726,0.03237331451818105]",100.0,"[-0.12382987853666425,-0.07991259636031939]",100.0,"[-0.0800804838933125,0.019693396838052806]",100.0,"[-0.05715738882023606,0.05934699778215092]",100.0,"[0.1431893092370621,-0.05010352538573623]",100.0,"[0.10540612983702219,-0.0979438936704078]",100.0,"[-0.09606373722893768,0.08991257418168264]",100.0,"[0.008413534061345228,-0.19137401306662183]",100.0,"[-0.1572177641961824,-0.12125594309061222]",100.0,"[-0.03608923948135372,-0.010247402254217152]",100.0,"[0.02,0.02]",78.0573,0.0,0.0,0.0,3.0,1.0,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,78.0586,78.5562,,,78.8075,79.3411,left,,,,,,,,0.6,0.5184,,,,,,,78.5563,78.8075,79.3412,"[-0.076515331814756,-0.1521506795821783]",100.0,"[-0.08532765264695975,0.031075713052907742]",4.0,"[-0.06154274286338491,-0.10113335668620654]",4.0,"[-0.1849254530155148,0.07500922017044218]",4.0,"[0.12119732012848064,-0.08957097332606986]",4.0,"[-0.16057230822893728,-0.08474775930033385]",100.0,"[-0.140719933393819,-0.12145109195799589]",4.0,"[0.1735958814494825,0.054611758052682556]",100.0,"[0.0216783847138295,-0.010865772649770383]",4.0,"[-0.0222313715792027,-0.05928971476846528]",4.0,"[-0.14241990734311424,0.04396199613896745]",100.0,"[-0.03484516565127726,0.06972553255163344]",4.0,"[0.04630318148889852,0.11995648218824777]",100.0,"[-0.16837380185231954,-0.04055187424630774]",100.0,"[-0.03933663597598376,0.1470190507393499]",100.0,"[0.05810916527542223,-0.06242571598036941]",100.0,"[0.15053734081766562,-0.05713233742345589]",100.0,"[0.16746444492947724,-0.008043448026300208]",4.0,"[-0.02148881527784174,-0.16986559465073875]",4.0,"[0.09133364950035922,0.15398577796059928]",100.0,"[0.09648405491997863,-0.0368250358410425]",100.0,"[0.0003396180774682671,-0.11141897224181206]",100.0,"[-0.10126680729796185,-0.08178879783692126]",100.0,"[0.11223631329191237,-0.13519795678871505]",100.0,"[0.045199283677172734,-0.17489571631606418]",4.0,"[-0.06097832409921224,-0.012591264354868568]",100.0,"[0.025535664194873547,0.06309544278289395]",4.0,"[0.008999231326212435,0.14267654416441694]",100.0,"[-0.1944351012493068,-0.008420654633746246]",4.0,"[0.06468973993123116,-0.007419765617238179]",100.0,"[-0.08810509358962443,0.11710890297297664]",100.0,"[-0.021699880566580267,0.01221154447761255]",100.0,"[0.02,0.02]",80.4411,0.0,1.0,1.0,48.0,1.0,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,80.4422,80.9413,,,81.1961,81.8089,right,,,,,,,,0.6,0.5924,,,,,,,80.9414,81.196,81.8093,"[0.10466827566895391,-0.02350268207951476]",100.0,"[-0.18042840087054773,-0.0339492468225792]",100.0,"[-0.10199053398104924,-0.03383482824965716]",4.0,"[-0.09939104098510171,0.16086050542661814]",100.0,"[0.023177748578102744,0.01426656675086577]",100.0,"[0.004582324457750413,0.06317957523554384]",4.0,"[-0.15410723918354718,-0.07946428864406735]",100.0,"[0.10458856268736792,0.060116217152755044]",4.0,"[0.03002720629808852,-0.03583066915968239]",100.0,"[0.13001792580597551,0.09553931332849097]",4.0,"[-0.035809851245888466,-0.0649718076529871]",4.0,"[0.17160990761960793,-0.05915982337371518]",100.0,"[-0.025461441076841847,-0.14983064474153676]",4.0,"[-0.05192277677170753,0.0938184997750993]",100.0,"[-0.042731819839028566,-0.011185445104246301]",4.0,"[-0.12744428163862512,-0.1259858280724235]",4.0,"[-0.10891778570576202,0.082538283242353]",100.0,"[-0.06898637204963436,0.026852670988659875]",4.0,"[0.07026907704744606,-0.08162641046574667]",100.0,"[0.143221787080486,-0.12156903600001334]",100.0,"[-0.1514877352694567,0.12502257162019506]",4.0,"[-0.026327057550131403,0.13522080926710753]",4.0,"[0.18971962385760624,0.005106470784993456]",100.0,"[0.018021363151926782,0.18036559625109613]",100.0,"[0.18459327216556984,0.059212377451440264]",100.0,"[0.14934356129942358,0.1305834210706292]",100.0,"[0.017717363374080104,-0.16507326801297173]",4.0,"[-0.1535743280254669,0.06650947112318778]",100.0,"[-0.06267659279633073,-0.1721569493333331]",100.0,"[0.06424022638702641,0.02254665072038022]",4.0,"[0.1436674936525223,0.04660606915913555]",100.0,"[0.09873578829685996,0.14094890513261954]",100.0,"[0.02,0.02]",82.9086,0.0,2.0,2.0,52.0,1.0,,,,,,,
,,,,,,,616494f1ae4537c01914c758,6842bb06e7f0cc789c6605ea,2025-06-06_10h56.58.324,shape_ratio,2024.1.5,Win32,59.17159763,6842b561977af9ba9b0f87ca,,,,,,,,,,,82.9101,83.409,,,83.6605,84.293,left,,,,,,,,0.45,0.6156,,,,,,,83.4091,83.6604,84.2933,"[0.13103511541593849,0.020200735916175713]",100.0,"[-0.07139027691107837,-0.018156813999592843]",100.0,"[-0.040036607752308245,-0.18242907218430032]",4.0,"[0.03242278606971741,-0.18073304689224218]",100.0,"[0.0866519705129899,0.1381961147439122]",4.0,"[-0.13527336522627062,-0.05881570317580937]",4.0,"[0.1697846311024991,0.005555308236085852]",100.0,"[-0.17631221230361693,-0.020545390458126943]",4.0,"[-0.11134839713084091,0.15453988114310147]",100.0,"[-0.05251269106092095,-0.1383893993184006]",4.0,"[-0.15966446930207642,0.04068158944374062]",100.0,"[0.02439436872846963,-0.06528191985489204]",100.0,"[-0.04079511896590036,0.1538106811574742]",100.0,"[-0.020800487714917174,-0.05406790789899163]",4.0,"[-0.09262304205415668,-0.09920099685782123]",4.0,"[-0.06562477333206893,0.09267398607057799]",4.0,"[-0.02332245213018721,0.027733790976305704]",4.0,"[0.14767444264497265,-0.06924465319119423]",4.0,"[-0.10853813614475115,0.09707638437182502]",100.0,"[0.028489062507275415,0.12774022453677109]",4.0,"[0.10099675727130944,-0.08760902620271174]",4.0,"[0.03265744239216179,-0.10801924893494505]",4.0,"[0.10027807318169042,-0.15460050517878496]",100.0,"[-0.005500548157772135,0.17931251836089]",100.0,"[0.07214960547189869,-0.11973092584117867]",4.0,"[0.021652043023325178,-0.0004902034520235066]",4.0,"[0.07877714168194051,0.026983738029008993]",100.0,"[0.08967671087316273,-0.037492948882646884]",100.0,"[0.14827274132602597,0.06262066585613751]",100.0,"[-0.1513206573762294,0.0978569708388364]",4.0,"[-0.1035897931167837,-0.13846100418715207]",4.0,"[-0.11289214208532623,0.04993829150919278]",4.0,"[0.02,0.02]",85.3937,0.0,3.0,3.0,141.0,1.0,,,,,,,
