right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,246.0704,space,231.0651,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,246.0707,278.065,space,1.9646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,278.0652,282.6985,space,1.5884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,282.7241,283.2318,283.2322,283.4675,283.4676,284.2314,left,0.6986,,284.2315,285.3314,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,285.3321,285.8313,285.8313,286.0651,286.0652,287.4314,right,1.3468,,287.4314,288.5313,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.5319,291.6654,space,0.0902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,291.6953,292.2048,,,292.4321,293.7646,left,1.2674,,,,,,,,,0.45,,,,,,292.2053,292.4321,293.7652,"[0.11567293404065493,-0.04549904317922431]",100.0,"[0.1016012723001946,0.008166672823062104]",4.0,"[0.08121361990020035,-0.11820750084973365]",4.0,"[0.027653115620920224,-0.11517953143458015]",4.0,"[0.09965868260600463,0.12547231440707415]",100.0,"[-0.07472470169707231,0.16873562489238478]",4.0,"[-0.09720723327414292,-0.08472740138143164]",4.0,"[0.04489399421254105,0.005869186595224966]",100.0,"[0.008844245631267312,0.1084392637369964]",100.0,"[-0.138186628443808,-0.021375444681983685]",4.0,"[-0.09655343541521644,0.09006428890448641]",4.0,"[-0.15215608382763243,-0.08585707073065112]",4.0,"[-0.034939322850457664,-0.10784898705611076]",4.0,"[-0.050805804189298115,-0.042372237078031116]",4.0,"[-0.005231682609268194,-0.19826645071273]",100.0,"[-0.14830289334027216,0.022578258825249834]",100.0,"[-0.11348222065878896,-0.1264592516131921]",4.0,"[-0.043991856424148795,0.14132029889474199]",4.0,"[0.04444196834664349,0.054893141151540446]",4.0,"[0.14052879033461277,0.07052432497301792]",100.0,"[0.07945042302964982,0.16694214484913306]",4.0,"[0.0652555577725221,0.09699645467588605]",4.0,"[0.15990166864442887,-0.03479711133656761]",100.0,"[-0.003729241721513715,-0.037422933883149316]",100.0,"[0.015117592694771469,-0.15414686575482348]",100.0,"[0.1735982759771966,0.007036537423268041]",100.0,"[-0.08934517724753992,0.039645532785561766]",4.0,"[0.06166454750563351,-0.05807694878997448]",4.0,"[-0.023081598594718745,0.05830923019858184]",100.0,"[0.025712296458900864,0.15927278672561673]",100.0,"[-0.14406789751535948,0.11081833302933408]",100.0,"[0.1458139315914826,0.12955553240158546]",4.0,"[0.02,0.02]",294.8647,0.0,0.0,0.0,125.0,1.0,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,294.8655,295.3646,,,295.6007,296.3645,right,0.7394,,,,,,,,,0.9,,,,,,295.3646,295.6007,296.3646,"[0.024039231414722678,-0.12389494898865848]",100.0,"[0.014688410940833728,0.13564155900462901]",100.0,"[0.10633376512296824,0.09062494128470107]",100.0,"[0.0664910233657281,-0.11379367819771752]",100.0,"[0.07063864313895057,-0.035154551507828105]",100.0,"[0.01197000048947001,-0.07100347253318895]",100.0,"[-0.1408712836012618,0.044275199808521674]",100.0,"[-0.06804451939700343,0.05171305159061387]",4.0,"[-0.063259694557816,0.13518457371168946]",100.0,"[-0.18192494194939302,0.024700876323737648]",100.0,"[-0.030463378500947453,-0.13929887452991746]",100.0,"[-0.115903735791583,-0.04050411671301083]",100.0,"[-0.17396213849142464,-0.09271129072476272]",4.0,"[-0.022218958935719672,0.165746173792967]",100.0,"[-0.16356253669934562,0.0773588717463145]",100.0,"[-0.1543343303679395,-0.014661593046516439]",100.0,"[0.16714495070085397,0.09010529836335533]",100.0,"[0.04256215580551004,0.009464753536849701]",100.0,"[-0.03206231505956048,-0.009182143483512983]",4.0,"[0.13485961183359613,0.14108661362420588]",100.0,"[-0.10546978042756897,0.11021190507758469]",100.0,"[0.12564956436764813,-0.06904458885942713]",100.0,"[-0.0599224202975615,-0.10641207319844828]",100.0,"[0.16765116171369246,-0.028833545349064064]",100.0,"[0.14219186904100128,0.004865016199819594]",100.0,"[0.020137943205897138,0.1849936725031715]",100.0,"[-0.10144461712567737,-0.09634426851917047]",100.0,"[0.08986638535260813,0.1272319165526252]",100.0,"[-0.022774566830645084,-0.17994156378534645]",100.0,"[0.05931696080625492,0.0990590390687128]",100.0,"[0.1394232811357086,-0.12156486839190526]",100.0,"[0.06186579423358946,0.1855779788628484]",100.0,"[0.02,0.02]",297.4645,0.0,1.0,1.0,10.0,1.0,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,297.4652,297.9645,,,298.2424,298.8744,left,0.6012,,,,,,,,,0.1,,,,,,297.9645,298.2423,298.8744,"[-0.06487159126613229,0.0885206200727474]",4.0,"[0.0348434600538304,-0.008711646077154418]",4.0,"[-0.01966607152987227,-0.11373233612232804]",4.0,"[-0.07942777192225493,-0.14719058623095577]",4.0,"[-0.15248385960053662,0.1070120242577876]",4.0,"[0.03762288874275614,0.06921811410090138]",4.0,"[-0.002642067789731973,0.016486436212069293]",4.0,"[0.13614346995092627,0.14252899373382638]",4.0,"[0.1148120652108891,-0.14422385056849368]",4.0,"[-0.1795726604520624,0.0748789288753176]",4.0,"[-0.09839770220268285,-0.06166474591816535]",4.0,"[0.09287982653610492,0.04186432019601647]",4.0,"[-0.014921543132873225,0.17729062529143652]",4.0,"[0.14775894194543407,0.05580232312566062]",4.0,"[-0.12335531605258947,-0.12270974799315358]",100.0,"[-0.14375213218716673,-0.05987328550877329]",4.0,"[0.09468630511475287,-0.045728480865141946]",4.0,"[0.10004227743500788,0.16261879873318813]",4.0,"[0.018407107872748192,0.11193799388922365]",4.0,"[-0.10675212833955829,0.1554913615655618]",4.0,"[-0.1528147411436519,0.03476869411836827]",4.0,"[0.17128306289674008,-0.06375884924295813]",100.0,"[-0.02682568585042635,-0.16740495023795793]",4.0,"[-0.02263376753944397,0.10145149442414109]",4.0,"[-0.18251451786194006,-0.025641284019646354]",4.0,"[0.0011952545638594242,-0.07846653486072612]",4.0,"[-0.03939846189231407,0.14425590044448663]",4.0,"[0.15218379147279731,-0.12673822547779756]",100.0,"[-0.01821237290585747,-0.022107368449071678]",4.0,"[-0.0791974080885237,-0.013993276572858846]",4.0,"[0.0654256345749737,-0.10884735033758176]",4.0,"[-0.06869073522470968,0.036857817036475206]",4.0,"[0.02,0.02]",299.9645,0.0,2.0,2.0,184.0,1.0,,,,,,,
,,,,,,,63cfee94707bca4ddee3eb05,6842bb005d29339130edc8bd,2025-06-06_10h58.36.698,shape_ratio,2024.1.5,Win32,30.03003003,6842b561977af9ba9b0f87ca,,,,,,,,,,,299.9649,300.4651,,,300.6982,301.6314,left,0.8792,,,,,,,,,0.5,,,,,,300.4651,300.6981,301.6315,"[0.08866205800070213,-0.06474714892553254]",100.0,"[-0.0007047798114486994,0.06678922017178282]",4.0,"[0.07945959515169884,-0.14384502738633495]",4.0,"[-0.1576321382769536,0.07533186614376362]",100.0,"[0.15991279840135827,0.10733447151817826]",4.0,"[-0.01671274905654377,0.14216633155571967]",4.0,"[0.16122648798663247,-0.010259153767781814]",4.0,"[0.10544013077958818,0.08820923522048112]",100.0,"[-0.019167306722878592,-0.11663179782195425]",100.0,"[-0.07865784106810536,-0.10825504770591926]",100.0,"[-0.08641457366742843,-0.05021095067339877]",100.0,"[0.03640445277360089,-0.1198464335125481]",4.0,"[-0.10446205571545883,0.02181314479307404]",4.0,"[-0.07496891277985146,-0.008872440426967568]",4.0,"[0.030604852718113314,0.004220986762478738]",100.0,"[-0.08408765084776887,0.16049221468563848]",4.0,"[-0.010593066702912914,0.18258465769454976]",4.0,"[0.05608742979646268,0.036736638910825604]",4.0,"[0.178668250639085,-0.07252505045434506]",100.0,"[-0.16288959012593965,-0.030380175492068565]",100.0,"[-0.051765970705761916,-0.14240150881216596]",100.0,"[0.1926278867824079,0.05365327999089507]",100.0,"[0.0017142520764887596,-0.17206935651414293]",100.0,"[0.0576350273170098,0.08285977474845932]",100.0,"[-0.08035144346207922,0.10392235958675726]",4.0,"[0.005822392988638622,-0.03234035006143576]",4.0,"[0.03214881449318582,0.1832527109347948]",100.0,"[0.10414160271529344,0.041608928730717545]",100.0,"[-0.05199125177278804,0.059473189536348905]",4.0,"[-0.16477052503105255,-0.07493600170340906]",4.0,"[0.15842707372766313,-0.10945996897639473]",100.0,"[0.0924484880152423,0.1738496569782279]",4.0,"[0.02,0.02]",302.735,0.0,3.0,3.0,96.0,1.0,,,,,,,
