right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0005,100.7108,space,85.6605,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,100.7111,174.9935,space,44.2702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,174.9942,181.1685,space,3.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,181.2366,181.6767,181.6771,181.9354,181.9356,182.7546,left,0.7767,,182.7551,183.8559,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,183.8579,184.3504,184.3505,184.5734,184.5736,185.9068,left,1.2954,,185.907,187.006,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.0072,192.3084,space,2.2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,192.3631,192.8149,,,193.0597,193.6805,left,0.5934,,,,,,,,,0.1,,,,,,192.8156,193.0596,193.6814,"[0.1809653480917436,0.068236600801487]",4.0,"[0.13841162250195416,-0.006268101036274849]",100.0,"[0.06532073624232966,-0.17944588925151259]",4.0,"[-0.02298747227021609,0.19761140134335803]",4.0,"[0.07514031828384259,-0.015483272727962731]",4.0,"[0.17181469235265112,-0.07922251574534342]",4.0,"[-0.07444429826391698,-0.04408368386710086]",4.0,"[-0.08326579808211097,0.11751245355334135]",4.0,"[0.009842448156518684,0.04037462600284298]",100.0,"[0.028898536999779897,-0.14634081834525195]",4.0,"[-0.1332064790038626,-0.014953663046672125]",4.0,"[-0.006466097768238748,0.09725531738774428]",4.0,"[0.1190573374396924,-0.06602008105824968]",4.0,"[0.07533836665671745,-0.11411580573061858]",4.0,"[-0.18222482734719717,0.03104363770904885]",4.0,"[0.14793469085670613,-0.12169961349549434]",4.0,"[-0.0011408278584461482,0.14841635432353534]",4.0,"[0.004520777040473131,-0.09366520270012263]",4.0,"[-0.034412408415803133,0.005179982793782956]",4.0,"[-0.03200969260761716,0.06359944881074785]",4.0,"[0.08122049389485819,0.0317965896658061]",4.0,"[-0.10828274033632755,-0.08219018625374812]",4.0,"[-0.0461160990174071,-0.08340817030405186]",4.0,"[-0.11935284401416697,0.03024963021159727]",4.0,"[-0.07350031045841038,-0.1308865921872801]",4.0,"[0.042974300503522786,0.15335939899574932]",4.0,"[0.1724946816810184,0.016438481627280982]",4.0,"[-0.06302335693314022,-0.18026850749513812]",4.0,"[-0.1798756628122232,0.08422451232701213]",4.0,"[0.0804460373327702,0.13367486475128024]",100.0,"[0.13669841810723155,0.08120492785395911]",4.0,"[-0.10799807985674702,0.16281145234353284]",4.0,"[0.02,0.02]",194.758,0.0,0.0,0.0,207.0,1.0,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,194.7591,195.26,,,195.5123,196.3008,left,0.7644,,,,,,,,,0.5,,,,,,195.26,195.5121,196.3009,"[-0.07843509070500204,-0.11432830471736197]",4.0,"[0.05282755617688992,-0.1376980396299145]",100.0,"[0.16976699216836363,0.08815828973517822]",4.0,"[-0.12896793633777592,-0.04922090534151348]",4.0,"[-0.1582161240486722,0.023101404980708604]",4.0,"[0.17209902517057396,-0.09345641300736243]",100.0,"[-0.16154738378578593,0.11038769948390344]",4.0,"[0.004461616680375772,-0.18798282567579935]",100.0,"[0.1853999485046376,0.015105954054643404]",4.0,"[-0.06610786094582877,-0.022215353747422176]",4.0,"[-0.0516836041378465,0.1291043646011519]",100.0,"[-0.009277688426910673,-0.07961018524196796]",4.0,"[0.039667598540515214,0.18540986606427093]",4.0,"[0.13823822697800758,-0.1205009459795744]",100.0,"[0.16635657703939594,-0.027093489691936045]",4.0,"[0.00290580695331243,0.04054437112794677]",100.0,"[-0.1663513900555756,-0.07269473989289373]",100.0,"[0.13356118017904448,0.1332952258771155]",4.0,"[0.03632471331998486,-0.09260622946966865]",100.0,"[0.0935352558150574,-0.08431227425759198]",4.0,"[-0.01294290904559488,0.19426365388679373]",100.0,"[0.06977485184742256,0.07980548085310687]",100.0,"[0.13876299565243558,0.04501769445595897]",100.0,"[-0.06574188899345751,0.07825153474548359]",100.0,"[-0.08302772318566497,-0.1727300329002689]",100.0,"[-0.1236435858124992,0.15503155373260796]",4.0,"[0.11988369413461208,-0.156262816684155]",100.0,"[0.13817683124713795,-0.07196608107313346]",4.0,"[0.07982238417352942,0.1266419676207894]",100.0,"[-0.12026324976234475,0.08553063477627185]",4.0,"[0.011452344326820458,0.09194353760045382]",4.0,"[-0.15059085430405167,-0.12632598311665605]",100.0,"[0.02,0.02]",197.3924,0.0,1.0,1.0,116.0,1.0,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,197.3929,197.8754,,,198.1171,199.2781,left,1.1349,,,,,,,,,0.5,,,,,,197.8754,198.1169,199.2784,"[-0.004930305263450279,0.16445187593015217]",100.0,"[0.15525530142185345,-0.11183975374644767]",100.0,"[-0.06247298899780489,0.020504442579745426]",100.0,"[-0.18429808438676507,-0.018879364108818214]",100.0,"[-0.03687595132151585,-0.18240704395937643]",4.0,"[0.03864126608086012,0.15320043838715555]",100.0,"[-0.017691863150606384,0.09426095411771808]",100.0,"[-0.15313109881168732,0.006753200646999505]",100.0,"[-0.06645466698371125,-0.11049803968512115]",4.0,"[0.1634925274134313,-0.015951158617451867]",100.0,"[0.03963940119783598,0.01030206466311213]",4.0,"[0.04796228194413067,-0.11769927414644085]",4.0,"[0.05848018473735563,-0.055970268558645744]",100.0,"[-0.06954648736322991,0.1757544826478352]",4.0,"[0.06511983747652386,0.18561255651350278]",4.0,"[0.07833574594330106,-0.016583441412565923]",100.0,"[0.07700042500291761,-0.17683701911685443]",4.0,"[0.11044807449450963,0.11905888726925506]",4.0,"[0.1263411454343597,0.028396870905357054]",4.0,"[-0.11532927922613463,-0.0266515123077199]",100.0,"[-0.08234407630372087,0.1273902955865024]",4.0,"[-0.04598078497460471,-0.06733364128592235]",4.0,"[0.0625146992236667,0.0657738437944008]",4.0,"[0.17564630230912834,-0.07717209874929733]",4.0,"[-0.12752317729237786,-0.11638498651312115]",4.0,"[0.10216924202921712,-0.1264531187031711]",100.0,"[-0.02305967380382522,0.04973385932442592]",4.0,"[-0.11904818424060808,0.04419896042441754]",100.0,"[-0.06936213818829895,0.06489413196111361]",4.0,"[-0.11299038816761489,0.1634669521026655]",100.0,"[-0.1289277939819834,0.08627737071998051]",100.0,"[-0.08455538313870274,-0.16508077108775765]",100.0,"[0.02,0.02]",200.3552,0.0,2.0,2.0,118.0,1.0,,,,,,,
,,,,,,,63d13c076dd249ca3a6bffbb,6842bbe0184dac4344fb6e1a,2025-06-06_10h59.20.905,shape_ratio,2024.1.5,Win32,29.93205424,6842b561977af9ba9b0f87ca,,,,,,,,,,,200.3557,200.8501,,,201.1077,201.5366,right,0.4055,,,,,,,,,0.45,,,,,,200.8502,201.1076,201.5369,"[-0.03279013549733683,0.08964512910534346]",100.0,"[-0.09577912477516322,0.011567713123748592]",4.0,"[0.04616550617305226,-0.014777904441340394]",4.0,"[0.08200624574182509,-0.07625142480406358]",4.0,"[0.055486714376131833,0.05581073627240889]",4.0,"[0.14647815970905634,-0.11907111032225559]",100.0,"[-0.12337176338227776,0.11413584843889633]",4.0,"[-0.013968768443549738,0.16291607630289798]",100.0,"[0.1693840433753627,-0.03231577786320441]",100.0,"[-0.09186254283273423,-0.11488896783514882]",4.0,"[-0.15323499052181724,0.0647888946106953]",4.0,"[-0.16555493941285793,-0.08772606104773067]",100.0,"[0.0001034487652534465,0.004966279464709154]",100.0,"[-0.04927858477171362,-0.1910957439276193]",100.0,"[0.0016128928053475223,-0.1356978250864458]",100.0,"[0.007190036790991056,0.0854794599266886]",100.0,"[-0.07518400434839599,0.07515741852243522]",4.0,"[0.028544420649437775,-0.07548376001571801]",4.0,"[0.030797822425785184,0.17416353709756535]",100.0,"[-0.1764648498367392,0.026612565241503256]",4.0,"[0.096439240006046,0.02749427252901494]",4.0,"[-0.05197332283109639,-0.050072941581603324]",4.0,"[0.10971102231777112,0.14808634432811288]",4.0,"[0.1498910340787693,0.0703123420190869]",4.0,"[-0.13131467568411267,-0.025062605683147714]",100.0,"[0.07032348174234275,-0.17652016847510427]",100.0,"[-0.03549591306941154,-0.11397759859320165]",4.0,"[0.041247477921085345,0.1257971568755134]",100.0,"[0.17499418979497797,0.03759640348329666]",100.0,"[0.10652367307163553,-0.011760939284396905]",4.0,"[-0.07832911820182736,0.1466308793464512]",4.0,"[-0.057178626964020034,-0.005146376847016723]",4.0,"[0.02,0.02]",202.6285,0.0,3.0,3.0,142.0,1.0,,,,,,,
