right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0003,25.6706,space,10.6449,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,25.6718,56.5773,space,0.8943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,56.5783,63.2268,space,3.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,63.2754,63.7439,63.7462,63.9965,63.9972,64.5781,left,0.5022,,64.5796,65.6776,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,65.6806,66.177,66.1773,66.4304,66.4305,66.8099,right,0.3672,,66.8101,67.9109,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.9131,72.5802,space,1.6434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,72.6249,73.0959,,,73.3501,73.7637,left,0.4016,,,,,,,,,0.1,,,,,,73.0984,73.35,73.7663,"[-0.0013379136216274314,0.16328538356956554]",4.0,"[0.11244211326909997,-0.13790727227915672]",4.0,"[-0.1565983991956736,-0.01610697923454537]",4.0,"[-0.02114172958530098,-0.06566963651123144]",4.0,"[0.08851170906097347,0.07124183939735122]",4.0,"[0.0496515652922472,0.08815475534397182]",4.0,"[0.0789982713494915,0.15543647118840395]",4.0,"[-0.039171190388837346,-0.1403808466324696]",4.0,"[0.13444135198951065,-0.0249157957121931]",4.0,"[-0.15318391760947855,0.09492386107931516]",4.0,"[-0.08694601804753825,-0.0038338346702810615]",4.0,"[0.03906339602082797,0.030700608673641407]",100.0,"[0.034100261415589625,-0.06568308284744387]",4.0,"[0.08731092762673846,0.01351035398617269]",4.0,"[-0.010757816564169465,-0.187990441900398]",4.0,"[-0.11089801621327786,-0.1192272617739654]",4.0,"[-0.0979393759339386,0.1468405650437006]",4.0,"[0.07205252260699999,-0.1275040591456613]",4.0,"[-0.11619540219542815,0.03351844821989086]",4.0,"[0.1362032084673546,-0.08417033761116774]",4.0,"[0.07112789975163186,-0.05017639680319633]",4.0,"[0.01598593805016186,-0.13342455799754208]",100.0,"[0.15352220028350272,0.09410052621027214]",4.0,"[0.18696005358841197,0.06125289109038295]",4.0,"[-0.0013948131555018843,0.11087856501108073]",4.0,"[-0.13665273494892316,-0.05769985315501348]",4.0,"[-0.02980575175265702,0.021417580010889337]",4.0,"[0.044688568534084434,-0.017020373647402002]",4.0,"[0.053218331142943734,0.19238397573195884]",4.0,"[0.18896381534569825,-0.048501290670772385]",4.0,"[-0.04679478938556161,0.1849885398938579]",4.0,"[-0.09805520767825263,0.07297448922090254]",100.0,"[0.02,0.02]",74.8639,0.0,0.0,0.0,194.0,1.0,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,74.8654,75.3638,,,75.6158,76.2136,right,0.5854,,,,,,,,,0.4,,,,,,75.3642,75.6157,76.2139,"[0.12732200944236496,-0.07240946005107579]",100.0,"[-0.10371985847008763,-0.0190803754447812]",4.0,"[-0.06300278930157803,0.091514724516505]",4.0,"[-0.024421491390306898,-0.0923394479044858]",4.0,"[0.0409402027747214,0.11630874219625993]",4.0,"[-0.12836209042829602,0.09364136840172835]",4.0,"[-0.11288725583851751,0.15192409641194182]",4.0,"[-0.02924119740863767,0.0574182742249982]",100.0,"[-0.027294665216328926,-0.01235077494240181]",100.0,"[0.13673284192595805,-0.014724056157049114]",100.0,"[-0.02249126834249579,0.1469132335304691]",4.0,"[0.0982112404339482,0.03114296934615147]",4.0,"[-0.06930467356334373,0.011265933455380132]",100.0,"[0.010742130305205363,-0.05348497281893779]",4.0,"[-0.06766889466081175,-0.17847325147406443]",4.0,"[0.035848388601702294,-0.0027377295115082402]",4.0,"[0.13067169015029975,-0.11722598961367514]",100.0,"[-0.06834128746042008,0.13127658797001002]",100.0,"[0.13550195424052575,0.11987250969266852]",4.0,"[-0.17192989254869778,0.03970382283528662]",4.0,"[0.10249801091151042,0.08643614008147417]",4.0,"[-0.11539400352106283,-0.13544944771584722]",100.0,"[0.07772714866321831,-0.09326606169869905]",4.0,"[0.08712088035072411,0.171269268985377]",100.0,"[0.1335551928795012,0.05351385574960241]",4.0,"[-0.004189578562955675,-0.16183649724906635]",100.0,"[0.19000609969285004,-0.03589345221852775]",100.0,"[0.040497243033039525,-0.1856107822210956]",4.0,"[-0.1390988180974694,0.0023803292978962]",100.0,"[0.17830877893536332,0.055283289877283225]",4.0,"[-0.05856595534158928,-0.12454091120129672]",100.0,"[0.07111188889261434,-0.15919588512339541]",4.0,"[0.02,0.02]",77.3136,0.0,1.0,1.0,161.0,1.0,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,77.3158,77.8139,,,78.0649,78.5977,right,0.5191,,,,,,,,,0.55,,,,,,77.8141,78.0648,78.5981,"[-0.15455240909070225,0.010127211958316434]",4.0,"[0.07786922658614394,0.11460783893886237]",4.0,"[0.025850551574160385,-0.012028766552613623]",100.0,"[0.09897178525209427,0.15223058880213533]",4.0,"[0.16589300065194335,-0.08573611347949449]",100.0,"[-0.09304910771420136,0.058716411271146275]",4.0,"[-0.16438200122444066,-0.08841156372690717]",100.0,"[-0.07487977100809273,0.104314456763063]",100.0,"[0.018548384671501855,-0.07565946908694748]",100.0,"[0.0296311233610724,0.08302377285474848]",100.0,"[0.11055271974915364,0.06398923126037695]",100.0,"[-0.09529864185116388,-0.011151481584080958]",100.0,"[-0.021134236636552707,0.03594586914862463]",100.0,"[-0.04887621020134645,-0.021403994473594593]",4.0,"[0.14839498432005313,0.09432165422565032]",4.0,"[-0.14915923666045397,-0.04777226696037861]",100.0,"[-0.1471615791449027,0.11681249701438907]",100.0,"[0.1713460247272643,0.0483125626319457]",100.0,"[-0.11769337821886178,-0.10675882391250809]",4.0,"[0.06796122516020715,0.007380943767162543]",4.0,"[-0.004926637822898549,-0.13113912392479476]",4.0,"[0.07638909241874038,-0.05274943600817911]",4.0,"[-0.01682149964552207,0.16601412247916675]",100.0,"[-0.13361714773576777,0.06722135335628455]",4.0,"[-0.1125460863930913,-0.06398938429962327]",100.0,"[0.1673444359000412,-0.038626346944660175]",4.0,"[0.0534973228137721,-0.10643783884338008]",4.0,"[-0.05050610989297007,-0.19220173499626703]",100.0,"[0.06856606193248616,-0.14474981185542624]",100.0,"[0.013127071416911251,-0.18510017229257542]",4.0,"[0.030575797974872004,0.14479616410184895]",100.0,"[0.19623070745601764,-0.0024038165550354924]",100.0,"[0.02,0.02]",79.6978,0.0,2.0,2.0,72.0,1.0,,,,,,,
,,,,,,,63f77dc98bfabd95812edc2c,6842bb14e92beec218b6796a,2025-06-06_10h55.50.214,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,79.7001,80.1981,,,80.4506,80.9987,right,0.5347,,,,,,,,,0.9,,,,,,80.1981,80.4504,80.999,"[0.026422776115344566,-0.02029520104767746]",100.0,"[-0.07360224952822753,0.0672288837296429]",4.0,"[0.06646754704345527,0.024500083921961745]",100.0,"[0.13491095807672016,-0.1225371858542287]",100.0,"[-0.1049201370267974,0.027127287068456653]",100.0,"[0.0038072890085178754,-0.12280288874398775]",100.0,"[-0.0812836917633056,0.12795374902343168]",100.0,"[0.08270530416107735,-0.019330297285550573]",4.0,"[-0.058660611205033686,-0.17912982301726965]",100.0,"[0.06446691320666764,-0.15105690859748616]",100.0,"[-0.008263830055630375,0.03477075565525315]",100.0,"[0.19015323426587244,-0.037961946142152043]",100.0,"[0.15002665650834635,0.06765320978391476]",100.0,"[0.022141335455511887,0.19826109622958285]",100.0,"[-0.025679165640060668,-0.040514134027953105]",100.0,"[-0.08454611911461397,-0.10511847473097073]",100.0,"[-0.0633137666399354,0.1782454090487043]",100.0,"[0.09677887058332556,-0.09270781602998303]",4.0,"[0.03864628300143465,-0.18214283585558663]",100.0,"[-0.032505956414078274,0.12926452118471451]",100.0,"[-0.07115477579481891,-0.061841991800391787]",100.0,"[0.06745165183270233,0.175902645684128]",100.0,"[-0.01030504683759148,0.16713188878122637]",100.0,"[0.1446373038693839,-0.008368017613819822]",100.0,"[-0.08170684164656125,-0.01975207147876173]",100.0,"[-0.14693950558935667,-0.07619154084810602]",100.0,"[0.009367857807393274,0.08307316248910918]",100.0,"[0.045601312104689984,-0.1045674737471359]",100.0,"[-0.031337648700883285,-0.09534429615035497]",100.0,"[-0.162479446214438,0.08935930968530378]",100.0,"[0.005724521329861009,-0.0682245954547514]",100.0,"[0.11365065378173611,0.040990828025539036]",100.0,"[0.02,0.02]",82.0989,0.0,3.0,3.0,6.0,1.0,,,,,,,
