right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0004,28.4224,space,13.4105,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,28.4228,62.3532,space,3.9124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,62.3536,67.6202,space,2.2414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,67.6371,68.1371,68.1378,68.388,68.3882,69.8863,,69.8867,70.987,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,70.9886,71.4862,71.4864,71.7367,71.7368,72.7534,left,72.7536,73.852,0.0,1.0,1.0,0.0,1.0,0.2,0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8522,79.1542,space,2.2898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,79.1659,79.6691,,,79.9198,80.6527,right,,,,,,,,0.6,0.7199,,,,,,,79.6697,79.9197,80.6538,"[0.05195246522665591,0.18707884164146418]",4.0,"[0.14529503000514762,-0.07314267755463065]",100.0,"[-0.031028429575291238,-0.19088156947232318]",4.0,"[-0.020044162717775635,-0.13460537302786243]",100.0,"[0.13354215137247438,0.0020302421617274563]",100.0,"[-0.03411621995947057,0.04571797347502919]",4.0,"[-0.15497073928499142,0.07927708838302021]",4.0,"[-0.16407533767284968,-0.04030481062415681]",4.0,"[0.07553824920293732,-0.16134542828145726]",4.0,"[-0.06828396874588115,-0.17494919405914522]",100.0,"[0.11093312528934803,0.049922865289497576]",100.0,"[0.0622063638219036,-0.06098079115736217]",100.0,"[-0.05224500534370857,-0.04105823551419268]",100.0,"[-0.016420592117068575,-0.07859680973643178]",4.0,"[0.1769241770783261,0.020612023680877233]",100.0,"[0.005639548974790929,0.056223119844240964]",100.0,"[-0.0619359009590527,0.10199118237133725]",100.0,"[0.03126820702661583,-0.18140211790009955]",100.0,"[-0.11410222267751154,0.019813732484915778]",4.0,"[-0.049345350385374145,0.1815104735370698]",100.0,"[-0.035458793772211325,0.13619925137247205]",100.0,"[0.15016220167390296,-0.11661144759881188]",100.0,"[-0.14789457729747282,-0.12413841598648284]",4.0,"[0.04781296581968358,0.004179020672462032]",4.0,"[0.1896094512044723,0.05873926110348646]",4.0,"[0.026789588121129197,0.13307446846093643]",100.0,"[-0.10880251722216672,0.11366683339492718]",4.0,"[0.10057574406731563,0.15134850719816503]",100.0,"[-0.1206719613617876,-0.025679611655805]",4.0,"[0.15382978271265665,0.12589627959885544]",100.0,"[0.0831200962256202,-0.10050255456064897]",100.0,"[0.003635547124194355,0.18374437292306814]",100.0,"[0.02,0.02]",81.7525,0.0,0.0,0.0,53.0,1.0,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,81.7535,82.2524,,,82.5028,83.0697,left,,,,,,,,0.45,0.5516,,,,,,,82.2524,82.5027,83.0698,"[0.07942744432167137,0.035283413317749146]",100.0,"[-0.16144951280086453,0.05018551196387276]",4.0,"[0.06555871518216798,-0.0930097003998684]",4.0,"[0.026123749608903128,-0.13244500509032586]",4.0,"[-0.19267017853488622,-0.0317437683179601]",100.0,"[0.005917956282534294,0.10538427437240672]",4.0,"[-0.004812988195944735,0.16237169920545624]",4.0,"[0.13842835575754378,0.02865799226489173]",100.0,"[-0.02102026051261973,0.050187401100386116]",100.0,"[-0.05978001513484099,0.11563025755443143]",4.0,"[-0.13507668376453336,-0.0924885313340308]",100.0,"[0.04786478995444888,-0.18058998826497305]",100.0,"[0.1106491626220453,-0.04650228987054389]",4.0,"[-0.11291837076766324,-0.029998792690027535]",4.0,"[-0.13024572805779347,0.10574244430937413]",100.0,"[-0.023187720973626334,-0.043056807440688516]",100.0,"[-0.08365580404226118,0.011474921956682378]",100.0,"[-0.02338946338429455,-0.12079213207461083]",100.0,"[0.1728096682665824,0.07169631506734568]",100.0,"[0.08124662150773544,0.08884120840504714]",4.0,"[0.14598571015505304,-0.12687688557193164]",100.0,"[0.18054016468349612,-0.02083035986686702]",4.0,"[0.02419683689875133,-0.05398798031492311]",4.0,"[-0.1083246234383083,0.05280059767722096]",4.0,"[-0.17925610886407323,0.008932221083306982]",100.0,"[0.15222233414926625,0.1260399560271869]",4.0,"[0.029735293478934305,0.0028657415221698497]",4.0,"[-0.0684538782031476,0.1844484805476466]",4.0,"[-0.11100540074600837,0.14934610868915277]",4.0,"[0.06790301740122044,-0.13459678030269778]",100.0,"[0.06837945311400555,-0.016915788093486463]",4.0,"[-0.06434189284275439,-0.04970658200850508]",4.0,"[0.02,0.02]",84.1702,0.0,1.0,1.0,140.0,1.0,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,84.1708,84.6692,,,84.9194,85.3861,left,,,,,,,,0.1,0.454,,,,,,,84.6692,84.9193,85.3862,"[0.12692190126258257,0.03097353936254363]",100.0,"[-0.08985951874298036,-0.13269575456217914]",4.0,"[-0.15592555505913,-0.043852897013055434]",4.0,"[0.08227446445245724,-0.11151500937952312]",4.0,"[-0.003261189816991583,0.007914447760787606]",4.0,"[0.0793808292288278,0.16003570871650202]",4.0,"[0.05563815242063909,0.08462161762365929]",4.0,"[0.04765249519698092,0.13127194416874421]",4.0,"[-0.11682713467150993,0.003806076832429455]",4.0,"[0.10955211164398909,-0.052880583138853715]",4.0,"[-0.15823545178294157,0.10453991096196472]",4.0,"[-0.005367873124951904,0.12607325759370527]",4.0,"[-0.18628361471274582,0.017705283485797692]",100.0,"[0.009531520618709216,0.07589524720444334]",4.0,"[-0.0359001158647729,-0.1140373206666165]",4.0,"[-0.05783701880883862,0.1441725083132881]",4.0,"[-0.15926855100194315,-0.09861756316750937]",100.0,"[0.03322636243971811,-0.12419524610742017]",4.0,"[-0.0008413818280904728,-0.049597800118637014]",4.0,"[-0.11903039578152463,-0.07676014394314168]",4.0,"[0.12562197462063096,-0.10467479372836208]",4.0,"[0.08239857253488479,-0.1801717798021407]",4.0,"[-0.03312858451812349,-0.17999945624501038]",4.0,"[0.16925189404119584,-0.09891883583127735]",4.0,"[-0.043727735957851746,0.013624099856869822]",4.0,"[-0.18309069205811668,0.07118981975524273]",4.0,"[0.17954006580848472,0.04590813905743155]",4.0,"[0.04185349128513337,0.042034305740725995]",4.0,"[0.0543098660946785,-0.025177822502045075]",4.0,"[0.1276114915318255,0.13590490530772822]",4.0,"[-0.1361916495595514,0.04580081078720005]",4.0,"[0.1546975978166421,0.10498337698462859]",4.0,"[0.02,0.02]",86.4854,0.0,2.0,2.0,181.0,1.0,,,,,,,
,,,,,,,6452b900ed79e166aaf26970,6842bb9393916ab8b4bc3b71,2025-06-06_11h57.54.759,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,86.4856,86.9865,,,87.2366,87.7867,left,,,,,,,,0.1,0.537,,,,,,,86.9866,87.2365,87.787,"[0.10633478744345172,-0.15507733812315647]",4.0,"[-0.11836190600274116,-0.02285310178717151]",4.0,"[0.006372872396229331,-0.12758716052295851]",4.0,"[-0.0012347725384235586,0.05193439743092076]",100.0,"[0.09177897455073258,0.1038272026329829]",4.0,"[0.1513744478901307,-0.11810474247563524]",4.0,"[0.08166570086680379,-0.12179182560291724]",4.0,"[0.0026996243475641934,0.19561568567748214]",4.0,"[0.09000603666557072,-0.02345376872692722]",4.0,"[-0.16745440579672083,0.04809873623525302]",4.0,"[-0.08282313346177389,0.02190258217639522]",4.0,"[0.028479689133018612,-0.08293263917282091]",4.0,"[0.17130168867504977,-0.020583833544103345]",4.0,"[0.17954996046668414,0.05517748954053734]",4.0,"[0.08423172038542241,0.15929337814525335]",4.0,"[-0.03948565261699795,-0.07193811645361711]",4.0,"[-0.14765352131471562,-0.0928138524501166]",4.0,"[0.06241860091360557,0.005618307922421085]",4.0,"[-0.005886663473755494,-0.02751948127262862]",4.0,"[-0.10238106228393093,0.05822745019734424]",4.0,"[0.11702965445359557,0.13563937699656473]",4.0,"[-0.0024737650745950677,-0.19367807059811987]",4.0,"[0.12735490639184768,-0.06808707666972483]",4.0,"[-0.0612031295948006,0.12114016910800687]",100.0,"[-0.016103329630897646,0.09694931944311454]",4.0,"[0.13046750096178938,-0.0002006395662274773]",4.0,"[-0.116649644739248,-0.13913142964668204]",4.0,"[-0.06993939350097647,-0.024580346144559097]",4.0,"[0.050103527906944605,0.18136018381327138]",100.0,"[0.04996870206741649,0.0934610237329054]",4.0,"[-0.13900277285280443,0.07929351552852516]",4.0,"[0.053471150186059635,-0.18561645300337182]",4.0,"[0.02,0.02]",88.8866,0.0,3.0,3.0,203.0,1.0,,,,,,,
