right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,32.7029,space,17.6866,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,32.7031,75.3514,space,12.6242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,75.3515,80.7345,space,2.3606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,80.7441,81.2347,81.2349,81.4847,81.4849,82.9845,,82.9847,84.084,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,84.0844,84.5841,84.5841,84.8343,84.8343,85.6676,left,85.6677,86.7671,0.0,1.0,1.0,0.0,1.0,0.2,0.8198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.7675,93.5837,space,3.7915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,93.5931,94.0839,,,94.3342,95.0006,left,,,,,,,,0.55,0.6588,,,,,,,94.0843,94.3341,95.0009,"[0.018155148917766366,-0.1541785088442825]",4.0,"[0.07118180510107094,-0.1264424923364769]",100.0,"[0.09895004114717013,-0.169761872389032]",100.0,"[-0.055506496554008126,0.12697360980116357]",100.0,"[-0.016693304915477082,-0.1938444247046526]",100.0,"[0.07224174201851388,0.060006378357615464]",100.0,"[0.11165551623012598,-0.006947210672316066]",4.0,"[-0.05291345047143755,-0.01247272568948714]",100.0,"[-0.0006348439782252546,0.11521116460199603]",4.0,"[0.03251529597951446,0.08086040421268093]",4.0,"[-0.18716683893493352,0.048259439479871206]",100.0,"[0.019314648949761478,-0.06120946520723115]",4.0,"[0.12536799234995988,-0.09854621195719082]",100.0,"[0.0011201386436911597,0.0422328094767154]",4.0,"[0.1437546360092551,0.12019979591220134]",4.0,"[-0.14053416593879695,0.04983819596198936]",4.0,"[0.04209953293940201,0.02578449063748711]",4.0,"[0.14686298176744006,0.06865234491502337]",100.0,"[-0.15015147547035015,-0.07349348878536884]",100.0,"[-0.09170083311869531,0.14716658438982502]",4.0,"[0.16964268683281467,-0.007529507938460775]",4.0,"[0.08172321872190758,0.11738965952409246]",4.0,"[-0.010386373431112619,0.17921912926978278]",4.0,"[-0.09956318185589569,-0.10060962612936795]",100.0,"[-0.09810381841087751,-0.02028947717580864]",100.0,"[-0.005752688645270694,-0.1020711362677868]",4.0,"[-0.17622231587350604,-0.03197847014841794]",100.0,"[0.08065842264443565,-0.0605035382907431]",100.0,"[-0.061364043394577704,-0.06230695949587675]",100.0,"[0.13213528828619123,-0.1458886535047467]",100.0,"[-0.051079942250928254,-0.1527698750784923]",100.0,"[0.020040441410721966,-0.01337716306658884]",100.0,"[0.02,0.02]",96.1003,0.0,0.0,0.0,86.0,1.0,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,96.1007,96.6006,,,96.8507,97.5171,right,,,,,,,,0.9,0.6511,,,,,,,96.6006,96.8506,97.5172,"[0.14186213571353426,0.06918647887300877]",100.0,"[-0.13575455914025347,0.12151015903140916]",100.0,"[0.0885444989846639,0.05133519248592275]",100.0,"[-0.08863893052887929,0.17900474127625488]",100.0,"[-0.025115463626664686,0.029588787583308702]",100.0,"[0.06142901680501503,0.11390591427757461]",100.0,"[0.19985290548534548,-0.00275988364293761]",100.0,"[-0.08419083373584757,-0.16728315640222313]",4.0,"[0.04353730879195461,-0.04873540132298239]",4.0,"[-0.02855578144571283,-0.02162376941031221]",100.0,"[-0.10894106188704304,-0.08161695213418935]",100.0,"[-0.07554900799556559,0.13345368778412894]",100.0,"[0.008029471540256803,0.09468009235465877]",100.0,"[0.15089032886459117,0.12393917181239052]",100.0,"[0.03571163323759354,0.17682069100145945]",100.0,"[-0.00013133212022030402,-0.1977099283205049]",100.0,"[-0.010099593554670803,0.1524642466177149]",100.0,"[-0.06543505717153894,-0.04331498315484394]",100.0,"[-0.08744629567043792,0.00006380557078264632]",100.0,"[-0.18035276522195806,0.06196764993454732]",100.0,"[-0.04372769751504938,-0.17513894205633873]",100.0,"[-0.016530741370145517,-0.08410512012990491]",100.0,"[-0.16332616122021437,-0.08418258018552219]",100.0,"[-0.1833628556477828,-0.023682697945259762]",4.0,"[0.09698239402364536,-0.15499198234798267]",100.0,"[0.1670595269445666,-0.03371253438973785]",100.0,"[0.01797426502572398,-0.11560437809208687]",100.0,"[0.05896448666180109,0.016043402116251656]",100.0,"[-0.13117498247346132,0.07193342813116482]",100.0,"[0.18573457224443587,-0.07159837280747745]",100.0,"[-0.12267503224529229,-0.026268175834191915]",100.0,"[0.06348703281396877,-0.18647179390935467]",100.0,"[0.02,0.02]",98.6169,0.0,1.0,1.0,19.0,1.0,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,98.6176,99.1172,,,99.3673,99.7503,left,,,,,,,,0.1,0.3671,,,,,,,99.1173,99.3672,99.7503,"[0.024229176041527623,0.10457057990800817]",4.0,"[0.08861093233225405,-0.054829701844164073]",4.0,"[0.056953144595947115,0.04497944738565092]",4.0,"[0.0747042566745827,0.1482228782320883]",4.0,"[-0.007243376591948709,0.03251858495856813]",4.0,"[0.00835293518360451,0.17668847349515038]",4.0,"[-0.10614064700743511,-0.03796773750405017]",4.0,"[0.031134993303924732,-0.14723952392932502]",4.0,"[0.1146569344634792,0.1221620028627481]",4.0,"[0.0924082968068734,-0.10652732325085261]",4.0,"[-0.027825488792723754,0.09710960902727836]",4.0,"[0.08992261980282502,-0.010110319220606769]",4.0,"[-0.11377127427715085,-0.10915278174379159]",100.0,"[-0.03922189246290765,-0.160028976317534]",4.0,"[-0.15852408505758228,0.024886807191297256]",100.0,"[-0.008238307161865733,-0.013436770777486628]",4.0,"[0.12976424732083533,0.06627051595248418]",4.0,"[0.16154088549723689,0.10762778273392525]",4.0,"[-0.0004575982267133126,-0.06184289886696526]",4.0,"[-0.08898436526003085,0.09563093370048403]",4.0,"[-0.1069856068824097,0.1539520892932705]",4.0,"[0.18369311401159943,-0.01983485361472891]",100.0,"[0.030868602627574012,-0.0016051648172851932]",4.0,"[-0.035695240685542036,-0.08693919144009747]",4.0,"[0.005023906702372069,-0.11321001912649496]",4.0,"[0.1512202163093868,-0.04362915867073851]",4.0,"[-0.06017138194740678,0.1751887793892688]",4.0,"[-0.1401721393641457,0.09224148030556753]",4.0,"[0.07703595464382398,-0.16225174506280057]",4.0,"[-0.15820554148607227,-0.0590763943706359]",4.0,"[-0.13465531277815618,-0.14617551673457116]",4.0,"[-0.10557993677266841,0.0026536204345689205]",4.0,"[0.02,0.02]",100.8502,0.0,2.0,2.0,203.0,1.0,,,,,,,
,,,,,,,64971e71ba666687996c6072,68399d6d22dd632142dc7829,2025-05-30_13h58.49.349,shape_ratio,2024.1.5,Win32,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,100.8505,101.3502,,,101.6004,102.0168,left,,,,,,,,0.1,0.4058,,,,,,,101.3502,101.6004,102.0169,"[0.18392981319437632,0.054660488250379995]",4.0,"[-0.13030843559127353,-0.09073247600150773]",4.0,"[-0.07302338370259422,0.004344178000266669]",4.0,"[-0.17172105259969822,0.055184405320836884]",4.0,"[0.12421340757753932,0.030211167758533542]",4.0,"[-0.06499126617335993,0.10389496886987946]",4.0,"[0.11495631208954671,-0.1449920282618107]",100.0,"[-0.15488866246801472,-0.016636075313129495]",4.0,"[0.03145982240848879,0.1159625276034633]",4.0,"[-0.008458461238378467,-0.04395145376710285]",4.0,"[0.1669516413717006,-0.07847258488039778]",4.0,"[0.17913616985190256,-0.0030331431365541723]",4.0,"[0.0840897352640337,-0.03764061973180989]",4.0,"[-0.02496879742057926,0.03226322189840523]",4.0,"[-0.058537005037309485,-0.0433207454326927]",4.0,"[0.0047985369896209815,-0.1384735620623197]",4.0,"[0.0573348525379482,-0.16410704645343366]",4.0,"[-0.1240697178438319,0.11816510765963341]",4.0,"[-0.10783339156096321,-0.15068018541212233]",4.0,"[-0.18952902999926735,-0.04720064771477814]",4.0,"[0.07871100223485882,-0.08698001059819724]",4.0,"[0.030919391555930705,0.18542737252380243]",100.0,"[0.03670195052124682,-0.04601504303639621]",4.0,"[0.019168234779515913,-0.19701606179278167]",4.0,"[-0.05526118702082274,0.1494937219970634]",4.0,"[-0.10662994283932486,-0.05546958593447059]",4.0,"[0.1632914482889039,0.1101034000306418]",4.0,"[0.11092572818966018,0.16104891417780753]",4.0,"[0.07938842847887534,0.05782706627785805]",4.0,"[0.02801567143436503,-0.09401509546039433]",4.0,"[-0.095660589765021,0.15232564562672918]",4.0,"[-0.11383054487917894,0.047036438467634084]",100.0,"[0.02,0.02]",103.1168,0.0,3.0,3.0,180.0,1.0,,,,,,,
