right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.001,66.03,space,50.891,0.099,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,66.03,98.266,space,2.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,98.267,108.516,space,7.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,108.623,109.019,109.02,109.292,109.292,110.777,,110.777,111.878,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,111.879,112.368,112.368,112.615,112.615,114.096,,114.096,115.181,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,115.181,118.821,space,0.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,118.865,119.338,,,119.566,120.793,left,,,,,,,,0.55,,,,,,119.34,119.566,1.196,,120.795,"[0.11450344908385847,-0.06594917705991249]",4.0,"[0.1428899162096382,0.006877632900544658]",4.0,"[0.1396536421234078,-0.12395710780295502]",100.0,"[-0.13784811757635135,-0.09843330016926026]",4.0,"[-0.024490624560142706,0.18181339375020705]",4.0,"[-0.14440775021818184,0.0906399053913154]",100.0,"[-0.08347640533883208,-0.019568657825618025]",4.0,"[0.0024732629815890257,-0.19354706816148615]",100.0,"[-0.03971042862654063,-0.14630702206861004]",100.0,"[0.059595326692793535,-0.1539221494155026]",4.0,"[0.06052703443315237,-0.03879922408328542]",100.0,"[0.04987572790868808,0.16942098273270267]",100.0,"[0.12002537582676912,0.06633811859445082]",100.0,"[-0.10399797270990577,0.08655547651415726]",4.0,"[-0.02534555942341999,0.019273677714365188]",4.0,"[-0.08064179303415152,-0.08111656754342143]",100.0,"[0.17363797495717972,0.05510469794220659]",100.0,"[0.0065779632303881105,0.06568889030441348]",100.0,"[-0.022120616854686755,-0.055900573066096686]",100.0,"[-0.06881310220233065,-0.17869372812939055]",100.0,"[0.07783672818919726,0.0474590055825476]",4.0,"[-0.08634195091892302,0.1334664151943145]",4.0,"[-0.15991681527492932,-0.00021965046312080383]",100.0,"[0.0030031542805948226,0.12284798519131396]",100.0,"[0.05516239354702336,0.12118745617136736]",4.0,"[0.15534894455314932,-0.04480929872665612]",100.0,"[-0.038309592546547526,0.1111260439594686]",4.0,"[0.10234341580642305,0.1568520247960058]",100.0,"[-0.1931558325477453,0.022266389661919236]",100.0,"[0.0880993436520317,0.09830662258189488]",100.0,"[-0.06454612964556314,0.04964382830331097]",4.0,"[-0.1165134686291089,0.16088495103015793]",4.0,"[0.02,0.02]",121.897,0.0,0.0,0.0,63.0,1.0,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,121.898,122.397,,,122.647,123.914,left,,,,,,,,0.9,,,,,,122.397,122.647,1.233,,123.914,"[0.08950019498183938,0.05283425187924705]",100.0,"[-0.0479932377589491,0.15673766205374437]",100.0,"[-0.013581235339684118,-0.17412627204278217]",100.0,"[-0.12138347651798116,-0.02411607078236336]",100.0,"[0.046749258270851905,0.04816521274553382]",4.0,"[0.06138097504822016,-0.0007671656720736425]",100.0,"[0.16771329759860834,-0.04900866932676818]",4.0,"[-0.03829425770296825,-0.11040941698804144]",100.0,"[0.09742105624914581,0.09537513809803291]",100.0,"[-0.1936077828313401,-0.034532827408756975]",100.0,"[0.034005322684368816,-0.10866862472285327]",100.0,"[0.1289701205172692,-0.08032337366535011]",100.0,"[-0.08520686017820565,0.020936663151405768]",100.0,"[0.12570914677732606,-0.017123703696233766]",100.0,"[-0.013456040175593492,0.0715696949292334]",100.0,"[0.09454481494399797,-0.05688999570299978]",4.0,"[0.18841556639620183,0.06196108240251439]",100.0,"[0.04012979973694642,0.13488403435965507]",100.0,"[-0.09499372329059547,-0.10483022117903197]",100.0,"[-0.07238222948723566,0.07668432439703761]",100.0,"[-0.03843106909915694,0.10776510579372277]",100.0,"[0.05992581790178328,-0.1886033575133139]",100.0,"[-0.11820584864659572,0.062490459177841726]",100.0,"[-0.15482786827298256,-0.055835409185607976]",100.0,"[0.14125959048397582,-0.13614510953174772]",100.0,"[-0.019972391741417874,0.02356574674354711]",100.0,"[-0.18652235781734805,0.06309261063454875]",100.0,"[-0.07262108456347055,-0.1760328842007739]",100.0,"[0.1231555745103853,0.13009292459449198]",100.0,"[-0.14904026340856458,0.1257411984866616]",100.0,"[-0.15582143684095773,-0.12212058244092096]",100.0,"[0.0006341220016285117,-0.024388838931129864]",100.0,"[0.02,0.02]",125.005,0.0,1.0,1.0,6.0,1.0,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,125.006,125.486,,,125.727,127.211,right,,,,,,,,0.4,,,,,,125.486,125.727,1.454,,127.211,"[0.09545689837465067,-0.046060316485190864]",100.0,"[0.09283345316563492,0.08092235259697897]",4.0,"[-0.06368401822657178,-0.08461441847700134]",4.0,"[-0.04617618692847811,-0.011059270460867921]",4.0,"[-0.025122155852785096,0.13671367455984215]",100.0,"[0.05533988451546063,0.16528443073445337]",4.0,"[0.1907740182906227,0.0466688496241817]",4.0,"[0.056221382581145625,-0.13036124541233646]",100.0,"[0.04351202282114433,-0.02819211084146584]",100.0,"[-0.1950579523068305,-0.02864891892813696]",100.0,"[0.08900028623050807,-0.16838599326439352]",4.0,"[-0.12680507121485435,-0.09670072906133999]",100.0,"[-0.05550976190143001,0.06756160621215385]",4.0,"[-0.07986461833335072,-0.12578061246277894]",4.0,"[0.12928483054713913,0.12204948656394626]",4.0,"[-0.003288233199907038,-0.08278119809866331]",4.0,"[0.02827363704550154,0.12738599539239287]",100.0,"[-0.10953469758866725,0.12895023989061766]",100.0,"[0.10804277636248034,0.035180489605424255]",4.0,"[-0.032358647160363956,-0.12364700875369507]",100.0,"[0.10725223165306597,-0.11411726533548329]",4.0,"[-0.11144798067261348,-0.03743499851582403]",100.0,"[0.13650737029875473,-0.04357015219386906]",4.0,"[0.17999316961144837,-0.026252624132063168]",4.0,"[0.0460431382737476,0.08915571687234537]",4.0,"[-0.1742081212613178,0.020937206885375897]",100.0,"[-0.10020796812453388,0.04978837049616305]",4.0,"[0.04175574229176957,-0.08390635356480843]",4.0,"[0.08208931145154452,0.1280094854746962]",100.0,"[-0.17556853251958726,-0.07344742765047332]",4.0,"[0.06832751305144405,0.013818841394937845]",100.0,"[0.13958183778472258,0.00739541787777822]",4.0,"[0.02,0.02]",128.326,0.0,2.0,2.0,170.0,1.0,,,,,,,
,,,,,,,64b4c078aeb3a03a356ce3b2,6844292707843a64e1c81f3c,2025-06-07_13h58.47.957,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,128.326,128.805,,,129.051,130.254,left,,,,,,,,0.55,,,,,,128.807,129.051,1.171,,130.254,"[-0.014432741980032653,0.022514944761204723]",4.0,"[0.011289509437150333,0.09180592749320293]",100.0,"[-0.08442618405283131,0.04974266904454682]",100.0,"[0.03341247828750155,-0.056277271395599855]",100.0,"[-0.061557611487692544,-0.10451601626153478]",100.0,"[0.0813968967933094,-0.06562108031914007]",100.0,"[-0.022797970144034993,0.19074497342114732]",4.0,"[-0.01819397647994847,-0.13945981862912973]",4.0,"[0.11669255333277624,0.1261069251165555]",100.0,"[0.09595068880873547,0.046528441633190955]",100.0,"[0.14825757282071997,0.08950061397135427]",4.0,"[-0.14499420963155904,-0.021640412871150518]",100.0,"[-0.13749074459490293,0.06232490332572838]",4.0,"[0.10109358077794338,0.17180000888903504]",100.0,"[0.09654817568699424,-0.002334746023921082]",100.0,"[0.03367500597204036,0.19581414969412386]",100.0,"[0.1376210995438452,-0.09543205329099065]",100.0,"[-0.06597440252644919,-0.03193893254058969]",100.0,"[-0.06705104523274599,-0.15303702959008222]",4.0,"[0.017970549586536055,-0.11182947825894182]",4.0,"[0.10050322648950208,-0.15595781588369978]",100.0,"[0.031019506201888328,-0.1720290415522013]",4.0,"[-0.10394913350597218,0.1371074399183246]",4.0,"[0.1674786287198784,0.01434129965978323]",4.0,"[-0.1883360866466276,-0.03524321526502278]",100.0,"[-0.1881794261081541,0.03758830003736567]",4.0,"[-0.16906230742821624,-0.09351118105069191]",4.0,"[-0.01270446480798817,-0.055784446985175]",4.0,"[-0.12361373522639343,-0.14010070025231544]",4.0,"[0.061135692480568694,0.10770986297719547]",100.0,"[0.18541828068681512,-0.04464537926142563]",100.0,"[-0.09456142401042332,0.08986284196124382]",100.0,"[0.02,0.02]",131.357,0.0,3.0,3.0,85.0,1.0,,,,,,,
