right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,21.1924,space,6.1789,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,21.193,51.8579,space,0.6394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,51.8585,55.4817,space,0.6078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,55.4926,55.9922,55.993,56.2317,56.2318,56.8794,right,0.6235,,56.8794,57.9745,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,57.977,58.474,58.4743,58.7144,58.7145,58.9912,left,0.2528,,58.9916,60.0931,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0933,64.8247,space,1.7069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,64.8353,65.3413,,,65.5976,65.8909,left,0.2687,,,,,,,,,0.45,,,,,,65.343,65.5976,65.892,"[-0.16676069392677356,0.09906183785458131]",100.0,"[-0.05256236095745469,0.1771565626178857]",4.0,"[0.06723338374072528,0.03417133271041423]",4.0,"[0.15877557982617538,-0.017435469740370222]",100.0,"[-0.1007958393482009,-0.10941970100770879]",100.0,"[-0.010162297744569029,0.1894366261687863]",4.0,"[-0.040411074971596773,-0.017084011993173706]",100.0,"[-0.14478533277852415,-0.1139724591489691]",4.0,"[0.007202176250506204,-0.09055420983854848]",4.0,"[-0.08295853416483248,-0.028644581686831573]",4.0,"[0.14123672300301002,-0.1361094984989239]",100.0,"[0.10583557382335347,-0.10300543318022716]",100.0,"[0.045279680626321546,-0.10756678246595495]",4.0,"[-0.08124415117191829,0.03414444519819463]",4.0,"[0.048559284613031516,-0.1612042274855668]",4.0,"[0.07842738572568171,-0.0215782285366252]",4.0,"[-0.10155241746302834,-0.16928347754928622]",4.0,"[0.006133955151762309,-0.13150732382117977]",100.0,"[0.0017329451640588484,0.0951040973050162]",4.0,"[-0.04862374206045503,-0.18767765483837112]",100.0,"[-0.03555755618430583,0.13857296641418212]",4.0,"[-0.03909785387497154,0.04934537161620602]",100.0,"[0.10225096169930709,-0.16323615262433522]",4.0,"[0.05427980664849703,0.1907579154384693]",4.0,"[-0.0016600995390380817,0.006609621861251589]",4.0,"[-0.14820498020194495,-0.07121037328777553]",100.0,"[0.05800210096563187,0.1504188183088409]",100.0,"[-0.15118664455328815,0.0036326907105437233]",100.0,"[0.018359461348625428,-0.04970268351825691]",4.0,"[0.12415650627387928,0.1485414321539153]",100.0,"[-0.051508874950730504,-0.06824201788027699]",100.0,"[-0.036073062917542975,-0.10773300072415158]",4.0,"[0.02,0.02]",66.9912,0.0,0.0,0.0,136.0,1.0,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,66.9926,67.4908,,,67.7472,68.0736,right,0.3023,,,,,,,,,0.4,,,,,,67.4911,67.7471,68.0738,"[-0.0758410707241612,-0.09948811594672008]",100.0,"[0.0185552462270703,0.05322742613644957]",4.0,"[-0.08062541633227535,-0.011494901781742084]",4.0,"[-0.011945616420112893,0.17329744123687188]",4.0,"[0.08700392107917666,-0.06710680611170511]",4.0,"[0.11753445008213391,0.13617180336485374]",100.0,"[-0.1330281473120289,0.058440412005396083]",100.0,"[0.15056376813609873,-0.03141828001080772]",4.0,"[0.021064187702212748,-0.04285246767457879]",4.0,"[0.1226905826641691,0.07275793202613175]",100.0,"[-0.08933770719114757,0.09646132922045994]",100.0,"[-0.06603181332568718,-0.05401427157197369]",4.0,"[0.05963018109245606,-0.11441687742050363]",4.0,"[0.19260509010513022,-0.014581575119468936]",4.0,"[0.0337127540293193,0.1775715994181223]",4.0,"[-0.16466995188116168,0.026050686750975792]",4.0,"[-0.05005406087653061,0.0482695330108551]",4.0,"[-0.0020583128858527064,0.08992416929238953]",4.0,"[0.017995265763533875,-0.13874836456249037]",4.0,"[0.08892944888110314,0.023359798875264837]",100.0,"[-0.1536414714911221,-0.08034449547728328]",4.0,"[0.1704054812657194,0.04112173149122509]",100.0,"[-0.04164949587335878,0.1357958078733853]",100.0,"[0.13766795642399832,-0.09225573690646187]",100.0,"[-0.11316403302873572,-0.12476633184333663]",100.0,"[-0.024021460542035782,-0.1481498680129204]",100.0,"[-0.13833142955608937,-0.018747178351235013]",4.0,"[0.03575000416342206,-0.17948625840204918]",4.0,"[-0.18884723286775956,-0.035878804425080575]",4.0,"[0.04978287174859073,0.10335881567373516]",100.0,"[-0.1446278133887353,0.12378408161769619]",4.0,"[0.16370301246827526,0.1089789426956969]",100.0,"[0.02,0.02]",69.1742,0.0,1.0,1.0,177.0,1.0,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,69.1756,69.6728,,,69.9169,69.9902,left,0.0516,,,,,,,,,0.1,,,,,,69.6731,69.9168,69.9904,"[-0.09800091939274762,-0.057067113445760334]",100.0,"[-0.007542907060097075,-0.04160167470574561]",4.0,"[-0.0971271120501412,0.13800795613831127]",4.0,"[-0.04534752918596029,-0.10892959836733482]",4.0,"[-0.06844955132259352,-0.15339476537631305]",4.0,"[0.1240031122715848,-0.07251030271726978]",4.0,"[-0.1952661238942604,0.002859913561890265]",4.0,"[-0.05827205958235521,0.17442090385345171]",4.0,"[0.16991780107246707,-0.08501265231628846]",4.0,"[0.06078315440522571,-0.18824218074993346]",100.0,"[0.029327937401425645,0.02922854482397253]",100.0,"[0.07050977605864926,0.044585372096850935]",4.0,"[0.08446756173849938,-0.04464773345511292]",4.0,"[-0.037720312686131664,0.13206969447831793]",4.0,"[-0.11530014678052337,-0.01581557276474075]",4.0,"[0.048124335680514545,-0.133831701028076]",4.0,"[0.008710961054545815,-0.16862267680980172]",4.0,"[0.1680678972833191,0.018044440551972626]",4.0,"[0.0435895726499045,0.11185680094162691]",4.0,"[0.13050579418175054,-0.12153904340361932]",4.0,"[-0.16031839332948983,-0.0751578305221472]",4.0,"[-0.05906518258407021,0.04553331667959153]",4.0,"[0.1547982088319825,0.08863705895372667]",4.0,"[0.01505228801689058,0.0819699660055072]",4.0,"[0.07493029726792397,0.17460777186514542]",4.0,"[0.08107517184489092,-0.11026325322173773]",4.0,"[0.1980962053779112,-0.01074704421970708]",4.0,"[0.13272839525156174,-0.029130086442758073]",4.0,"[-0.15180724151758815,0.02443986203668534]",4.0,"[-0.0891321988348188,-0.10514322735355797]",4.0,"[0.11081077948574251,-0.16616544761145374]",4.0,"[0.022061921537519093,0.19262426078687578]",4.0,"[0.02,0.02]",71.0902,0.0,2.0,2.0,196.0,1.0,,,,,,,
,,,,,,,6560ae1c1cc374fa2049dd0c,684428ee82600a1b38356ed8,2025-06-07_12h56.50.273,shape_ratio,2024.1.5,Win32,59.52380952,684250e4f00cb30b92d1fa88,,,,,,,,,,,71.0918,71.5906,,,71.8451,72.3405,right,0.4691,,,,,,,,,0.55,,,,,,71.5909,71.845,72.3409,"[0.04788031827675688,-0.14013796453811878]",100.0,"[0.0039053572995459453,-0.1673599125571725]",4.0,"[0.04550982626520698,0.012658648535589066]",4.0,"[-0.11433817519758564,-0.025547678574826427]",4.0,"[0.0760139725821982,0.05309885035762903]",100.0,"[-0.07561916562413427,0.07595430213832763]",100.0,"[0.11012472150034858,0.11745727412122005]",4.0,"[-0.007132188627784321,0.09110220862619425]",100.0,"[-0.042326560689877335,-0.04172680738150088]",100.0,"[-0.05705501085404042,0.17935569891742115]",100.0,"[-0.043351652073496,-0.14318936641353422]",4.0,"[-0.1821683204728378,0.0716017666422459]",4.0,"[0.13055387119370285,0.042885647940078715]",100.0,"[-0.019442682623772835,0.040618330822056604]",4.0,"[0.1874442325468686,0.003824810767702904]",100.0,"[0.036047086606469124,0.17711598452429939]",100.0,"[-0.18424656150290739,-0.005814548968814121]",100.0,"[0.16749329364626114,-0.05498205946328424]",4.0,"[-0.11117292258638155,0.1321089580379386]",100.0,"[-0.13047266226681115,0.04491075542372615]",4.0,"[0.17674086318059526,0.09286430268437844]",4.0,"[-0.0826682282384085,-0.1251575140864583]",100.0,"[0.0944740847799058,-0.05961225364733565]",4.0,"[-0.05850810699325437,0.13227915066691698]",4.0,"[-0.01672295794884042,0.16007149747583724]",100.0,"[0.012947263492008185,-0.045881761956735566]",100.0,"[-0.03694755275911875,-0.1030569679250821]",4.0,"[-0.08263575969694359,-0.07060933946549523]",100.0,"[0.04758625514309532,-0.19130845361280494]",100.0,"[0.1540592874374918,-0.11598824231388107]",100.0,"[0.05112644622402725,-0.07698477916825766]",4.0,"[-0.13762246933217984,0.10138564753457996]",100.0,"[0.02,0.02]",73.44,0.0,3.0,3.0,71.0,1.0,,,,,,,
