right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.001,57.1991,space,42.1759,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,57.1995,100.7014,space,13.4748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,100.7019,104.1807,space,0.4612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,104.2321,104.6957,104.6968,104.9461,104.9465,106.4433,,106.4437,107.5422,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,107.5434,108.0411,108.0411,108.2919,108.292,108.9418,left,108.942,110.0394,0.0,1.0,1.0,1.0,1.0,0.8,0.6432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0402,115.3681,space,2.3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,115.4079,115.8696,,,116.1179,117.3656,right,,,,,,,,0.6,1.2349,,,,,,,115.8701,116.1178,117.3666,"[0.13565191837428536,0.0622782103566901]",4.0,"[-0.0014423516292366401,0.19274168870999817]",100.0,"[-0.07328955387106724,-0.046162288590937114]",100.0,"[0.08092000184247698,-0.016055713557215058]",100.0,"[0.09407461712338365,0.036036149497669]",4.0,"[0.08725417323109805,-0.13473277039278755]",4.0,"[0.03631680333340629,-0.0027688319498578753]",4.0,"[-0.0750454136308446,0.04111044289506125]",100.0,"[0.1917693915234548,-0.019115000739868892]",4.0,"[-0.0866001932143262,0.10037076062581102]",100.0,"[0.17265267260038014,0.08144991500694755]",100.0,"[-0.047263905792000224,-0.15129946547497067]",100.0,"[0.04665631448665072,0.13985493499692686]",4.0,"[0.017091846163835883,0.0991472991869584]",4.0,"[-0.18311879128221334,0.008790845742245304]",100.0,"[-0.11819188745658463,-0.08991062308566435]",100.0,"[0.04380032119761369,0.18896337282660344]",100.0,"[-0.11732020294340709,-0.015821415001372165]",4.0,"[-0.05336896410849963,0.18179184622887806]",4.0,"[-0.004061608603570836,-0.1336231870147677]",100.0,"[0.12953827558034287,-0.003839164062550747]",100.0,"[-0.1902920092859683,0.061524874205365385]",100.0,"[0.09862223630185608,-0.09117563582647664]",4.0,"[0.12814617068206302,-0.1502571109738049]",4.0,"[-0.03062836104759124,-0.015387942393391769]",100.0,"[0.127869956656245,0.13352638101786843]",100.0,"[-0.11493309176062658,0.14287820256101225]",100.0,"[0.08392892653503321,0.16641697930246693]",100.0,"[-0.12517878664727133,-0.13862801541924608]",4.0,"[0.045524096874081245,0.04640846989401529]",100.0,"[-0.007313827810274669,-0.08545312263655004]",4.0,"[-0.15231203960175166,-0.058722113282169114]",100.0,"[0.02,0.02]",118.4647,0.0,0.0,0.0,56.0,1.0,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,118.4662,118.9639,,,119.2145,120.1963,right,,,,,,,,0.45,0.9725,,,,,,,118.964,119.2144,120.1965,"[0.15591091725497389,0.0802992900884156]",4.0,"[-0.09590423592083835,-0.1554527201337152]",100.0,"[0.017338061434556205,0.15657596519880299]",4.0,"[-0.12291696190581071,0.15696963460623062]",4.0,"[-0.0013248142802411243,0.0005718030516561676]",100.0,"[-0.1984091393185356,-0.020719917934812863]",4.0,"[-0.08257287669846722,0.14712224161830736]",4.0,"[0.10035671618054896,-0.0554630875276507]",4.0,"[0.04782040020990641,-0.03087381205255596]",4.0,"[0.12711944389157195,0.11780429083882726]",4.0,"[-0.044031304130607296,-0.1392655472040144]",4.0,"[-0.005983998039989574,-0.1229769775165075]",100.0,"[0.013413084360348005,-0.1700951876287762]",100.0,"[0.05902975793425607,-0.08859033478832021]",100.0,"[0.07313575813759277,0.13560911188120595]",100.0,"[-0.07517835721672103,-0.027185021045886732]",4.0,"[0.11466083950554633,-0.15418458945917618]",4.0,"[0.10777841011151343,0.07876432593529387]",4.0,"[0.14639746199803133,-0.010639272888699754]",4.0,"[-0.13932418795057072,-0.10906683734737269]",4.0,"[-0.1472734128558469,0.11267345142050061]",100.0,"[0.06498686211840804,0.07198187344206317]",100.0,"[-0.08436636274985512,0.045579782120428354]",100.0,"[-0.13242960056815728,-0.0449136595137067]",4.0,"[0.10113214247491321,-0.000316353294364382]",4.0,"[0.14031018994631758,-0.0963677531159716]",100.0,"[0.06938789450710124,-0.16860992811215947]",100.0,"[-0.1765101402667974,-0.07507092526797769]",4.0,"[-0.14710269047955318,-0.002186348180856807]",4.0,"[-0.03242764203242848,0.0369323639314124]",100.0,"[-0.04868365214911628,0.12290545702084003]",100.0,"[-0.1887455461978917,0.022130224358024617]",100.0,"[0.02,0.02]",121.2949,0.0,1.0,1.0,130.0,1.0,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,121.296,121.7945,,,122.045,122.6605,left,,,,,,,,0.9,0.6023,,,,,,,121.7945,122.0449,122.6607,"[0.054643723241309505,0.10882431020933814]",100.0,"[0.05026152775531011,-0.08893174631717082]",100.0,"[0.15279829480761004,0.061017090319160805]",100.0,"[-0.14958100768842753,0.037549439396887506]",100.0,"[0.1818161331690412,-0.056857678070597724]",100.0,"[-0.07079111165645545,0.1752492237075267]",100.0,"[0.11273157556651216,0.07694892702173882]",100.0,"[-0.1164071787762204,-0.06887482687811602]",100.0,"[-0.09334483119028507,-0.02902045095287122]",100.0,"[0.010227375599523865,0.18185021229734608]",100.0,"[-0.009315969741621608,-0.05748437348534062]",100.0,"[0.13091420679951887,-0.006892070126807164]",4.0,"[-0.0023142628873933074,-0.11957490593629899]",100.0,"[0.020547320906095467,0.00663446851818609]",100.0,"[-0.04686994511833476,-0.18856496845240853]",100.0,"[0.06671659283721551,0.04195700705013387]",4.0,"[-0.13977722030363557,-0.01151359569937935]",100.0,"[0.0018043186102145558,0.11033553005720362]",100.0,"[-0.11985020961037299,-0.12521917794096457]",100.0,"[-0.15868036989277157,0.09221124592285186]",100.0,"[0.08643713034687796,-0.030194020237950765]",4.0,"[-0.06578600258242313,0.11217270724041122]",100.0,"[-0.06835499244152766,0.04373809733282859]",100.0,"[-0.09829766770828852,0.08678217856015503]",100.0,"[0.10402181139324418,-0.15425905458925485]",100.0,"[-0.03272991084474508,0.06781287339226108]",100.0,"[-0.01762534172407296,-0.014940201152845708]",100.0,"[-0.05404350122693734,-0.11131034949384966]",100.0,"[-0.17977245668277547,-0.04972820166900183]",100.0,"[0.041070926975002454,-0.15408752843095577]",100.0,"[0.09107498768716105,-0.07632351163252354]",100.0,"[0.033688289159777354,-0.03389577694106994]",100.0,"[0.02,0.02]",123.7592,0.0,2.0,2.0,6.0,1.0,,,,,,,
,,,,,,,6597f6dc6f784e1f69bfadfa,683aeefe0114d15acdcbf0d6,2025-05-31_13h59.19.425,shape_ratio,2024.1.5,Win32,60.24096386,683ae9196541af24d3a69e58,,,,,,,,,,,123.76,124.2586,,,124.5094,125.3745,right,,,,,,,,0.1,0.8558,,,,,,,124.2587,124.5094,125.3748,"[0.06126203085185748,-0.09775798735417314]",4.0,"[0.11395772500627759,-0.09611335670339506]",4.0,"[0.07284117592547375,-0.13755944983621082]",4.0,"[0.024858111034082045,0.17377461356175716]",4.0,"[0.056442061654137635,0.13907591329128782]",4.0,"[-0.06526579073469473,-0.050453976767646846]",4.0,"[-0.10407989266789916,-0.09550751013071723]",4.0,"[-0.1664682649177048,0.041392015501085726]",4.0,"[0.009788832566752946,-0.1354193373195922]",4.0,"[-0.18472183539589448,-0.018066478932374067]",100.0,"[0.17763272345026165,-0.03084362793575898]",4.0,"[0.17142799140610823,-0.10100622809224259]",4.0,"[-0.10757702564976197,0.06693500458452319]",4.0,"[-0.023996845253245587,-0.014994010508246976]",4.0,"[0.1377594861170692,0.08982740500100539]",4.0,"[0.1067150704362871,-0.007823394749484652]",4.0,"[0.12783154724782825,-0.0515238648126593]",4.0,"[-0.028306994601988617,0.14503827488836274]",100.0,"[0.007396862262168809,0.06568831435624152]",4.0,"[-0.008300238253653936,-0.09767770770373752]",4.0,"[-0.014801607207498495,-0.171175295372047]",4.0,"[-0.0552193282577656,0.05295401311433986]",4.0,"[-0.0773072739660382,0.18102899515715415]",4.0,"[-0.0989869894457379,-0.017567601741049044]",4.0,"[-0.15881888192996121,-0.05541179622580742]",4.0,"[0.07238349370201612,0.05755379955050475]",100.0,"[-0.10746637503300244,-0.15021799427668706]",4.0,"[0.12180538502123235,0.041261103361288784]",4.0,"[-0.13660324321972794,0.11249734569218878]",4.0,"[0.07941608830283561,-0.05445413513367214]",4.0,"[0.08257091852512642,0.17504164732887026]",4.0,"[-0.0848160922515364,0.12924044736051904]",4.0,"[0.02,0.02]",126.4736,0.0,3.0,3.0,203.0,1.0,,,,,,,
