right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,91.0343,space,76.0262,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,91.0346,144.7947,space,23.7485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,144.7951,149.3266,space,1.5119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,149.3437,149.8427,149.8431,150.0928,150.093,151.4259,right,1.3075,,151.4262,152.5253,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,152.526,153.0249,153.0249,153.2751,153.2752,154.0744,right,0.7841,,154.0746,155.1737,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.174,187.3468,space,29.1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,187.3586,187.856,,,188.0969,188.7795,right,0.6679,,,,,,,,,0.1,,,,,,187.8563,188.0969,188.7801,"[-0.04248170547114799,-0.017530028077929735]",100.0,"[0.024479388395647467,-0.19712725828721583]",4.0,"[-0.1815119387502489,0.05727326490936724]",100.0,"[-0.11849074666955393,0.06365912498596249]",4.0,"[-0.09895166292245194,0.1328490026683223]",4.0,"[0.1146071414779256,0.1516195212629159]",4.0,"[0.11168857295611596,-0.04467191464723853]",4.0,"[0.06746489356111507,0.13954018811300178]",4.0,"[-0.039653707681601,0.06939141313001496]",4.0,"[0.07500436318689437,-0.18238333202448218]",4.0,"[0.029460460755473514,-0.1449850347134252]",100.0,"[0.17932661558539556,-0.03510554169889249]",4.0,"[-0.09794881167501267,-0.15201903670057582]",4.0,"[-0.012000241821345646,0.16786667232171643]",4.0,"[-0.16840730262286965,-0.050755529086214016]",4.0,"[-0.1664900720353253,-0.10356845742235937]",4.0,"[-0.1343702709422682,-0.12815726460486923]",4.0,"[0.04046354992785334,0.17258041002273805]",4.0,"[0.04978982636613627,-0.01015134553797431]",4.0,"[0.03303076828412598,0.10568278294612363]",4.0,"[0.12069511685560347,-0.1582860424868493]",4.0,"[-0.06053517394696658,-0.18746296481657343]",4.0,"[-0.006028881909687536,-0.12423811429757191]",4.0,"[0.11442966916624969,0.03532546164573908]",4.0,"[0.0342400890329643,0.028281279972190623]",4.0,"[-0.026991423958329073,-0.0557358956129983]",4.0,"[0.0584811218751608,0.06559820486480616]",4.0,"[-0.13637952269843776,0.0034505344203908275]",4.0,"[-0.06429690765306378,-0.10832466856147799]",4.0,"[0.1518125837503465,0.007769926930581529]",4.0,"[0.03340102378606967,-0.08502147516889375]",4.0,"[-0.18459660552874985,0.0032348557109949036]",4.0,"[0.02,0.02]",189.8787,0.0,0.0,0.0,191.0,1.0,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,189.8793,190.379,,,190.6295,190.9453,left,0.3013,,,,,,,,,0.45,,,,,,190.3791,190.6294,190.9454,"[-0.06784847837325036,-0.0417494647880475]",4.0,"[0.06740196344593126,-0.07418538730712655]",100.0,"[-0.15072115478553966,0.04718286786912265]",100.0,"[0.06488055597216914,-0.015877570978025512]",4.0,"[-0.11422214663983642,0.026476457712157987]",4.0,"[0.010528740483412607,-0.17473892148950843]",100.0,"[0.0778924830257704,0.08672048462290646]",100.0,"[-0.11821566399358827,-0.14369111042316166]",4.0,"[0.146955851547012,-0.003729405818504782]",100.0,"[-0.15705835699962853,-0.1070139783154561]",4.0,"[0.05052329768783137,-0.16829191060796309]",4.0,"[0.028754241562399724,0.1851438630774598]",100.0,"[-0.030800457898145384,0.1537931540047358]",4.0,"[-0.11032222448026315,-0.026658393481748612]",4.0,"[-0.08909790405148282,-0.10897017290545584]",100.0,"[0.1280306927148538,0.13581832711907085]",100.0,"[0.15469649923472434,-0.08094548971291159]",4.0,"[0.006054111140360582,0.05155519859370726]",100.0,"[0.08002795367721635,0.17581890024859667]",4.0,"[-0.014246042848689645,-0.12474827414386422]",4.0,"[0.08821433480419012,0.020382418357479413]",4.0,"[-0.016446180839065166,0.01420535024631985]",100.0,"[-0.05337504797671727,-0.15100694328820832]",100.0,"[-0.0686970826154972,0.123545108066892]",100.0,"[0.09093342999615642,-0.16447950584452456]",4.0,"[-0.14748186566673419,0.13246854436817293]",4.0,"[-0.0006977273687211909,-0.08324929096725368]",4.0,"[-0.1674367114341325,0.006241870314953753]",4.0,"[-0.01941486023022371,0.19871189364661168]",100.0,"[0.18107522398419973,-0.031956334882377056]",100.0,"[-0.09020125109683201,0.06905016298178371]",4.0,"[0.033741679787191274,0.0855799795223494]",4.0,"[0.02,0.02]",192.045,0.0,1.0,1.0,128.0,1.0,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,192.0453,192.5448,,,192.795,193.3611,right,0.5502,,,,,,,,,0.55,,,,,,192.5449,192.7949,193.3612,"[-0.029508833840660213,-0.16592924646043017]",4.0,"[0.004890200835670699,0.17329986416194418]",100.0,"[0.09522540194419035,-0.03684605771120085]",4.0,"[0.06972759617968345,-0.0735296028110823]",4.0,"[-0.02633835878551478,-0.04130144846027718]",4.0,"[-0.04978602660935054,0.08556561113428138]",100.0,"[0.025700762662546093,-0.07128753392984416]",100.0,"[-0.11037146744087102,-0.047417732756597435]",4.0,"[0.06067260110405485,0.011102720200538579]",4.0,"[0.05415801491663837,0.16874023915775535]",4.0,"[-0.1194704360591156,0.1131907865827943]",100.0,"[-0.1382269026671289,0.021125507778139804]",100.0,"[0.10918781920448893,-0.08203346062298085]",4.0,"[-0.09002422764652876,0.052325073358375614]",100.0,"[-0.016663067306970984,0.11566437276638027]",100.0,"[0.15780936047677271,-0.05204979081380885]",4.0,"[-0.06645623750947907,-0.12414386192504057]",100.0,"[-0.12861127799907607,-0.1529715399216223]",4.0,"[0.18773649287224045,-0.010329707827051077]",100.0,"[0.07241818601573163,0.09916456949892269]",4.0,"[-0.07355389107122837,-0.08365971377541004]",4.0,"[-0.044329372697033055,0.040734829539540454]",100.0,"[-0.028431610057828283,-0.08784884629050559]",100.0,"[-0.15068292590846138,-0.07449617921467652]",4.0,"[0.1643285924364736,0.07734392911868254]",100.0,"[0.07778005545693659,-0.16742883275286277]",100.0,"[0.10098532259053371,0.16093663785176093]",4.0,"[-0.00035221184558736576,-0.12112510150122438]",100.0,"[-0.0806479417005323,-0.004177817847382571]",100.0,"[-0.0582624078701715,0.16730640386585496]",100.0,"[0.1510104223727095,-0.11577536122690545]",100.0,"[-0.18679936584055234,-0.019919034890574616]",100.0,"[0.02,0.02]",194.4608,0.0,2.0,2.0,84.0,1.0,,,,,,,
,,,,,,,65fae6b84fa6b3101d2ca4b1,684428b24eb99d202ec80e93,2025-06-07_17h28.08.771,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,194.4613,194.9603,,,195.2113,195.8607,left,0.6357,,,,,,,,,0.45,,,,,,194.9603,195.2112,195.8608,"[0.049419017474660404,0.13405205734827344]",100.0,"[0.09219309815136971,-0.11873105898217205]",4.0,"[-0.0696447560399353,0.1280379369924911]",4.0,"[-0.031040390978413605,0.18403095830463584]",100.0,"[0.08216138816678879,-0.005536154554539394]",4.0,"[-0.03442799531117384,0.0677002006771121]",100.0,"[-0.15729930583346638,-0.040388366445767564]",100.0,"[0.12123260176374075,-0.15216082322614605]",100.0,"[0.11729034168408493,0.07694577929057765]",4.0,"[0.038511051836760804,0.02930188325744142]",100.0,"[0.011489135823794029,-0.10935575210698127]",4.0,"[-0.11133703842035413,0.07768742706279602]",100.0,"[0.095765275643435,-0.07159091372337839]",4.0,"[0.0906693644805988,0.03440613822123814]",100.0,"[-0.19470305301509333,-0.01754170738209776]",4.0,"[0.16692347683605382,-0.003713754058337848]",4.0,"[-0.10938134465187598,-0.09169905628222294]",4.0,"[0.0042670289822058964,0.12838815967658354]",4.0,"[0.038633608922272425,-0.0387108822834358]",4.0,"[-0.1348284702737022,0.0065538225066991045]",4.0,"[0.011582719885577878,-0.19813396274165102]",4.0,"[-0.18602064825640918,0.022109730836794243]",100.0,"[-0.05243353678951856,0.009763076554975967]",100.0,"[0.0022050507173515966,-0.00715397698091837]",100.0,"[-0.12658352166701256,0.14036699403716268]",100.0,"[0.1281239200457648,-0.03899523206216699]",4.0,"[-0.17648971230137447,0.07013999102699814]",4.0,"[-0.04520597763409845,-0.06107053082460872]",4.0,"[0.01843424250450836,-0.15126421012515504]",4.0,"[-0.06866336987995794,-0.133683924316763]",100.0,"[0.052058841455322184,-0.17572845257417785]",4.0,"[0.08931769734359359,0.16618398870096635]",100.0,"[0.02,0.02]",196.9599,0.0,3.0,3.0,126.0,1.0,,,,,,,
