right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,67.8951,space,52.875,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,67.8965,103.677,space,5.7636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,103.678,109.4289,space,2.7401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,109.5058,109.9443,109.9461,110.1963,110.1972,111.2027,left,0.9522,,111.2034,112.2957,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,112.2984,112.7954,112.7959,113.0288,113.0289,113.5291,right,0.4861,,113.5296,114.6289,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.6304,119.8,space,2.1478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,119.8402,120.3151,,,120.5529,121.3506,left,0.7729,,,,,,,,,0.9,,,,,,120.3179,120.5529,121.3523,"[0.01881480587687533,-0.13926238040916658]",4.0,"[-0.14829296695094346,0.03412218344541016]",100.0,"[-0.05111030031420048,0.05088689756183605]",100.0,"[-0.17329134808450117,-0.081364302031295]",4.0,"[0.1018888017835836,-0.010136266600021931]",100.0,"[0.014905939425735933,-0.09614401691945802]",100.0,"[-0.061418955149570825,-0.07447771728895732]",100.0,"[-0.07669326822939511,0.11655442186054278]",100.0,"[-0.119584687274072,-0.15778714706569522]",100.0,"[0.16744487596560295,-0.017486184523497934]",100.0,"[-0.07572285456641534,0.16893171323895356]",100.0,"[-0.12155809336771206,0.12670396798447356]",100.0,"[-0.0039098450134277185,0.05238402925621631]",100.0,"[0.10355731718702804,-0.1105355346590147]",100.0,"[-0.13138274465990124,-0.07787305235081032]",100.0,"[0.06434024405555329,0.054484884545153656]",100.0,"[-0.023326024046184352,-0.16017800116124659]",100.0,"[-0.011816455432179228,0.17741538283090108]",4.0,"[-0.1451594970465106,-0.013439428764143009]",100.0,"[0.08604668802864199,0.12779782925203897]",100.0,"[0.10254903503184061,-0.1590338322929012]",100.0,"[0.031099478924015628,0.08627200458164128]",100.0,"[0.06361691480304385,-0.17416186809596754]",100.0,"[-0.09258711603492847,0.02294236293622654]",100.0,"[0.08078585971814232,-0.07686893771085065]",100.0,"[0.180078451905997,0.08404009697870934]",100.0,"[0.12831485180783317,0.07159073384337811]",100.0,"[-0.01810358870183338,0.1151007236775951]",100.0,"[-0.08509278665175472,-0.019939419846623164]",100.0,"[0.17281684835324773,-0.09647453194426413]",100.0,"[0.1467734598864381,-0.13365496002492613]",100.0,"[-0.00760973833904673,0.002643146908892364]",100.0,"[0.02,0.02]",122.4514,0.0,0.0,0.0,14.0,1.0,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,122.4532,122.9504,,,123.2013,123.7016,left,0.4886,,,,,,,,,0.55,,,,,,122.9506,123.2012,123.7018,"[-0.027094701926728363,0.04443106577389515]",4.0,"[-0.12161756042140877,0.1278215568070038]",100.0,"[0.06081220006154634,0.028803526273363297]",100.0,"[-0.08928583151215216,-0.08568367113346839]",100.0,"[0.17192558991793752,-0.02369876939833012]",100.0,"[0.137456090472855,-0.07816592970822683]",4.0,"[-0.06944512514012319,-0.12184851654111775]",100.0,"[-0.07870657710620094,0.009832521401202598]",100.0,"[-0.033048863731420026,0.12351320172199566]",4.0,"[-0.10310624054880868,-0.15682348836234378]",4.0,"[0.08713854461255292,-0.10987905620495092]",4.0,"[0.00510896602469818,-0.03568182142541042]",4.0,"[-0.15567535178433772,0.06596072019568774]",4.0,"[-0.08967235161506602,0.07392135683331344]",100.0,"[0.09950143341216465,-0.048495144381299565]",4.0,"[-0.001262013745997737,0.18668039451688268]",100.0,"[0.18944277872265422,0.05011550359730161]",100.0,"[0.14079675650966966,0.02433156858685308]",4.0,"[-0.003010186799032395,-0.10577561534563479]",4.0,"[-0.13857164791078877,-0.03784163379461664]",100.0,"[0.0624849455977809,0.1459940851335928]",100.0,"[0.08381755681680814,0.09871821071404865]",100.0,"[-0.14510394016551706,-0.09409171450792037]",4.0,"[0.15290304159675347,0.10878274728582434]",100.0,"[0.015658378645750422,0.10858379117124599]",4.0,"[0.022802325122947893,-0.1399184161414023]",100.0,"[-0.08594341606727346,0.1601934225467158]",100.0,"[-0.18810979708628686,-0.019295554940478948]",4.0,"[-0.05641211824016321,-0.057944402548618046]",100.0,"[-0.12571229738948728,0.018666657555485834]",100.0,"[0.19825163706209348,0.00925344752862686]",4.0,"[0.033500937827421966,-0.08891565072928466]",100.0,"[0.02,0.02]",124.8003,0.0,1.0,1.0,77.0,1.0,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,124.8018,125.3006,,,125.5525,126.0516,right,0.4824,,,,,,,,,0.55,,,,,,125.3007,125.5523,126.0517,"[-0.036213396270654195,0.018374826952576893]",4.0,"[0.12904899797317376,-0.010523065797426954]",100.0,"[0.0005318625977031432,-0.04155415668580854]",100.0,"[0.029352739141007562,-0.08782511330282501]",100.0,"[-0.04802698662403837,-0.05225072871316359]",4.0,"[-0.04547364310202981,0.14325413619964925]",100.0,"[-0.1262301216662489,0.09487521632797352]",100.0,"[0.07786093068760067,-0.09506354619700728]",4.0,"[0.11968650298994464,-0.1551304747726979]",100.0,"[0.17828243666365576,-0.03902593238721166]",4.0,"[-0.08576497637126526,-0.10047206656823053]",4.0,"[0.0005106606142698516,0.05800991517929802]",4.0,"[-0.1888283066468123,-0.04138372792217539]",100.0,"[0.03950220340371206,0.09115919660544275]",100.0,"[0.09643668062517549,0.08485101653302243]",4.0,"[0.025871490936809037,0.1752451026583255]",100.0,"[0.12502251183372434,-0.10447319046412189]",100.0,"[0.15788135196149278,0.05865297972451068]",100.0,"[0.01306117145341451,-0.18581282939288585]",4.0,"[0.036553720113101616,0.13434356049492704]",100.0,"[-0.040741281444164626,-0.13251997249899158]",100.0,"[0.0838963024235858,-0.17932870567152387]",4.0,"[-0.0968829663809761,-0.13978579422773013]",100.0,"[0.09999343205547509,0.15890083041770692]",4.0,"[0.00430810775426735,-0.13216557428267262]",100.0,"[0.03292325213878131,-0.00589324059497845]",100.0,"[0.13904448875913955,0.10605025691590707]",100.0,"[-0.17549597917952175,0.01507739004199603]",4.0,"[-0.010995864411200805,0.1907847150152068]",4.0,"[0.1728680236572606,0.007395857543006776]",4.0,"[0.11953259786885553,-0.050496745640985274]",4.0,"[-0.08631500060132687,0.008864929989977458]",100.0,"[0.02,0.02]",127.1517,0.0,2.0,2.0,63.0,1.0,,,,,,,
,,,,,,,65fb480482fdc3e6b207b3a7,683af21ae3210b3a91c69abc,2025-05-31_05h14.31.438,shape_ratio,2024.1.5,Win32,59.88023952,683ae9196541af24d3a69e58,,,,,,,,,,,127.1538,127.652,,,127.904,128.2192,left,0.3004,,,,,,,,,0.1,,,,,,127.6522,127.9039,128.2195,"[0.0370471046834638,-0.11718506212370554]",4.0,"[-0.18055867485853272,0.003150841195500349]",4.0,"[0.07970471876934071,0.001984558221196063]",4.0,"[0.0027847626254843883,0.13141688603808832]",4.0,"[-0.01465724274693846,-0.08716853639855342]",4.0,"[0.09103850913846961,0.10092484723957561]",4.0,"[-0.10667055398256678,0.1430071796807648]",4.0,"[-0.04851790467686877,-0.03182385145261643]",4.0,"[0.01754068867587488,0.046877913701213914]",4.0,"[0.012941724498661872,-0.17447727412520614]",4.0,"[-0.10203780091082736,-0.06521207431008971]",4.0,"[-0.07912823482106694,0.09129624337780058]",100.0,"[-0.0062705243900856465,-0.025014568939140936]",4.0,"[-0.05246830520935416,0.1828964646036955]",4.0,"[0.03954796820921331,0.19429802458177997]",4.0,"[0.16704363693427657,-0.09039403517407472]",4.0,"[-0.03254776955211427,0.019154783023682852]",4.0,"[0.06370332839764067,-0.1569649219749207]",4.0,"[-0.14046073816251223,-0.03770630963203384]",4.0,"[-0.09125174707434729,-0.012861020312935708]",100.0,"[0.13452027664505248,0.12626082756667492]",4.0,"[0.16714822317940886,-0.017117918982674663]",4.0,"[-0.15312940994655896,0.11024969668835313]",4.0,"[-0.011435921878644058,0.08971597415482253]",100.0,"[0.12477935320846363,-0.04235057564555409]",4.0,"[-0.17294828303036056,-0.07097718728440616]",4.0,"[0.08031534751676699,-0.08378590070654036]",4.0,"[0.10511129952752825,-0.12008927337812207]",4.0,"[-0.002172385242800698,0.18840415286462167]",4.0,"[-0.12414882279173738,0.030403112867733607]",4.0,"[0.18095098856851496,0.06229630473538677]",4.0,"[-0.06511825694676333,0.13403827661550513]",4.0,"[0.02,0.02]",129.3193,0.0,3.0,3.0,180.0,1.0,,,,,,,
