right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,35.1504,space,20.1293,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,35.1507,66.3161,space,1.1378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,66.3164,72.4669,space,3.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,72.483,72.9833,72.9838,73.2337,73.2339,74.7168,left,1.4508,,74.717,75.8166,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,75.8174,76.3165,76.3165,76.5669,76.567,77.1667,right,0.5827,,77.1668,78.2664,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2668,82.7166,space,1.4301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,82.7275,83.2154,,,83.4672,84.15,left,0.668,,,,,,,,,0.6,,,,,,83.216,83.4672,84.1505,"[0.11862580197763611,0.005294680450687754]",100.0,"[-0.05265133298909421,-0.011519629367354381]",100.0,"[0.04456370574818238,-0.13016174134237407]",100.0,"[-0.04670619005633044,-0.16856999763491218]",100.0,"[-0.013469598500013268,0.10396120260563828]",4.0,"[-0.02353432268618787,-0.11848785368065036]",4.0,"[-0.12680577483615213,-0.12731934786626117]",4.0,"[-0.12029504325025082,-0.03598383220292028]",4.0,"[-0.1204321027102601,0.017781958495675387]",100.0,"[0.13700547481321,-0.1259577638936108]",100.0,"[0.004713965789835099,0.024472787659658442]",4.0,"[0.0011842393544614109,0.14303425076534013]",100.0,"[0.013137717509114355,-0.026861412523303093]",4.0,"[0.19686433117035584,-0.014424657412951753]",100.0,"[-0.030683718646974723,-0.05425634060763969]",4.0,"[-0.1699662856603998,-0.010337574575773334]",100.0,"[0.08950404967367395,-0.0648099529149349]",4.0,"[0.042226189532265104,0.09920553322515865]",100.0,"[-0.09966703849690046,-0.16609094329661273]",4.0,"[-0.09087881781472813,0.10958385681814799]",100.0,"[0.13879216930033977,-0.08542457007466804]",100.0,"[0.1026176972758691,0.09132321491677821]",100.0,"[0.041578097662328686,-0.07346229738874198]",100.0,"[0.07089935983666783,0.15585947952708631]",100.0,"[-0.08065782910153466,-0.12208860106840905]",100.0,"[-0.05193382314169124,0.04854046086458422]",100.0,"[0.16990620291373618,-0.0559543619925051]",4.0,"[0.1500830087792183,0.039608714223619626]",100.0,"[-0.0704079618626652,-0.06788923165421443]",4.0,"[0.1269529917105333,-0.03854533883137584]",100.0,"[0.10818413592242625,0.044601010146275516]",4.0,"[-0.1380641214026828,0.08978885606538471]",4.0,"[0.02,0.02]",85.2499,0.0,0.0,0.0,43.0,1.0,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,85.2506,85.7497,,,86.0002,87.1157,left,1.1,,,,,,,,,0.55,,,,,,85.7498,86.0001,87.1158,"[0.08651869807502638,-0.11757710799898256]",100.0,"[-0.028167758162971,0.17380673825218826]",100.0,"[-0.09232509236696536,-0.16316832841091886]",100.0,"[0.07085036979680252,0.15060005776197982]",100.0,"[0.12655637512369958,0.08940839432409724]",4.0,"[0.17797686477568253,0.019223656770858213]",100.0,"[-0.15126558928324949,-0.1233392509345769]",100.0,"[0.031324371982205924,0.0023698501308891465]",100.0,"[0.1308241504689052,-0.11786326258282691]",4.0,"[0.03502815077388337,-0.04650271544465875]",100.0,"[-0.17314181829572167,0.030931918325434623]",4.0,"[0.12901770733896914,0.13475070324276922]",100.0,"[-0.1718184652532666,-0.02731314088322178]",100.0,"[-0.1225359922620442,-0.036805000583535856]",4.0,"[-0.08353580952685684,0.03623292957515783]",100.0,"[0.03246291720180186,0.1088875630583231]",4.0,"[0.0250781146395484,-0.10666934553250178]",4.0,"[-0.04206160078812974,-0.1544933689788363]",100.0,"[0.003083538844133492,0.08047343651208942]",4.0,"[-0.06562175885937757,0.11669614613718982]",100.0,"[-0.13905093787136114,0.14365016027933444]",4.0,"[0.05753805411693088,0.0755353047098809]",4.0,"[0.15319127666688745,-0.03935091409484588]",100.0,"[-0.056317511720632735,-0.03519531109209287]",100.0,"[-0.030808218178619933,-0.10910007122367034]",4.0,"[0.1012841053207314,0.021185052740083744]",4.0,"[-0.10997172248191289,-0.10302394038277375]",4.0,"[0.023299535502233907,0.17843170225208763]",100.0,"[-0.1358091536513057,0.08319631568570728]",100.0,"[-0.0053473603777469585,0.12231279477221932]",4.0,"[0.021900454691873114,-0.18684081489984555]",4.0,"[0.07875759634856569,-0.025233089573049823]",100.0,"[0.02,0.02]",88.2153,0.0,1.0,1.0,73.0,1.0,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,88.2158,88.7163,,,88.9654,89.8499,right,0.8677,,,,,,,,,0.5,,,,,,88.7164,88.9654,89.85,"[-0.16022737441195464,0.09990349103037026]",100.0,"[-0.15525454240689673,-0.007050073840750096]",4.0,"[-0.06532436595932074,-0.021711342607047067]",4.0,"[-0.04695445280129699,-0.08600608865530765]",100.0,"[0.1005315259903842,0.03367645390566902]",4.0,"[-0.0301079896517449,0.1394713289323017]",4.0,"[-0.09076052929010607,0.12188632991628998]",100.0,"[0.06421403746487314,0.11159518373236317]",4.0,"[0.10136429180107494,0.07934779984398743]",100.0,"[0.1664919271510093,0.04176219920056665]",100.0,"[-0.1824167219966372,0.04419350545561412]",4.0,"[-0.02111875653902086,-0.14370293369248693]",100.0,"[0.1633218129880043,-0.01966953054841688]",100.0,"[0.026902287799534335,-0.13602455853610282]",4.0,"[-0.11481687615633857,0.01733711327931009]",4.0,"[0.1425534680505402,0.09719034281871032]",4.0,"[0.01250791634706885,0.118076229668404]",4.0,"[0.01572844117781883,0.18247338706365634]",4.0,"[0.10575161877319135,-0.08067941941631036]",4.0,"[-0.035769033784664075,0.18594907456988438]",100.0,"[0.04677720170927397,-0.18792657235950097]",4.0,"[-0.06772028625463104,-0.14267849473442026]",100.0,"[0.04201674105423888,-0.05297079543074578]",4.0,"[-0.11668681105924829,0.15254763352958406]",100.0,"[-0.08061729565589011,0.05085614367261493]",4.0,"[-0.015539342807822031,0.02451517154703263]",100.0,"[-0.10466575749571473,-0.11865144166678528]",4.0,"[0.046412064031313094,0.009614843292125606]",100.0,"[0.11022559185878529,0.1549138541080459]",100.0,"[0.18016397907174356,-0.08006465077038387]",100.0,"[0.08800371857532388,-0.13956731232681466]",100.0,"[-0.1590952805731505,-0.0935151199357475]",100.0,"[0.02,0.02]",90.9497,0.0,2.0,2.0,99.0,1.0,,,,,,,
,,,,,,,65fe94ba6224418236d68fa8,6842bc981af5ccb9609ec855,2025-06-06_05h02.13.194,shape_ratio,2024.1.5,MacIntel,61.34969325,6842b561977af9ba9b0f87ca,,,,,,,,,,,90.9502,91.4487,,,91.7,92.3832,right,0.6667,,,,,,,,,0.4,,,,,,91.4489,91.7,92.3833,"[-0.05362976510759555,0.030115252370432926]",100.0,"[-0.017280214615162635,-0.07413004044475678]",4.0,"[0.1298911499540932,-0.1163352617667367]",4.0,"[0.172474611406765,0.07799304123858103]",4.0,"[-0.02737895000592985,0.1692038377156201]",100.0,"[-0.063757375597787,-0.10463482567622426]",100.0,"[0.03542980998879088,-0.033978500826164916]",100.0,"[-0.13035718146119707,0.13623767642178766]",100.0,"[-0.14358041694141774,-0.09402437791801142]",4.0,"[-0.07489025886222664,-0.05136247775136604]",4.0,"[0.10331703039810256,0.03702634570805014]",4.0,"[0.08153614267908074,-0.08019982052546064]",4.0,"[-0.125765555378321,0.05417078926012128]",4.0,"[-0.03111985897874894,0.09187038388842547]",100.0,"[0.11938795176282589,0.12927138194051568]",4.0,"[0.10955075175874483,0.07982609497339026]",4.0,"[0.1711892045213642,-0.04962363419802847]",100.0,"[0.024500143598403346,0.025864916765732947]",4.0,"[-0.06162948069501378,-0.17730361553667628]",4.0,"[0.07200666084285047,0.17294987067669723]",4.0,"[-0.08600028431141521,0.15619166880042532]",4.0,"[-0.00137294170503593,-0.1582920935971448]",100.0,"[0.05380153775952478,-0.1735922050939935]",4.0,"[-0.07149710423832915,0.07810157897785927]",100.0,"[0.07158541222471461,-0.003003163603344565]",100.0,"[0.03482621959714003,-0.11109968739073445]",4.0,"[0.1868454242415773,-0.005510593139918961]",4.0,"[-0.023468286967277974,-0.02888018444714576]",4.0,"[0.0034733813721377943,0.06935202975137598]",100.0,"[0.03460292625870748,0.11931748856454609]",100.0,"[0.11845930590204155,-0.06007341538200616]",4.0,"[0.07653825964290353,-0.13965423262632012]",100.0,"[0.02,0.02]",93.482,0.0,3.0,3.0,150.0,1.0,,,,,,,
