right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,87.965,space,72.9509,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,87.9654,119.5575,space,1.5688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,119.5578,124.2229,space,1.6362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,124.2351,124.7396,124.7398,124.9735,124.9736,126.1895,right,1.1901,,126.1895,127.2896,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,127.2901,127.7892,127.7894,128.0389,128.039,128.9559,right,0.9005,,128.9559,130.0547,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.055,146.1531,space,13.0692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,146.1633,146.6533,,,146.9033,147.6528,left,0.7406,,,,,,,,,0.4,,,,,,146.6539,146.9032,147.6533,"[-0.0943450443824637,-0.07766449837734914]",100.0,"[-0.015010621759757132,0.07143550051615631]",4.0,"[-0.16611497823306284,0.0648005107347843]",4.0,"[0.17294884319753034,-0.08939264319470909]",100.0,"[-0.026744982950556776,0.1406617445714401]",100.0,"[0.14447881013914332,0.1351547790113043]",4.0,"[0.1508805355918125,0.03181386537684761]",4.0,"[-0.10688535471482598,0.1266226480889189]",4.0,"[0.01715413565395833,-0.03332370343074314]",4.0,"[-0.1904286603956547,-0.05100644804598577]",100.0,"[0.1102170781313049,-0.10842658055314673]",4.0,"[-0.0232435445883925,-0.07595549123085266]",4.0,"[-0.042986940451469224,-0.02869205079036142]",100.0,"[0.02801578000979279,-0.10223925347462354]",100.0,"[-0.07086452424102789,0.08481849334821862]",4.0,"[0.08089906810166524,-0.13732627251853338]",4.0,"[0.0808054935605778,0.1771352331505157]",4.0,"[-0.05576504071163213,-0.1060315986051227]",4.0,"[0.038565186574647095,0.011280262651366415]",100.0,"[0.1725989961898113,-0.04008977970224686]",100.0,"[0.02449460562620565,-0.1764158323039922]",4.0,"[-0.1455192783372417,-0.06860527752977136]",100.0,"[0.09179360707336678,0.11635121426818117]",4.0,"[0.19484813373736906,0.021234101889311637]",4.0,"[-0.18128870853956125,-0.01043897581588439]",4.0,"[-0.13151589516379042,0.0925846174557073]",4.0,"[-0.009132334465531116,-0.14861336483089826]",4.0,"[-0.13912560097011606,-0.009358733031116265]",100.0,"[-0.09647066974831375,-0.006991990913513373]",100.0,"[0.10247076996424506,0.03254189126778459]",100.0,"[0.13048862078801118,-0.14427616324787415]",100.0,"[-0.12076702754167067,-0.1149218863495933]",4.0,"[0.02,0.02]",148.7528,0.0,0.0,0.0,156.0,1.0,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,148.7532,149.2524,,,149.503,149.8695,right,0.3597,,,,,,,,,0.9,,,,,,149.2525,149.503,149.8696,"[0.05663968734420646,0.03332948735928643]",4.0,"[0.08923132407196364,-0.04696808536142508]",100.0,"[-0.10302311912842138,0.11535325481696687]",100.0,"[-0.04704490655958666,0.04693768667481856]",100.0,"[0.039191779871665444,0.12713359364382493]",100.0,"[0.002020522934973471,-0.02768008742949045]",100.0,"[-0.1660843406278964,-0.04410316069969109]",4.0,"[0.1587814024776025,-0.10800768018190528]",100.0,"[-0.16442047562101425,0.004569766961562476]",100.0,"[0.03018948433583851,-0.15946870111742678]",100.0,"[-0.1555470499536512,0.05080029281352845]",100.0,"[0.08035517312767626,-0.12188552312526921]",100.0,"[-0.09403807097951225,0.06931221460999326]",100.0,"[-0.05053038467551766,0.11900060994143807]",100.0,"[-0.16026672134110972,-0.09675187807975223]",100.0,"[0.19089663230654527,0.03266879562653649]",100.0,"[-0.04164091542704746,-0.16359286535734208]",100.0,"[-0.04852650443504872,-0.06888779072810285]",100.0,"[0.08368619622236287,0.15151430998929552]",4.0,"[-0.10133877322217995,-0.14102884991922884]",100.0,"[0.17000713625631017,0.06856625168973357]",100.0,"[-0.08555546464065725,0.15431289732697337]",100.0,"[-0.12085169609583465,-0.06724295540045203]",100.0,"[0.16254466732770462,-0.04066022876886091]",100.0,"[-0.09625675781425386,-0.10014413602781501]",100.0,"[0.128984171431484,0.07656564705471722]",100.0,"[0.10223726583524535,-0.15681765470168332]",100.0,"[-0.037771172517959334,0.161091960940673]",100.0,"[-0.0018665731312391906,0.19704520440430992]",100.0,"[0.04050648584418132,0.1757033276398836]",100.0,"[0.01967346474199445,-0.0691172824830638]",100.0,"[-0.009395917357702926,0.10666463662433157]",100.0,"[0.02,0.02]",150.969,0.0,1.0,1.0,2.0,1.0,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,150.9694,151.4688,,,151.7194,152.8521,left,1.1146,,,,,,,,,0.4,,,,,,151.4688,151.7194,152.8522,"[0.10822447218601416,0.15830305471703804]",4.0,"[-0.17066028283063353,-0.06680191233381631]",4.0,"[0.04611714226100327,0.11762935274358009]",4.0,"[-0.048964835690277764,-0.17490927889809887]",100.0,"[0.08869789254264693,-0.1018984662575866]",4.0,"[-0.1715669963584276,0.07859942781573169]",100.0,"[-0.16841119681844366,0.019987260339885297]",100.0,"[0.10057138823819717,-0.04170924081709547]",100.0,"[0.14383272962300345,-0.11472664009299899]",100.0,"[0.07312852556636015,-0.16305267431937437]",100.0,"[-0.06492798993062227,-0.12362904778284325]",100.0,"[-0.09345103952282648,-0.030525802618784542]",4.0,"[0.18414326659383018,-0.03138533380556057]",4.0,"[0.04148477727341443,0.05952610871684163]",100.0,"[0.12056116859422596,0.07311835279868512]",4.0,"[0.09519628877120422,0.029502577526545518]",4.0,"[-0.06721558079363478,0.04983601510469412]",4.0,"[-0.07391516732092067,-0.0655381321847249]",100.0,"[-0.13148634772262663,-0.0017186726628197475]",4.0,"[-0.013852254810252746,0.17867028776615584]",4.0,"[0.06556184954464188,0.17968421029278442]",4.0,"[0.013800384232988055,-0.09346153379197239]",100.0,"[-0.1204508419908118,0.09317895828599629]",4.0,"[-0.10891039559871135,0.13260708004419855]",4.0,"[-0.19533413779290795,-0.03234473238080113]",4.0,"[-0.0504826185909727,0.12981111226944608]",100.0,"[0.04754309580023519,-0.02913596955265634]",4.0,"[0.0022126345487729383,-0.16632158920319187]",4.0,"[-0.10196440228395709,-0.10237472146177048]",4.0,"[-0.009900152793385032,-0.013818526272041056]",4.0,"[0.08133593631511578,0.08918383461525985]",100.0,"[-0.021653031014273152,-0.1333161560752344]",100.0,"[0.02,0.02]",153.9516,0.0,2.0,2.0,162.0,1.0,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,153.9519,154.4518,,,154.7015,155.1853,right,0.4663,,,,,,,,,0.9,,,,,,154.4519,154.7014,155.1853,"[0.0141045949141399,-0.15539995903491813]",100.0,"[-0.11150334686466298,-0.027919760636346366]",100.0,"[0.015537533309345696,0.05914573209107947]",4.0,"[0.08411730110976694,0.17326798525196835]",100.0,"[0.18109706517400764,-0.039054538757948044]",100.0,"[0.19118578840043438,0.032007122299538344]",4.0,"[0.15085420429525478,-0.10425862893122871]",100.0,"[-0.029831505181577504,-0.10433534069425156]",100.0,"[-0.1219655158124758,0.10410476065486257]",100.0,"[0.049449128735136565,-0.014032256566330916]",100.0,"[0.07746501803915745,-0.11334371077482525]",100.0,"[0.04873447820464612,-0.06731135458920681]",100.0,"[-0.1132771114967399,0.016978292961896624]",100.0,"[-0.08086435415965325,-0.10824994549679237]",100.0,"[0.14014128097199272,-0.03966125449865435]",100.0,"[0.14763715255894433,0.11920492951203711]",100.0,"[0.08698498303159324,-0.034474893733569247]",4.0,"[-0.07366338583464806,0.15979075342350574]",100.0,"[0.03095754077467901,-0.11366640328191509]",100.0,"[-0.10046289397317885,-0.15363781850243613]",100.0,"[-0.07471196581127866,-0.058017030362902795]",100.0,"[-0.13434674275021707,-0.09927058484457049]",100.0,"[-0.006640408473179007,0.01929928745836885]",100.0,"[-0.17757287388323745,0.03953206534133726]",100.0,"[0.11678474092703657,0.055965916407250356]",100.0,"[0.09362796097277812,-0.16709791783472006]",100.0,"[-0.024810402316853275,-0.036967794425272815]",100.0,"[-0.06149689570838678,-0.0199458499427294]",100.0,"[0.07313125867211333,0.12228651820858458]",100.0,"[-0.1551945881848041,-0.04417974105476996]",100.0,"[0.06335007802473064,0.03569767007383581]",100.0,"[-0.07124349183740515,-0.18331826078460103]",100.0,"[0.02,0.02]",156.2843,0.0,3.0,3.0,24.0,1.0,,,,,,,
,,,,,,,66031484603e46d7e3ae1864,6842bbdb347641f08b8be2d5,2025-06-06_12h59.24.237,shape_ratio,2024.1.5,Win32,60.97560976,6842b561977af9ba9b0f87ca,,,,,,,,,,,156.2845,156.7849,,,157.0352,157.951,left,0.9014,,,,,,,,,0.6,,,,,,156.7851,157.0352,157.9511,"[-0.1341079947989109,0.14502187071152267]",100.0,"[-0.026376095230333865,0.09303809598920988]",100.0,"[0.13546484844203047,0.05489319277232207]",100.0,"[0.013130474507455804,0.008664628165651958]",4.0,"[0.0010397379880722642,-0.1649097618728586]",100.0,"[0.043144450364876824,-0.12050541873950694]",100.0,"[0.13368245084517563,0.12265558144130559]",100.0,"[-0.1701720805054773,-0.0021662138580326117]",100.0,"[0.06217362887436347,0.18521966576215762]",100.0,"[0.012642056689282078,-0.03625900380134957]",100.0,"[-0.008391300756641235,-0.1236949288622205]",100.0,"[0.10746317555690085,-0.08158066224582637]",100.0,"[0.1027115003710034,-0.03219643066520433]",100.0,"[-0.06494227206046793,-0.051551494066755486]",4.0,"[0.010330044667938668,0.07484945494671932]",100.0,"[-0.1716595081183087,0.09088956220698993]",4.0,"[-0.04894788392481843,-0.13291554559673566]",100.0,"[-0.16103868098589652,-0.08190861733042576]",4.0,"[-0.041431752273963146,-0.018021378419700505]",4.0,"[0.07822111452735588,0.11064906679904611]",100.0,"[0.19940475963314044,-0.010988138510422787]",100.0,"[0.09247894578724046,0.15443353844421884]",100.0,"[0.07555062799164405,-0.16350624280099993]",4.0,"[-0.06830483523182995,0.10636493099678429]",4.0,"[-0.016495052189104773,-0.06532995212345462]",4.0,"[-0.1384285706181288,-0.1297674697925276]",4.0,"[-0.01697897171306604,0.04450868347928752]",100.0,"[-0.12505919685473466,0.07359586567096109]",100.0,"[0.19027537467269764,0.03931940173099897]",4.0,"[-0.1315037558083952,0.01815657012815362]",4.0,"[-0.060587383189083646,-0.18292920130103688]",4.0,"[0.167271252522225,0.09964991069039525]",4.0,"[0.02,0.02]",159.0512,0.0,4.0,4.0,31.0,1.0,,,,,,,
