right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0002,20.3877,space,5.3818,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,20.3878,51.6357,space,1.2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,51.6358,55.1977,space,0.5553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,55.2088,55.7011,55.7012,55.9502,55.9502,57.0058,left,1.0391,,57.0059,58.104,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,58.1044,58.6016,58.6016,58.8504,58.8504,59.4995,left,0.64,,59.4995,60.5978,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.5979,69.021,space,5.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,69.0363,69.5244,,,69.7727,71.2713,,,,,,,,,,,0.55,,,,,,69.5247,69.7726,71.2715,"[0.02044148906123596,0.18346287791452093]",4.0,"[0.050823885474423645,0.13791420599931664]",4.0,"[-0.014521842185285115,-0.011652475122191327]",100.0,"[-0.17897255970471398,-0.08708839810924004]",4.0,"[0.11671264090203039,0.019013799583714353]",4.0,"[-0.11724501995531283,0.00748142344311828]",100.0,"[-0.1769594364502262,0.004172733626286782]",4.0,"[0.0455043378843361,-0.12375103045770225]",4.0,"[-0.05440575866906304,-0.001617274162910832]",100.0,"[0.10924918912653046,-0.10614572478998267]",100.0,"[-0.08724409846080616,-0.05768371678601477]",100.0,"[0.007556294418985612,-0.19050927314247837]",100.0,"[-0.04758289489181691,0.14229426895458347]",100.0,"[0.1666421385687711,0.07758425868607109]",100.0,"[0.06293746556359403,0.05539325843713842]",100.0,"[-0.12651473715199582,0.09142081636385901]",4.0,"[0.011650433654523815,0.10020021330102281]",4.0,"[0.06627371191450396,-0.035723523573961725]",4.0,"[0.03808421844803376,-0.07202967316539811]",100.0,"[-0.04483429520566458,-0.08926747457429327]",4.0,"[-0.10474031601697714,0.144047849730825]",100.0,"[0.0664710631381309,0.009462600914699295]",100.0,"[-0.10197921022022366,0.05598768765985714]",100.0,"[-0.06398082358701111,0.18230694466858555]",100.0,"[0.1523147309472829,-0.0009216044368603967]",100.0,"[-0.0732490453145032,-0.1743166192569752]",4.0,"[0.181149023243826,-0.06260951181520553]",4.0,"[-0.007270201472628866,-0.1330403418056915]",100.0,"[0.12737355598797995,0.12011027701063481]",100.0,"[-0.11043606057004647,-0.09149051514932174]",4.0,"[-0.019614664937149546,0.06791974173647629]",100.0,"[0.0878282824380182,-0.16083241545463806]",4.0,"[0.02,0.02]",72.3696,0.0,0.0,0.0,65.0,1.0,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,72.3699,72.8669,,,73.1159,73.6194,right,0.4947,,,,,,,,,0.1,,,,,,72.8669,73.1159,73.6195,"[-0.07030452505026594,-0.08409625007415732]",4.0,"[0.11182072134117721,-0.007320757081112131]",4.0,"[-0.01618922721181406,0.1922463028417756]",4.0,"[0.014322841616002354,0.07856504255724556]",100.0,"[0.00829515464279376,-0.18961904968905144]",4.0,"[0.01652177969826302,-0.046449965517924026]",4.0,"[-0.11321855383874486,0.09848320322591811]",4.0,"[-0.05919749417684945,0.11038257453812604]",4.0,"[-0.017364159102121926,-0.0759053899521388]",100.0,"[0.19046170951104172,-0.005342873602244419]",4.0,"[0.1032496580734651,-0.13290608874139764]",4.0,"[-0.16229412179844718,0.008647960822162203]",4.0,"[0.06435762846727282,-0.16806772284860877]",4.0,"[0.05680698639119042,-0.04149609611920541]",4.0,"[0.13189682890010404,0.12581849769692333]",4.0,"[0.04612857708319099,-0.1298019846628324]",4.0,"[0.16118866307601676,-0.0689655187110815]",4.0,"[0.06191500841503289,0.02542474915581924]",4.0,"[0.06394013845887966,0.1863713648086318]",4.0,"[-0.14814049811029328,0.1308019096659815]",4.0,"[-0.09990503577076774,-0.11340719093248194]",100.0,"[0.05969946438655309,0.12188696846827216]",4.0,"[0.013262365915334504,0.018338725717807043]",4.0,"[-0.1641307274640856,-0.039085666683117706]",4.0,"[-0.0983467725590899,0.021405207907692604]",4.0,"[0.1379754366854411,0.06337657772170716]",4.0,"[-0.06083961215534002,0.16185652829048405]",4.0,"[-0.18405397655009112,0.04653081223571085]",4.0,"[0.15137272169383634,-0.0163894133945482]",4.0,"[-0.06469268733521895,-0.16577077394287626]",4.0,"[-0.03347031216609808,-0.022798239109418122]",4.0,"[-0.11971863626498334,-0.07610079233069236]",4.0,"[0.02,0.02]",74.7177,0.0,1.0,1.0,205.0,1.0,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,74.718,75.2153,,,75.4642,75.987,right,0.5155,,,,,,,,,0.1,,,,,,75.2153,75.4642,75.987,"[0.11433806858697033,0.1272161713595101]",4.0,"[-0.054322855497512486,0.0383205107109433]",4.0,"[0.002968493628682045,-0.17731237867974708]",4.0,"[-0.0707855324440742,-0.008277178516513868]",4.0,"[-0.10146093033195733,0.12479885221990684]",4.0,"[-0.1349914757878051,-0.13864653367364135]",4.0,"[0.0629606208787188,0.12706426204096208]",4.0,"[0.05258965701201884,0.050836577213431655]",4.0,"[0.12775934222392143,0.04389757179280771]",4.0,"[0.02946318820340857,0.17086696911153368]",4.0,"[-0.004345320788653644,-0.07645898453581966]",4.0,"[0.11875023523249635,-0.02761368065780719]",4.0,"[0.06740063969202928,-0.12654500315052153]",4.0,"[0.0912503178013209,-0.0659159838469576]",4.0,"[0.1856989423891461,-0.046013818762099]",4.0,"[0.031558718408650835,-0.03181715456665219]",4.0,"[-0.019123338919592375,0.005500574589504653]",4.0,"[-0.05416845927697877,0.08530135830099125]",4.0,"[0.13469530936416976,-0.10735858422902456]",100.0,"[-0.05482968076322548,0.148881628404313]",4.0,"[0.014935991088776348,-0.11993538597894689]",100.0,"[-0.02843034506913524,-0.1441434289787715]",4.0,"[0.045067199006648184,-0.08416219638365502]",100.0,"[0.06359596811348397,-0.1878990816695008]",4.0,"[-0.10926524544134689,-0.042575768536212005]",4.0,"[0.08778641073078546,0.027424844996609545]",4.0,"[0.15924304673303719,-0.00863846346160549]",4.0,"[0.17803060924856876,0.057627196775110925]",4.0,"[-0.1594515117380387,0.016541351245363788]",4.0,"[0.07252065789222911,0.17675699540116394]",4.0,"[-0.016105509272020195,0.1852837867363789]",4.0,"[-0.011786773094632936,0.05434826713706815]",4.0,"[0.02,0.02]",77.0867,0.0,2.0,2.0,200.0,1.0,,,,,,,
,,,,,,,660434638448016695dbc246,684429300757be1571665109,2025-06-07_14h05.07.393,shape_ratio,2024.1.5,Win32,163.9344262,684250e4f00cb30b92d1fa88,,,,,,,,,,,77.0868,77.5851,,,77.8367,78.4131,right,0.5706,,,,,,,,,0.4,,,,,,77.5852,77.8367,78.4131,"[-0.054950498828229895,0.11468346261559587]",100.0,"[-0.09388378691726627,-0.1605127555353052]",100.0,"[0.11637976803368824,0.008340021553409946]",100.0,"[0.02366479213023402,-0.00986717549271487]",100.0,"[-0.017360510104868936,-0.12814176501948152]",4.0,"[-0.1879865977800568,0.030730077586024484]",4.0,"[-0.0678814886872241,-0.10966332734493749]",100.0,"[-0.159904665081539,-0.03497177849133188]",4.0,"[0.15468606764118065,-0.0422384144205141]",4.0,"[-0.0015139307877628026,0.08770114973566655]",100.0,"[0.12361030352838503,0.0767184500868612]",100.0,"[0.14938120364218696,0.13094547777115803]",4.0,"[-0.04364348479199396,0.051262237716573324]",4.0,"[-0.005927117015422203,-0.17874749731751088]",4.0,"[0.01995422810856905,0.16202952854073693]",4.0,"[0.038006227950522845,-0.06553160853030832]",4.0,"[-0.09072298808375047,0.03166135753500205]",4.0,"[-0.04889131117921112,-0.04786105019075771]",4.0,"[0.045089154873706856,0.10075406728886546]",100.0,"[-0.08592343911836782,0.1747313664954564]",4.0,"[0.17753922884254725,-0.08136356076633991]",4.0,"[-0.14302874784836186,0.003126558886880702]",100.0,"[0.06452226434618036,-0.1440492402757188]",4.0,"[0.08744522771559173,0.1729461068556358]",4.0,"[-0.06126646834392547,-0.005125770470858685]",4.0,"[0.08284991153506238,0.0857438542626099]",4.0,"[0.035620422615797336,0.04235124128934681]",100.0,"[-0.11065524365905892,0.13855145149663917]",4.0,"[0.036709559287727074,-0.11200497254122586]",100.0,"[0.10150584292036617,-0.07758353665615754]",100.0,"[0.19542131568270008,0.02865155568141373]",4.0,"[-0.09186554589623461,0.08020539936876125]",100.0,"[0.02,0.02]",79.5114,0.0,3.0,3.0,156.0,1.0,,,,,,,
