right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0031,15.6273,space,0.5949,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,15.6335,49.5705,space,3.9184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,49.5711,73.9128,space,21.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,74.0011,74.4283,74.4294,74.6792,74.6795,75.3471,left,0.5998,,75.3478,76.4426,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,76.4448,76.9415,76.9417,77.1929,77.1931,77.4252,right,0.2161,,77.4254,78.5229,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.5234,181.5904,space,100.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,181.6219,182.1058,,,182.3448,182.5892,left,0.2203,,,,,,,,,0.45,,,,,,182.107,182.3447,182.5909,"[-0.1681952030276317,0.05052060198021379]",4.0,"[0.07018641202679103,0.030637361285388773]",4.0,"[0.16589670682751304,-0.06988051986291755]",100.0,"[-0.025817794330364373,-0.108726694190619]",100.0,"[0.15684630172013458,0.004717208949827636]",4.0,"[-0.1712565145695379,-0.040228893323036995]",100.0,"[0.05761654899596822,-0.1370516174647936]",4.0,"[0.041867427491715806,0.0855260679076043]",4.0,"[0.014363229923556372,0.18984607580170593]",100.0,"[0.11803793536393148,-0.05921832773600218]",4.0,"[0.10162467786681285,0.16180536885318858]",100.0,"[-0.12415276937596957,-0.02950802159708863]",100.0,"[-0.04219861071893932,0.12168083225287801]",4.0,"[0.13396955067850017,-0.13321402799924473]",4.0,"[0.10055510419217256,0.004145441341848974]",100.0,"[-0.10410277918383988,0.15534134434028368]",4.0,"[-0.03213853211070748,0.048692007142565434]",4.0,"[0.19459826735522123,-0.010462819724658498]",100.0,"[-0.10204344088861148,0.09032906585176667]",100.0,"[0.09849886079165387,0.07305083144323515]",4.0,"[0.046697602525878436,0.15593961772178472]",100.0,"[0.023857747830927464,-0.0414344739073485]",4.0,"[0.16036844315331122,0.08240074591483794]",4.0,"[0.0010217966141830587,0.024487272556117125]",100.0,"[-0.016815223089328216,-0.057002587665994385]",4.0,"[-0.11614550989095423,-0.09772907409981445]",100.0,"[-0.16532603903716897,-0.10789000755441659]",4.0,"[-0.07332197470612721,0.05828514482225922]",4.0,"[-0.06731549064905493,-0.07596457793919463]",100.0,"[-0.11801672492424096,-0.13939644242744698]",4.0,"[-0.09978346650131664,0.011484054302584108]",4.0,"[-0.09026279039783766,-0.16886530871174057]",100.0,"[0.02,0.02]",183.6875,0.0,0.0,0.0,133.0,1.0,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,183.6884,184.1876,,,184.4413,184.5595,right,0.1008,,,,,,,,,0.4,,,,,,184.1877,184.4412,184.5597,"[-0.10223134333022307,0.019398429560958236]",100.0,"[-0.1142956558051227,0.16380552800868778]",4.0,"[0.007228948279358814,-0.1084973614708364]",4.0,"[0.07505470491243585,-0.013341985339928813]",4.0,"[0.10242502532495713,-0.14025225761242038]",100.0,"[0.06945874406997518,0.14736944722652726]",4.0,"[0.02389137829366154,-0.14610613663464503]",4.0,"[-0.13474443840752812,-0.13754960168363567]",100.0,"[-0.04465412787155938,0.19184191797147992]",4.0,"[-0.06034718332117788,0.0013291603475265076]",4.0,"[-0.12848700700934687,-0.0894757674955294]",100.0,"[0.09700776331419018,-0.07664187370648341]",4.0,"[0.03184734759835461,0.12618960845469185]",4.0,"[-0.14606271731364387,0.053202051465362395]",100.0,"[-0.15055858535305147,-0.019582914171397462]",4.0,"[-0.04935772170774633,-0.09538207498187809]",100.0,"[-0.07116958769017444,0.131310573360173]",4.0,"[0.1414783782629634,-0.017748394504756113]",100.0,"[-0.041300439706334575,0.09916532138814549]",100.0,"[0.06805518916727292,-0.10897761549327693]",100.0,"[0.04982562370166748,0.07502279284203538]",4.0,"[0.03307487247869454,-0.18569862014347296]",4.0,"[0.1666971630380196,-0.05763025105376973]",4.0,"[-0.17880240160802827,-0.08195222166573979]",4.0,"[-0.013808698687248022,0.010642263873721452]",4.0,"[-0.0026229645431688066,0.07861443362151223]",4.0,"[0.17346495079904256,0.04691443209246015]",100.0,"[0.11142392686930001,0.13569870363695394]",4.0,"[-0.19659913798662185,-0.024596475121047342]",100.0,"[0.08570301718644271,0.09674019494967197]",100.0,"[-0.1462488314373074,0.09405884819331439]",100.0,"[-0.111886081163569,-0.05007337254505935]",4.0,"[0.02,0.02]",185.6525,0.0,1.0,1.0,160.0,1.0,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,185.6538,186.152,,,186.408,186.8021,left,0.3752,,,,,,,,,0.4,,,,,,186.1522,186.4078,186.8022,"[-0.1509484824584475,-0.007186578763297675]",4.0,"[-0.09310832548069473,-0.10809329164664515]",4.0,"[0.03755468641960937,-0.025853694901429698]",100.0,"[-0.1936419645413656,0.037065666637920845]",4.0,"[-0.08873886651191125,-0.03785841135148263]",4.0,"[0.046222445000083844,0.047017054595150015]",100.0,"[-0.1595219808759118,-0.05816631989323186]",4.0,"[0.08593735909369131,0.12970074969058182]",4.0,"[0.06555305583194625,-0.17844762556937194]",4.0,"[0.04352646121134425,0.18995617119143604]",100.0,"[-0.02938226483234926,0.17213817187279457]",4.0,"[-0.12745078675585572,0.07986581782718705]",100.0,"[-0.06925861041724128,-0.15365786325589656]",4.0,"[0.1574315295351764,-0.08409743622338284]",4.0,"[0.12718933228604204,0.010378976736561508]",100.0,"[0.07782294237778725,-0.13111730179462242]",4.0,"[-0.07277148962086216,0.11579365488745695]",100.0,"[-0.038487375022290014,-0.037731780098242615]",4.0,"[0.08004310734499463,-0.06854319861946123]",100.0,"[-0.13582911454158897,-0.1120972925710122]",4.0,"[0.17975684660241498,0.01980354486745115]",4.0,"[0.1683042173995753,0.07365030927309879]",4.0,"[-0.1941217581401603,-0.0331920230985448]",100.0,"[-0.0035250545173233752,0.03474924910422619]",4.0,"[0.0071588986028752076,-0.07191944023799791]",4.0,"[-0.028613016862898737,0.09955657427289459]",4.0,"[-0.044213060224411564,0.019172055458663493]",100.0,"[-0.10902803316681776,-0.0014414391989403753]",4.0,"[-0.1007268852816327,0.15348664207013205]",100.0,"[0.08908962517966455,0.04823069249501199]",100.0,"[-0.09223059820163063,0.053340416997416]",100.0,"[-0.008835998585173853,-0.009502743867772771]",100.0,"[0.02,0.02]",187.9002,0.0,2.0,2.0,171.0,1.0,,,,,,,
,,,,,,,66095082185479f7db42d782,6842bb16f23b681be4393394,2025-06-06_10h56.14.377,shape_ratio,2024.1.5,Win32,58.47953216,6842b561977af9ba9b0f87ca,,,,,,,,,,,187.9012,188.3998,,,188.6496,189.0828,left,0.4091,,,,,,,,,0.1,,,,,,188.3999,188.6495,189.0829,"[-0.10256637518934465,-0.008123869282704105]",4.0,"[-0.11763826889506286,0.1471767383403489]",4.0,"[-0.023954767739062084,0.04055954877221893]",4.0,"[-0.06711964794005577,-0.15215823186764482]",4.0,"[0.08403943722250812,-0.10127134886582605]",4.0,"[-0.10995891678271108,-0.06604278553145854]",4.0,"[0.1472808097749287,0.046497679234996446]",4.0,"[0.08991307731508914,0.1573968500009956]",100.0,"[-0.06399766280103487,0.13382472958746822]",4.0,"[0.0066774207701619645,-0.184046621113225]",4.0,"[0.1071323655115703,-0.14151152818999002]",4.0,"[0.04755699417266496,-0.04710701891138629]",100.0,"[-0.1750473446919686,0.06348646154557626]",4.0,"[0.05582291222116015,-0.190131061257202]",4.0,"[-0.15995313808391934,-0.05898836982767011]",4.0,"[0.003293803080941202,-0.06962331380607958]",4.0,"[-0.03541023059424259,0.09218339433958192]",4.0,"[-0.1139628247942326,-0.1362651380859379]",4.0,"[0.12276595411647212,0.08721095835424456]",4.0,"[0.16817788265241446,-0.04598321463555137]",4.0,"[0.0181083751559984,0.008835001179284742]",4.0,"[0.12676321769540078,-0.035008333820364584]",4.0,"[0.0921928058595082,0.014526922530204408]",4.0,"[-0.13704021279176065,0.035077838250961814]",4.0,"[-0.07383227230197051,-0.0838942327465096]",4.0,"[0.16359059097988343,0.10195871824414078]",4.0,"[0.06601467256089272,0.08357635244426875]",4.0,"[0.016822731692649022,0.06865634821466839]",4.0,"[0.1594094562305371,-0.11504587751507814]",4.0,"[-0.045205015976023784,-0.05366387890476192]",100.0,"[-0.18134712717516407,-0.004131751367942721]",4.0,"[-0.03659376437892747,-0.10165884852801496]",4.0,"[0.02,0.02]",190.1814,0.0,3.0,3.0,195.0,1.0,,,,,,,
