right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0002,32.1084,space,17.0911,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,32.1088,66.4248,space,4.2974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,66.4249,70.4579,space,1.0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,70.4682,70.9582,70.9589,71.2079,71.208,72.7077,,72.7078,73.8083,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,73.8093,74.3076,74.3076,74.5578,74.5579,74.8747,right,74.8749,75.9745,0.0,1.0,1.0,0.0,1.0,0.2,0.3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.9751,80.4079,space,1.4153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,80.4157,80.908,,,81.1588,81.4246,right,,,,,,,,0.9,0.2486,,,,,,,80.9088,81.1587,81.4252,"[0.12189664308838152,0.10943586487973643]",100.0,"[0.061586087924841125,0.022455435661080606]",100.0,"[-0.05647614259349046,-0.13659143278065264]",100.0,"[-0.17244394467112042,0.01598770879829312]",100.0,"[-0.06849733856346721,0.0001412381774105682]",100.0,"[0.19392935740913914,-0.004265915916854515]",100.0,"[0.10904866974012972,0.06811544550453026]",100.0,"[-0.07898093205053482,0.10236826039813364]",100.0,"[0.03803049292763678,-0.07014095640576143]",100.0,"[0.16095539141662588,0.05289361801873301]",100.0,"[0.01281661439384325,0.015657731150794902]",100.0,"[-0.11920658047519943,-0.05371926028592815]",100.0,"[-0.13596995833727543,0.07995542704152336]",100.0,"[-0.07387072950558775,0.04932690154114747]",4.0,"[-0.0023785828367137037,0.18785592050692698]",100.0,"[0.024054865335701683,0.07783346120535445]",100.0,"[0.16171435576111368,-0.055022156026926027]",100.0,"[0.08819097549048086,0.16636591359518518]",4.0,"[-0.005803266650998528,-0.06432115843906239]",100.0,"[-0.07988970975845965,0.17769209103426073]",100.0,"[-0.10188234279308171,-0.13972181672092213]",100.0,"[-0.0745903806045673,-0.07552232928182533]",4.0,"[-0.1294484225546314,-0.007156057852045001]",100.0,"[-0.03735224127149643,0.07049821879486005]",100.0,"[0.012636045571179047,-0.14998048897156493]",100.0,"[0.07171163241582455,0.09340327289075141]",100.0,"[0.06389034178698828,-0.10925384972635313]",100.0,"[-0.012802732525147539,0.13055067927965286]",100.0,"[0.11913709533196647,-0.1496888334724297]",100.0,"[-0.1803803622634575,0.06981512376544372]",100.0,"[0.0678423117074993,-0.15355270379170166]",100.0,"[0.11069979260399168,-0.0407396527074145]",100.0,"[0.02,0.02]",82.5247,0.0,0.0,0.0,5.0,1.0,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,82.5251,83.0246,,,83.2749,83.4746,left,,,,,,,,0.6,0.1863,,,,,,,83.0246,83.2749,83.4747,"[-0.1694205024054627,0.07945302076998731]",100.0,"[-0.12887750113654947,-0.040674512599984294]",4.0,"[-0.04725571816784486,-0.08216292608607392]",4.0,"[-0.1312119567680514,0.03348896709731415]",4.0,"[-0.007332609646696252,-0.009027053870850243]",100.0,"[-0.07299557915319056,0.09233185511875987]",4.0,"[0.04412206366383646,-0.027161637929548475]",100.0,"[0.19135684675700956,0.03163404551268415]",100.0,"[0.06477975493319975,-0.160534785289498]",4.0,"[-0.019528881966724213,-0.05059250358949288]",100.0,"[0.01920180511216129,0.13988680755074043]",100.0,"[0.07448564639977646,-0.11730186328552329]",4.0,"[0.05972493317970744,-0.07746822519874588]",100.0,"[0.03410424327794599,0.02978124956731341]",100.0,"[0.007929470061809007,-0.15514010685931146]",4.0,"[-0.1800169524313245,-0.07188027168224145]",100.0,"[0.1571961268363527,0.07508770975905663]",100.0,"[0.1258629577731927,-0.12073619358832965]",4.0,"[-0.05695742550333929,0.052951475713117334]",100.0,"[-0.013506113352447753,0.115164900782419]",100.0,"[0.039205960726862554,0.10057108797078952]",100.0,"[0.08979278913094224,0.14777032542947688]",100.0,"[-0.07360161844864524,-0.02701919927069026]",4.0,"[-0.0666158791331789,0.13429518695697734]",4.0,"[-0.19008930895073256,-0.027711274459469144]",100.0,"[-0.05186370193418947,-0.17048536210790136]",100.0,"[0.00362226534078196,0.1959931198112517]",4.0,"[-0.0420491886398694,-0.12795076013673382]",100.0,"[0.09884972631107497,-0.033588018588088527]",100.0,"[0.10328206803282496,0.07435680749809569]",100.0,"[-0.13723263999114615,-0.1368102466543143]",4.0,"[0.15495330491615456,-0.008132423171217842]",4.0,"[0.02,0.02]",84.5743,0.0,1.0,1.0,36.0,1.0,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,84.5744,85.0746,,,85.3253,85.3914,right,,,,,,,,0.55,0.0564,,,,,,,85.0747,85.3253,85.3915,"[-0.07044929292216563,0.01765805969012044]",100.0,"[0.029907156173784387,0.011373721412031702]",4.0,"[0.04326274182414658,0.179331421750946]",4.0,"[-0.011238761733679678,-0.17562956081366765]",100.0,"[-0.1399459175082718,0.13779451013927965]",4.0,"[0.010379204473431559,-0.11584751421510625]",100.0,"[-0.17306312892038936,-0.04671569789995414]",4.0,"[-0.15198040739337015,-0.08671656572939976]",4.0,"[0.07164824200662152,0.0016071073529757235]",100.0,"[-0.025559975113679204,-0.008387249950893527]",100.0,"[-0.016153857520006216,0.1992228192622746]",100.0,"[-0.05873068299029524,-0.06135682331448396]",100.0,"[-0.15168082017226536,-0.005996752273684366]",4.0,"[0.1615794655312685,0.01668712027444151]",4.0,"[0.04805328375981168,0.0472231286568531]",100.0,"[0.07755848029696932,0.14810651477641593]",4.0,"[0.04655771026690888,-0.03916153173553434]",100.0,"[-0.01425822402671343,-0.08243660851120133]",4.0,"[0.011686718121609756,0.1413210672354237]",100.0,"[0.07775098560344784,-0.08490839668949143]",4.0,"[0.13691056814092997,-0.12549039016399285]",100.0,"[0.0974027676324428,0.044424106136349104]",4.0,"[-0.04529173531044077,0.06762081352924759]",100.0,"[-0.10680132446540101,0.07979185357793976]",100.0,"[0.1356745277539566,0.1315986171534092]",4.0,"[0.08295409497481651,-0.15723963057132914]",100.0,"[0.16773662488979618,0.06635779844110998]",100.0,"[0.08398599608843185,0.1049694664173811]",100.0,"[-0.10857255167674991,-0.10528343081579015]",4.0,"[0.11919149919509686,-0.021070060598409098]",100.0,"[-0.1115411576275695,0.02271507682378868]",100.0,"[-0.00777888446115854,0.040692163964341194]",4.0,"[0.02,0.02]",86.4912,0.0,2.0,2.0,62.0,1.0,,,,,,,
,,,,,,,6613f83d1a9cf059d0af91ec,68399cf70df050021737d8f7,2025-05-30_13h56.52.620,shape_ratio,2024.1.5,Win32,59.52380952,683853e18dae57a2147b65e0,,,,,,,,,,,86.4919,86.9912,,,87.2416,88.741,,,,,,,,,0.6,,,,,,,,86.9913,87.2416,88.741,"[0.13434757488583018,-0.05688421497998774]",100.0,"[-0.028444228896319555,0.15191406452703987]",100.0,"[-0.1404849273801381,0.032543061270985094]",100.0,"[0.053610853248679216,-0.07454925422449592]",100.0,"[-0.18137359013472135,-0.03374065589029936]",100.0,"[0.028607230298767976,-0.19483283705281862]",4.0,"[0.13412593444268,0.06100512073662658]",100.0,"[0.089029963858946,0.05937448538287536]",4.0,"[0.025574899904570035,-0.04028351312863447]",4.0,"[0.08290576699662738,-0.0340312450595791]",4.0,"[0.16917476340054943,0.0857897519529591]",100.0,"[-0.13042426334088686,-0.04675557142429645]",100.0,"[0.045091488563717474,0.12438260567556748]",100.0,"[0.08260771159356621,0.14664444862779594]",100.0,"[0.15463910895434055,-0.016072268186175475]",100.0,"[0.12325502858788283,0.10471563273884633]",4.0,"[-0.08065307629455234,-0.014834275829364859]",4.0,"[-0.05572876231258107,0.08543525326503562]",100.0,"[-0.11818100638768961,0.0867576658960873]",4.0,"[0.08972866991640013,-0.11846236870912985]",4.0,"[-0.13930183337706759,-0.10099032202245324]",4.0,"[0.015698934514579516,0.0727521479524492]",100.0,"[-0.05278520464830838,-0.13958605318006947]",4.0,"[-0.1326817971738827,0.14583938525723558]",4.0,"[-0.02461609175296518,-0.04430093207640798]",100.0,"[0.09447367789683297,0.019220654944102127]",100.0,"[0.00802795168253361,-0.11543141578257042]",4.0,"[-0.038450012062339216,0.03298590490535503]",4.0,"[0.03735712822669275,0.005139302919506463]",100.0,"[-0.0967240594137825,-0.1075412390677391]",100.0,"[0.0617570608402504,-0.15964337043918983]",100.0,"[-0.11078082370365594,-0.14584206053862872]",100.0,"[0.02,0.02]",89.8412,0.0,3.0,3.0,32.0,1.0,,,,,,,
