right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0001,37.0113,space,21.9984,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,37.0116,68.2762,space,1.2354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,68.2764,71.8264,space,0.5327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,71.8497,72.343,72.3433,72.5938,72.5941,73.4601,right,0.8356,,73.4602,74.5599,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,74.5606,75.0597,75.0597,75.31,75.3102,75.7598,left,0.4332,,75.7599,76.8596,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.8601,80.6268,space,0.7365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,80.645,81.1431,,,81.3941,81.9265,left,0.5208,,,,,,,,,0.4,,,,,,81.1436,81.394,81.927,"[0.031839196669997495,0.03294961379118625]",4.0,"[0.0915355818979271,-0.08183381039272487]",4.0,"[-0.030978988377190052,0.17200235060564123]",4.0,"[-0.18439942570146894,0.06466787826875521]",100.0,"[-0.002631090747646208,-0.18380503843735183]",100.0,"[-0.10661437781554893,0.03855907637911913]",4.0,"[-0.04377488181176221,0.03179595712707705]",4.0,"[-0.0943873949725754,-0.000024955323726908992]",100.0,"[0.17549476762775423,-0.06404336635733612]",100.0,"[0.15381118828793625,0.03199591621404696]",4.0,"[-0.07232835742142305,0.0969060420364636]",4.0,"[0.053441503589331925,0.18121489445928987]",4.0,"[-0.16407130409917628,-0.038351099291577824]",4.0,"[0.1272382277879338,0.15222577144426314]",100.0,"[0.07356473401063882,-0.03837341868851197]",100.0,"[-0.06549948154726463,-0.1503948234401077]",4.0,"[0.06681036396373365,0.08176768696495691]",4.0,"[0.10748661872622987,-0.12241236579691689]",100.0,"[-0.04516622959272263,-0.01567708659730247]",100.0,"[0.0764905026572694,0.14602545295623487]",4.0,"[0.0028605390434640553,-0.0120727485542019]",4.0,"[-0.12981425312981398,0.11200159441491685]",100.0,"[0.09133497335446575,0.008855945965915026]",4.0,"[0.1084746620846065,0.05673673466278515]",4.0,"[0.14184657548726767,-0.02478145086403837]",100.0,"[0.19367343926840852,0.026518119801763485]",4.0,"[-0.1976742103667408,-0.012461640621725063]",100.0,"[0.007202913724673507,0.06970537229232915]",4.0,"[0.00008476044443984216,-0.08062603534647178]",4.0,"[-0.10851411987877428,-0.09414718548302278]",100.0,"[-0.12097028971631824,-0.1584727376800926]",100.0,"[-0.04266964417882888,-0.19120469669850546]",4.0,"[0.02,0.02]",83.0266,0.0,0.0,0.0,175.0,1.0,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,83.0272,83.5266,,,83.776,84.21,left,0.4176,,,,,,,,,0.1,,,,,,83.5267,83.776,84.21,"[-0.10882456962482975,-0.11424443671261807]",4.0,"[-0.1735943337318339,-0.03130404178943079]",4.0,"[0.181969449428818,0.00012380339712548025]",4.0,"[-0.057218733934053745,-0.13718983193278336]",4.0,"[0.1157362343554088,0.15585245660115665]",4.0,"[0.046916977192700604,-0.15466943158301635]",100.0,"[0.03839323366911256,-0.07342777267838836]",4.0,"[0.10311050579609547,-0.07083194007078833]",4.0,"[-0.04321795745767866,-0.05090089213481684]",4.0,"[-0.05094945466156197,-0.18436443205148176]",4.0,"[0.03138674227036417,-0.19437424065671965]",4.0,"[-0.10583345987177739,0.08753237772835201]",4.0,"[0.16191497489077392,-0.0375220072792738]",4.0,"[0.010330981712378437,-0.12553798126117602]",4.0,"[-0.09566556677499136,-0.06108975202934381]",4.0,"[-0.11588377591466524,0.026284031864466286]",100.0,"[-0.07913014435953276,0.004506795632566619]",4.0,"[0.16157553305710282,0.051026171543390626]",4.0,"[-0.10299346716061952,0.1429722545058688]",4.0,"[-0.049303398622485506,0.05699828331591014]",4.0,"[-0.15128665653893922,-0.1216511915291814]",4.0,"[0.07039726414504023,0.005163006062760265]",4.0,"[0.12462771565538776,-0.11941474762702291]",100.0,"[0.01399199435619143,0.13907412286038176]",4.0,"[0.00964709041535821,-0.03409854710921162]",4.0,"[0.021670098258935754,0.02490112332265625]",4.0,"[-0.13258616251792765,-0.026571908420946637]",4.0,"[0.15311733880972558,0.09499849606949977]",4.0,"[-0.05522671197653388,0.1659725774447331]",4.0,"[-0.15860789759991692,0.07650387583628107]",4.0,"[0.031036389102722203,0.1787991631424982]",4.0,"[-0.06854246288668235,0.10492211837442636]",4.0,"[0.02,0.02]",85.3092,0.0,1.0,1.0,180.0,1.0,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,85.3097,85.8099,,,86.0592,86.76,right,0.6868,,,,,,,,,0.1,,,,,,85.8099,86.0592,86.7601,"[-0.1785496634633902,-0.04032089596893449]",4.0,"[-0.1173267742372467,0.11946591349498617]",4.0,"[-0.04623677205134192,-0.010761376111676163]",4.0,"[0.015774244508025094,0.13176817932852566]",100.0,"[-0.08568000001189588,0.17990035132462637]",4.0,"[0.07440402982446527,0.0526975471992244]",4.0,"[-0.04630183803931402,0.10352977548931418]",4.0,"[-0.16661131289834158,0.008406194515809253]",4.0,"[0.15736290963534952,-0.0504168697448442]",4.0,"[0.13602546731636758,0.10029053738834237]",100.0,"[0.03359575322517716,0.1930760275010608]",4.0,"[-0.09467709261078927,-0.012730462231055145]",4.0,"[-0.1141446830124724,-0.12549359848727837]",4.0,"[-0.022847146904013765,0.03767539563467194]",4.0,"[-0.029801170788539715,-0.07829962001911972]",100.0,"[0.007462027201762031,-0.11036982824191942]",4.0,"[-0.14007710911104906,-0.055167965299654696]",4.0,"[0.11695689860643899,-0.1557752842957039]",4.0,"[0.10347311888202909,0.14027187179116576]",4.0,"[-0.05962928285141942,-0.15286379186124585]",4.0,"[-0.011909335688780399,0.16955305049878205]",4.0,"[-0.062414836055463274,-0.05183360353439283]",4.0,"[0.07366068072988557,-0.10628670502410363]",4.0,"[0.01523773746670923,0.06632362852906805]",4.0,"[0.05821358047172715,-0.032495858381936395]",4.0,"[0.11040994170265359,-0.00484767824493494]",4.0,"[0.11644279373944087,0.03513811599024216]",4.0,"[-0.11471541307621554,0.0734329398277097]",4.0,"[0.0748466949264432,-0.17371522011376514]",4.0,"[0.17373296857606207,0.01894193125459181]",4.0,"[0.014728442700499556,0.008110382040942955]",4.0,"[-0.10903737572184749,-0.16628652854965092]",4.0,"[0.02,0.02]",87.86,0.0,2.0,2.0,197.0,1.0,,,,,,,
,,,,,,,6617c54a41ce14946db85944,68399d3d763592f1b67b7380,2025-05-30_13h57.59.147,shape_ratio,2024.1.5,MacIntel,60.24096386,683853e18dae57a2147b65e0,,,,,,,,,,,87.8604,88.3589,,,88.6107,89.1267,right,0.5037,,,,,,,,,0.9,,,,,,88.359,88.6106,89.1268,"[0.11673578601782454,0.04041349242798795]",100.0,"[-0.10298442379051058,0.16680826554466774]",100.0,"[-0.1831232528602214,0.015026627767603069]",100.0,"[0.032929552818703786,0.09610159198776262]",100.0,"[-0.004836153056187236,-0.06094268408831125]",100.0,"[-0.1154141708713998,-0.03352520351836653]",100.0,"[-0.04487325662442216,-0.009392126561526758]",100.0,"[0.15311729217042502,-0.008448282101495452]",100.0,"[-0.16286755062576894,-0.10236363573928398]",100.0,"[0.06988271841112721,-0.059597575974374366]",100.0,"[-0.02944776510312606,0.052921977341541984]",100.0,"[-0.04448449479551828,0.19256576345418824]",100.0,"[0.0842563281328946,-0.177057026610205]",100.0,"[0.024247029959168696,0.04833368760685422]",100.0,"[0.009602014166477794,-0.10254960431373783]",100.0,"[-0.1058332524312142,-0.0743280392068437]",100.0,"[0.1684561415233465,0.094387379498249]",100.0,"[0.16701552382145643,-0.10773432893436125]",100.0,"[-0.07991148779325989,-0.11994994984533393]",4.0,"[-0.047409435337576626,0.10945532925517384]",100.0,"[-0.12390082940858282,0.01707321231498989]",100.0,"[-0.02424810965412221,-0.18801456791055068]",100.0,"[0.14572576570198525,-0.06420399950621491]",4.0,"[-0.1294246085178931,0.07665740755572925]",100.0,"[0.025539606312472644,-0.14532981263175868]",100.0,"[0.18547120062764522,-0.051941729488132984]",100.0,"[0.09099068750746843,0.00022931937446306257]",100.0,"[0.06999977523303898,0.17522655294213843]",100.0,"[-0.17323022127386797,0.06400033872564796]",100.0,"[0.020981030508467988,-0.19275702087682406]",100.0,"[0.06768663636907052,0.12351210978158472]",4.0,"[-0.050780949532394745,-0.06995745174335581]",100.0,"[0.02,0.02]",90.2266,0.0,3.0,3.0,27.0,1.0,,,,,,,
