right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,65.5112,space,50.4763,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,65.5124,121.374,space,25.8224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,121.3744,134.6404,space,10.2305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,134.6955,135.1725,135.1733,135.4063,135.4067,136.5059,right,1.0601,,136.5063,137.6059,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,137.6077,138.1054,138.1055,138.3395,138.3395,139.4058,left,1.0462,,139.406,140.5051,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.5062,168.7722,space,25.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,168.8062,169.3035,,,169.5384,170.4699,left,0.9242,,,,,,,,,0.9,,,,,,169.3044,169.5383,170.4708,"[0.09069080323562836,-0.010808769822979793]",100.0,"[-0.08774500012468149,0.10284016341176495]",100.0,"[0.001753798179783757,0.0031288985601832303]",100.0,"[0.025469879168330316,-0.06080855782890255]",100.0,"[-0.026369846345881777,0.05200066761722071]",100.0,"[0.15147846667988307,0.0348791687779829]",100.0,"[0.1372867859406657,-0.12935521066566988]",4.0,"[-0.04920961951732753,0.11898126427694125]",100.0,"[0.05694465793511922,0.07965113574387461]",100.0,"[-0.009010114781186808,-0.17722447202602803]",100.0,"[0.19834700813370074,0.002785812239943103]",100.0,"[-0.16191890885954077,-0.04247416591834545]",100.0,"[0.16498528621345657,0.07584538880157322]",100.0,"[-0.13406749491187,-0.08375191289689472]",100.0,"[0.1488943375760002,-0.02995863080816685]",4.0,"[0.07721665537665641,-0.06106624034586844]",100.0,"[0.14531114593638042,-0.08979934000303842]",100.0,"[-0.0731918652944325,0.0033348269931005284]",100.0,"[-0.09367681140123302,0.050102122378458964]",100.0,"[-0.0024473327312128966,0.17120401696836912]",100.0,"[-0.06133562292688375,0.16833313517580126]",100.0,"[-0.004797839947490531,0.1186943196160004]",100.0,"[0.08739725257951136,0.13225934547271148]",100.0,"[-0.015034320739605558,-0.07748936192226244]",100.0,"[-0.040313236442617674,-0.1431130174582253]",100.0,"[0.03300749925653558,-0.10741066267546026]",100.0,"[0.07961376250148734,-0.12625337974794798]",100.0,"[0.1155464803787952,0.08508002396182897]",100.0,"[-0.07794730625268202,-0.09685797255208507]",100.0,"[0.04347401411553037,0.025013512699295953]",100.0,"[0.031955158090547726,-0.19181387137771513]",100.0,"[-0.10857049689623352,-0.14863042995553577]",4.0,"[0.02,0.02]",171.5704,0.0,0.0,0.0,17.0,1.0,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,171.5717,172.0701,,,172.3048,172.9366,left,0.6028,,,,,,,,,0.9,,,,,,172.0702,172.3047,172.9367,"[0.07044552374186515,0.03841334273442413]",100.0,"[-0.0813445505576623,-0.05510720493985929]",100.0,"[-0.020760661684695553,0.04901343752109463]",4.0,"[-0.021818780304849728,-0.014353546924857071]",100.0,"[0.14372752431017088,-0.08445137684431808]",100.0,"[-0.004235620419091669,0.14611470989118067]",100.0,"[-0.12234160832922142,0.08454557650928249]",4.0,"[0.06865931672698002,-0.027512037260866023]",100.0,"[-0.028614963611839832,-0.17997828087687814]",100.0,"[0.07301346457510183,0.08867474176482959]",100.0,"[-0.11685753852234414,-0.13887072559844357]",100.0,"[0.060467824830323987,0.1428368902453628]",100.0,"[-0.1578522421868061,-0.08228782321187315]",100.0,"[0.16348296333011347,-0.029936724482701568]",100.0,"[-0.005152424046110953,0.19065222897332829]",100.0,"[0.13529044069334076,-0.13964386157213973]",100.0,"[-0.07501595651606562,0.1710354492871207]",100.0,"[0.02492161528451711,0.014421140461576757]",100.0,"[-0.1553043812900805,0.12355985786977251]",100.0,"[-0.15591772104157306,0.036377211495930394]",100.0,"[0.008743173470464403,-0.11946873272044378]",4.0,"[-0.04036735856515151,-0.055192145350689385]",100.0,"[0.05025453561174725,-0.17248150397050765]",100.0,"[-0.11301133822474617,-0.027956438734470544]",100.0,"[-0.04242324478739347,0.13157417133357002]",100.0,"[-0.08316822109397491,0.10549370568215904]",100.0,"[0.1176637377978259,0.06219395067380484]",100.0,"[-0.15403136017672023,-0.018674598832665232]",100.0,"[0.00903593864861424,-0.04119435040806848]",100.0,"[-0.033356200880376816,-0.10277545573066421]",100.0,"[-0.05744677875794606,-0.14379347193194678]",100.0,"[0.10651310475709624,-0.009312116370572705]",100.0,"[0.02,0.02]",174.037,0.0,1.0,1.0,13.0,1.0,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,174.0376,174.5365,,,174.7708,175.603,right,0.8131,,,,,,,,,0.5,,,,,,174.5365,174.7707,175.6032,"[0.0009226443745996355,0.07880106155607287]",4.0,"[0.07317927852091353,-0.010476554903748075]",4.0,"[0.002819779948179654,-0.08193797225882378]",100.0,"[0.1874486309683279,0.04272794622616293]",4.0,"[-0.08561164118277705,-0.11069216063728987]",4.0,"[-0.12445122467132262,-0.07988119487589473]",4.0,"[0.1422180133440145,-0.0891846930365155]",100.0,"[-0.020992949142531178,0.021221222415262135]",100.0,"[0.125851792308666,0.14758525226202027]",100.0,"[0.04764019117057038,-0.19355393139574495]",100.0,"[-0.09227697933663447,-0.16860881622143278]",4.0,"[0.05484566559550836,-0.10436895879531317]",100.0,"[0.09182176506698557,0.03175737665663346]",4.0,"[-0.0003296834594334663,0.12222906936436091]",100.0,"[-0.049264279858170716,0.18894552062903955]",4.0,"[-0.058752647032845336,0.10163009242654765]",100.0,"[0.12840563769791236,-0.011140742462969628]",100.0,"[-0.0321617106465371,-0.14180285691614614]",4.0,"[-0.04308322603043742,-0.1905499656703055]",4.0,"[-0.1261504966208484,0.0020336490510341277]",100.0,"[-0.14408989281344511,-0.1207416034373172]",4.0,"[-0.18472377700097486,0.05883642197356543]",100.0,"[0.07918929061650003,0.11923161831337453]",100.0,"[0.07605851972513006,-0.16170966531266148]",4.0,"[0.07559378143988481,0.18263807814610536]",100.0,"[-0.0877758825307804,0.14391283791142503]",100.0,"[-0.03137926672343401,-0.0510102320234278]",100.0,"[-0.1024047724859831,-0.04293765002867063]",4.0,"[-0.15000442703650804,0.08743125572057764]",4.0,"[-0.19771204504749007,-0.025542578591078474]",4.0,"[0.12209256264162728,-0.14302683759720233]",4.0,"[0.0066106481215057475,0.17152040686034525]",100.0,"[0.02,0.02]",176.7032,0.0,2.0,2.0,102.0,1.0,,,,,,,
,,,,,,,663b638be7226d4e3fcc255f,68442bda9dc808d6db82a869,2025-06-07_13h12.57.504,shape_ratio,2024.1.5,Win32,29.94011976,684250e4f00cb30b92d1fa88,,,,,,,,,,,176.7039,177.2033,,,177.4376,178.3362,right,0.8738,,,,,,,,,0.6,,,,,,177.2034,177.4374,178.3363,"[0.08697585319925033,-0.15860407019025644]",100.0,"[0.006556331368063906,0.11007621673094391]",100.0,"[0.02504086983868208,-0.16493182041745952]",4.0,"[-0.03137156750486993,0.17551870093160274]",100.0,"[0.026378507548919846,-0.014835286189374018]",4.0,"[0.1547156284071767,-0.05720946519569717]",100.0,"[-0.13346422712661435,0.023082045859158226]",100.0,"[0.12972259850154533,0.0823307685877215]",100.0,"[0.19222252587440605,-0.011493555491043923]",100.0,"[-0.0814328282016868,0.11311778647476932]",100.0,"[-0.1265238975052816,-0.0697662447917723]",4.0,"[0.013309487218152338,0.18188951485181135]",4.0,"[0.07893788351947492,-0.003724189120727943]",4.0,"[-0.1303629461448542,0.13223358597078008]",100.0,"[-0.06492547109064668,-0.018551330837391414]",100.0,"[-0.0257959261494126,0.01905611740830986]",100.0,"[-0.06745188545915609,-0.1463262403535916]",4.0,"[-0.0576635729840606,0.06045070656266117]",4.0,"[0.10419278901084453,0.1585590189855369]",100.0,"[0.1376021467640844,0.12658554127598734]",100.0,"[-0.17620968982407068,-0.0278048320950193]",100.0,"[0.0039020637227357856,-0.1222468950251013]",100.0,"[-0.13184525205926773,-0.12083521620012687]",4.0,"[0.04315638833327679,0.13584111123176595]",4.0,"[0.06253095250368931,0.04842817820409107]",100.0,"[-0.16759875289868859,0.09900567674721052]",100.0,"[0.11439078170832505,-0.11030338628024026]",100.0,"[-0.08009414682944076,-0.055614304222059194]",4.0,"[0.1690217510485782,0.029691988731859367]",4.0,"[-0.009312711922288303,0.07132550337092775]",100.0,"[0.0948567074021574,0.10797724101992269]",4.0,"[-0.11759248283968114,0.06937501128198378]",4.0,"[0.02,0.02]",179.4362,0.0,3.0,3.0,31.0,1.0,,,,,,,
