right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0009,22.422,space,7.4065,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,22.4224,66.9186,space,14.4521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,66.9197,71.4954,space,1.5599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,71.5494,72.0175,72.0178,72.2526,72.2526,73.7445,,73.7452,74.835,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,74.8397,75.3511,75.3511,75.6179,75.618,76.1167,right,76.1168,77.2213,0.0,1.0,1.0,0.0,1.0,0.2,0.4807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.2241,84.8025,space,4.5628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,84.8204,85.2731,,,85.5075,85.7686,left,,,,,,,,0.9,0.2341,,,,,,,85.2739,85.5074,85.771,"[0.12953443065030204,0.1166813352381369]",100.0,"[0.14461416508070518,0.05543402889846239]",100.0,"[-0.007269271792003728,0.06576804813862633]",4.0,"[0.01417396016017217,-0.010590488094801362]",100.0,"[0.19750780192922007,0.030923300603548507]",100.0,"[0.002048432856487399,-0.10749883402541315]",100.0,"[-0.05548470899562447,-0.060368677168184004]",100.0,"[-0.1435097137649968,-0.07889526978498393]",100.0,"[-0.09303055446611133,-0.14705942130128938]",100.0,"[0.1375052951885188,-0.07500637573620683]",100.0,"[-0.1778403689182473,-0.003162036284319636]",100.0,"[0.006381597516121836,-0.18216525551311702]",100.0,"[0.09158836636739326,0.002210886683041985]",100.0,"[-0.16592462709987074,0.09934913253118771]",100.0,"[-0.07301256275127407,-0.004816278798286099]",100.0,"[-0.05949242361626975,0.1487610669513544]",100.0,"[0.06797821598665094,-0.1091998864387242]",4.0,"[0.13198815655588314,-0.03399071419810538]",100.0,"[-0.029276992059540877,0.025620456846489708]",100.0,"[-0.1119876694010135,0.08973048900479728]",100.0,"[0.16901933128396968,0.09384915141567687]",100.0,"[0.06775636287226486,0.08121312835773101]",100.0,"[0.06782382161034028,-0.065096611664528]",100.0,"[0.11210277490530839,-0.14274555368813127]",4.0,"[-0.12729310531242324,0.045240357363196405]",100.0,"[0.02276744195379328,-0.055029079719540575]",100.0,"[0.05098517084944492,0.17877449256191816]",100.0,"[0.1839655796267637,-0.008378638784374969]",100.0,"[0.0470643746584133,-0.19050236891718733]",100.0,"[-0.1225050328497626,-0.11834819568525172]",100.0,"[-0.006757428590731865,0.13725570154155142]",100.0,"[0.05998893703774609,-0.02431564787172932]",100.0,"[0.02,0.02]",86.8682,0.0,0.0,0.0,14.0,1.0,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,86.8706,87.3554,,,87.6402,88.0265,left,,,,,,,,0.5,0.3648,,,,,,,87.3556,87.6401,88.0265,"[-0.11723202795822148,0.1502395547933573]",4.0,"[-0.03334417579496029,0.05698772116535877]",4.0,"[0.00677251808178683,-0.07178831851092676]",4.0,"[0.09053918851195834,-0.11358783402821603]",4.0,"[-0.129532513897508,0.0012267970740437479]",100.0,"[-0.06197347803446716,-0.0329900541912226]",100.0,"[-0.056432225447027355,-0.1905689874948684]",4.0,"[0.025701579446922425,-0.02238240918291716]",100.0,"[-0.023850857381721043,0.13260361656980157]",100.0,"[-0.07418851295934631,-0.15011464467598196]",100.0,"[-0.10292792371638453,0.03416562762224379]",100.0,"[0.0014606925666249535,-0.19175303457336085]",4.0,"[0.14668543499990408,0.010164234447069981]",4.0,"[-0.005209237143284907,-0.11973741416342755]",4.0,"[0.08284182669633519,-0.015393482477758978]",4.0,"[-0.15274568602681876,0.08452778363311667]",4.0,"[-0.15552920734969494,-0.09573261374966285]",4.0,"[0.17553855953031688,-0.05281078701840634]",4.0,"[0.0756255730291871,0.06694420869448829]",100.0,"[0.093093231140851,-0.059792803086167585]",100.0,"[0.022884774254397174,0.04458824063775392]",100.0,"[-0.013256764347225142,-0.0065853159104819654]",4.0,"[0.12533634848425612,0.07293317006198531]",100.0,"[0.03643017169188557,0.1828626067762229]",100.0,"[-0.04711982042811479,-0.11542270446910464]",100.0,"[0.025085194219347445,-0.15532897038233096]",100.0,"[0.11680167239073135,0.11511776856955531]",4.0,"[-0.11420415303569967,0.10407936987519102]",4.0,"[-0.12490361090020143,-0.15154561495510185]",100.0,"[-0.030676371337601708,0.17665474556353233]",4.0,"[-0.1672464903577513,-0.05731940025790857]",100.0,"[-0.06879410455910315,0.15583856639856056]",100.0,"[0.02,0.02]",89.1316,0.0,1.0,1.0,104.0,1.0,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,89.1325,89.6366,,,89.8839,90.2047,left,,,,,,,,0.4,0.2873,,,,,,,89.6366,89.8837,90.2049,"[-0.11774593126051812,-0.1469779154039457]",100.0,"[0.10754479084461821,0.006485796033173792]",100.0,"[-0.09147396855537632,-0.08894672382043234]",4.0,"[0.051378398214128394,0.11208889392946178]",4.0,"[0.10695400677940929,0.13808526258675227]",4.0,"[-0.0852276076996409,0.10265292771573972]",4.0,"[-0.03222605269245009,0.16865182718288785]",100.0,"[-0.09001433395422295,-0.015202852565984007]",4.0,"[-0.14156827452935306,0.07593051000292539]",4.0,"[0.05797998931396815,-0.023881658332172366]",100.0,"[0.14037726574527903,0.1062384941463123]",4.0,"[-0.00048040348739643524,0.045501514405664766]",100.0,"[0.06257050938023817,-0.11796206238011064]",4.0,"[-0.1799422576972082,0.018052283922904026]",4.0,"[-0.009599264662888662,-0.10686423975219572]",100.0,"[0.043194714651285424,-0.16470884393883548]",4.0,"[-0.08124599471048334,0.05532773156320018]",100.0,"[0.11444559860886207,-0.048927400574904634]",100.0,"[0.17087553342147024,0.047640411639686124]",4.0,"[0.0051613344714451495,-0.05797976608504121]",100.0,"[0.19318208440032594,-0.04921445568857101]",4.0,"[-0.07826061689520859,-0.16429724245094918]",100.0,"[-0.16182256195331418,-0.0453367398076749]",100.0,"[0.041944487617455485,0.016608779612938555]",4.0,"[-0.10809826489231418,0.14397159392292389]",4.0,"[-0.041692823848807,-0.012303523070589024]",4.0,"[0.16565158954710593,-0.01622556369035983]",100.0,"[-0.14828072521565927,0.11882619592632529]",4.0,"[0.04985150340549663,-0.07642051113642089]",4.0,"[0.08727513966631495,0.174859465916274]",4.0,"[-0.036640689409490314,-0.18301794628853826]",100.0,"[0.11732611651646703,-0.15527284193619367]",4.0,"[0.02,0.02]",91.3054,0.0,2.0,2.0,178.0,1.0,,,,,,,
,,,,,,,663e222c34bca8dd891321ce,684429139d61b53eeae0ac3c,2025-06-07_14h00.15.607,shape_ratio,2024.1.5,Win32,59.17159763,684250e4f00cb30b92d1fa88,,,,,,,,,,,91.3058,91.8059,,,92.0356,92.5407,right,,,,,,,,0.1,0.4733,,,,,,,91.806,92.0356,92.5408,"[0.12568128744958693,0.10147005113911778]",4.0,"[-0.031112829145238625,0.13096278030063097]",4.0,"[-0.10279655085151966,-0.05532360002546709]",4.0,"[0.10515009691515281,0.010677498606964726]",100.0,"[0.07199443031484812,0.0435610383074769]",4.0,"[0.1421881632711258,-0.12682331232807653]",4.0,"[-0.03958209890107666,-0.1138863153819515]",4.0,"[0.08222241799667004,0.13360116292358704]",4.0,"[0.09979616964092121,-0.039121875184051205]",4.0,"[-0.03094672536006932,-0.023770169565895574]",4.0,"[-0.05764701713104683,0.17505271975041645]",4.0,"[0.033836793253296596,-0.09569659536101893]",4.0,"[-0.09471522348976553,-0.146639362970087]",4.0,"[0.17496492950136552,-0.04636747839439498]",4.0,"[-0.17177746836741528,0.09676783696070815]",100.0,"[-0.010620666535987588,0.06287949692120565]",4.0,"[-0.07964564436895759,0.05037254679084112]",4.0,"[-0.17518247384387822,0.02531708640868735]",4.0,"[0.12571400163038868,0.0566205274841025]",4.0,"[0.0006518490955014453,-0.17845395386292723]",4.0,"[-0.14225554566930423,-0.07513335903006652]",4.0,"[-0.07963723594900678,0.09729392719601046]",4.0,"[0.02937797206141528,0.06130628125444296]",4.0,"[-0.13390864849507222,0.0299817962619082]",4.0,"[-0.06393879239206082,-0.18535471688175534]",4.0,"[-0.1823572391875865,-0.08090301225287064]",4.0,"[0.16621928429886018,-0.0032083536224422086]",100.0,"[0.07171055963605072,0.18443649676860643]",4.0,"[0.010711257977162669,-0.06094220838293386]",4.0,"[-0.044329595115787664,0.013972930722188895]",4.0,"[0.14849070145882498,-0.08728519816135431]",4.0,"[-0.12876725256946017,-0.0179036130612314]",4.0,"[0.02,0.02]",93.6346,0.0,3.0,3.0,204.0,1.0,,,,,,,
