right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0004,68.3974,space,53.3581,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,68.3986,124.8454,space,26.4044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,124.8461,132.9711,space,5.1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,133.0176,133.4857,133.4861,133.7383,133.7388,134.1606,right,0.3409,,134.161,135.26,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,135.2629,135.7595,135.7597,136.0108,136.011,136.359,left,0.3242,,136.3593,137.4577,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.4594,147.4248,space,6.9393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,147.4761,147.9482,,,148.1993,148.5233,right,0.3144,,,,,,,,,0.55,,,,,,147.9497,148.1991,148.5246,"[-0.09399771219970023,-0.1549343911511279]",4.0,"[0.015187917765956953,-0.1811762963212166]",4.0,"[-0.02418087084889504,0.027332637055678323]",100.0,"[0.0062144214330030305,0.10109667441817032]",100.0,"[-0.06803735197506211,0.1311963518900139]",4.0,"[0.05609545648481104,-0.10135658295542398]",100.0,"[0.05751585522962709,0.09188057331262753]",100.0,"[0.13138873746629853,0.1337680851546303]",4.0,"[-0.14222155068923617,-0.08666873873654447]",100.0,"[0.14249454583770899,-0.023630526006943296]",4.0,"[-0.15323908435464856,0.10157554692588577]",4.0,"[-0.11053368386312797,0.054980367327353355]",100.0,"[0.13259692931572578,0.05880567232426204]",4.0,"[0.086235539642494,-0.06824103748632661]",4.0,"[0.08913216403432585,0.17469044457987304]",100.0,"[0.17563231155179718,-0.053061855680459645]",4.0,"[0.0788328377731732,-0.023393873125268697]",100.0,"[0.08853088193705531,0.13023006497083753]",100.0,"[-0.18857004347148573,-0.059997010894067906]",4.0,"[0.09919818689310267,-0.1729795609080345]",100.0,"[-0.13206082115637685,-0.03483622979177129]",100.0,"[0.0035613552922832154,-0.05311655802820816]",100.0,"[0.15229977226525418,0.09763896613176586]",4.0,"[-0.14950054416019004,0.015916139561719857]",100.0,"[-0.060859113185602956,0.009253709976200428]",100.0,"[0.18804324026984737,0.015481798909237966]",100.0,"[0.010129853921706547,0.003627224957669159]",100.0,"[-0.03086827777374469,-0.19407838294841107]",4.0,"[-0.026636402589332312,0.18924338963194734]",4.0,"[-0.0625481001635162,-0.038616276725373724]",4.0,"[0.0006574874332953121,-0.13968552392517114]",100.0,"[0.08950728585743788,0.04842337347216121]",100.0,"[0.02,0.02]",149.6223,0.0,0.0,0.0,85.0,1.0,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,149.6241,150.1211,,,150.3728,150.7704,left,0.3698,,,,,,,,,0.4,,,,,,150.1212,150.3727,150.7705,"[0.0753112392180974,-0.10057279314195133]",100.0,"[-0.03931475727193138,0.13600884540113575]",100.0,"[-0.09616729856940992,-0.16845882515868418]",100.0,"[0.16032500520217666,0.004882018952824724]",4.0,"[-0.07339669307427484,-0.1300384645538631]",4.0,"[0.02256358964259144,-0.16425468109936103]",100.0,"[-0.11786807209979358,-0.10289759026618805]",100.0,"[-0.05059510515245609,0.04753601402397914]",4.0,"[0.1457253562471457,-0.13329492920018854]",4.0,"[-0.1334847505785979,0.09831615549725245]",4.0,"[0.1656298543956687,0.07022122018473131]",4.0,"[0.052192082629081905,0.19287309748583514]",100.0,"[-0.08960757863783601,0.11189996454717012]",100.0,"[-0.026536649667342066,-0.11695324166211891]",100.0,"[0.040105385603349135,-0.1276518084276986]",4.0,"[0.11734360852545832,-0.02492289376978258]",4.0,"[0.10652941971246818,0.13885863488763894]",4.0,"[0.025987133312978136,0.0465133209405521]",100.0,"[0.1787497413376894,-0.06768255593790844]",4.0,"[0.03109131453543271,0.09227448016078321]",4.0,"[-0.07491820848444221,0.15763939660404583]",4.0,"[-0.08508665927532894,-0.0650419436286442]",100.0,"[-0.02064802672492336,-0.05881098238629875]",4.0,"[-0.09264684280005893,0.0229412837450366]",4.0,"[0.035066210517173416,-0.019857688475027883]",100.0,"[-0.1294565836874187,-0.027824348546662908]",4.0,"[-0.1775864539099627,-0.08254794911734065]",100.0,"[-0.03738081150900619,-0.16687314315780385]",4.0,"[-0.09745610330698494,0.06467400903862032]",100.0,"[0.0008925090373722518,0.19458785527212788]",4.0,"[0.08856372305474416,-0.1476072128560746]",4.0,"[0.1413946030597031,0.10660255227523328]",4.0,"[0.02,0.02]",151.8695,0.0,1.0,1.0,173.0,1.0,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,151.8707,152.3687,,,152.621,152.8444,right,0.1984,,,,,,,,,0.1,,,,,,152.3688,152.621,152.8446,"[0.05406032833737776,-0.13344233266103087]",4.0,"[-0.016157209548137427,0.14423567806821597]",4.0,"[0.11484031221062249,-0.06019647439065978]",4.0,"[-0.041706907850707915,0.01311033839396282]",4.0,"[0.058836006563708375,0.11745501823315692]",4.0,"[-0.0266521607991371,-0.16408167183096847]",4.0,"[-0.15058971037654126,0.04080722948102044]",4.0,"[0.00500602905283588,-0.0491735510675024]",4.0,"[-0.04324304963507531,0.078181439334504]",4.0,"[-0.08115313824049007,0.17799944496830858]",4.0,"[0.1894752570562985,0.021308648022947994]",4.0,"[0.052658931365055346,-0.010202973460868632]",4.0,"[0.12046632996680194,0.033257174978523006]",4.0,"[-0.052999143318677014,-0.0709635589481593]",4.0,"[-0.0907141671651479,0.0955643597675641]",4.0,"[0.12607858860099777,0.11971287831288688]",4.0,"[-0.09672594806866641,-0.1601171033470735]",4.0,"[-0.035614173658151865,0.19640151375227058]",100.0,"[0.04069460153022344,-0.07999402963223776]",4.0,"[-0.15452919312843155,0.11557317988715374]",4.0,"[0.04694517052160534,0.04136470977787572]",4.0,"[-0.11775026072781104,-0.12336057521718317]",4.0,"[-0.06090167709187281,0.13491575877221187]",4.0,"[0.09717846726157989,0.06827097323852731]",4.0,"[0.13310923353579804,-0.14280916085006387]",4.0,"[0.09826570053886632,-0.10698434838061388]",4.0,"[0.011971617467067453,0.09061863790161291]",4.0,"[0.16180891565244207,-0.04896922797591647]",4.0,"[0.06211865906000215,0.16409566751724886]",4.0,"[-0.16404170900374695,-0.09193683864671226]",100.0,"[-0.16272007004038075,-0.02227855555113273]",4.0,"[-0.12667234649579534,-0.04883497206737593]",100.0,"[0.02,0.02]",153.9429,0.0,2.0,2.0,198.0,1.0,,,,,,,
,,,,,,,664b7ccb73885d9432d06796,684428ccf239b1c8cdfef85e,2025-06-07_15h01.45.850,shape_ratio,2024.1.5,Win32,40,684250e4f00cb30b92d1fa88,,,,,,,,,,,153.944,154.4422,,,154.6923,155.2163,left,0.4958,,,,,,,,,0.5,,,,,,154.4423,154.6923,155.2164,"[0.012876851108619584,0.13207837995912358]",100.0,"[-0.04871281824540488,0.17219714676219441]",4.0,"[0.128155082614487,0.01566509628860397]",4.0,"[-0.12861740850374573,-0.10763136080982554]",4.0,"[-0.1745832365689657,-0.03060133225816914]",100.0,"[0.15695569537426113,-0.10216969348995548]",4.0,"[-0.033104755364548585,-0.11540661854789175]",4.0,"[-0.10851838264963193,-0.049795127152805436]",100.0,"[-0.1563624370571454,0.08915876527092412]",100.0,"[0.057949482920806164,-0.03347310832186236]",4.0,"[0.04830232003557444,0.11343943311066625]",4.0,"[0.01105221245594549,-0.017706597577587902]",100.0,"[-0.10842630789324456,-0.14675107067156523]",4.0,"[0.12445128243042228,0.11636598138885673]",100.0,"[-0.007954497249589127,0.058086351753688474]",100.0,"[-0.08231629954940317,0.0631243055957765]",4.0,"[0.18135425006466857,-0.022404970320889697]",100.0,"[-0.07380448619291079,-0.17864840558487394]",4.0,"[-0.10987933669044024,0.033917883849699106]",100.0,"[0.08957044765138969,0.16759610813353365]",100.0,"[-0.10316178816047837,0.1158511410685157]",100.0,"[0.08478117859575397,0.07795854897339723]",4.0,"[-0.028148760627761338,0.09695416471558378]",100.0,"[0.026703316469417464,-0.1267775861693827]",100.0,"[0.11580071759504547,-0.12339084354349553]",4.0,"[0.18855975203992112,-0.06304105853681145]",4.0,"[0.06857280066159104,-0.09254625032927437]",100.0,"[0.16321639322834527,0.03857080086447691]",100.0,"[-0.020408669145759725,-0.0755194835428718]",4.0,"[0.05727167346608176,-0.18419914626318867]",100.0,"[-0.07672001153561346,-0.021490696874254533]",4.0,"[0.010105269936649872,0.17293391435835775]",4.0,"[0.02,0.02]",156.3156,0.0,3.0,3.0,104.0,1.0,,,,,,,
