right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,key_resp.rt,key_resp.duration,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose dot,subject chose diamond,0.0006,38.6698,space,23.6429,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,38.672,139.6373,space,70.9338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,139.6381,155.6444,space,12.9921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,155.7317,156.1583,156.1595,156.4112,156.4127,157.8439,right,1.3789,,157.846,158.9412,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,158.9439,159.4403,159.4404,159.6957,159.6958,160.7304,left,1.0165,,160.7307,161.8236,0.0,1.0,1.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8257,190.549,space,25.7015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,190.6123,191.0627,,,191.3027,192.4039,left,1.086,,,,,,,,,0.4,,,,,,191.0644,191.3025,192.4059,"[-0.1237386365156721,-0.10760491827835396]",4.0,"[0.06480551948678996,-0.11943901828689889]",100.0,"[0.16079308879977516,-0.053238232770699424]",100.0,"[0.008494658626576038,-0.19181776747136803]",4.0,"[-0.1495929128791454,0.13182032572636024]",4.0,"[0.11199381945448347,-0.10293158447290056]",100.0,"[0.060075347299929686,0.0111758386799225]",4.0,"[-0.06606433083783633,0.009993421185681127]",100.0,"[0.157460937534946,0.018062743766906423]",4.0,"[-0.06617507026581568,0.1847345772460416]",4.0,"[-0.15582027700895176,0.038770005664302526]",4.0,"[0.017494457035341027,-0.010230446148511416]",4.0,"[-0.14912035210859137,-0.0639900437112497]",4.0,"[-0.004070485092857939,0.11194707132252875]",100.0,"[-0.03517236212740251,-0.14285563964298517]",100.0,"[0.06794472392334892,-0.16779247518673324]",100.0,"[-0.0545390204096549,-0.0782307118308208]",4.0,"[0.08651134116524839,0.14620050091728154]",4.0,"[0.15739585768451944,-0.11861975827926526]",4.0,"[0.1543065993457064,0.10154670392267318]",4.0,"[0.012537386422745914,-0.08377373711625526]",4.0,"[-0.12165795628330693,-0.15370619322960977]",4.0,"[0.014267200857574516,0.038958003130061515]",100.0,"[-0.11310555219358018,0.09252013528434921]",4.0,"[-0.15479289753463485,0.08064967571388379]",100.0,"[0.09504438414647606,0.05696409044769735]",100.0,"[0.09557643360927469,-0.032770734760696904]",100.0,"[-0.11195217512722583,-0.042706541909126414]",100.0,"[-0.07507442401958887,0.1426368423127382]",100.0,"[0.026531847260608917,0.17515367835026752]",4.0,"[0.06297826802795506,0.09674344183506561]",4.0,"[-0.04612333808796475,0.11335402870123222]",4.0,"[0.02,0.02]",193.4967,0.0,0.0,0.0,162.0,1.0,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,193.4983,193.9965,,,194.2477,194.7018,right,0.4325,,,,,,,,,0.5,,,,,,193.9967,194.2475,194.7019,"[0.1626858855295336,0.1065011562538865]",100.0,"[0.02200347235262407,0.06469734972463845]",100.0,"[-0.15213908951105176,-0.11070649359770425]",4.0,"[0.10518902665001224,0.1586004286982546]",100.0,"[-0.026470688938317874,-0.17679676446812478]",100.0,"[0.06211547274162424,-0.037640845824196474]",100.0,"[-0.10692129940325522,0.026832457036993322]",100.0,"[0.1288791756863124,-0.14458213876150314]",100.0,"[0.01824388969009142,-0.07272366444869537]",4.0,"[-0.10954442913054512,-0.021105279612269958]",4.0,"[-0.07872501510746235,-0.09933293655576207]",4.0,"[0.02358348639829745,-0.14700931086608454]",4.0,"[0.1068341164786431,0.03934699737499175]",4.0,"[-0.11265015158990963,0.1638080806852102]",4.0,"[-0.13264126345184532,-0.1491711235405225]",100.0,"[0.07440562247826313,-0.10987334133513285]",100.0,"[-0.09301590210927785,-0.05995615743435001]",100.0,"[0.02082054220982873,-0.19273753236772417]",4.0,"[0.11615957117924743,-0.09708366843098883]",100.0,"[0.10566304019592582,-0.03353040825604769]",100.0,"[0.1507446222132802,0.059217957842824395]",4.0,"[0.16816496482968077,-0.053331212377268164]",4.0,"[0.19401483825604635,-0.0033501225873038957]",100.0,"[-0.017773287408124974,-0.1252641835970627]",4.0,"[0.10665153406913624,0.0868656360197933]",100.0,"[-0.02814456496822133,0.07161611816466885]",4.0,"[-0.020982627669997304,-0.04882036174631745]",4.0,"[0.06218361293471504,-0.1744934626865866]",100.0,"[0.025474397798159604,0.1816523084101311]",4.0,"[-0.008380434275243728,0.11453429742140826]",4.0,"[-0.07450452096344343,0.18219703717615096]",4.0,"[-0.004267537795438068,0.01974699939672684]",100.0,"[0.02,0.02]",195.7941,0.0,1.0,1.0,114.0,1.0,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,195.7957,196.295,,,196.5472,197.1656,right,0.6071,,,,,,,,,0.9,,,,,,196.2952,196.5469,197.1658,"[-0.035909122508419454,0.01489725409337936]",100.0,"[-0.05460171754032106,0.08599172766157938]",100.0,"[0.00479475008800673,-0.19694932596050996]",100.0,"[0.12159587200066561,0.052803386947348124]",100.0,"[0.18680354772072041,0.06805877422184978]",100.0,"[-0.043794597255164346,-0.15826260558699592]",100.0,"[0.1760656824527985,-0.0026773421812294374]",100.0,"[-0.04429527777045214,-0.08903207841347117]",100.0,"[0.09992835735801345,-0.0004104819392553402]",100.0,"[0.07174144356387648,0.16256374632903722]",100.0,"[-0.009713900344697901,0.07270235867822618]",100.0,"[0.05943822934385417,0.11118733906735524]",100.0,"[0.046712270285470314,-0.08280516711196352]",100.0,"[0.11234932439352383,-0.15329623936122985]",4.0,"[0.12016748700017889,0.14716006582809402]",100.0,"[-0.001032755386534933,-0.04482385347995516]",100.0,"[-0.01769354388972698,0.19482856281013644]",4.0,"[-0.14289532424098317,0.0882085420308148]",100.0,"[-0.09873822647530811,0.014866396425069909]",100.0,"[0.07026761170992521,-0.045161856496530955]",100.0,"[-0.13392926242131548,-0.09666830363671534]",100.0,"[-0.17008883358682822,-0.01556238997155382]",100.0,"[0.11050438792836786,0.10301087221751529]",100.0,"[0.18345681339765113,-0.06349834400804363]",100.0,"[0.009247771478815033,0.016082188798403185]",100.0,"[-0.000015017454562458558,-0.14536326580353448]",100.0,"[-0.0980666816155605,0.155115686180384]",4.0,"[0.080835429864676,0.07061996270306904]",100.0,"[0.0023981995943710456,0.12421540036813253]",100.0,"[0.1327049473158626,-0.05939723630904035]",100.0,"[-0.12879062119131354,-0.05489793610696812]",100.0,"[-0.09144475690059771,-0.09856602680669281]",100.0,"[0.02,0.02]",198.2615,0.0,2.0,2.0,15.0,1.0,,,,,,,
,,,,,,,664b7cea18fe17cd31b5ab5e,6842bbfd5f14aa46597a0e67,2025-06-06_13h00.07.783,shape_ratio,2024.1.5,Win32,59.88023952,6842b561977af9ba9b0f87ca,,,,,,,,,,,198.264,198.7608,,,199.0121,199.5936,right,0.5674,,,,,,,,,0.55,,,,,,198.761,199.0119,199.594,"[0.08386553439922641,0.09065072247045075]",100.0,"[-0.059238930461902435,0.002923241179353803]",100.0,"[0.08606884347681489,-0.1547212933391793]",100.0,"[0.08095897395764985,-0.05734127564781652]",4.0,"[-0.10803570325981629,-0.00657706687073498]",4.0,"[0.13586417236389978,0.12961609320254772]",4.0,"[-0.07157812350185637,0.10755338411484537]",4.0,"[-0.16203472290606524,0.09212739139946007]",100.0,"[-0.13766530081800082,-0.05415386067394778]",100.0,"[0.13246056722375701,-0.09229051164561483]",4.0,"[0.02053076463928669,0.10530582977124547]",100.0,"[-0.06574435453809338,0.15279732528360682]",4.0,"[0.05196773412909698,-0.11041874245153381]",4.0,"[-0.010238797634654014,-0.15404144305395875]",100.0,"[0.09101736562523198,0.0005457891076069456]",4.0,"[0.17555167469734426,0.033561943340177355]",100.0,"[0.04858485038036478,0.05632991461297618]",100.0,"[0.01988339799307255,0.0051781798871252315]",4.0,"[0.017875636361904257,-0.18555991402199298]",100.0,"[-0.1294900493417089,0.06781043249194418]",100.0,"[0.14842545359842918,0.08201368595603643]",100.0,"[-0.17084206608042182,0.03870924541535344]",100.0,"[-0.087444915691322,-0.09446721731556217]",100.0,"[-0.1162932732666709,0.16212768904939465]",4.0,"[-0.11027542261079033,0.12194342007173761]",100.0,"[-0.1981056881346911,-0.020465959222592343]",4.0,"[0.17165367815204804,-0.06264120069381625]",4.0,"[-0.07187636998838656,-0.1328794929731971]",4.0,"[-0.007053807965207832,0.14947371473613835]",100.0,"[-0.13864911868643157,-0.11526252066663699]",4.0,"[-0.0813578590255897,-0.17828014948628632]",100.0,"[-0.026754274019473032,0.1026293681848042]",100.0,"[0.02,0.02]",200.6927,0.0,3.0,3.0,78.0,1.0,,,,,,,
