right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,key_resp.rt,key_resp.duration,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0,58.958,space,43.924,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,58.958,102.798,space,13.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,102.799,108.729,space,2.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,108.751,109.246,109.246,109.48,109.48,110.979,,110.979,112.079,0.0,0.0,0.0,1.0,1.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,112.08,112.579,112.579,112.829,112.829,114.328,,114.328,115.429,0.0,1.0,1.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,115.429,132.703,space,14.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,132.737,133.212,,,133.463,134.179,left,,,,,,,,0.5,,,,,,133.212,133.463,0.699,,134.179,"[0.052925849876737374,-0.08442580288012173]",4.0,"[0.14348041960316985,0.08057413394157646]",100.0,"[0.11233892999826468,-0.08236910464139494]",100.0,"[-0.10496068008936937,-0.15991183448989743]",100.0,"[-0.06411046551633567,0.13554613987135425]",100.0,"[-0.10049793024396357,-0.005842833798657926]",4.0,"[0.05139358671556986,-0.044242945758237825]",4.0,"[0.0708000247647547,0.08375461147925309]",100.0,"[0.010574797301916652,-0.15157299110822872]",4.0,"[-0.14621960995671815,-0.11372066067032355]",4.0,"[0.16817583142354356,-0.009492735370452443]",4.0,"[-0.0940483462499063,0.04189826311055964]",4.0,"[0.10254003976802747,-0.13818617219581797]",4.0,"[-0.00022749945585456052,0.06929555242821765]",100.0,"[0.030704177672435707,-0.18684484791119543]",4.0,"[-0.18500998773636154,0.03901592567213812]",4.0,"[0.04222364228263776,0.020609133910084898]",4.0,"[-0.03589038835936469,-0.10880703077510864]",4.0,"[0.15314057681827428,0.03528986351631533]",100.0,"[0.030302264834710532,0.1833027711910754]",4.0,"[0.0926427040573395,0.14949950945420057]",100.0,"[-0.02143467097676043,-0.009558021741868913]",100.0,"[-0.0584482983133227,-0.047491028713910415]",100.0,"[-0.09340396096743483,0.1017084757331604]",100.0,"[-0.02390626790648616,0.19724051066410792]",4.0,"[-0.08725596454530729,-0.09857580726001187]",4.0,"[-0.16058219345170435,0.11245164391421006]",100.0,"[-0.1885315803543026,-0.0528465166801751]",100.0,"[0.15952641250353997,-0.07640174750866904]",100.0,"[-0.005096491997757069,-0.07099575803528936]",4.0,"[-0.04031780891809353,0.038550844101065095]",100.0,"[-0.05496486620700724,-0.16971262626327357]",100.0,"[0.02,0.02]",135.278,0.0,0.0,0.0,109.0,1.0,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,135.279,135.778,,,136.03,136.595,right,,,,,,,,0.1,,,,,,135.778,136.03,0.551,,136.595,"[0.14073284408432485,-0.12147072927940927]",4.0,"[0.18106880603358008,0.06911040503113171]",4.0,"[-0.031304024008712315,-0.0535334839902985]",4.0,"[0.0831140254214201,-0.14868532365145637]",4.0,"[0.042666703664821164,-0.15983634578489972]",4.0,"[0.13891443779452914,0.016064592675466286]",4.0,"[-0.05055998732027753,-0.13622075285144955]",4.0,"[-0.13287503215473515,-0.04877475729468879]",100.0,"[0.19636103302732555,-0.02140548325630277]",4.0,"[0.019010235493460193,0.10481071161316796]",4.0,"[-0.0029623304354989993,-0.00950222806122852]",4.0,"[0.14739429613982039,-0.07306112448264009]",4.0,"[-0.11828754443000937,0.0930525816271859]",4.0,"[-0.1980758175037238,-0.002129295204871981]",4.0,"[-0.049222179245804784,0.10639809686365653]",4.0,"[-0.055495733877331886,0.17822562608947845]",4.0,"[-0.08836745320522268,0.1300817885812217]",4.0,"[0.091992455375064,-0.059240062417130604]",4.0,"[0.1055795204420148,0.044746143367914895]",4.0,"[-0.1547005806768023,0.023155637607828062]",4.0,"[-0.001753335802312068,-0.14693728132234804]",4.0,"[0.06437193627983491,0.039983574025185833]",4.0,"[-0.1171598893595391,-0.13415209992010946]",100.0,"[0.14147890102797098,-0.030465950930608346]",4.0,"[0.020940351229224233,-0.055266919938571586]",100.0,"[0.11222025372985041,0.14336900750307507]",4.0,"[0.0830483793815163,0.08281932136196088]",4.0,"[-0.06442283197375855,-0.010793904089710064]",4.0,"[0.14284262683031743,0.10482095694944563]",4.0,"[0.04146051629613557,0.15884371187202112]",4.0,"[0.1859824586207879,0.028459235698324776]",4.0,"[-0.15570797665192707,-0.09280525639303529]",4.0,"[0.02,0.02]",137.695,0.0,1.0,1.0,194.0,1.0,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,137.698,138.196,,,138.448,138.979,left,,,,,,,,0.55,,,,,,138.196,138.448,0.516,,138.979,"[-0.11344601172137808,0.057176831145625585]",4.0,"[0.13898643241219932,-0.13954117343310868]",4.0,"[0.08873817447155714,-0.13592356379032428]",100.0,"[0.1252617064218147,-0.009507725181524889]",4.0,"[0.1454307487650945,-0.09545672642115337]",100.0,"[0.009517867567537466,0.1078801163663783]",4.0,"[0.0614383122280682,0.13537933419752285]",100.0,"[-0.17656791048064213,0.02440465987713819]",100.0,"[0.1086204254014228,0.0646568550054225]",4.0,"[-0.14010243460391508,0.0034462251698719536]",4.0,"[-0.07550031203779083,-0.040487917643838155]",4.0,"[0.05385384213882952,0.07908039526902458]",100.0,"[-0.07486276970220865,-0.12765274396853943]",100.0,"[-0.05433300289749168,-0.18600033925563036]",4.0,"[0.08918331589299429,0.01959598257677514]",4.0,"[-0.07815898243242454,0.0024360866322908786]",100.0,"[-0.02255416487970594,-0.0049429350798724445]",100.0,"[-0.15129213964842048,-0.09634225237666598]",4.0,"[-0.1461808477374634,-0.0425356276652379]",100.0,"[0.033973259033109306,0.01624234016345158]",100.0,"[-0.0072186522506798015,0.06090838611017887]",4.0,"[0.04486565239705645,-0.1450897406090907]",100.0,"[0.07634835559012437,-0.039096882296145725]",100.0,"[-0.03345662454376694,0.1321035952443739]",4.0,"[-0.04489367050833509,0.18167881016019083]",100.0,"[-0.030742770967913034,-0.102460030075086]",4.0,"[-0.04820964943893041,0.06965168211214219]",100.0,"[0.038904150739082405,0.18400796576716436]",100.0,"[0.14791882959856623,0.02357287663737011]",100.0,"[0.14728575651592946,0.09111954306760206]",4.0,"[0.17441838055393238,-0.024300347079109417]",100.0,"[-0.11354493077914853,-0.07623365311371694]",100.0,"[0.02,0.02]",140.078,0.0,2.0,2.0,71.0,1.0,,,,,,,
,,,,,,,66704327b46c7665de1190bc,68442939b5cbf0f2fa614b73,2025-06-07_12h59.19.287,shape_ratio,2024.1.5,Win32,60.0240096,684250e4f00cb30b92d1fa88,,,,,,,,,,,140.08,140.579,,,140.829,141.295,left,,,,,,,,0.5,,,,,,140.579,140.829,0.451,,141.295,"[-0.18566028134327486,-0.027951589864898287]",100.0,"[-0.145038501465714,0.051174782849649575]",4.0,"[-0.041756425657181184,-0.13290476503918072]",4.0,"[-0.09510930016568798,-0.08494523857145225]",4.0,"[0.05788193603844051,-0.08292543681728747]",100.0,"[0.08500505670866204,0.14971863260746318]",100.0,"[-0.020976812619771277,0.05103383797002064]",100.0,"[-0.12282890102139503,-0.1269821302316894]",100.0,"[0.035424972620269043,-0.009351038184592047]",100.0,"[0.13163189335614187,-0.013173035769630498]",100.0,"[-0.0156528410008424,0.1970706177526328]",100.0,"[-0.060237107249486076,0.17911453040115805]",4.0,"[-0.12628451990272146,-0.05728066063465596]",4.0,"[0.19880240516554976,-0.012725485746431706]",100.0,"[-0.16652787058418098,0.08829508848159973]",4.0,"[-0.11906749698706451,0.11607236206968505]",4.0,"[-0.008875207262614333,-0.0649221381895203]",4.0,"[-0.09743465449861521,0.02764701013487612]",4.0,"[0.025767545677600014,0.09973812714862047]",100.0,"[0.04492952561659845,-0.13433673102876426]",100.0,"[0.11091849544266486,0.037654042064791976]",4.0,"[-0.06178160911054075,0.00000839191874393252]",100.0,"[0.07539612363013187,-0.04222077310264691]",4.0,"[0.05431125084160202,0.0603021496342112]",100.0,"[0.17393875848807444,0.025447613062519036]",4.0,"[0.15665700705406238,0.0759475343367844]",4.0,"[0.16093976774575786,-0.08919664511337429]",100.0,"[0.033633031522376275,0.15916562706008486]",100.0,"[-0.000627033991700872,-0.14237028519009023]",4.0,"[0.1305317356478303,0.13469858473178847]",100.0,"[-0.017627659221219547,-0.0235894962039973]",4.0,"[-0.048599885685877926,0.114242207872369]",4.0,"[0.02,0.02]",142.396,0.0,3.0,3.0,115.0,1.0,,,,,,,
