right,left,explain.started,explain.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,explain_2.started,explain_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,explain_3.started,explain_3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,fixation.started,fixation.stopped,practice.started,practice.stopped,response.started,response.stopped,key_resp.keys,feedback.started,feedback.stopped,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,dot_ratio,key_resp.rt,key_resp.duration,explain_4.started,explain_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,dotDisplay.started,dotDisplay.stopped,ITI.started,polygon_1.pos,polygon_1.edges,polygon_2.pos,polygon_2.edges,polygon_3.pos,polygon_3.edges,polygon_4.pos,polygon_4.edges,polygon_5.pos,polygon_5.edges,polygon_6.pos,polygon_6.edges,polygon_7.pos,polygon_7.edges,polygon_8.pos,polygon_8.edges,polygon_9.pos,polygon_9.edges,polygon_10.pos,polygon_10.edges,polygon_11.pos,polygon_11.edges,polygon_12.pos,polygon_12.edges,polygon_13.pos,polygon_13.edges,polygon_14.pos,polygon_14.edges,polygon_15.pos,polygon_15.edges,polygon_16.pos,polygon_16.edges,polygon_17.pos,polygon_17.edges,polygon_18.pos,polygon_18.edges,polygon_19.pos,polygon_19.edges,polygon_20.pos,polygon_20.edges,polygon_21.pos,polygon_21.edges,polygon_22.pos,polygon_22.edges,polygon_23.pos,polygon_23.edges,polygon_24.pos,polygon_24.edges,polygon_25.pos,polygon_25.edges,polygon_26.pos,polygon_26.edges,polygon_27.pos,polygon_27.edges,polygon_28.pos,polygon_28.edges,polygon_29.pos,polygon_29.edges,polygon_30.pos,polygon_30.edges,polygon_31.pos,polygon_31.edges,polygon_32.pos,polygon_32.edges,dot_size,ITI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,break_2.started,break_2.stopped,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
subject chose diamond,subject chose dot,0.0003,47.5021,space,32.4878,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,47.5033,104.6053,space,27.0846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,104.6057,109.0307,space,1.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,109.1292,109.5482,109.5493,109.7855,109.786,111.2802,,111.2808,112.3799,0.0,0.0,0.0,0.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,112.3815,112.8796,112.8798,113.1236,113.1237,113.4299,right,113.4301,114.5295,0.0,1.0,1.0,1.0,1.0,0.8,0.289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.5308,122.3321,space,4.7802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,122.3832,122.8467,,,123.0983,123.8293,left,,,,,,,,0.4,0.7155,,,,,,,122.8483,123.0981,123.8307,"[-0.1202936800419708,0.08333793647155989]",100.0,"[0.029279279935214744,0.03887289334423222]",4.0,"[-0.10249735118614677,-0.0592937517961356]",4.0,"[-0.09659134994428151,0.018082292006313574]",4.0,"[0.08166440824653774,0.010619579054747167]",4.0,"[0.16565078693245194,-0.058474912458804235]",4.0,"[-0.06444994598051736,0.09715595281364178]",4.0,"[0.05502947062536457,-0.08765728703069424]",4.0,"[0.07069665698375019,-0.16573249180478836]",4.0,"[0.136600596778067,-0.11267545449534298]",100.0,"[0.023404536127290685,0.15773115278665698]",100.0,"[0.0495184669198369,0.09258207616193286]",100.0,"[0.09715774841549168,-0.1308648824234697]",4.0,"[0.14124739120784738,0.0062912361038998665]",100.0,"[0.033011108888166385,-0.1348262601379691]",4.0,"[-0.007412010284254334,-0.14605518042381174]",4.0,"[-0.08705090869476449,0.15553976905460234]",100.0,"[-0.05285698245068194,-0.10715486037646495]",100.0,"[-0.10625089003945588,-0.16015473808850744]",4.0,"[0.12116267603716277,0.11428125803978446]",4.0,"[-0.05771062568908152,-0.055337535317821096]",4.0,"[-0.13911172675317518,-0.035238955213316873]",100.0,"[-0.0043923976161156526,-0.06871524728734298]",4.0,"[0.10432253906898617,-0.059964234212938616]",100.0,"[0.14523893878220923,0.06248193233577262]",100.0,"[0.19054593552042898,0.05606415686907447]",100.0,"[-0.11979351429962826,-0.09815003236264568]",4.0,"[-0.03333279565367647,-0.18269919238189378]",4.0,"[-0.170983148139297,0.0419010809130342]",4.0,"[0.0012936664774916182,0.09006015198279263]",4.0,"[0.01295448419567457,-0.022441532288368003]",100.0,"[-0.19578317661837305,-0.025404527493675142]",100.0,"[0.02,0.02]",124.9296,0.0,0.0,0.0,173.0,1.0,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,124.9307,125.4291,,,125.6801,126.0793,right,,,,,,,,0.55,0.3832,,,,,,,125.4292,125.6801,126.0795,"[-0.12107044257213968,-0.11877808539158594]",4.0,"[0.10798391909802595,0.0029456918259750738]",100.0,"[-0.026937051910159892,0.06299577483518576]",100.0,"[0.17272117864804054,0.05530382909724328]",4.0,"[0.11201931935827797,0.08112450355294706]",4.0,"[0.05470418710344734,0.09846245290409887]",4.0,"[-0.07188297803451986,0.08342652595140693]",100.0,"[-0.09745487851392914,-0.1534740536446853]",100.0,"[-0.04368342886314169,-0.004314108754536691]",100.0,"[0.11215202973113121,0.14126545380308334]",100.0,"[-0.024426510322383476,0.1861877243150816]",100.0,"[0.023891662461003445,0.028640167167280104]",100.0,"[0.14942014855708985,0.09945499974196684]",4.0,"[-0.054165644301566694,-0.1685788943031234]",100.0,"[-0.12101511756143246,0.1276629444318244]",100.0,"[0.00004763352994741877,0.15434704742137506]",100.0,"[0.068271021853368,-0.0481446386023522]",4.0,"[-0.07115812304865468,-0.040799016426539624]",4.0,"[-0.03545313143132587,-0.1028768798658082]",4.0,"[-0.024875573313696813,-0.05164495930612714]",100.0,"[0.06889722444888227,-0.17414448575410493]",4.0,"[-0.1331455104767439,-0.07099799767341919]",4.0,"[-0.0762802351097676,-0.08585528782951503]",4.0,"[-0.013336979945490617,-0.1974392158382878]",4.0,"[0.013632441451640625,-0.07524686451264076]",100.0,"[-0.11318889763240728,0.05464378715791655]",100.0,"[-0.004970929108509986,-0.12905282290109057]",100.0,"[-0.13646101553789272,-0.02107869650914458]",100.0,"[0.12049587056436857,-0.11288140720964733]",4.0,"[0.18550900679553745,-0.019915192539784233]",4.0,"[-0.19622881371027676,-0.019394985415585445]",100.0,"[0.027426205296859726,-0.16921335535801627]",100.0,"[0.02,0.02]",127.1789,0.0,1.0,1.0,82.0,1.0,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,127.1799,127.6789,,,127.9345,128.6805,right,,,,,,,,0.45,0.7216,,,,,,,127.6789,127.9344,128.6806,"[-0.012064135981565841,-0.19911656500521044]",100.0,"[0.1650545953457127,-0.06923653484474998]",100.0,"[0.14184275816065864,-0.010355326738047647]",4.0,"[-0.043594443419033596,-0.034763967880785236]",4.0,"[-0.058792692936697685,0.16343061236773107]",4.0,"[0.05869071531565645,-0.02850834573698257]",4.0,"[-0.06980551831629185,-0.17792645438561772]",100.0,"[-0.15916951496841744,-0.039106182490515284]",4.0,"[0.14621876084655167,0.09936369760808399]",100.0,"[0.18863751588392344,0.011394528291042006]",4.0,"[-0.03495362362946704,-0.09797584121776333]",4.0,"[0.14765192489426118,-0.11982925107505753]",4.0,"[0.04002536639164644,0.1608368231705715]",100.0,"[-0.1190428324697136,-0.10051683890090173]",4.0,"[0.04694147656996048,-0.16818372388521183]",4.0,"[-0.1426521498530916,0.06836752541712014]",4.0,"[-0.03302762153117098,-0.14667655388107972]",4.0,"[-0.041150135791170564,0.02436502394136596]",100.0,"[-0.05623398691763228,0.07452810412628441]",100.0,"[-0.01488904475963742,0.06232630574428068]",100.0,"[0.06447084159332094,-0.1100338785000324]",100.0,"[0.02679743721124424,0.04991904482027172]",100.0,"[-0.16491574450707902,0.016842991499243974]",4.0,"[0.08707142649838379,-0.06483747286170957]",4.0,"[-0.11586722541667785,-0.04073429413816231]",4.0,"[-0.04634917037914483,0.11867701219198218]",100.0,"[0.13508536905145005,0.14724125983172698]",4.0,"[0.10502309515535159,0.04391725208064507]",4.0,"[-0.11121072611334801,0.004225909284730958]",100.0,"[-0.0017785544097971926,0.17609571824096124]",100.0,"[0.03038920869602388,0.12109830653025393]",4.0,"[0.07929123965085406,0.010608908562730269]",100.0,"[0.02,0.02]",129.7796,0.0,2.0,2.0,136.0,1.0,,,,,,,
,,,,,,,6677be3022288c5eff9880c0,684429f120a1434e0e1f67cc,2025-06-07_14h04.34.043,shape_ratio,2024.1.5,Win32,59.88023952,684250e4f00cb30b92d1fa88,,,,,,,,,,,129.7811,130.2788,,,130.5309,131.0682,right,,,,,,,,0.1,0.5177,,,,,,,130.2789,130.5308,131.0683,"[-0.05316253418622009,-0.0570854395726818]",4.0,"[-0.012606819346788428,-0.10124533409421144]",4.0,"[0.1382401599001511,0.03599631932599064]",4.0,"[-0.09576102797344671,-0.12213488719184921]",4.0,"[-0.13704942576930138,-0.13413731416201308]",4.0,"[-0.07932940829546802,0.03436612738205647]",100.0,"[-0.179186711201219,0.05638190527988187]",4.0,"[-0.020963100843470854,-0.1622736828429957]",4.0,"[-0.030622259761458732,0.1818456538147658]",4.0,"[0.10939394342012408,0.15776370529025094]",4.0,"[0.09997507224901256,-0.07438650225517959]",4.0,"[0.14590669649484203,-0.09203123148617812]",4.0,"[0.09741903442103864,0.014020493880805833]",4.0,"[0.10406288737614791,0.07836214931462754]",4.0,"[0.05414966516962001,0.15491245489875885]",4.0,"[0.1910001929580875,-0.048504973091294125]",4.0,"[-0.020509347201955574,0.13010094579687267]",100.0,"[0.14140582209463715,0.12239754444135159]",4.0,"[0.12434895321458042,-0.126568032492358]",4.0,"[0.07009185209416138,-0.18642414271808364]",4.0,"[-0.06882102495217465,-0.17594165476038112]",4.0,"[-0.1328037643795259,-0.02766135798507354]",100.0,"[0.1466206369852303,-0.010621864891518052]",4.0,"[-0.04651652151579683,0.09795187979447581]",4.0,"[-0.1721791145692272,-0.07068081928248487]",4.0,"[-0.054754917276632564,-0.00355937728794065]",4.0,"[0.019717081843533553,0.019388466121311225]",4.0,"[0.03738857577766764,-0.11643188575554353]",4.0,"[0.014128726203622698,-0.040749291675511806]",4.0,"[-0.07794742029963801,0.12864498556635895]",4.0,"[0.08127541102049167,-0.1473352574514394]",4.0,"[-0.13631355295678693,0.13477296830492375]",4.0,"[0.02,0.02]",132.163,0.0,3.0,3.0,206.0,1.0,,,,,,,
